Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.1,5.25,5.05,5.1,156500
2017-01-04,1483488000,5.1,5.3,5.05,5.1,299000
2017-01-05,1483574400,5.05,5.25,5.0,5.15,203800
2017-01-06,1483660800,5.15,5.4,5.12,5.35,89800
2017-01-09,1483920000,5.25,5.3,5.2,5.25,118500
2017-01-10,1484006400,5.2,5.23,5.1,5.2,51500
2017-01-11,1484092800,5.15,5.28,5.0,5.0,234600
2017-01-12,1484179200,5.0,5.05,4.95,4.95,109900
2017-01-13,1484265600,4.95,5.05,4.95,5.0,81100
2017-01-17,1484611200,4.95,4.97,4.83,4.9,173100
2017-01-18,1484697600,4.95,4.95,4.75,4.85,150000
2017-01-19,1484784000,4.85,4.85,4.55,4.65,239200
2017-01-20,1484870400,4.7,4.7,4.53,4.6,160700
2017-01-23,1485129600,4.55,4.6,4.4,4.5,380800
2017-01-24,1485216000,4.5,4.65,4.45,4.6,180800
2017-01-25,1485302400,4.6,4.7,4.6,4.65,168900
2017-01-26,1485388800,4.6,4.75,4.6,4.7,160500
2017-01-27,1485475200,4.7,4.8,4.7,4.75,94000
2017-01-30,1485734400,4.75,4.75,4.55,4.6,114500
2017-01-31,1485820800,4.6,4.8,4.6,4.75,57200
2017-02-01,1485907200,4.75,4.85,4.65,4.7,50200
2017-02-02,1485993600,4.65,4.7,4.65,4.65,31800
2017-02-03,1486080000,4.7,4.8,4.65,4.8,96000
2017-02-06,1486339200,4.75,4.85,4.65,4.75,124900
2017-02-07,1486425600,4.75,4.8,4.65,4.7,72700
2017-02-08,1486512000,4.75,4.75,4.6,4.7,64100
2017-02-09,1486598400,4.65,4.75,4.6,4.7,105900
2017-02-10,1486684800,4.75,4.75,4.63,4.65,74200
2017-02-13,1486944000,4.6,4.7,4.6,4.7,52800
2017-02-14,1487030400,4.65,4.7,4.6,4.65,88400
2017-02-15,1487116800,4.5,4.7,4.45,4.55,256100
2017-02-16,1487203200,4.5,4.6,4.45,4.6,119900
2017-02-17,1487289600,4.6,4.6,4.45,4.55,92600
2017-02-21,1487635200,4.5,4.6,4.45,4.55,95200
2017-02-22,1487721600,4.5,4.6,4.5,4.55,118900
2017-02-23,1487808000,4.6,4.6,4.38,4.4,223600
2017-02-24,1487894400,4.35,4.4,4.28,4.3,157800
2017-02-27,1488153600,4.3,4.45,4.3,4.4,224100
2017-02-28,1488240000,4.35,4.4,4.25,4.25,166000
2017-03-01,1488326400,4.3,4.35,4.25,4.35,123200
2017-03-02,1488412800,4.3,4.65,4.3,4.45,174600
2017-03-03,1488499200,4.4,4.45,4.3,4.4,102900
2017-03-06,1488758400,4.3,4.5,4.25,4.4,145700
2017-03-07,1488844800,4.35,4.5,4.3,4.4,77100
2017-03-08,1488931200,4.4,4.6,4.35,4.5,149400
2017-03-09,1489017600,4.45,4.85,4.45,4.7,232400
2017-03-10,1489104000,4.8,5.0,4.65,4.7,86600
2017-03-13,1489363200,4.7,4.75,4.65,4.7,49200
2017-03-14,1489449600,4.7,4.7,4.5,4.5,59200
2017-03-15,1489536000,4.5,4.55,4.4,4.5,173100
2017-03-16,1489622400,4.45,4.45,4.2,4.3,201500
2017-03-17,1489708800,4.3,4.45,4.3,4.35,221600
2017-03-20,1489968000,4.35,4.4,4.25,4.4,143700
2017-03-21,1490054400,4.35,4.4,4.3,4.35,112100
2017-03-22,1490140800,4.3,4.35,4.25,4.3,149100
2017-03-23,1490227200,4.3,4.3,4.2,4.2,65900
2017-03-24,1490313600,4.2,4.39,4.2,4.35,52700
2017-03-27,1490572800,4.25,4.3,4.2,4.3,72100
2017-03-28,1490659200,4.3,4.4,4.25,4.4,43900
2017-03-29,1490745600,4.3,4.4,4.25,4.35,87900
2017-03-30,1490832000,4.3,4.35,4.2,4.25,97500
2017-03-31,1490918400,4.3,4.4,4.25,4.3,79400
