Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.9,1.93,1.87,1.89,4282800
2017-01-04,1483488000,1.88,1.89,1.84,1.87,5242600
2017-01-05,1483574400,1.88,1.89,1.82,1.84,4173000
2017-01-06,1483660800,1.82,1.84,1.79,1.81,3169000
2017-01-09,1483920000,1.85,1.86,1.81,1.83,3073800
2017-01-10,1484006400,1.84,1.85,1.81,1.82,4313200
2017-01-11,1484092800,1.82,1.96,1.81,1.95,7592600
2017-01-12,1484179200,2.0,2.16,2.0,2.12,6486700
2017-01-13,1484265600,2.08,2.09,2.04,2.07,3026100
2017-01-17,1484611200,2.13,2.2,2.1,2.16,4787500
2017-01-18,1484697600,2.18,2.2,2.1,2.12,3784400
2017-01-19,1484784000,2.15,2.15,2.08,2.11,5027400
2017-01-20,1484870400,2.15,2.16,2.1,2.12,3340500
2017-01-23,1485129600,2.19,2.25,2.17,2.25,4838100
2017-01-24,1485216000,2.25,2.28,2.21,2.23,5083500
2017-01-25,1485302400,2.22,2.28,2.16,2.23,5156000
2017-01-26,1485388800,2.26,2.28,2.2,2.23,5728900
2017-01-27,1485475200,2.23,2.24,2.2,2.22,4984100
2017-01-30,1485734400,2.2,2.2,2.12,2.15,7895600
2017-01-31,1485820800,2.25,2.29,2.22,2.26,6465700
2017-02-01,1485907200,2.27,2.28,2.2,2.24,4730100
2017-02-02,1485993600,2.28,2.33,2.25,2.32,4146100
2017-02-03,1486080000,2.34,2.36,2.31,2.31,3116400
2017-02-06,1486339200,2.31,2.32,2.2,2.2,5190200
2017-02-07,1486425600,2.25,2.26,2.19,2.2,3789500
2017-02-08,1486512000,2.2,2.28,2.17,2.24,8450000
2017-02-09,1486598400,2.26,2.26,2.16,2.2,9736000
2017-02-10,1486684800,2.25,2.33,2.21,2.28,15800600
2017-02-13,1486944000,2.35,2.37,2.32,2.35,3818600
2017-02-14,1487030400,2.37,2.39,2.32,2.38,3544500
2017-02-15,1487116800,2.44,2.58,2.43,2.55,7183300
2017-02-16,1487203200,2.59,2.67,2.59,2.63,4989500
2017-02-17,1487289600,2.61,2.66,2.56,2.63,4176300
2017-02-21,1487635200,2.78,2.86,2.78,2.85,5898500
2017-02-22,1487721600,2.94,2.99,2.77,2.82,8469500
2017-02-23,1487808000,2.94,2.94,2.74,2.75,7340500
2017-02-24,1487894400,2.74,2.74,2.66,2.7,3739700
2017-02-27,1488153600,2.68,2.71,2.59,2.64,3542600
2017-02-28,1488240000,2.59,2.67,2.56,2.63,5520100
2017-03-01,1488326400,2.59,2.72,2.59,2.71,7085300
2017-03-02,1488412800,2.67,2.71,2.61,2.64,4589100
2017-03-03,1488499200,2.71,2.82,2.71,2.82,5551500
2017-03-06,1488758400,2.84,2.86,2.75,2.77,4104100
2017-03-07,1488844800,2.86,2.95,2.82,2.94,5857500
2017-03-08,1488931200,2.86,2.9,2.73,2.8,7604600
2017-03-09,1489017600,2.75,2.77,2.63,2.67,5902700
2017-03-10,1489104000,2.73,2.75,2.67,2.74,3769600
2017-03-13,1489363200,2.85,2.9,2.83,2.86,5147500
2017-03-14,1489449600,2.83,2.84,2.69,2.74,4547500
2017-03-15,1489536000,2.72,2.86,2.7,2.85,5123300
2017-03-16,1489622400,2.86,2.96,2.86,2.92,4390700
2017-03-17,1489708800,3.02,3.06,2.86,2.94,6667900
2017-03-20,1489968000,2.93,2.98,2.78,2.82,5497600
2017-03-21,1490054400,2.78,2.81,2.56,2.56,10801500
2017-03-22,1490140800,2.52,2.55,2.28,2.51,18573100
2017-03-23,1490227200,2.52,2.58,2.4,2.47,6758800
2017-03-24,1490313600,2.54,2.6,2.53,2.58,3885300
2017-03-27,1490572800,2.51,2.65,2.51,2.64,3225400
2017-03-28,1490659200,2.6,2.64,2.54,2.58,3471600
2017-03-29,1490745600,2.51,2.63,2.49,2.6,3611900
2017-03-30,1490832000,2.59,2.62,2.52,2.54,2960500
2017-03-31,1490918400,2.56,2.63,2.54,2.62,3470000
2017-04-03,1491177600,2.61,2.62,2.54,2.58,2518100
2017-04-04,1491264000,2.55,2.57,2.5,2.51,4219800
2017-04-05,1491350400,2.53,2.57,2.45,2.46,4765800
2017-04-06,1491436800,2.46,2.49,2.4,2.41,4026900
2017-04-07,1491523200,2.43,2.49,2.4,2.46,4515700
2017-04-10,1491782400,2.46,2.47,2.37,2.41,6523300
2017-04-11,1491868800,2.43,2.49,2.37,2.47,4698300
2017-04-12,1491955200,2.42,2.42,2.32,2.38,8268300
2017-04-13,1492041600,2.32,2.4,2.23,2.23,6643100
2017-04-17,1492387200,2.33,2.4,2.28,2.37,5035400
2017-04-18,1492473600,2.36,2.41,2.34,2.37,4494400
2017-04-19,1492560000,2.4,2.41,2.32,2.32,3371500
2017-04-20,1492646400,2.34,2.42,2.33,2.36,3905000
2017-04-21,1492732800,2.39,2.39,2.32,2.33,4795800
2017-04-24,1492992000,2.39,2.42,2.32,2.35,6554200
2017-04-25,1493078400,2.32,2.35,2.28,2.32,3191700
2017-04-26,1493164800,2.25,2.28,2.16,2.18,8504800
2017-04-27,1493251200,2.19,2.19,2.08,2.1,6435800
2017-04-28,1493337600,2.08,2.18,2.08,2.17,4813300
2017-05-01,1493596800,2.17,2.2,2.16,2.17,2833400
2017-05-02,1493683200,2.18,2.31,2.16,2.29,7139600
2017-05-03,1493769600,2.32,2.46,2.29,2.39,11166500
2017-05-04,1493856000,2.35,2.35,2.21,2.24,5793500
2017-05-05,1493942400,2.24,2.28,2.2,2.24,3527300
2017-05-08,1494201600,2.22,2.23,2.16,2.17,3711500
2017-05-09,1494288000,2.19,2.25,2.19,2.2,4015500
2017-05-10,1494374400,2.24,2.26,2.2,2.2,4273000
2017-05-11,1494460800,2.24,2.24,2.19,2.2,5235100
2017-05-12,1494547200,2.22,2.29,2.22,2.28,3755100
2017-05-15,1494806400,2.31,2.34,2.28,2.3,4710000
2017-05-16,1494892800,2.33,2.35,2.26,2.3,2670900
2017-05-17,1494979200,2.29,2.32,2.26,2.27,2202500
2017-05-18,1495065600,2.06,2.08,1.7,1.74,20868600
2017-05-19,1495152000,1.84,1.89,1.79,1.82,8897800
2017-05-22,1495411200,1.78,1.8,1.7,1.74,8499700
2017-05-23,1495497600,1.79,1.85,1.78,1.82,6366100
2017-05-24,1495584000,1.86,1.92,1.85,1.88,5178800
2017-05-25,1495670400,1.88,1.92,1.81,1.84,2869300
2017-05-26,1495756800,1.88,1.93,1.86,1.9,3132900
2017-05-30,1496102400,1.9,1.95,1.89,1.9,2229100
2017-05-31,1496188800,1.92,1.93,1.86,1.87,3951600
2017-06-01,1496275200,1.91,1.93,1.84,1.85,2045400
2017-06-02,1496361600,1.88,1.91,1.86,1.89,2188600
2017-06-05,1496620800,1.88,1.9,1.85,1.87,1547200
2017-06-06,1496707200,1.88,1.93,1.88,1.92,2398500
2017-06-07,1496793600,1.92,1.93,1.86,1.87,2584900
2017-06-08,1496880000,1.83,1.84,1.79,1.84,3194100
2017-06-09,1496966400,1.85,1.91,1.84,1.87,4504600
2017-06-12,1497225600,1.87,1.88,1.79,1.81,2992500
2017-06-13,1497312000,1.81,1.84,1.79,1.84,1716900
2017-06-14,1497398400,1.84,1.91,1.84,1.88,3386900
2017-06-15,1497484800,1.85,1.88,1.82,1.85,2371800
2017-06-16,1497571200,1.85,1.88,1.84,1.88,3553500
2017-06-19,1497830400,1.88,1.88,1.83,1.86,3680000
2017-06-20,1497916800,1.84,1.85,1.77,1.8,6057000
2017-06-21,1498003200,1.81,1.82,1.76,1.79,3621600
2017-06-22,1498089600,1.93,2.01,1.9,1.9,11370500
2017-06-23,1498176000,1.92,1.93,1.84,1.84,3343100
2017-06-26,1498435200,1.87,1.93,1.87,1.92,3822100
2017-06-27,1498521600,1.92,1.94,1.89,1.92,3747300
2017-06-28,1498608000,1.98,2.03,1.97,2.01,3316000
2017-06-29,1498694400,2.01,2.02,1.93,1.96,2805500
2017-06-30,1498780800,1.97,1.98,1.93,1.96,2290700
2017-07-03,1499040000,1.98,1.99,1.95,1.95,1510300
2017-07-05,1499212800,1.97,2.03,1.93,2.02,4668200
2017-07-06,1499299200,2.05,2.1,2.03,2.08,5148800
2017-07-07,1499385600,2.1,2.1,2.01,2.03,6524100
2017-07-10,1499644800,2.07,2.11,2.04,2.1,2252200
2017-07-11,1499731200,2.08,2.15,2.06,2.14,4090200
2017-07-12,1499817600,2.19,2.23,2.14,2.22,3201200
2017-07-13,1499904000,2.22,2.24,2.19,2.2,2461600
2017-07-14,1499990400,2.25,2.3,2.24,2.26,3616700
2017-07-17,1500249600,2.28,2.31,2.25,2.28,2165800
2017-07-18,1500336000,2.26,2.32,2.24,2.28,3090500
2017-07-19,1500422400,2.32,2.32,2.25,2.28,1397900
2017-07-20,1500508800,2.29,2.31,2.27,2.29,2021000
2017-07-21,1500595200,2.29,2.3,2.24,2.24,2688700
2017-07-24,1500854400,2.24,2.28,2.24,2.26,2022500
2017-07-25,1500940800,2.28,2.28,2.24,2.24,1931900
2017-07-26,1501027200,2.22,2.23,2.17,2.22,2880400
2017-07-27,1501113600,2.22,2.23,2.14,2.16,2877300
2017-07-28,1501200000,2.14,2.17,2.11,2.16,2323300
2017-07-31,1501459200,2.18,2.2,2.15,2.19,3337800
2017-08-01,1501545600,2.19,2.2,2.15,2.18,4144700
2017-08-02,1501632000,2.17,2.24,2.17,2.24,3181500
2017-08-03,1501718400,2.24,2.28,2.24,2.28,2333700
2017-08-04,1501804800,2.28,2.28,2.24,2.28,2091000
2017-08-07,1502064000,2.28,2.33,2.27,2.32,2277900
2017-08-08,1502150400,2.3,2.32,2.25,2.27,2679500
2017-08-09,1502236800,2.23,2.25,2.19,2.19,1461700
2017-08-10,1502323200,2.17,2.17,2.07,2.07,5787600
2017-08-11,1502409600,2.04,2.07,1.97,2.06,8344200
2017-08-14,1502668800,2.06,2.11,2.05,2.08,2725600
