Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,58.3,58.38,57.89,58.28,3038900
2017-01-04,1483488000,58.52,59.02,58.51,58.92,4047900
2017-01-05,1483574400,58.96,59.57,58.8,59.44,2857800
2017-01-06,1483660800,59.41,60.01,59.22,59.9,2994800
2017-01-09,1483920000,59.59,59.67,58.89,59.06,3184000
2017-01-10,1484006400,59.06,59.07,58.11,58.14,3492400
2017-01-11,1484092800,58.06,58.16,57.8,58.07,3809000
2017-01-12,1484179200,58.13,58.63,58.03,58.55,2992400
2017-01-13,1484265600,58.6,58.71,58.34,58.58,1888100
2017-01-17,1484611200,58.62,59.74,58.57,59.67,5136600
2017-01-18,1484697600,59.75,60.63,59.74,60.34,5127300
2017-01-19,1484784000,60.36,60.41,59.84,59.96,2767900
2017-01-20,1484870400,60.31,61.13,60.2,60.77,3940600
2017-01-23,1485129600,60.55,60.71,60.39,60.41,2872900
2017-01-24,1485216000,60.52,61.13,60.49,61.05,2786300
2017-01-25,1485302400,60.99,61.22,60.83,61.2,3034800
2017-01-26,1485388800,61.13,61.26,60.62,61.03,4655900
2017-01-27,1485475200,58.13,58.18,56.73,57.85,14874900
2017-01-30,1485734400,57.5,58.0,57.19,57.71,7992400
2017-01-31,1485820800,57.71,58.21,57.54,57.76,6983200
2017-02-01,1485907200,57.69,58.13,57.62,57.88,4915800
2017-02-02,1485993600,58.21,59.04,57.97,58.74,7063600
2017-02-03,1486080000,59.33,59.33,58.8,59.0,4478200
2017-02-06,1486339200,59.1,59.1,58.53,58.57,2897500
2017-02-07,1486425600,58.79,59.73,58.78,59.53,3255600
2017-02-08,1486512000,59.63,59.91,59.38,59.55,3575100
2017-02-09,1486598400,59.55,59.75,59.26,59.56,3223700
2017-02-10,1486684800,59.62,60.68,59.45,60.56,5568100
2017-02-13,1486944000,60.69,60.69,60.18,60.56,4798200
2017-02-14,1487030400,60.37,60.92,60.09,60.58,5137800
2017-02-15,1487116800,60.39,61.48,60.39,61.36,4576200
2017-02-16,1487203200,61.36,61.75,60.84,61.71,5172700
2017-02-17,1487289600,63.45,65.17,63.12,64.37,15036900
2017-02-21,1487635200,65.07,66.09,64.97,65.45,10553800
2017-02-22,1487721600,65.56,65.81,65.15,65.73,5811800
2017-02-23,1487808000,66.07,67.16,65.99,66.57,7203800
2017-02-24,1487894400,65.8,66.28,65.12,65.6,6461600
2017-02-27,1488153600,65.01,65.3,64.55,64.97,5201400
2017-02-28,1488240000,64.99,65.8,64.76,65.27,4497900
2017-03-01,1488326400,65.33,65.8,65.02,65.7,4093000
2017-03-02,1488412800,65.28,66.0,65.02,65.95,4442400
2017-03-03,1488499200,65.71,65.91,64.91,65.81,3807700
2017-03-06,1488758400,65.5,66.05,65.42,65.99,3994700
2017-03-07,1488844800,65.82,66.08,65.77,65.93,3216200
2017-03-08,1488931200,65.57,65.98,65.41,65.43,4141700
2017-03-09,1489017600,65.65,65.87,65.39,65.62,4049600
2017-03-10,1489104000,65.95,66.49,65.69,66.41,3375600
2017-03-13,1489363200,66.11,66.42,65.96,66.09,3024500
2017-03-14,1489449600,65.79,66.23,65.73,65.87,3502300
2017-03-15,1489536000,65.81,66.27,65.58,66.13,4176100
2017-03-16,1489622400,66.03,66.21,65.8,66.09,3182200
2017-03-17,1489708800,66.2,66.42,65.92,66.15,5099000
2017-03-20,1489968000,66.0,66.17,65.81,66.0,2796100
2017-03-21,1490054400,66.15,66.19,65.73,65.91,3694700
2017-03-22,1490140800,66.19,66.4,65.7,65.9,2810900
2017-03-23,1490227200,65.83,66.57,65.75,66.11,2843700
2017-03-24,1490313600,66.11,66.18,65.6,65.89,2621900
2017-03-27,1490572800,65.65,65.95,65.31,65.67,3052400
2017-03-28,1490659200,65.48,66.21,65.37,65.98,3605200
2017-03-29,1490745600,65.81,66.03,65.68,65.79,2450200
2017-03-30,1490832000,65.57,65.78,65.39,65.49,2346000
2017-03-31,1490918400,65.27,65.74,65.09,65.46,2849500
2017-04-03,1491177600,65.38,65.87,65.28,65.62,3397000
2017-04-04,1491264000,65.73,65.98,65.45,65.84,4043800
2017-04-05,1491350400,65.78,66.23,65.56,65.7,3882300
2017-04-06,1491436800,65.64,65.91,65.25,65.4,4064700
2017-04-07,1491523200,65.45,66.08,65.22,65.69,3250900
2017-04-10,1491782400,65.64,66.15,65.47,65.94,2230900
2017-04-11,1491868800,65.86,66.15,65.67,65.91,2517900
2017-04-12,1491955200,65.85,66.27,65.68,66.18,2816600
2017-04-13,1492041600,65.92,66.1,65.81,65.88,2334200
2017-04-17,1492387200,65.86,66.33,65.75,66.24,1949500
2017-04-18,1492473600,66.24,66.97,66.15,66.51,3914500
2017-04-19,1492560000,66.37,66.44,65.84,65.99,3246100
2017-04-20,1492646400,65.95,66.11,65.6,65.8,3114700
2017-04-21,1492732800,65.67,65.99,65.57,65.66,2718200
2017-04-24,1492992000,65.9,66.32,65.83,66.23,3311300
2017-04-25,1493078400,66.46,66.87,66.3,66.74,3623100
2017-04-26,1493164800,66.68,66.68,66.05,66.09,3244900
2017-04-27,1493251200,66.11,66.4,65.86,65.91,3907000
2017-04-28,1493337600,64.0,65.23,63.1,64.78,7466000
2017-05-01,1493596800,65.0,65.24,64.53,64.56,3369900
2017-05-02,1493683200,64.76,64.84,63.62,63.63,4405700
2017-05-03,1493769600,63.75,64.0,63.54,63.91,3703900
2017-05-04,1493856000,64.2,64.94,63.93,64.7,4348300
2017-05-05,1493942400,64.75,64.87,64.33,64.57,2700400
2017-05-08,1494201600,64.59,64.81,64.43,64.6,2177600
2017-05-09,1494288000,64.61,64.85,64.17,64.29,2251200
2017-05-10,1494374400,64.26,64.65,64.08,64.56,3240200
2017-05-11,1494460800,64.27,64.44,64.14,64.4,2538000
2017-05-12,1494547200,64.38,64.44,64.0,64.07,1972800
2017-05-15,1494806400,64.11,64.6,64.09,64.43,2489600
2017-05-16,1494892800,64.54,64.72,64.33,64.36,2907500
2017-05-17,1494979200,64.36,69.11,64.36,68.06,18843900
2017-05-18,1495065600,66.51,67.35,65.66,66.48,7494600
2017-05-19,1495152000,66.78,68.25,66.55,67.28,6902700
2017-05-22,1495411200,67.44,67.65,66.7,66.79,4182700
2017-05-23,1495497600,66.86,67.24,66.31,66.4,2799700
2017-05-24,1495584000,66.58,67.19,66.48,67.08,2595700
2017-05-25,1495670400,67.21,67.96,67.12,67.77,3410500
2017-05-26,1495756800,67.6,68.0,67.54,67.84,2153800
2017-05-30,1496102400,67.91,68.48,67.65,68.42,4698400
2017-05-31,1496188800,68.51,69.08,68.4,68.66,6266700
2017-06-01,1496275200,68.79,68.96,68.38,68.96,2638400
2017-06-02,1496361600,69.24,69.34,68.79,69.34,2305000
2017-06-05,1496620800,69.24,69.47,68.83,69.44,2091500
2017-06-06,1496707200,69.24,69.46,68.9,69.24,2544500
2017-06-07,1496793600,69.24,69.48,69.07,69.38,2099500
2017-06-08,1496880000,69.38,69.38,67.91,68.15,3361600
2017-06-09,1496966400,68.2,68.42,67.76,68.13,2985600
2017-06-12,1497225600,68.21,68.34,67.51,67.93,2571700
2017-06-13,1497312000,67.7,68.17,67.49,68.06,2591000
2017-06-14,1497398400,68.49,68.65,67.98,68.23,2532800
2017-06-15,1497484800,68.08,68.85,67.91,68.65,2226500
2017-06-16,1497571200,68.34,68.88,68.16,68.62,3813700
2017-06-19,1497830400,68.79,69.15,68.42,69.15,2889900
2017-06-20,1497916800,69.12,69.45,68.63,68.65,2383200
2017-06-21,1498003200,68.65,68.66,67.94,68.05,2522800
2017-06-22,1498089600,68.07,68.21,67.81,67.91,2373500
2017-06-23,1498176000,68.0,68.77,67.84,68.27,3114300
2017-06-26,1498435200,68.47,68.51,68.17,68.24,1906700
2017-06-27,1498521600,68.18,68.31,67.74,67.77,3541100
2017-06-28,1498608000,68.06,68.18,67.44,67.52,2078600
2017-06-29,1498694400,67.28,67.47,66.58,66.65,2882800
2017-06-30,1498780800,66.82,66.96,66.65,66.66,3619100
2017-07-03,1499040000,66.84,66.96,66.48,66.49,1489900
2017-07-05,1499212800,66.54,66.71,66.28,66.32,2197400
2017-07-06,1499299200,66.25,66.54,65.91,66.04,2854000
2017-07-07,1499385600,66.26,66.32,65.77,65.95,2670400
2017-07-10,1499644800,65.88,66.26,65.47,65.71,2427900
2017-07-11,1499731200,65.72,65.73,65.05,65.1,3099000
2017-07-12,1499817600,65.42,65.51,64.94,64.99,2192100
2017-07-13,1499904000,64.93,65.27,64.55,64.95,3913500
2017-07-14,1499990400,65.26,65.71,65.11,65.54,2484100
2017-07-17,1500249600,65.47,65.89,65.23,65.63,3297000
2017-07-18,1500336000,65.64,65.88,65.43,65.57,2872600
2017-07-19,1500422400,65.48,65.72,65.36,65.54,2877400
