Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,139.57,140.39,135.74,136.42,185100
2017-01-04,1483488000,137.16,141.75,137.16,141.65,221400
2017-01-05,1483574400,141.75,141.75,137.0,137.14,188700
2017-01-06,1483660800,137.69,139.75,136.52,138.69,196200
2017-01-09,1483920000,139.25,144.64,138.76,144.27,317500
2017-01-10,1484006400,144.19,144.43,140.86,142.13,240200
2017-01-11,1484092800,142.79,144.05,141.66,144.04,266400
2017-01-12,1484179200,144.46,144.9,140.96,144.1,186200
2017-01-13,1484265600,144.01,145.88,143.78,145.86,144200
2017-01-17,1484611200,146.11,146.61,143.74,145.21,263400
2017-01-18,1484697600,148.1,148.43,145.01,147.5,253400
2017-01-19,1484784000,148.11,149.18,145.18,146.15,149400
2017-01-20,1484870400,146.98,148.9,146.57,148.17,174200
2017-01-23,1485129600,147.79,148.48,146.4,146.93,189400
2017-01-24,1485216000,147.75,155.1,147.51,154.4,297000
2017-01-25,1485302400,156.44,158.82,153.44,157.54,385500
2017-01-26,1485388800,157.01,157.44,154.51,156.94,215400
2017-01-27,1485475200,156.5,157.4,155.31,156.69,90200
2017-01-30,1485734400,155.85,157.01,150.5,155.93,278000
2017-01-31,1485820800,155.38,158.32,153.99,157.73,239600
2017-02-01,1485907200,158.64,162.35,155.61,158.02,249200
2017-02-02,1485993600,158.44,159.37,155.96,157.01,174700
2017-02-03,1486080000,158.71,161.4,157.89,158.45,225400
2017-02-06,1486339200,157.74,158.08,156.83,157.46,166100
2017-02-07,1486425600,158.0,161.84,157.57,161.34,415800
2017-02-08,1486512000,182.0,194.36,180.07,190.65,1406700
2017-02-09,1486598400,191.64,196.0,189.5,193.27,431300
2017-02-10,1486684800,194.65,200.53,192.5,197.19,456600
2017-02-13,1486944000,198.51,200.0,193.85,194.39,396000
2017-02-14,1487030400,194.25,195.29,189.1,193.98,325500
2017-02-15,1487116800,192.92,194.38,189.5,193.21,522100
2017-02-16,1487203200,193.32,193.98,189.01,191.74,212900
2017-02-17,1487289600,191.75,195.19,189.03,193.6,251100
2017-02-21,1487635200,194.83,195.4,189.82,191.41,273900
