Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,39.22,39.46,38.28,38.46,182300
2017-01-04,1483488000,38.47,38.91,38.31,38.91,562500
2017-01-05,1483574400,38.65,38.77,37.46,38.09,413900
2017-01-06,1483660800,38.26,38.7,38.09,38.29,288000
2017-01-09,1483920000,37.94,38.1,37.33,37.41,178900
2017-01-10,1484006400,36.7,36.7,35.78,36.32,2210800
2017-01-11,1484092800,36.42,37.13,35.86,36.77,1030700
2017-01-12,1484179200,36.77,36.84,35.55,35.9,914500
2017-01-13,1484265600,36.22,36.6,36.1,36.41,866100
2017-01-17,1484611200,36.05,36.29,35.15,35.23,501000
2017-01-18,1484697600,35.46,35.73,35.17,35.5,339300
2017-01-19,1484784000,35.55,35.65,34.99,35.16,344100
2017-01-20,1484870400,35.21,35.59,35.21,35.54,475300
2017-01-23,1485129600,35.39,35.6,34.91,35.27,273900
2017-01-24,1485216000,35.39,36.05,34.88,35.92,499600
2017-01-25,1485302400,36.35,36.52,35.92,35.97,403600
2017-01-26,1485388800,37.73,37.73,35.28,35.79,507200
2017-01-27,1485475200,35.56,35.78,35.18,35.3,364400
2017-01-30,1485734400,34.98,35.07,34.43,34.72,500900
2017-01-31,1485820800,34.68,34.96,34.15,34.34,524400
2017-02-01,1485907200,34.79,34.92,33.9,33.91,658400
2017-02-02,1485993600,33.69,33.97,33.3,33.61,423900
2017-02-03,1486080000,34.14,34.56,33.98,34.44,391900
2017-02-06,1486339200,34.26,34.56,33.99,34.19,395200
2017-02-07,1486425600,34.29,34.52,33.92,34.05,378200
2017-02-08,1486512000,33.79,33.79,33.12,33.41,326400
2017-02-09,1486598400,33.62,34.46,33.47,34.05,275800
2017-02-10,1486684800,34.29,34.29,33.85,34.09,349200
2017-02-13,1486944000,34.4,35.0,34.32,34.62,278400
2017-02-14,1487030400,34.5,35.3,33.99,35.13,372000
2017-02-15,1487116800,35.25,35.57,34.97,35.47,323300
2017-02-16,1487203200,35.39,35.71,35.26,35.69,430200
2017-02-17,1487289600,35.57,35.71,35.16,35.58,666800
2017-02-21,1487635200,35.66,36.04,35.44,35.75,328100
2017-02-22,1487721600,35.58,35.9,35.37,35.83,242200
2017-02-23,1487808000,35.95,35.95,35.18,35.82,315300
2017-02-24,1487894400,35.28,35.58,35.23,35.44,238700
2017-02-27,1488153600,35.37,35.64,35.13,35.5,284300
2017-02-28,1488240000,35.23,35.33,34.5,34.65,408000
2017-03-01,1488326400,35.6,35.84,34.59,35.56,358900
2017-03-02,1488412800,35.53,35.67,34.58,34.62,302900
2017-03-03,1488499200,34.65,34.9,34.48,34.81,180500
2017-03-06,1488758400,34.45,34.59,33.99,34.41,240300
2017-03-07,1488844800,34.39,34.53,33.97,34.02,198700
2017-03-08,1488931200,34.39,34.48,33.72,33.77,248000
2017-03-09,1489017600,33.83,34.14,33.47,33.74,176200
2017-03-10,1489104000,34.06,34.06,33.34,33.84,363800
2017-03-13,1489363200,33.79,34.5,33.5,34.26,458200
2017-03-14,1489449600,33.95,34.3,33.66,34.13,258100
2017-03-15,1489536000,34.21,34.58,33.73,34.01,335700
