Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,25.84,26.55,25.84,26.41,121500
2017-01-04,1483488000,26.54,27.18,26.43,26.81,167300
2017-01-05,1483574400,26.75,26.95,26.54,26.78,80700
2017-01-06,1483660800,26.82,26.85,26.21,26.38,73400
2017-01-09,1483920000,27.01,27.01,26.14,26.19,84400
2017-01-10,1484006400,26.32,27.11,26.3,27.04,102500
2017-01-11,1484092800,27.05,27.07,26.67,26.8,53700
2017-01-12,1484179200,26.79,26.81,26.22,26.73,53500
2017-01-13,1484265600,26.92,27.13,26.67,26.9,68500
2017-01-17,1484611200,27.0,27.07,26.38,26.47,77800
2017-01-18,1484697600,26.49,27.38,26.36,27.07,200500
2017-01-19,1484784000,26.96,27.21,26.6,26.86,166300
2017-01-20,1484870400,26.7,27.31,26.57,26.64,83400
2017-01-23,1485129600,26.64,26.84,26.32,26.76,83400
2017-01-24,1485216000,26.94,27.11,26.35,26.64,116600
2017-01-25,1485302400,26.67,26.92,26.61,26.68,111600
2017-01-26,1485388800,26.65,27.23,26.62,26.93,127600
2017-01-27,1485475200,27.06,27.39,26.76,26.9,87100
2017-01-30,1485734400,26.96,26.96,25.92,26.56,140400
2017-01-31,1485820800,26.57,26.73,26.4,26.58,121100
2017-02-01,1485907200,26.72,27.18,26.32,26.56,162400
2017-02-02,1485993600,26.51,26.69,26.29,26.43,86700
2017-02-03,1486080000,26.67,26.67,26.38,26.46,134700
2017-02-06,1486339200,26.58,26.76,26.41,26.65,147000
2017-02-07,1486425600,26.74,26.87,26.41,26.53,130900
2017-02-08,1486512000,26.65,26.9,26.28,26.9,170900
2017-02-09,1486598400,26.86,27.15,26.65,26.74,132200
2017-02-10,1486684800,26.86,27.62,26.77,27.45,136500
2017-02-13,1486944000,27.58,27.89,27.39,27.54,94600
2017-02-14,1487030400,27.49,27.7,27.14,27.58,86400
2017-02-15,1487116800,27.5,27.58,27.11,27.3,77700
2017-02-16,1487203200,27.34,27.59,27.02,27.28,170900
2017-02-17,1487289600,27.36,27.36,26.84,26.98,111800
2017-02-21,1487635200,27.1,27.38,27.01,27.13,88700
2017-02-22,1487721600,27.09,27.33,27.02,27.12,76300
2017-02-23,1487808000,27.29,27.29,26.87,27.09,72000
2017-02-24,1487894400,27.15,27.28,26.96,27.21,74000
2017-02-27,1488153600,27.21,27.37,26.9,26.93,107300
2017-02-28,1488240000,27.1,27.24,26.86,26.98,145300
2017-03-01,1488326400,27.03,27.4,26.53,27.18,211800
2017-03-02,1488412800,27.17,27.17,25.89,25.91,198800
2017-03-03,1488499200,25.86,26.15,25.35,25.58,303100
2017-03-06,1488758400,24.86,24.86,23.77,24.42,282500
2017-03-07,1488844800,24.41,25.17,24.4,24.99,127700
2017-03-08,1488931200,24.89,25.04,24.47,24.48,174400
2017-03-09,1489017600,24.38,24.38,23.96,24.0,168800
2017-03-10,1489104000,24.11,24.44,23.83,24.12,71700
2017-03-13,1489363200,24.3,24.75,24.28,24.45,114800
2017-03-14,1489449600,24.27,24.75,24.18,24.48,64600
2017-03-15,1489536000,24.46,25.43,24.39,25.32,93200
2017-03-16,1489622400,25.2,25.8,25.07,25.39,99600
2017-03-17,1489708800,25.5,25.73,25.33,25.72,202200
2017-03-20,1489968000,25.94,25.96,25.46,25.76,103200
2017-03-21,1490054400,25.89,25.95,25.2,25.22,164300
2017-03-22,1490140800,25.22,25.44,24.43,24.46,142100
2017-03-23,1490227200,24.55,24.85,24.48,24.71,86000
2017-03-24,1490313600,24.64,25.1,24.62,24.78,50800
2017-03-27,1490572800,24.58,25.13,24.3,24.46,71200
2017-03-28,1490659200,24.27,24.67,24.22,24.65,71200
2017-03-29,1490745600,24.62,24.97,24.62,24.73,62800
2017-03-30,1490832000,24.67,25.33,24.67,25.29,65400
2017-03-31,1490918400,25.29,25.7,25.29,25.54,97700
2017-04-03,1491177600,25.7,25.8,25.4,25.73,66300
2017-04-04,1491264000,25.56,25.79,25.41,25.67,79600
2017-04-05,1491350400,25.85,26.13,25.5,25.52,98000
2017-04-06,1491436800,25.42,25.85,25.37,25.73,68100
2017-04-07,1491523200,25.85,26.0,25.63,25.73,52500
2017-04-10,1491782400,25.73,26.15,25.7,25.86,63200
2017-04-11,1491868800,25.84,26.84,25.83,26.82,98100
