Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.45,15.7,14.96,15.06,331400
2017-01-04,1483488000,15.25,16.14,15.2,16.14,321600
2017-01-05,1483574400,16.14,16.39,15.64,16.04,370400
2017-01-06,1483660800,16.14,16.14,15.6,15.99,358500
2017-01-09,1483920000,15.94,16.14,15.3,15.84,296100
2017-01-10,1484006400,15.84,15.94,15.4,15.55,242700
2017-01-11,1484092800,15.55,15.89,15.4,15.65,187400
2017-01-12,1484179200,15.5,15.5,14.91,15.2,182700
2017-01-13,1484265600,15.3,15.55,15.04,15.06,119100
2017-01-17,1484611200,14.96,15.06,14.37,14.37,236400
2017-01-18,1484697600,14.52,14.76,14.22,14.66,173300
2017-01-19,1484784000,14.76,14.84,14.32,14.52,159200
2017-01-20,1484870400,14.61,14.76,14.32,14.42,159200
2017-01-23,1485129600,14.37,14.56,14.22,14.56,152700
2017-01-24,1485216000,14.61,15.11,14.52,15.06,148400
2017-01-25,1485302400,15.11,15.35,14.83,14.96,164300
2017-01-26,1485388800,15.01,15.25,14.91,15.11,159200
2017-01-27,1485475200,15.11,15.11,14.76,14.91,80800
2017-01-30,1485734400,14.76,14.91,14.47,14.76,129100
2017-01-31,1485820800,14.56,14.86,14.42,14.76,243200
2017-02-01,1485907200,14.81,14.84,14.52,14.71,253100
2017-02-02,1485993600,14.61,14.71,14.42,14.52,194700
2017-02-03,1486080000,14.66,15.94,14.56,15.84,736000
2017-02-06,1486339200,15.65,15.7,15.3,15.35,203700
2017-02-07,1486425600,15.35,15.5,15.18,15.45,169500
2017-02-08,1486512000,15.35,15.35,14.86,14.91,192000
2017-02-09,1486598400,14.96,15.23,14.86,15.06,132100
2017-02-10,1486684800,15.2,15.2,14.81,15.01,91200
2017-02-13,1486944000,15.11,15.35,15.1,15.16,162100
2017-02-14,1487030400,15.16,15.3,15.06,15.25,196000
2017-02-15,1487116800,15.11,16.01,15.11,15.99,294400
2017-02-16,1487203200,15.06,15.3,13.93,14.81,1134300
2017-02-17,1487289600,14.66,14.96,14.37,14.96,309800
2017-02-21,1487635200,14.96,15.25,14.91,15.11,322800
2017-02-22,1487721600,15.01,15.14,14.81,15.01,221800
2017-02-23,1487808000,15.11,15.16,14.56,14.66,247700
2017-02-24,1487894400,14.56,14.81,14.22,14.32,167200
2017-02-27,1488153600,14.32,14.47,14.17,14.27,219500
2017-02-28,1488240000,14.27,14.37,13.78,14.07,270600
2017-03-01,1488326400,14.47,14.47,14.17,14.22,381600
2017-03-02,1488412800,14.22,14.27,13.97,14.22,189600
2017-03-03,1488499200,14.17,14.47,13.97,14.02,173500
2017-03-06,1488758400,13.88,13.97,13.63,13.83,230000
2017-03-07,1488844800,13.78,14.02,13.58,13.58,222200
2017-03-08,1488931200,13.68,13.83,13.33,13.38,644100
2017-03-09,1489017600,13.38,13.73,13.29,13.38,301500
2017-03-10,1489104000,13.53,13.68,13.09,13.19,185300
2017-03-13,1489363200,13.24,13.46,13.09,13.09,180400
2017-03-14,1489449600,13.09,13.53,12.99,13.53,360400
2017-03-15,1489536000,13.53,14.12,13.43,14.02,666600
2017-03-16,1489622400,14.12,14.52,14.02,14.47,312100
2017-03-17,1489708800,14.47,14.47,13.53,13.53,479700
2017-03-20,1489968000,13.58,13.73,12.94,12.99,538900
2017-03-21,1490054400,13.09,13.19,12.4,12.45,855800
2017-03-22,1490140800,12.4,12.89,12.25,12.84,572200
2017-03-23,1490227200,12.89,13.2,12.74,13.04,665900
2017-03-24,1490313600,13.14,13.29,12.89,12.99,334000
2017-03-27,1490572800,12.89,13.33,12.55,13.29,363700
2017-03-28,1490659200,13.14,13.73,13.09,13.68,328000
2017-03-29,1490745600,15.84,16.14,14.37,14.91,1719000
2017-03-30,1490832000,14.86,15.01,14.62,14.86,858400
2017-03-31,1490918400,14.86,14.91,14.52,14.71,315800
2017-04-03,1491177600,14.81,14.86,13.93,14.07,554100
2017-04-04,1491264000,14.07,14.12,13.68,13.68,656900
2017-04-05,1491350400,13.78,14.02,13.43,13.53,451300
2017-04-06,1491436800,13.48,13.97,13.29,13.93,417600
2017-04-07,1491523200,13.83,13.83,13.51,13.68,265100
2017-04-10,1491782400,13.68,13.93,13.29,13.53,400100
2017-04-11,1491868800,13.48,13.63,13.36,13.48,320800
2017-04-12,1491955200,13.14,13.48,13.14,13.29,350400
2017-04-13,1492041600,13.29,13.38,13.04,13.09,677200
2017-04-17,1492387200,13.14,13.29,12.99,13.09,324900
2017-04-18,1492473600,13.04,13.29,12.79,13.29,310400
2017-04-19,1492560000,13.38,13.53,13.24,13.43,299100
2017-04-20,1492646400,13.53,13.56,13.33,13.48,359200
2017-04-21,1492732800,13.53,13.53,13.14,13.19,317500
2017-04-24,1492992000,13.53,13.63,13.41,13.53,396700
