Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,82.82,84.1,82.82,83.99,414000
2017-01-04,1483488000,84.43,84.48,82.85,83.45,259400
2017-01-05,1483574400,83.5,85.5,83.47,84.91,359100
2017-01-06,1483660800,84.73,85.49,84.11,84.63,274500
2017-01-09,1483920000,84.91,85.03,82.81,82.98,259600
2017-01-10,1484006400,83.42,84.97,83.0,84.83,353000
2017-01-11,1484092800,85.04,85.31,83.91,84.37,347500
2017-01-12,1484179200,84.51,86.63,84.38,86.18,684600
2017-01-13,1484265600,86.39,87.05,85.56,86.08,209200
2017-01-17,1484611200,86.05,87.79,85.87,87.39,365100
2017-01-18,1484697600,87.46,87.73,86.97,87.5,266300
2017-01-19,1484784000,87.22,88.32,87.22,88.1,228300
2017-01-20,1484870400,87.57,89.63,87.57,89.23,311300
2017-01-23,1485129600,89.74,89.89,88.3,89.4,175000
2017-01-24,1485216000,89.25,90.54,88.47,89.1,255000
2017-01-25,1485302400,88.82,90.47,88.58,90.14,126600
2017-01-26,1485388800,89.77,91.36,89.77,90.09,208400
2017-01-27,1485475200,90.24,90.24,88.4,89.58,155100
2017-01-30,1485734400,88.88,89.32,87.56,88.24,163900
2017-01-31,1485820800,88.18,89.13,87.11,88.86,329500
2017-02-01,1485907200,89.34,90.15,87.21,87.51,279600
2017-02-02,1485993600,87.34,88.17,87.0,87.99,294100
2017-02-03,1486080000,88.14,88.6,87.0,87.66,258700
2017-02-06,1486339200,88.1,88.22,86.39,86.77,290400
2017-02-07,1486425600,86.86,87.78,85.97,86.5,315400
2017-02-08,1486512000,86.35,87.0,84.75,85.91,593800
2017-02-09,1486598400,85.91,88.44,85.89,87.68,576800
2017-02-10,1486684800,88.61,90.24,88.47,89.38,638300
2017-02-13,1486944000,89.66,94.73,89.66,94.28,937600
2017-02-14,1487030400,93.72,94.22,89.88,90.6,634200
2017-02-15,1487116800,91.23,91.8,89.1,90.08,555100
2017-02-16,1487203200,91.11,96.9,91.09,95.65,1080300
2017-02-17,1487289600,95.96,96.2,92.83,94.26,583600
2017-02-21,1487635200,93.9,97.09,93.5,96.07,529900
2017-02-22,1487721600,95.37,97.91,95.16,97.72,439600
2017-02-23,1487808000,97.72,98.67,96.34,97.8,415300
2017-02-24,1487894400,96.62,98.53,96.14,96.54,430500
2017-02-27,1488153600,96.28,98.3,96.2,97.17,249900
2017-02-28,1488240000,97.55,99.15,97.33,97.53,377300
2017-03-01,1488326400,98.14,99.13,98.05,98.06,341700
2017-03-02,1488412800,98.03,98.59,96.21,96.65,321300
2017-03-03,1488499200,96.72,98.09,96.41,97.86,217800
2017-03-06,1488758400,97.84,99.28,96.67,98.33,579500
2017-03-07,1488844800,97.96,98.67,95.87,96.3,562200
2017-03-08,1488931200,96.86,97.41,95.97,96.19,223700
2017-03-09,1489017600,96.51,99.48,96.07,96.57,426500
2017-03-10,1489104000,97.38,98.02,95.79,96.66,267700
2017-03-13,1489363200,97.02,98.35,96.71,98.06,205200
2017-03-14,1489449600,97.53,98.75,96.19,96.36,204600
2017-03-15,1489536000,95.98,99.11,95.98,98.88,340600
2017-03-16,1489622400,99.74,100.75,99.1,100.65,245900
2017-03-17,1489708800,100.75,102.0,100.66,101.41,332400
2017-03-20,1489968000,101.42,102.58,99.84,101.37,351900
2017-03-21,1490054400,101.75,102.04,98.57,98.74,266200
2017-03-22,1490140800,98.46,100.45,97.17,100.14,210400
2017-03-23,1490227200,99.78,100.8,99.52,99.86,232500
2017-03-24,1490313600,100.21,100.75,99.42,99.96,266500
2017-03-27,1490572800,99.23,100.22,98.69,99.59,190800
2017-03-28,1490659200,98.75,100.88,98.75,100.29,297500
2017-03-29,1490745600,100.3,101.63,100.18,101.57,279400
2017-03-30,1490832000,101.29,102.48,101.2,101.86,186500
2017-03-31,1490918400,101.79,103.31,101.02,102.81,354400
2017-04-03,1491177600,102.81,103.69,102.11,103.24,298100
2017-04-04,1491264000,103.26,103.26,101.49,101.85,341000
2017-04-05,1491350400,102.37,103.61,102.18,103.16,289800
2017-04-06,1491436800,103.43,105.53,102.6,105.4,338100
2017-04-07,1491523200,105.14,107.16,104.94,105.26,444200
2017-04-10,1491782400,105.33,105.33,103.88,104.03,239300
2017-04-11,1491868800,104.76,105.47,102.6,105.42,180000
2017-04-12,1491955200,105.61,106.53,105.07,105.31,193200
2017-04-13,1492041600,105.01,106.53,104.83,104.93,170400
2017-04-17,1492387200,104.94,106.74,104.87,106.42,152400
2017-04-18,1492473600,105.6,106.31,104.46,104.47,249400
2017-04-19,1492560000,104.94,105.35,103.99,104.8,220800
2017-04-20,1492646400,105.58,105.74,104.6,105.53,136900
2017-04-21,1492732800,105.48,105.76,104.48,104.69,157500
2017-04-24,1492992000,105.36,106.24,104.64,105.07,192200
2017-04-25,1493078400,105.0,105.96,103.64,103.96,239500
2017-04-26,1493164800,104.56,106.03,102.89,105.44,255100
