Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.55,5.86,5.55,5.86,11700
2017-01-04,1483488000,5.91,5.94,5.87,5.87,19600
2017-01-05,1483574400,5.9,6.04,5.9,6.01,11700
2017-01-06,1483660800,6.05,6.05,5.72,5.85,16600
2017-01-09,1483920000,5.9,6.02,5.9,5.94,10600
2017-01-10,1484006400,5.96,6.04,5.94,5.94,2500
2017-01-11,1484092800,5.94,5.96,5.84,5.9,12400
2017-01-12,1484179200,5.76,5.8,5.66,5.78,10400
2017-01-13,1484265600,5.78,5.88,5.72,5.82,7000
2017-01-17,1484611200,5.55,5.88,5.55,5.88,3800
2017-01-18,1484697600,5.82,5.91,5.82,5.91,3900
2017-01-19,1484784000,5.74,5.9,5.74,5.9,5800
2017-01-20,1484870400,5.92,5.95,5.8,5.9,6400
2017-01-23,1485129600,5.94,5.95,5.85,5.86,3800
2017-01-24,1485216000,5.87,5.87,5.78,5.87,20000
2017-01-25,1485302400,5.8,5.8,5.8,5.8,100
2017-01-26,1485388800,5.92,6.71,5.91,6.25,101500
2017-01-27,1485475200,6.27,6.4,6.27,6.33,24300
2017-01-30,1485734400,6.52,6.73,6.25,6.28,15600
2017-01-31,1485820800,6.29,6.36,6.16,6.16,3100
2017-02-01,1485907200,6.16,6.25,6.16,6.24,109000
2017-02-02,1485993600,6.2,6.26,6.09,6.14,121300
2017-02-03,1486080000,6.19,6.22,6.07,6.15,8200
2017-02-06,1486339200,6.33,6.39,6.03,6.14,4000
2017-02-07,1486425600,6.45,6.45,6.06,6.08,14500
2017-02-08,1486512000,6.03,6.22,6.03,6.06,7500
2017-02-09,1486598400,6.09,6.14,6.09,6.1,2100
2017-02-10,1486684800,6.1,6.15,6.02,6.08,30200
2017-02-13,1486944000,6.08,6.23,6.04,6.08,5000
2017-02-14,1487030400,6.05,6.29,6.05,6.06,11900
2017-02-15,1487116800,6.04,6.13,5.7,5.7,20100
2017-02-16,1487203200,5.82,5.82,5.73,5.73,8000
2017-02-17,1487289600,5.68,5.75,5.62,5.71,60500
2017-02-21,1487635200,5.65,5.79,5.59,5.59,7300
2017-02-22,1487721600,5.53,5.78,5.3,5.78,73800
2017-02-23,1487808000,5.53,5.77,5.53,5.71,11800
2017-02-24,1487894400,5.72,5.75,5.58,5.66,6200
2017-02-27,1488153600,5.67,5.71,5.4,5.7,11500
2017-02-28,1488240000,5.41,5.65,5.36,5.65,46100
2017-03-01,1488326400,5.7,5.74,5.3,5.62,81200
2017-03-02,1488412800,5.4,5.6,5.36,5.6,11700
2017-03-03,1488499200,5.6,5.68,5.28,5.58,17300
2017-03-06,1488758400,5.58,5.58,5.58,5.58,0
2017-03-07,1488844800,5.6,5.6,5.53,5.58,26100
2017-03-08,1488931200,5.56,5.7,5.4,5.63,108800
2017-03-09,1489017600,5.74,6.17,5.63,6.11,50900
2017-03-10,1489104000,6.02,6.29,5.95,6.2,22500
2017-03-13,1489363200,6.34,6.36,6.08,6.24,6500
2017-03-14,1489449600,6.3,6.3,6.03,6.21,6600
2017-03-15,1489536000,6.34,6.4,6.07,6.35,33200
2017-03-16,1489622400,6.5,6.64,6.45,6.55,51600
2017-03-17,1489708800,6.36,6.49,6.36,6.45,12400
2017-03-20,1489968000,6.27,6.55,6.26,6.4,6400
2017-03-21,1490054400,6.12,6.41,6.12,6.32,5100
2017-03-22,1490140800,6.21,6.32,6.08,6.27,40400
2017-03-23,1490227200,6.6,6.6,6.32,6.38,1800
2017-03-24,1490313600,6.42,6.45,6.25,6.39,7100
2017-03-27,1490572800,6.35,6.56,6.33,6.5,28100
2017-03-28,1490659200,6.7,7.48,6.55,7.06,98100
2017-03-29,1490745600,7.1,7.39,6.95,6.96,57000
2017-03-30,1490832000,7.0,7.0,6.83,6.98,1900
2017-03-31,1490918400,6.6,7.0,5.98,6.94,17100
2017-04-03,1491177600,6.8,7.1,6.74,6.95,16100
2017-04-04,1491264000,7.0,7.12,6.94,6.94,2600
2017-04-05,1491350400,6.9,6.9,6.57,6.57,3600
2017-04-06,1491436800,6.68,6.75,6.68,6.74,1700
2017-04-07,1491523200,6.47,6.9,6.47,6.68,26700
2017-04-10,1491782400,6.65,6.67,6.5,6.51,4200
2017-04-11,1491868800,6.62,6.64,6.47,6.47,2700
2017-04-12,1491955200,6.47,6.47,6.47,6.47,0
2017-04-13,1492041600,6.46,6.58,6.43,6.5,6300
2017-04-17,1492387200,6.41,6.55,6.28,6.4,18700
2017-04-18,1492473600,6.25,6.58,6.25,6.38,2400
2017-04-19,1492560000,6.09,6.39,6.09,6.2,10300
2017-04-20,1492646400,6.28,6.34,6.2,6.25,14600
2017-04-21,1492732800,6.2,6.24,5.67,5.94,21300
2017-04-24,1492992000,6.02,6.03,5.94,5.95,11400
2017-04-25,1493078400,6.01,6.07,5.96,5.99,1500
2017-04-26,1493164800,5.87,6.1,5.87,5.96,11400
2017-04-27,1493251200,6.05,6.05,5.92,5.92,600
2017-04-28,1493337600,5.96,5.96,5.83,5.83,2600
2017-05-01,1493596800,5.87,5.98,5.84,5.84,3100
2017-05-02,1493683200,5.88,5.95,5.79,5.79,10700
2017-05-03,1493769600,5.7,5.98,5.7,5.92,2500
2017-05-04,1493856000,5.93,5.96,5.88,5.88,9700
2017-05-05,1493942400,5.85,6.0,5.8,5.8,8100
2017-05-08,1494201600,5.84,5.89,5.46,5.56,29200
2017-05-09,1494288000,5.39,6.18,5.39,6.16,365900
2017-05-10,1494374400,6.17,6.21,6.14,6.14,9700
2017-05-11,1494460800,6.07,6.19,5.97,6.17,16800
2017-05-12,1494547200,6.15,6.84,6.15,6.41,24200
2017-05-15,1494806400,6.18,6.49,6.06,6.36,51300
2017-05-16,1494892800,6.5,6.66,6.36,6.64,46800
2017-05-17,1494979200,6.63,6.77,6.09,6.65,66200
2017-05-18,1495065600,6.7,6.96,6.62,6.9,33200
2017-05-19,1495152000,6.92,7.1,6.19,6.53,14600
2017-05-22,1495411200,6.58,7.0,6.36,7.0,4400
2017-05-23,1495497600,6.98,7.07,6.97,7.02,7800
2017-05-24,1495584000,7.04,7.07,6.95,7.03,2400
2017-05-25,1495670400,7.05,7.05,6.97,6.97,2500
2017-05-26,1495756800,7.0,7.14,6.51,7.06,32300
2017-05-30,1496102400,7.08,7.08,6.91,6.95,2600
2017-05-31,1496188800,7.01,7.07,6.91,6.91,6600
2017-06-01,1496275200,6.9,7.08,6.86,6.92,23100
2017-06-02,1496361600,7.0,7.08,6.93,6.94,33000
2017-06-05,1496620800,6.96,7.08,6.81,7.0,11000
2017-06-06,1496707200,7.0,7.08,6.89,6.95,6700
