Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,42.78,43.45,42.1,43.08,1929500
2017-01-04,1483488000,43.2,43.93,43.2,43.5,2147500
2017-01-05,1483574400,42.65,42.71,40.81,42.1,3695900
2017-01-06,1483660800,42.18,42.76,42.12,42.47,2562300
2017-01-09,1483920000,42.44,42.56,41.85,42.04,2137700
2017-01-10,1484006400,42.04,43.88,42.04,43.38,2952300
2017-01-11,1484092800,43.72,43.72,42.75,42.87,2088400
2017-01-12,1484179200,42.67,43.2,42.51,42.65,1332900
2017-01-13,1484265600,42.69,43.18,42.29,42.39,1359100
2017-01-17,1484611200,42.33,44.25,42.26,43.56,2291800
2017-01-18,1484697600,43.85,43.85,42.31,43.23,2159000
2017-01-19,1484784000,43.15,43.47,42.02,42.03,1935200
2017-01-20,1484870400,42.23,42.61,41.65,42.46,2378300
2017-01-23,1485129600,42.21,42.96,42.01,42.56,1418800
2017-01-24,1485216000,42.7,43.43,42.36,43.4,2413300
2017-01-25,1485302400,43.68,43.73,42.77,42.8,1675700
2017-01-26,1485388800,42.98,43.07,41.91,42.06,1899900
2017-01-27,1485475200,42.12,42.31,41.4,41.53,1220500
2017-01-30,1485734400,41.58,41.88,41.19,41.79,1242400
2017-01-31,1485820800,41.55,42.82,41.21,42.81,2602200
2017-02-01,1485907200,42.18,42.32,41.2,41.34,2425900
2017-02-02,1485993600,41.12,41.56,40.88,40.89,2194500
2017-02-03,1486080000,40.85,41.55,40.43,41.02,1724900
2017-02-06,1486339200,41.05,41.36,40.75,41.28,2871300
2017-02-07,1486425600,36.09,36.82,34.92,36.82,21509900
2017-02-08,1486512000,36.76,38.66,36.42,37.87,9807600
2017-02-09,1486598400,37.87,38.87,37.87,38.27,3734100
2017-02-10,1486684800,38.48,38.91,37.96,38.38,3958600
2017-02-13,1486944000,38.29,38.45,37.57,37.6,3587000
2017-02-14,1487030400,37.64,38.3,37.63,38.1,3075700
2017-02-15,1487116800,37.83,38.32,37.83,38.05,2624600
2017-02-16,1487203200,38.6,39.22,37.8,38.21,2931600
2017-02-17,1487289600,37.95,38.44,37.81,38.3,2465500
2017-02-21,1487635200,38.3,39.64,38.05,38.31,2722800
2017-02-22,1487721600,38.29,38.42,37.71,37.92,1939400
2017-02-23,1487808000,38.16,38.44,37.21,37.28,3655400
2017-02-24,1487894400,37.37,37.78,37.02,37.3,2638000
2017-02-27,1488153600,37.45,37.99,37.35,37.6,4222200
2017-02-28,1488240000,37.5,37.57,36.37,36.5,3577900
2017-03-01,1488326400,36.87,37.06,36.44,36.9,7014200
2017-03-02,1488412800,36.93,37.12,36.71,37.03,3022600
2017-03-03,1488499200,37.25,37.44,36.17,36.41,1729700
2017-03-06,1488758400,36.43,36.8,36.26,36.51,2032700
2017-03-07,1488844800,36.39,36.58,35.91,36.02,2150400
2017-03-08,1488931200,36.23,36.59,36.04,36.4,2521700
2017-03-09,1489017600,36.5,36.65,36.03,36.46,3561800
2017-03-10,1489104000,36.65,37.09,36.58,36.85,2959000
2017-03-13,1489363200,36.93,37.29,36.8,36.92,2811300
2017-03-14,1489449600,36.72,37.81,36.72,37.21,2615700
2017-03-15,1489536000,37.17,37.83,37.03,37.61,2220100
2017-03-16,1489622400,37.54,38.16,37.42,37.74,2648100
2017-03-17,1489708800,37.72,37.99,37.39,37.83,2739100
2017-03-20,1489968000,37.82,37.94,37.13,37.39,1596100
2017-03-21,1490054400,37.4,37.55,36.36,36.74,2449600
2017-03-22,1490140800,36.54,36.63,36.1,36.58,1482200
2017-03-23,1490227200,36.97,37.61,36.94,37.23,1752500
2017-03-24,1490313600,37.23,37.67,37.02,37.56,1163300
2017-03-27,1490572800,37.3,38.17,37.27,37.8,1756900
2017-03-28,1490659200,37.79,38.49,37.68,38.35,1739600
2017-03-29,1490745600,38.14,38.59,38.05,38.28,1746800
2017-03-30,1490832000,37.98,38.46,37.98,38.13,1684500
2017-03-31,1490918400,38.24,38.35,38.05,38.11,1368900
2017-04-03,1491177600,38.16,38.25,37.74,38.04,1439200
2017-04-04,1491264000,37.65,37.82,36.61,36.82,2429700
2017-04-05,1491350400,36.89,37.48,36.74,36.84,1668800
2017-04-06,1491436800,36.98,37.58,36.91,37.07,1606400
2017-04-07,1491523200,37.0,37.6,36.91,37.55,1818000
2017-04-10,1491782400,37.7,37.91,36.96,37.29,1526800
2017-04-11,1491868800,37.35,37.82,37.19,37.76,1139800
2017-04-12,1491955200,37.88,37.95,37.57,37.78,1151500
2017-04-13,1492041600,37.72,37.92,37.33,37.56,1246000
2017-04-17,1492387200,37.61,37.65,37.04,37.32,1127100
2017-04-18,1492473600,37.05,37.07,36.65,36.9,1623200
2017-04-19,1492560000,36.81,37.13,36.38,36.87,1879100
2017-04-20,1492646400,37.1,37.95,37.08,37.58,1917700
2017-04-21,1492732800,37.56,37.56,36.58,36.76,1492500
2017-04-24,1492992000,37.16,37.22,36.52,36.65,1754400
2017-04-25,1493078400,36.82,37.65,36.81,37.47,3079900
2017-04-26,1493164800,37.48,38.46,37.33,38.05,2153200
2017-04-27,1493251200,38.09,38.3,37.63,38.01,1350000
2017-04-28,1493337600,37.98,38.05,37.23,37.33,1388600
2017-05-01,1493596800,37.43,37.45,36.61,36.72,1273800
2017-05-02,1493683200,37.11,38.5,37.0,37.9,2134500
2017-05-03,1493769600,37.85,38.14,37.01,37.18,1289000
2017-05-04,1493856000,37.36,37.59,37.02,37.51,984300
2017-05-05,1493942400,37.59,38.14,37.4,38.1,1833100
2017-05-08,1494201600,38.31,38.54,38.14,38.24,1762900
2017-05-09,1494288000,38.29,38.97,38.16,38.65,1332800
