Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,14.8,15.2,14.8,15.2,940
2017-01-04,1483488000,15.3,16.1,14.7,15.0,2300
2017-01-05,1483574400,14.9,16.0,14.9,15.4,1930
2017-01-06,1483660800,15.1,16.0,15.1,15.6,1650
2017-01-09,1483920000,15.3,18.5,15.1,18.0,8430
2017-01-10,1484006400,18.4,19.0,17.5,18.0,9140
2017-01-11,1484092800,17.5,18.1,17.5,18.1,400
2017-01-12,1484179200,18.1,18.1,17.5,18.1,1620
2017-01-13,1484265600,18.1,18.1,17.6,18.1,230
2017-01-17,1484611200,17.8,18.7,17.8,18.5,2750
2017-01-18,1484697600,18.1,18.1,17.7,18.0,220
2017-01-19,1484784000,17.7,18.1,17.6,18.0,360
2017-01-20,1484870400,18.1,18.6,17.6,18.6,820
2017-01-23,1485129600,18.6,18.7,16.1,17.2,2700
2017-01-24,1485216000,17.5,18.7,16.6,18.7,4130
2017-01-25,1485302400,18.7,18.8,17.5,17.5,4140
2017-01-26,1485388800,18.0,18.6,17.8,18.0,130
2017-01-27,1485475200,17.2,18.6,16.7,18.6,2930
2017-01-30,1485734400,18.5,18.6,17.3,17.3,3810
2017-01-31,1485820800,17.3,18.1,16.9,18.0,590
2017-02-01,1485907200,18.0,18.4,17.3,18.0,360
2017-02-02,1485993600,18.3,18.3,17.0,17.2,5090
2017-02-03,1486080000,17.6,17.6,17.0,17.5,580
2017-02-06,1486339200,17.2,17.2,16.5,17.0,630
2017-02-07,1486425600,17.1,17.4,16.7,17.1,680
2017-02-08,1486512000,17.0,17.3,16.2,16.5,990
2017-02-09,1486598400,16.3,16.7,16.3,16.3,680
2017-02-10,1486684800,16.7,17.2,16.2,16.8,4270
2017-02-13,1486944000,16.9,17.1,16.4,17.1,1200
2017-02-14,1487030400,17.0,18.4,16.6,17.5,17750
2017-02-15,1487116800,17.7,18.1,17.1,18.1,650
2017-02-16,1487203200,18.2,18.2,17.0,17.1,2910
2017-02-17,1487289600,17.6,17.9,16.7,17.8,2310
2017-02-21,1487635200,18.0,18.4,16.6,17.9,9040
2017-02-22,1487721600,16.5,18.5,16.5,18.0,5310
2017-02-23,1487808000,17.6,18.1,16.9,16.9,4090
2017-02-24,1487894400,17.6,17.7,16.9,16.9,740
2017-02-27,1488153600,16.8,18.0,16.8,17.2,200
2017-02-28,1488240000,17.9,17.9,17.3,17.4,350
2017-03-01,1488326400,17.4,17.4,17.1,17.3,550
2017-03-02,1488412800,17.1,17.2,16.6,16.7,1180
2017-03-03,1488499200,17.2,17.3,16.3,16.4,380
2017-03-06,1488758400,16.4,17.2,16.2,16.9,780
2017-03-07,1488844800,17.1,17.1,16.2,16.6,2580
2017-03-08,1488931200,16.9,17.0,16.2,16.2,1700
2017-03-09,1489017600,16.2,16.4,16.2,16.3,170
2017-03-10,1489104000,16.4,16.9,16.2,16.3,140
2017-03-13,1489363200,16.2,16.4,16.1,16.4,470
2017-03-14,1489449600,16.4,16.4,16.1,16.1,490
2017-03-15,1489536000,16.5,16.5,16.2,16.2,680
2017-03-16,1489622400,16.4,16.4,16.1,16.1,670
2017-03-17,1489708800,16.1,16.1,16.0,16.0,1330
2017-03-20,1489968000,16.0,17.0,16.0,16.4,900
2017-03-21,1490054400,16.6,16.6,16.0,16.1,140
2017-03-22,1490140800,16.0,16.2,15.8,15.8,1730
2017-03-23,1490227200,16.0,16.0,15.5,15.5,1920
2017-03-24,1490313600,15.4,15.8,15.0,15.1,520
2017-03-27,1490572800,14.9,15.6,14.8,14.8,770
2017-03-28,1490659200,15.1,15.6,15.1,15.4,290
2017-03-29,1490745600,15.4,15.8,15.4,15.6,1160
2017-03-30,1490832000,15.8,18.1,15.0,15.1,30210
2017-03-31,1490918400,15.3,16.0,15.1,15.8,2480
2017-04-03,1491177600,15.5,15.6,15.3,15.3,720
2017-04-04,1491264000,15.1,17.0,15.0,15.0,20000
2017-04-05,1491350400,15.0,15.6,14.8,14.9,3280
2017-04-06,1491436800,14.9,15.5,14.5,15.5,3250
2017-04-07,1491523200,16.6,17.8,15.5,15.8,13740
2017-04-10,1491782400,16.0,17.3,14.9,15.7,3400
2017-04-11,1491868800,15.4,15.8,15.2,15.4,860
2017-04-12,1491955200,15.1,15.6,14.8,15.0,4210
2017-04-13,1492041600,15.2,15.6,15.0,15.4,1150
2017-04-17,1492387200,15.4,15.7,14.8,14.8,1420
2017-04-18,1492473600,14.8,14.8,14.6,14.6,1380
2017-04-19,1492560000,15.3,15.6,15.1,15.4,2250
2017-04-20,1492646400,15.4,15.4,15.4,15.4,70
2017-04-21,1492732800,15.4,15.9,14.8,15.4,6910
2017-04-24,1492992000,15.3,15.9,15.2,15.5,1930
2017-04-25,1493078400,15.4,16.8,15.2,15.9,10120
2017-04-26,1493164800,16.0,16.3,16.0,16.0,4610
2017-04-27,1493251200,15.8,16.2,15.7,16.0,2200
2017-04-28,1493337600,16.0,16.3,15.7,15.8,990
2017-05-01,1493596800,15.8,16.3,15.8,16.3,280
2017-05-02,1493683200,16.3,17.0,16.3,17.0,6450
2017-05-03,1493769600,17.0,17.0,16.4,16.4,1070
2017-05-04,1493856000,16.9,16.9,16.5,16.6,2120
2017-05-05,1493942400,16.5,16.7,16.5,16.5,450
2017-05-08,1494201600,16.5,16.5,16.5,16.5,170
2017-05-09,1494288000,16.5,16.5,16.0,16.1,400
2017-05-10,1494374400,16.2,16.2,15.8,16.0,350
2017-05-11,1494460800,16.0,16.0,15.7,15.8,350
2017-05-12,1494547200,15.9,17.2,15.7,16.3,5600
2017-05-15,1494806400,15.7,16.2,15.6,15.8,2070
2017-05-16,1494892800,16.4,16.4,15.6,16.0,2410
2017-05-17,1494979200,15.7,15.8,15.6,15.6,830
2017-05-18,1495065600,15.6,15.9,15.6,15.6,660
2017-05-19,1495152000,15.7,15.7,15.5,15.7,1780
2017-05-22,1495411200,15.2,15.8,15.1,15.5,3580
2017-05-23,1495497600,15.8,15.9,15.2,15.4,590
2017-05-24,1495584000,15.4,15.5,15.1,15.2,290
2017-05-25,1495670400,15.2,15.6,15.1,15.2,1210
2017-05-26,1495756800,15.4,15.4,15.1,15.1,840
2017-05-30,1496102400,15.0,15.4,15.0,15.3,80
2017-05-31,1496188800,15.0,15.5,15.0,15.3,140
2017-06-01,1496275200,15.3,15.3,15.0,15.0,420
2017-06-02,1496361600,15.2,15.3,15.0,15.1,340
2017-06-05,1496620800,15.1,15.5,15.1,15.2,1030
2017-06-06,1496707200,15.0,15.4,14.9,15.2,750
2017-06-07,1496793600,14.5,15.3,14.5,15.3,300
2017-06-08,1496880000,15.2,15.3,14.8,14.8,70
2017-06-09,1496966400,14.9,14.9,14.7,14.7,270
2017-06-12,1497225600,14.7,14.8,14.5,14.5,1010
2017-06-13,1497312000,14.5,14.9,14.0,14.9,5390
2017-06-14,1497398400,14.9,15.7,14.1,14.2,5090
2017-06-15,1497484800,14.2,14.7,12.8,14.2,6980
2017-06-16,1497571200,14.5,15.7,14.0,14.0,5630
2017-06-19,1497830400,14.3,14.3,13.5,13.5,620
2017-06-20,1497916800,14.0,14.0,13.6,14.0,970
2017-06-21,1498003200,14.2,14.2,13.4,13.6,540
2017-06-22,1498089600,13.9,13.9,13.5,13.6,130
2017-06-23,1498176000,13.3,14.9,12.7,13.0,11120
2017-06-26,1498435200,13.0,13.2,12.8,12.8,190
2017-06-27,1498521600,13.0,15.5,13.0,13.8,19580
2017-06-28,1498608000,13.9,14.0,13.1,14.0,250
2017-06-29,1498694400,14.0,14.8,13.0,14.0,12000
2017-06-30,1498780800,13.9,14.8,13.0,13.1,11040
2017-07-03,1499040000,13.2,13.7,13.0,13.1,2670
2017-07-05,1499212800,13.4,13.8,13.2,13.5,350
2017-07-06,1499299200,13.5,13.5,13.1,13.1,830
2017-07-07,1499385600,13.2,14.0,13.1,13.1,6280
2017-07-10,1499644800,13.7,13.7,13.0,13.0,320
2017-07-11,1499731200,13.8,14.0,12.9,13.5,11400
2017-07-12,1499817600,13.2,13.4,13.1,13.4,280
2017-07-13,1499904000,13.1,13.1,13.0,13.1,750
2017-07-14,1499990400,13.0,13.8,12.7,13.7,8790
2017-07-17,1500249600,13.6,13.6,13.5,13.6,280
2017-07-18,1500336000,13.3,13.9,12.9,13.4,6530
2017-07-19,1500422400,13.2,13.3,13.2,13.3,640
2017-07-20,1500508800,13.2,13.4,13.2,13.2,700
2017-07-21,1500595200,13.3,13.9,13.0,13.1,6890
2017-07-24,1500854400,13.1,13.1,12.5,12.8,720
2017-07-25,1500940800,12.8,13.1,12.8,12.8,2730
2017-07-26,1501027200,12.9,13.4,12.7,12.7,460
2017-07-27,1501113600,12.6,12.6,11.8,11.8,1000
2017-07-28,1501200000,12.6,12.6,11.6,12.3,4360
2017-07-31,1501459200,12.0,12.0,11.2,11.7,610
2017-08-01,1501545600,11.7,12.5,10.8,12.4,4260
2017-08-02,1501632000,12.0,12.4,11.5,11.8,960
2017-08-03,1501718400,12.1,12.9,11.0,12.9,2200
2017-08-04,1501804800,12.8,12.8,12.1,12.2,1120
2017-08-07,1502064000,12.0,12.2,12.0,12.0,140
2017-08-08,1502150400,12.0,12.2,11.8,12.0,730
2017-08-09,1502236800,11.4,12.1,11.2,12.1,3200
2017-08-10,1502323200,11.7,12.9,11.5,12.9,3710
2017-08-11,1502409600,12.9,13.1,11.5,11.5,5710
2017-08-14,1502668800,11.7,12.8,11.7,12.6,1170
2017-08-15,1502755200,12.6,12.6,11.9,12.5,450
2017-08-16,1502841600,11.5,12.5,11.5,12.5,1260
2017-08-17,1502928000,12.5,12.6,11.8,11.9,2830
2017-08-18,1503014400,11.8,12.0,11.2,12.0,140
2017-08-21,1503273600,12.1,12.3,11.5,12.2,840
2017-08-22,1503360000,12.2,12.2,11.8,11.9,60
2017-08-23,1503446400,11.8,12.4,11.8,12.3,290
2017-08-24,1503532800,11.8,12.3,11.8,12.3,1040
2017-08-25,1503619200,12.2,12.2,11.8,11.9,620
2017-08-28,1503878400,12.2,12.2,12.0,12.2,250
2017-08-29,1503964800,11.9,11.9,11.6,11.6,750
2017-08-30,1504051200,11.7,11.7,11.6,11.7,670
2017-08-31,1504137600,12.1,12.1,11.9,11.9,190
2017-09-01,1504224000,11.9,12.1,11.9,12.1,380
2017-09-05,1504569600,11.7,12.0,11.6,11.8,960
2017-09-06,1504656000,11.6,12.0,11.6,11.8,390
2017-09-07,1504742400,11.7,11.9,11.7,11.9,40
2017-09-08,1504828800,11.9,12.0,11.6,11.6,260
2017-09-11,1505088000,11.6,11.8,11.6,11.8,50
2017-09-12,1505174400,11.8,11.8,11.7,11.8,120
2017-09-13,1505260800,11.8,11.8,11.6,11.7,1450
2017-09-14,1505347200,11.6,11.8,11.5,11.8,150
2017-09-15,1505433600,11.8,11.8,11.4,11.4,340
2017-09-18,1505692800,11.7,11.7,11.1,11.3,750
2017-09-19,1505779200,11.3,11.6,10.8,11.2,1560
2017-09-20,1505865600,11.1,11.6,11.1,11.2,1070
2017-09-21,1505952000,11.5,11.5,11.2,11.2,930
2017-09-22,1506038400,10.9,11.5,10.9,11.1,130
2017-09-25,1506297600,11.2,11.4,10.6,10.7,1390
2017-09-26,1506384000,10.7,10.7,9.5,10.2,2540
2017-09-27,1506470400,10.2,11.0,10.2,10.6,3620
2017-09-28,1506556800,9.6,10.8,9.6,10.2,3020
2017-09-29,1506643200,9.8,10.5,9.7,10.0,1370
2017-10-02,1506902400,10.6,10.6,9.8,10.3,500
2017-10-03,1506988800,10.0,10.0,10.0,10.0,140
2017-10-04,1507075200,10.1,10.5,10.0,10.2,1130
2017-10-05,1507161600,10.5,10.6,9.8,10.0,2400
2017-10-06,1507248000,10.9,11.6,10.3,11.6,2910
2017-10-09,1507507200,11.6,11.6,10.5,11.0,1370
2017-10-10,1507593600,11.0,11.0,10.5,10.5,1230
2017-10-11,1507680000,10.4,10.9,10.4,10.6,400
2017-10-12,1507766400,10.6,10.6,10.5,10.5,330
2017-10-13,1507852800,11.5,11.5,10.9,11.3,730
2017-10-16,1508112000,11.1,14.2,11.0,11.7,35880
2017-10-17,1508198400,12.1,12.6,11.2,11.5,5010
2017-10-18,1508284800,11.2,12.2,11.1,12.0,7700
2017-10-19,1508371200,11.9,12.0,11.2,11.8,2360
2017-10-20,1508457600,11.8,12.2,11.4,11.9,2890
2017-10-23,1508716800,12.2,13.0,11.9,12.5,6480
2017-10-24,1508803200,12.3,12.8,12.0,12.4,5360
2017-10-25,1508889600,12.1,13.4,12.1,12.5,5310
2017-10-26,1508976000,12.2,13.1,11.6,12.0,3370
2017-10-27,1509062400,12.0,12.4,11.9,12.1,1160
2017-10-30,1509321600,12.1,12.6,11.5,11.6,900
2017-10-31,1509408000,12.0,12.2,11.5,11.9,3760
2017-11-01,1509494400,12.0,13.0,11.7,12.7,4260
2017-11-02,1509580800,12.5,12.5,12.1,12.4,190
2017-11-03,1509667200,12.3,12.3,11.6,11.7,670
2017-11-06,1509926400,12.0,12.6,12.0,12.4,610
2017-11-07,1510012800,12.2,12.5,11.6,12.4,390
2017-11-08,1510099200,12.2,12.7,12.0,12.7,420
2017-11-09,1510185600,12.7,67.4,12.5,37.5,2675970
2017-11-10,1510272000,53.0,93.9,47.0,58.5,2539160
2017-11-13,1510531200,57.4,70.0,46.5,53.6,610150
2017-11-14,1510617600,50.2,53.2,37.6,38.6,223700
2017-11-15,1510704000,41.0,47.0,37.0,38.8,321850
2017-11-16,1510790400,40.0,42.4,34.2,40.0,167230
2017-11-17,1510876800,39.0,40.7,36.0,38.0,104170
