Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.9,13.07,12.84,13.03,7462400
2017-01-04,1483488000,13.49,13.65,13.32,13.63,7671900
2017-01-05,1483574400,13.39,13.52,13.19,13.42,5451100
2017-01-06,1483660800,13.3,13.46,13.29,13.39,4017000
2017-01-09,1483920000,13.25,13.42,13.19,13.33,2806300
2017-01-10,1484006400,13.3,13.43,13.29,13.35,3013300
2017-01-11,1484092800,13.33,13.6,13.3,13.6,3723500
2017-01-12,1484179200,13.5,13.53,13.21,13.34,4250200
2017-01-13,1484265600,13.7,13.81,13.48,13.54,4640000
2017-01-17,1484611200,13.59,13.6,13.2,13.23,4569100
2017-01-18,1484697600,12.82,13.07,12.64,13.07,12838800
2017-01-19,1484784000,13.13,13.14,12.95,13.06,3791900
2017-01-20,1484870400,13.13,13.24,13.1,13.2,3903600
2017-01-23,1485129600,12.93,12.96,12.82,12.95,3360100
2017-01-24,1485216000,13.01,13.18,13.0,13.11,2358800
2017-01-25,1485302400,13.47,13.66,13.47,13.65,5399000
2017-01-26,1485388800,13.54,13.64,13.48,13.53,3860000
2017-01-27,1485475200,13.12,13.16,13.0,13.1,5034600
2017-01-30,1485734400,13.14,13.15,13.01,13.15,3303700
2017-01-31,1485820800,13.11,13.13,12.85,12.98,4524700
2017-02-01,1485907200,13.08,13.14,13.01,13.08,5300100
2017-02-02,1485993600,12.79,12.85,12.7,12.76,5440200
2017-02-03,1486080000,12.89,13.06,12.87,12.98,6089000
2017-02-06,1486339200,12.81,12.9,12.79,12.84,4371200
2017-02-07,1486425600,12.74,12.85,12.66,12.67,3306300
2017-02-08,1486512000,12.27,12.43,12.08,12.38,7814400
2017-02-09,1486598400,12.42,12.62,12.4,12.59,4683900
2017-02-10,1486684800,12.44,12.5,12.4,12.45,3624600
2017-02-13,1486944000,12.57,12.67,12.54,12.65,3893700
2017-02-14,1487030400,12.79,12.91,12.71,12.86,6447200
2017-02-15,1487116800,13.05,13.16,12.99,13.07,4220800
2017-02-16,1487203200,13.12,13.17,12.89,13.0,4070800
2017-02-17,1487289600,12.97,13.17,12.94,13.17,4041000
2017-02-21,1487635200,13.23,13.3,13.15,13.22,4297600
2017-02-22,1487721600,13.03,13.17,13.01,13.11,4298400
