Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.01,9.05,8.76,8.83,11300
2017-01-04,1483488000,8.81,8.87,8.75,8.78,12500
2017-01-05,1483574400,8.76,8.85,8.67,8.71,6600
2017-01-06,1483660800,8.72,8.75,8.56,8.75,12200
2017-01-09,1483920000,8.57,8.75,8.55,8.73,9800
2017-01-10,1484006400,8.6,8.96,8.6,8.9,5100
2017-01-11,1484092800,9.01,9.01,8.77,8.91,4400
2017-01-12,1484179200,8.9,8.99,8.75,8.87,12800
2017-01-13,1484265600,9.12,9.69,8.85,9.12,18800
2017-01-17,1484611200,9.1,9.1,8.78,8.93,7600
2017-01-18,1484697600,8.99,8.99,8.58,8.82,13100
2017-01-19,1484784000,8.87,9.11,8.87,8.93,4500
2017-01-20,1484870400,9.07,9.11,8.97,9.08,700
2017-01-23,1485129600,8.97,9.01,8.96,8.98,5000
2017-01-24,1485216000,8.98,9.12,8.98,9.09,13600
2017-01-25,1485302400,9.09,9.13,8.79,9.02,13700
2017-01-26,1485388800,9.0,9.16,8.83,8.91,17400
2017-01-27,1485475200,8.95,9.03,8.75,8.93,3700
2017-01-30,1485734400,8.75,9.08,8.75,8.83,2600
2017-01-31,1485820800,8.84,9.08,8.75,8.77,3900
2017-02-01,1485907200,8.75,8.81,8.54,8.61,18300
2017-02-02,1485993600,8.69,8.79,8.54,8.58,5200
2017-02-03,1486080000,8.58,8.64,8.28,8.53,7300
2017-02-06,1486339200,8.39,8.57,8.33,8.57,23500
2017-02-07,1486425600,8.62,8.63,8.5,8.51,9900
2017-02-08,1486512000,8.62,8.64,8.51,8.59,3100
2017-02-09,1486598400,9.02,9.03,8.76,8.87,16900
2017-02-10,1486684800,9.06,9.08,8.88,8.88,1800
2017-02-13,1486944000,8.76,8.83,8.74,8.74,5500
2017-02-14,1487030400,8.8,9.05,8.8,8.96,9900
2017-02-15,1487116800,9.05,9.05,8.96,8.97,2800
2017-02-16,1487203200,9.06,9.06,8.67,8.96,6400
2017-02-17,1487289600,8.89,8.97,8.76,8.96,2200
2017-02-21,1487635200,8.99,9.01,8.84,9.01,3700
2017-02-22,1487721600,8.89,8.94,8.28,8.73,11100
2017-02-23,1487808000,8.86,9.01,8.33,8.82,30400
2017-02-24,1487894400,8.41,8.83,7.85,8.01,36100
2017-02-27,1488153600,7.98,7.98,7.12,7.23,72200
2017-02-28,1488240000,7.23,7.67,7.23,7.56,23600
2017-03-01,1488326400,7.7,7.78,7.39,7.51,12400
2017-03-02,1488412800,7.51,7.76,7.49,7.73,18700
2017-03-03,1488499200,7.76,7.94,7.73,7.94,14200
2017-03-06,1488758400,7.63,7.94,7.53,7.68,15400
2017-03-07,1488844800,7.49,7.78,7.43,7.61,5800
2017-03-08,1488931200,7.56,7.72,7.49,7.68,5500
2017-03-09,1489017600,7.51,7.67,7.51,7.61,5200
2017-03-10,1489104000,7.61,7.69,7.45,7.45,8100
2017-03-13,1489363200,7.44,9.35,7.44,9.25,146400
2017-03-14,1489449600,9.27,9.51,9.09,9.3,69500
2017-03-15,1489536000,9.04,9.61,9.04,9.49,29500
2017-03-16,1489622400,9.57,9.72,9.44,9.72,27900
2017-03-17,1489708800,9.53,9.73,9.32,9.55,14700
2017-03-20,1489968000,9.61,9.7,9.61,9.7,13000
2017-03-21,1490054400,9.65,9.65,9.37,9.41,6700
2017-03-22,1490140800,9.2,9.37,9.17,9.3,8400
2017-03-23,1490227200,9.15,9.28,9.05,9.25,4700
2017-03-24,1490313600,9.24,9.24,9.13,9.13,4200
2017-03-27,1490572800,9.13,9.13,8.87,8.9,22800
2017-03-28,1490659200,9.13,9.13,8.88,8.89,2200
2017-03-29,1490745600,8.96,9.1,8.96,9.1,11300
2017-03-30,1490832000,9.18,9.21,9.16,9.21,2800
2017-03-31,1490918400,9.15,9.17,9.1,9.1,8400
2017-04-03,1491177600,9.08,9.17,8.88,8.89,8600
2017-04-04,1491264000,9.12,9.12,8.88,8.9,1200
2017-04-05,1491350400,9.13,9.18,8.91,9.1,3100
2017-04-06,1491436800,9.0,9.06,8.86,8.97,4700
2017-04-07,1491523200,9.17,9.17,8.87,8.91,3100
2017-04-10,1491782400,8.98,9.07,8.88,8.88,4600
2017-04-11,1491868800,8.96,9.02,8.87,8.88,3300
2017-04-12,1491955200,8.91,8.96,8.74,8.75,35300
2017-04-13,1492041600,8.82,9.08,8.79,9.05,23000
2017-04-17,1492387200,9.16,9.25,9.07,9.24,15300
2017-04-18,1492473600,9.3,9.3,9.22,9.28,16700
2017-04-19,1492560000,9.33,9.33,9.22,9.32,5800
2017-04-20,1492646400,9.3,9.3,9.2,9.22,3600
2017-04-21,1492732800,9.13,9.32,9.07,9.08,4400
2017-04-24,1492992000,9.27,9.44,9.27,9.44,17800
2017-04-25,1493078400,9.4,9.58,9.38,9.58,11600
2017-04-26,1493164800,9.55,9.69,9.55,9.69,5900
2017-04-27,1493251200,9.7,9.7,9.62,9.65,4700
2017-04-28,1493337600,9.49,9.61,9.41,9.52,4200
2017-05-01,1493596800,9.34,9.57,9.34,9.51,7000
2017-05-02,1493683200,9.47,9.47,9.18,9.18,6500
2017-05-03,1493769600,9.18,9.18,9.09,9.16,2400
2017-05-04,1493856000,9.15,9.15,8.83,8.95,8200
2017-05-05,1493942400,8.95,9.05,8.95,9.04,6400
2017-05-08,1494201600,9.1,9.17,9.06,9.17,2000
2017-05-09,1494288000,9.08,9.21,9.08,9.16,2200
2017-05-10,1494374400,9.18,9.25,9.1,9.24,3700
2017-05-11,1494460800,9.26,9.5,9.26,9.5,900
2017-05-12,1494547200,9.48,9.48,9.03,9.43,2000
2017-05-15,1494806400,9.28,9.38,9.2,9.33,10600
2017-05-16,1494892800,9.39,9.52,9.39,9.42,4700
2017-05-17,1494979200,9.54,9.75,9.24,9.61,13300
2017-05-18,1495065600,9.6,9.61,9.31,9.6,7300
2017-05-19,1495152000,9.44,9.78,9.44,9.65,9800
2017-05-22,1495411200,9.61,9.61,9.52,9.61,3200
2017-05-23,1495497600,9.52,9.58,9.26,9.49,1100
2017-05-24,1495584000,9.29,9.77,9.29,9.62,5800
