Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,37.72,38.69,37.33,37.33,8842
2017-01-04,1483488000,37.39,39.12,37.39,38.76,26156
2017-01-05,1483574400,38.42,38.97,38.42,38.54,29104
2017-01-06,1483660800,38.73,39.22,38.62,38.82,13876
2017-01-09,1483920000,38.73,39.02,37.04,38.65,14613
2017-01-10,1484006400,38.66,38.81,38.35,38.72,12648
2017-01-11,1484092800,38.71,39.47,38.62,39.3,15473
2017-01-12,1484179200,39.35,39.35,38.52,38.65,3561
2017-01-13,1484265600,38.47,39.06,38.36,39.06,13262
2017-01-17,1484611200,38.93,38.94,38.71,38.8,12157
2017-01-18,1484697600,39.01,39.03,38.51,38.98,8350
2017-01-19,1484784000,38.74,38.85,37.39,37.84,21244
2017-01-20,1484870400,37.93,38.55,37.93,38.42,12526
2017-01-23,1485129600,38.44,38.54,38.11,38.17,12526
2017-01-24,1485216000,38.38,39.34,38.24,39.14,13140
2017-01-25,1485302400,39.34,39.5,38.78,39.13,13754
2017-01-26,1485388800,39.28,39.28,38.45,38.45,10438
2017-01-27,1485475200,38.86,39.15,38.1,38.88,19280
2017-01-30,1485734400,38.81,39.07,38.52,38.52,8596
2017-01-31,1485820800,38.36,38.81,38.15,38.8,18297
2017-02-01,1485907200,39.1,39.1,38.4,38.86,12157
2017-02-02,1485993600,38.84,38.84,38.28,38.78,11175
2017-02-03,1486080000,39.14,39.15,38.69,38.8,15227
2017-02-06,1486339200,38.71,38.71,38.19,38.19,6386
2017-02-07,1486425600,38.31,38.73,38.09,38.09,11666
2017-02-08,1486512000,38.1,38.34,37.51,37.51,34384
2017-02-09,1486598400,37.88,37.88,37.42,37.57,14245
2017-02-10,1486684800,37.56,38.37,37.56,37.65,22104
2017-02-13,1486944000,38.02,38.47,38.02,38.19,7736
2017-02-14,1487030400,38.39,38.61,38.12,38.57,12403
2017-02-15,1487116800,38.28,38.6,38.28,38.59,5649
2017-02-16,1487203200,38.45,38.45,38.19,38.19,9210
2017-02-17,1487289600,38.43,38.43,38.17,38.33,6386
2017-02-21,1487635200,38.33,38.52,37.91,38.46,9578
2017-02-22,1487721600,38.69,38.69,38.19,38.47,4544
2017-02-23,1487808000,38.5,39.21,37.95,38.72,22350
2017-02-24,1487894400,38.46,39.02,38.46,38.57,3930
2017-02-27,1488153600,38.5,39.15,38.5,39.15,5403
2017-02-28,1488240000,39.01,39.83,38.87,38.91,19034
2017-03-01,1488326400,39.53,39.88,39.05,39.46,3316
2017-03-02,1488412800,39.44,39.44,38.83,38.88,2947
2017-03-03,1488499200,38.98,39.29,38.81,39.29,8596
2017-03-06,1488758400,38.98,38.98,38.52,38.52,5649
2017-03-07,1488844800,38.84,39.42,37.11,37.49,83013
2017-03-08,1488931200,37.35,37.35,35.52,35.91,38191
2017-03-09,1489017600,36.0,36.36,35.26,35.53,26770
2017-03-10,1489104000,35.78,36.59,35.72,35.89,26034
2017-03-13,1489363200,35.88,35.9,35.11,35.89,18420
2017-03-14,1489449600,35.73,35.85,35.37,35.67,13385
2017-03-15,1489536000,35.92,37.13,35.71,36.6,21244
2017-03-16,1489622400,37.27,37.53,36.6,37.03,9824
2017-03-17,1489708800,37.05,37.42,36.75,37.31,15104
2017-03-20,1489968000,36.79,37.06,36.48,36.54,10929
2017-03-21,1490054400,36.62,36.65,36.03,36.11,8842
2017-03-22,1490140800,36.18,36.22,35.5,35.5,12403
2017-03-23,1490227200,35.62,36.6,35.62,36.56,6140
2017-03-24,1490313600,36.6,36.93,36.28,36.65,13385
2017-03-27,1490572800,36.18,36.71,36.15,36.71,4421
2017-03-28,1490659200,36.56,36.82,36.55,36.78,12034
2017-03-29,1490745600,36.55,37.01,36.53,36.79,9947
2017-03-30,1490832000,36.82,37.1,36.82,37.1,14122
2017-03-31,1490918400,37.06,38.04,36.99,37.8,11666
2017-04-03,1491177600,37.24,38.11,37.24,37.5,6754
2017-04-04,1491264000,37.67,38.13,37.67,37.86,12157
2017-04-05,1491350400,37.91,38.33,37.55,37.72,16824
2017-04-06,1491436800,37.86,38.05,37.82,37.82,8350
2017-04-07,1491523200,37.9,38.34,37.87,38.21,10684
2017-04-10,1491782400,38.1,38.76,38.1,38.14,2824
2017-04-11,1491868800,38.07,38.68,38.07,38.49,4421
2017-04-12,1491955200,38.47,38.51,38.12,38.2,3316
2017-04-13,1492041600,38.43,38.44,37.58,37.58,10929
2017-04-17,1492387200,38.21,38.61,37.61,38.61,12034
2017-04-18,1492473600,38.38,38.58,38.26,38.4,5035
2017-04-19,1492560000,38.49,38.83,38.4,38.72,14368
2017-04-20,1492646400,38.76,39.39,38.76,39.08,12526
2017-04-21,1492732800,39.0,39.0,38.6,38.69,10192
2017-04-24,1492992000,39.11,39.11,38.57,38.84,12034
2017-04-25,1493078400,38.96,40.06,38.96,39.59,12157
2017-04-26,1493164800,39.32,39.56,38.85,39.16,15841
2017-04-27,1493251200,39.09,39.09,38.45,38.45,11912
2017-04-28,1493337600,38.52,38.52,38.14,38.28,12157
2017-05-01,1493596800,38.35,38.61,37.52,37.85,18052
2017-05-02,1493683200,37.82,38.91,37.26,38.0,8350
2017-05-03,1493769600,35.66,38.38,35.66,38.07,19648
2017-05-04,1493856000,38.13,38.28,37.23,37.73,27507
2017-05-05,1493942400,37.78,38.42,37.71,37.95,10806
2017-05-08,1494201600,37.75,38.97,37.75,38.62,16455
2017-05-09,1494288000,38.81,38.85,38.08,38.14,16578
2017-05-10,1494374400,38.18,38.69,37.9,37.92,9701
2017-05-11,1494460800,37.97,38.67,37.97,38.21,10315
2017-05-12,1494547200,38.24,38.62,38.22,38.48,11666
2017-05-15,1494806400,38.62,39.03,38.62,38.99,35612
2017-05-16,1494892800,38.83,39.03,38.64,38.77,5894
2017-05-17,1494979200,38.3,38.61,37.63,37.63,14490
2017-05-18,1495065600,37.57,38.78,37.57,37.6,7000
2017-05-19,1495152000,37.66,38.79,37.66,38.47,20876
2017-05-22,1495411200,38.59,39.04,38.53,38.76,13631
2017-05-23,1495497600,38.81,38.82,38.52,38.77,6877
2017-05-24,1495584000,38.86,38.9,38.62,38.74,7614
2017-05-25,1495670400,38.76,39.0,38.5,38.68,4175
2017-05-26,1495756800,38.23,39.07,38.23,38.78,3930
2017-05-30,1496102400,38.72,39.05,38.5,38.52,9087
2017-05-31,1496188800,38.71,38.71,37.81,38.01,15473
2017-06-01,1496275200,38.14,38.85,38.13,38.84,7000
2017-06-02,1496361600,38.86,39.35,38.69,38.91,23209
2017-06-05,1496620800,38.91,38.91,38.28,38.58,10929
2017-06-06,1496707200,38.93,38.93,38.15,38.73,8719
2017-06-07,1496793600,38.79,39.03,38.72,38.88,7245
2017-06-08,1496880000,38.69,39.03,38.69,38.89,17069
2017-06-09,1496966400,38.89,39.56,38.89,39.1,14122
2017-06-12,1497225600,39.11,39.39,38.95,39.33,16087
2017-06-13,1497312000,38.8,39.25,38.74,39.05,9456
2017-06-14,1497398400,38.98,38.98,38.37,38.71,15104
2017-06-15,1497484800,38.47,38.86,38.46,38.76,5894
2017-06-16,1497571200,37.54,39.01,37.54,38.92,38436
2017-06-19,1497830400,39.56,39.91,39.29,39.87,37454
2017-06-20,1497916800,39.87,39.92,39.56,39.63,14490
2017-06-21,1498003200,39.81,39.92,39.64,39.82,8473
2017-06-22,1498089600,39.81,40.32,39.61,39.61,17560
2017-06-23,1498176000,39.74,40.75,39.56,40.75,45436
2017-06-26,1498435200,40.39,40.62,39.75,39.97,11052
2017-06-27,1498521600,39.93,40.26,39.85,39.85,11175
2017-06-28,1498608000,40.02,40.79,39.91,40.17,6386
2017-06-29,1498694400,40.91,40.91,40.05,40.17,19894
