Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,11.96,12.17,11.95,12.1,440700
2017-01-04,1483488000,12.13,12.43,12.07,12.38,688900
2017-01-05,1483574400,12.36,12.42,12.19,12.33,305300
2017-01-06,1483660800,12.33,12.39,12.23,12.32,614300
2017-01-09,1483920000,12.3,12.33,12.17,12.18,349400
2017-01-10,1484006400,12.16,12.29,12.11,12.24,295300
2017-01-11,1484092800,12.24,12.38,12.17,12.28,429100
2017-01-12,1484179200,12.34,12.34,12.1,12.23,189500
2017-01-13,1484265600,12.25,12.28,12.15,12.23,162200
2017-01-17,1484611200,12.27,12.36,12.17,12.33,228200
2017-01-18,1484697600,12.35,12.41,12.22,12.25,337100
2017-01-19,1484784000,12.25,12.25,12.16,12.21,282400
2017-01-20,1484870400,12.21,12.3,12.19,12.22,146900
2017-01-23,1485129600,12.19,12.3,12.19,12.25,248000
2017-01-24,1485216000,12.29,12.41,12.22,12.36,313700
2017-01-25,1485302400,12.41,12.41,12.21,12.23,291600
2017-01-26,1485388800,12.25,12.31,12.16,12.17,168600
2017-01-27,1485475200,12.2,12.24,11.88,12.19,1001900
2017-01-30,1485734400,12.15,12.15,11.95,12.01,268000
2017-01-31,1485820800,11.95,12.17,11.94,12.0,317000
2017-02-01,1485907200,12.02,12.16,11.86,11.87,310100
2017-02-02,1485993600,11.87,11.95,11.8,11.84,510200
2017-02-03,1486080000,11.95,12.1,11.89,12.04,651600
2017-02-06,1486339200,12.04,12.08,11.92,11.95,835600
2017-02-07,1486425600,12.02,12.25,11.98,12.17,778000
2017-02-08,1486512000,12.15,12.39,11.88,12.22,1177200
2017-02-09,1486598400,12.24,12.38,12.04,12.13,703100
2017-02-10,1486684800,12.14,12.28,12.1,12.19,446900
2017-02-13,1486944000,12.25,12.29,12.1,12.21,450100
2017-02-14,1487030400,12.19,12.21,11.97,12.14,355700
2017-02-15,1487116800,12.03,12.17,11.92,12.14,397700
2017-02-16,1487203200,12.19,12.29,12.17,12.21,348900
2017-02-17,1487289600,12.25,12.27,12.1,12.14,421900
2017-02-21,1487635200,12.21,12.4,12.17,12.37,870700
2017-02-22,1487721600,12.31,12.5,12.27,12.48,576900
2017-02-23,1487808000,12.55,12.61,12.28,12.49,592400
2017-02-24,1487894400,12.48,12.51,12.36,12.46,205100
2017-02-27,1488153600,12.47,12.59,12.41,12.5,476300
2017-02-28,1488240000,12.5,12.59,12.44,12.49,717400
2017-03-01,1488326400,12.48,12.52,12.32,12.46,575000
2017-03-02,1488412800,12.44,12.52,12.33,12.44,186300
2017-03-03,1488499200,12.47,12.47,12.11,12.38,249500
2017-03-06,1488758400,12.39,12.39,12.2,12.29,345600
2017-03-07,1488844800,12.3,12.32,12.18,12.19,169100
2017-03-08,1488931200,12.16,12.19,11.84,11.84,187100
2017-03-09,1489017600,11.84,11.99,11.76,11.78,375800
2017-03-10,1489104000,11.83,11.89,11.64,11.76,356900
2017-03-13,1489363200,11.76,11.91,11.64,11.81,334200
2017-03-14,1489449600,11.77,11.93,11.68,11.83,2066600
2017-03-15,1489536000,11.92,12.36,11.92,12.27,2638000
2017-03-16,1489622400,12.27,12.48,12.25,12.44,1762300
2017-03-17,1489708800,12.41,12.61,12.35,12.57,1370400
2017-03-20,1489968000,12.59,12.67,12.38,12.45,275500
2017-03-21,1490054400,12.54,12.54,12.33,12.4,353900
2017-03-22,1490140800,12.43,12.56,12.39,12.56,336500
2017-03-23,1490227200,12.57,12.67,12.48,12.55,572100
2017-03-24,1490313600,12.57,12.72,12.53,12.65,2067800
2017-03-27,1490572800,12.63,12.71,12.56,12.61,463600
2017-03-28,1490659200,12.61,12.74,12.47,12.73,523800
2017-03-29,1490745600,12.77,13.08,12.7,13.08,527200
2017-03-30,1490832000,13.2,13.41,13.09,13.33,1067000
2017-03-31,1490918400,13.37,13.59,13.34,13.47,639500
2017-04-03,1491177600,13.48,13.53,13.28,13.45,440700
2017-04-04,1491264000,13.45,13.6,13.37,13.52,635400
2017-04-05,1491350400,13.62,13.73,13.52,13.64,1046000
2017-04-06,1491436800,13.65,13.85,13.6,13.81,440900
2017-04-07,1491523200,13.79,14.09,13.77,14.02,854500
2017-04-10,1491782400,14.09,14.09,13.91,14.02,665100
2017-04-11,1491868800,14.02,14.18,14.02,14.1,435600
2017-04-12,1491955200,14.08,14.13,13.95,14.0,432000
2017-04-13,1492041600,14.09,14.29,13.85,13.88,475000
2017-04-17,1492387200,13.88,14.03,13.85,13.98,388700
2017-04-18,1492473600,13.97,14.07,13.96,14.07,245700
2017-04-19,1492560000,14.09,14.21,14.01,14.09,328900
2017-04-20,1492646400,14.17,14.28,14.07,14.23,479600
2017-04-21,1492732800,14.29,14.31,14.08,14.28,417500
2017-04-24,1492992000,14.41,14.41,13.97,14.15,289600
2017-04-25,1493078400,14.12,14.31,14.12,14.23,676500
2017-04-26,1493164800,14.23,14.32,14.13,14.26,419000
2017-04-27,1493251200,14.29,14.34,14.26,14.32,324100
2017-04-28,1493337600,14.26,14.28,13.61,13.63,1113700
2017-05-01,1493596800,13.36,13.72,13.33,13.7,1012800
2017-05-02,1493683200,13.72,13.79,13.41,13.49,381200
2017-05-03,1493769600,12.81,13.57,12.21,13.29,925200
2017-05-04,1493856000,13.26,13.35,13.02,13.28,655600
2017-05-05,1493942400,13.29,13.66,13.29,13.6,711100
2017-05-08,1494201600,13.64,13.82,13.61,13.73,836300
2017-05-09,1494288000,13.73,13.77,13.5,13.69,535700
2017-05-10,1494374400,13.69,14.06,13.65,13.93,586200
2017-05-11,1494460800,13.89,14.23,13.78,14.17,736200
2017-05-12,1494547200,14.15,14.37,14.01,14.27,1560400
2017-05-15,1494806400,14.25,14.46,14.21,14.31,443500
2017-05-16,1494892800,14.47,14.49,14.25,14.45,604300
2017-05-17,1494979200,14.36,14.78,14.3,14.61,662700
2017-05-18,1495065600,14.56,14.85,14.46,14.78,554100
2017-05-19,1495152000,14.78,14.94,14.69,14.77,700900
2017-05-22,1495411200,14.8,14.86,14.63,14.75,548300
2017-05-23,1495497600,14.81,14.86,14.74,14.79,363900
2017-05-24,1495584000,14.76,15.02,14.71,14.78,661600
2017-05-25,1495670400,14.77,14.84,14.65,14.7,356000
2017-05-26,1495756800,14.68,14.78,14.52,14.7,352700
2017-05-30,1496102400,14.66,14.68,14.46,14.49,580800
2017-05-31,1496188800,14.51,14.7,14.29,14.61,1578600
2017-06-01,1496275200,14.58,14.8,14.43,14.8,851700
2017-06-02,1496361600,14.85,15.11,14.85,15.02,754600
2017-06-05,1496620800,15.06,15.06,14.66,14.85,379000
2017-06-06,1496707200,14.78,14.91,14.55,14.57,429400
2017-06-07,1496793600,14.56,14.66,14.45,14.6,337300
2017-06-08,1496880000,14.61,14.68,14.41,14.6,379500
2017-06-09,1496966400,14.61,14.95,14.57,14.85,2442400
2017-06-12,1497225600,14.9,15.16,14.82,15.15,1515500
2017-06-13,1497312000,15.15,15.21,15.0,15.17,616100
2017-06-14,1497398400,15.24,15.38,15.15,15.23,834400
2017-06-15,1497484800,15.15,15.34,15.1,15.22,400000
