Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.5,5.8,5.4,5.65,68300
2017-01-04,1483488000,5.65,5.8,5.55,5.7,38800
2017-01-05,1483574400,5.65,5.8,5.65,5.75,37200
2017-01-06,1483660800,5.75,5.95,5.75,5.9,47000
2017-01-09,1483920000,6.0,6.24,5.9,6.2,145400
2017-01-10,1484006400,6.15,6.7,6.1,6.3,277300
2017-01-11,1484092800,6.65,6.65,6.1,6.25,85800
2017-01-12,1484179200,6.25,6.25,5.9,5.95,65600
2017-01-13,1484265600,6.05,6.1,5.75,5.8,95100
2017-01-17,1484611200,5.75,5.9,5.6,5.75,89500
2017-01-18,1484697600,5.6,5.75,5.55,5.75,65200
2017-01-19,1484784000,5.7,5.9,5.7,5.85,45500
2017-01-20,1484870400,5.8,5.95,5.8,5.95,48600
2017-01-23,1485129600,5.9,6.0,5.8,5.95,60100
2017-01-24,1485216000,5.85,5.95,5.65,5.65,108200
2017-01-25,1485302400,5.75,5.82,5.55,5.8,111800
2017-01-26,1485388800,5.9,5.9,5.6,5.65,55000
2017-01-27,1485475200,5.6,5.6,5.55,5.6,35700
2017-01-30,1485734400,5.6,5.6,5.35,5.55,90000
2017-01-31,1485820800,5.45,5.55,5.35,5.55,36700
2017-02-01,1485907200,5.5,5.75,5.5,5.7,51700
2017-02-02,1485993600,5.55,5.7,5.5,5.55,34400
2017-02-03,1486080000,5.5,5.6,5.4,5.5,42000
2017-02-06,1486339200,5.55,5.55,5.5,5.55,20100
2017-02-07,1486425600,5.5,5.7,5.49,5.65,24000
2017-02-08,1486512000,5.65,5.7,5.6,5.6,40200
2017-02-09,1486598400,5.6,5.7,5.55,5.55,32900
2017-02-10,1486684800,5.55,5.6,5.5,5.6,28400
2017-02-13,1486944000,5.55,5.65,5.5,5.55,30800
2017-02-14,1487030400,5.53,5.6,5.5,5.6,32300
2017-02-15,1487116800,5.65,5.65,5.55,5.55,69000
2017-02-16,1487203200,5.6,5.6,5.55,5.6,25000
2017-02-17,1487289600,5.55,5.65,5.5,5.6,28400
2017-02-21,1487635200,5.6,5.7,5.55,5.6,54600
2017-02-22,1487721600,5.6,5.6,5.55,5.6,36100
2017-02-23,1487808000,5.6,5.6,5.55,5.55,24500
2017-02-24,1487894400,5.55,5.6,5.45,5.6,34300
2017-02-27,1488153600,5.55,5.6,5.2,5.6,126500
2017-02-28,1488240000,5.55,5.7,5.55,5.65,40100
2017-03-01,1488326400,5.7,5.8,5.6,5.7,63000
2017-03-02,1488412800,5.65,5.8,5.45,5.6,64600
2017-03-03,1488499200,5.8,5.8,5.35,5.45,134100
2017-03-06,1488758400,5.45,5.45,5.15,5.25,113600
2017-03-07,1488844800,5.3,5.45,5.25,5.35,31000
2017-03-08,1488931200,5.4,5.45,5.3,5.35,32900
2017-03-09,1489017600,5.25,5.36,5.25,5.25,59200
2017-03-10,1489104000,5.25,5.31,5.2,5.2,37500
2017-03-13,1489363200,5.2,5.28,5.15,5.25,33000
2017-03-14,1489449600,5.25,5.25,5.15,5.15,23800
2017-03-15,1489536000,5.2,5.2,5.15,5.15,39200
2017-03-16,1489622400,5.25,5.5,5.2,5.45,43400
2017-03-17,1489708800,5.49,5.7,5.45,5.7,68500
2017-03-20,1489968000,5.75,5.8,5.55,5.55,88500
2017-03-21,1490054400,5.5,5.51,5.3,5.45,38900
2017-03-22,1490140800,5.5,5.55,5.45,5.45,54100
2017-03-23,1490227200,5.4,5.5,5.4,5.4,14100
2017-03-24,1490313600,5.45,5.55,5.35,5.43,31300
2017-03-27,1490572800,5.55,5.55,5.4,5.55,25200
2017-03-28,1490659200,5.55,5.7,5.55,5.55,54500
2017-03-29,1490745600,5.6,5.7,5.45,5.5,27000
2017-03-30,1490832000,5.55,5.55,5.4,5.45,58700
2017-03-31,1490918400,4.65,4.7,4.35,4.5,2511200
2017-04-03,1491177600,4.55,4.65,4.55,4.55,343100
2017-04-04,1491264000,4.6,4.65,4.5,4.5,132300
2017-04-05,1491350400,4.55,4.55,4.45,4.5,163100
2017-04-06,1491436800,4.5,4.6,4.4,4.5,100800
2017-04-07,1491523200,4.45,4.75,4.45,4.6,287300
2017-04-10,1491782400,4.65,5.05,4.5,4.6,1465900
2017-04-11,1491868800,4.6,4.8,4.6,4.75,80000
2017-04-12,1491955200,4.8,4.85,4.6,4.65,78000
2017-04-13,1492041600,4.6,4.75,4.55,4.55,298000
2017-04-17,1492387200,4.5,4.65,4.5,4.65,88400
2017-04-18,1492473600,4.65,4.7,4.5,4.5,76200
2017-04-19,1492560000,4.6,4.7,4.5,4.65,232100
2017-04-20,1492646400,4.65,4.7,4.55,4.55,104500
2017-04-21,1492732800,4.55,4.65,4.55,4.6,43900
2017-04-24,1492992000,4.65,4.7,4.55,4.65,58600
2017-04-25,1493078400,4.65,5.1,4.57,5.0,278800
2017-04-26,1493164800,5.05,5.25,5.05,5.15,180800
2017-04-27,1493251200,5.15,5.15,5.0,5.1,100000
2017-04-28,1493337600,5.1,5.2,4.95,5.2,111400
2017-05-01,1493596800,5.2,5.29,5.1,5.15,61900
2017-05-02,1493683200,5.2,5.2,5.05,5.1,78900
2017-05-03,1493769600,5.1,5.1,5.0,5.05,77400
2017-05-04,1493856000,5.0,5.05,4.75,4.8,135400
2017-05-05,1493942400,5.0,5.05,4.8,4.85,205300
2017-05-08,1494201600,4.9,4.95,4.6,4.7,224500
2017-05-09,1494288000,4.55,4.8,4.3,4.75,275900
2017-05-10,1494374400,4.7,4.75,4.5,4.55,99900
2017-05-11,1494460800,4.5,4.55,4.45,4.5,148700
2017-05-12,1494547200,4.45,4.45,4.2,4.3,158700
2017-05-15,1494806400,4.45,4.49,4.2,4.3,134800
2017-05-16,1494892800,4.3,4.4,4.2,4.3,61000
2017-05-17,1494979200,4.3,4.4,4.1,4.1,123100
2017-05-18,1495065600,4.15,4.2,4.05,4.05,139800
2017-05-19,1495152000,4.1,4.2,4.0,4.05,91100
2017-05-22,1495411200,4.05,4.1,3.95,4.1,139300
2017-05-23,1495497600,4.1,4.25,4.1,4.2,89600
2017-05-24,1495584000,4.25,4.45,4.25,4.35,71000
2017-05-25,1495670400,4.35,4.45,4.25,4.35,54300
2017-05-26,1495756800,4.35,4.4,4.25,4.35,13700
2017-05-30,1496102400,4.4,4.45,4.2,4.25,37400
2017-05-31,1496188800,4.25,4.3,4.2,4.2,24300
2017-06-01,1496275200,4.2,4.2,4.0,4.05,145900
2017-06-02,1496361600,4.0,4.09,4.0,4.0,85000
