Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.3,12.64,12.05,12.4,224000
2017-01-04,1483488000,12.55,13.45,12.4,13.05,490500
2017-01-05,1483574400,13.1,13.2,12.6,12.7,432800
2017-01-06,1483660800,12.7,13.2,12.45,13.0,330600
2017-01-09,1483920000,13.15,13.2,12.83,13.05,417100
2017-01-10,1484006400,13.0,13.15,12.3,12.65,378600
2017-01-11,1484092800,12.6,12.71,11.81,12.0,387400
2017-01-12,1484179200,11.95,12.15,11.6,11.75,165800
2017-01-13,1484265600,11.9,12.25,11.77,11.85,195300
2017-01-17,1484611200,11.75,11.75,10.98,11.0,324800
2017-01-18,1484697600,11.05,11.2,10.8,11.0,216900
2017-01-19,1484784000,10.9,11.1,10.55,10.6,237400
2017-01-20,1484870400,10.65,10.75,10.4,10.6,202000
2017-01-23,1485129600,10.6,10.7,10.38,10.4,157700
2017-01-24,1485216000,10.45,10.75,10.3,10.6,199700
2017-01-25,1485302400,10.55,10.8,10.3,10.4,158500
2017-01-26,1485388800,10.35,10.55,10.1,10.2,186700
2017-01-27,1485475200,10.3,10.75,10.3,10.65,139600
2017-01-30,1485734400,10.65,10.65,10.05,10.05,165100
2017-01-31,1485820800,10.0,10.48,9.8,10.45,164100
2017-02-01,1485907200,10.55,10.6,10.23,10.4,161700
2017-02-02,1485993600,10.95,11.15,10.65,10.95,587700
2017-02-03,1486080000,11.05,11.25,10.9,11.25,207800
2017-02-06,1486339200,12.05,12.05,11.4,11.65,610100
2017-02-07,1486425600,11.65,11.88,11.6,11.7,285300
2017-02-08,1486512000,11.6,11.65,11.3,11.4,229700
2017-02-09,1486598400,11.4,11.7,11.15,11.45,386800
2017-02-10,1486684800,11.45,11.6,11.05,11.25,186600
2017-02-13,1486944000,11.45,11.62,11.25,11.35,209300
2017-02-14,1487030400,11.4,11.4,10.95,11.35,196200
2017-02-15,1487116800,11.4,11.48,11.1,11.45,206100
2017-02-16,1487203200,11.55,11.6,10.8,11.3,340300
2017-02-17,1487289600,11.9,11.94,10.55,11.25,354200
2017-02-21,1487635200,11.25,11.3,10.3,10.4,393000
2017-02-22,1487721600,10.35,10.8,10.2,10.55,277000
2017-02-23,1487808000,10.5,10.5,10.15,10.15,200600
2017-02-24,1487894400,10.1,10.3,10.05,10.2,192000
2017-02-27,1488153600,10.2,10.9,10.2,10.85,248400
2017-02-28,1488240000,10.85,10.85,10.53,10.6,202400
2017-03-01,1488326400,10.7,11.2,10.6,11.05,315200
2017-03-02,1488412800,11.05,11.45,10.8,11.15,183800
2017-03-03,1488499200,11.2,11.55,10.95,11.55,295100
2017-03-06,1488758400,11.45,11.95,11.35,11.85,520300
2017-03-07,1488844800,11.75,11.95,11.35,11.5,319900
2017-03-08,1488931200,11.85,12.55,11.85,12.35,1131800
2017-03-09,1489017600,12.4,13.0,12.4,12.9,613500
2017-03-10,1489104000,13.0,13.2,12.75,13.0,477300
2017-03-13,1489363200,13.05,13.15,12.81,13.0,343200
2017-03-14,1489449600,12.85,13.05,12.4,13.0,258600
2017-03-15,1489536000,13.1,13.7,12.95,13.65,685500
2017-03-16,1489622400,13.65,13.7,13.25,13.35,278400
2017-03-17,1489708800,13.2,13.45,12.15,12.4,878800
2017-03-20,1489968000,12.45,12.6,12.23,12.5,365400
2017-03-21,1490054400,12.55,12.68,11.8,12.2,438100
2017-03-22,1490140800,12.25,12.85,12.2,12.8,422000
2017-03-23,1490227200,12.75,13.0,12.45,12.55,281000
2017-03-24,1490313600,12.6,13.2,12.5,12.6,413100
2017-03-27,1490572800,12.45,12.73,12.4,12.7,446100
2017-03-28,1490659200,12.65,12.86,12.45,12.5,298800
2017-03-29,1490745600,12.55,12.8,12.43,12.55,323000
2017-03-30,1490832000,12.6,13.0,12.5,12.8,437700
2017-03-31,1490918400,12.85,13.0,12.7,12.85,294800
2017-04-03,1491177600,13.05,13.05,12.4,12.45,235300
2017-04-04,1491264000,12.4,12.4,11.6,11.8,450200
2017-04-05,1491350400,11.85,12.15,11.0,11.2,501400
2017-04-06,1491436800,11.2,11.45,11.0,11.45,289400
2017-04-07,1491523200,11.4,11.5,11.2,11.43,308000
2017-04-10,1491782400,11.45,11.66,11.25,11.3,219100
2017-04-11,1491868800,11.25,11.5,11.03,11.4,235300
2017-04-12,1491955200,11.4,11.75,11.2,11.7,317100
2017-04-13,1492041600,11.55,11.85,11.55,11.6,174800
2017-04-17,1492387200,11.65,11.8,11.55,11.75,194000
2017-04-18,1492473600,12.6,13.4,12.6,12.95,1500500
2017-04-19,1492560000,13.0,13.4,12.8,13.18,1095700
2017-04-20,1492646400,13.25,13.7,13.2,13.55,944500
2017-04-21,1492732800,13.6,14.35,13.4,14.25,6550400
2017-04-24,1492992000,14.45,15.9,14.3,15.55,1970800
2017-04-25,1493078400,15.5,16.0,15.25,15.95,1152700
2017-04-26,1493164800,15.95,16.9,15.76,16.9,1324800
2017-04-27,1493251200,16.95,17.2,16.45,17.0,1044600
2017-04-28,1493337600,15.95,16.6,15.0,16.4,1114400
2017-05-01,1493596800,16.35,16.7,15.3,15.4,767200
2017-05-02,1493683200,15.4,15.9,15.21,15.6,949600
2017-05-03,1493769600,15.55,15.75,15.25,15.7,471000
2017-05-04,1493856000,15.7,15.95,15.45,15.75,494400
2017-05-05,1493942400,15.85,15.9,15.25,15.4,482800
2017-05-08,1494201600,15.4,15.8,15.26,15.65,383000
2017-05-09,1494288000,13.85,14.5,13.85,14.3,4730500
2017-05-10,1494374400,14.35,14.4,14.13,14.2,544800
2017-05-11,1494460800,14.15,14.6,14.1,14.2,668200
2017-05-12,1494547200,14.4,14.45,14.2,14.4,596800
2017-05-15,1494806400,14.45,14.5,14.25,14.35,439600
2017-05-16,1494892800,14.35,14.5,14.18,14.35,540800
