Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.05,15.88,14.98,15.86,6507600
2017-01-04,1483488000,15.71,16.04,15.65,16.0,4272700
2017-01-05,1483574400,15.93,16.08,15.72,15.86,2547600
2017-01-06,1483660800,15.82,15.94,15.7,15.89,1911500
2017-01-09,1483920000,15.84,16.08,15.67,15.69,3422200
2017-01-10,1484006400,15.71,16.01,15.56,15.84,21806400
2017-01-11,1484092800,14.97,14.97,14.0,14.44,50508500
2017-01-12,1484179200,14.51,14.8,14.36,14.42,10733600
2017-01-13,1484265600,14.6,14.92,14.44,14.63,7838300
2017-01-17,1484611200,14.57,14.67,14.19,14.25,9289700
2017-01-18,1484697600,14.19,14.25,13.78,14.1,7107200
2017-01-19,1484784000,14.03,14.05,13.79,13.92,5362000
2017-01-20,1484870400,13.91,13.93,13.71,13.82,3618300
2017-01-23,1485129600,13.83,14.15,13.69,14.12,5053400
2017-01-24,1485216000,14.2,14.56,14.19,14.5,4840200
2017-01-25,1485302400,14.5,14.54,14.15,14.22,3688500
2017-01-26,1485388800,14.16,14.25,14.01,14.12,2841700
2017-01-27,1485475200,14.14,14.24,14.04,14.14,2440300
2017-01-30,1485734400,14.0,14.04,13.78,13.85,2403900
2017-01-31,1485820800,13.79,13.96,13.71,13.92,3573600
2017-02-01,1485907200,13.84,14.19,13.8,14.14,2434100
2017-02-02,1485993600,14.14,14.32,14.08,14.2,2818100
2017-02-03,1486080000,14.3,14.44,14.27,14.34,1753800
2017-02-06,1486339200,14.3,14.45,14.2,14.45,1966000
2017-02-07,1486425600,14.45,14.64,14.38,14.59,2851700
2017-02-08,1486512000,14.51,14.6,14.38,14.56,2045300
2017-02-09,1486598400,14.56,14.64,14.44,14.48,2444700
2017-02-10,1486684800,14.46,14.5,14.3,14.5,2692700
2017-02-13,1486944000,14.45,14.6,14.42,14.5,1894900
2017-02-14,1487030400,14.42,14.57,14.34,14.39,2069700
2017-02-15,1487116800,14.31,14.37,14.1,14.35,2778800
2017-02-16,1487203200,14.29,14.35,14.17,14.23,1490200
2017-02-17,1487289600,14.21,14.24,14.07,14.14,2798700
2017-02-21,1487635200,14.1,14.25,14.01,14.23,2095100
2017-02-22,1487721600,14.22,14.28,14.08,14.27,3375400
2017-02-23,1487808000,14.25,14.25,13.88,14.22,3680600
2017-02-24,1487894400,14.22,14.27,14.12,14.27,2929200
2017-02-27,1488153600,14.18,14.44,14.11,14.44,2589200
2017-02-28,1488240000,14.44,14.7,14.34,14.68,12176700
2017-03-01,1488326400,14.08,14.18,13.42,14.16,11645000
2017-03-02,1488412800,14.01,14.24,13.72,13.75,5259300
2017-03-03,1488499200,13.68,13.83,13.45,13.82,5838000
2017-03-06,1488758400,13.72,13.87,13.64,13.86,3130600
2017-03-07,1488844800,13.87,13.9,13.73,13.74,2948800
2017-03-08,1488931200,13.75,13.8,13.46,13.47,3178200
2017-03-09,1489017600,13.47,13.51,12.83,12.98,5255800
2017-03-10,1489104000,12.98,13.26,12.98,13.11,3086300
2017-03-13,1489363200,13.1,13.34,13.06,13.16,2205400
2017-03-14,1489449600,13.1,13.19,13.01,13.13,1361300
2017-03-15,1489536000,13.15,13.4,13.11,13.28,2628700
2017-03-16,1489622400,13.27,13.4,13.13,13.13,2356200
2017-03-17,1489708800,13.13,13.25,13.07,13.1,3966200
2017-03-20,1489968000,13.08,13.18,12.98,12.99,1927500
2017-03-21,1490054400,13.0,13.15,12.9,12.9,2787000
2017-03-22,1490140800,12.9,13.11,12.8,13.06,2610600
2017-03-23,1490227200,13.06,13.1,12.93,12.93,1976500
2017-03-24,1490313600,12.99,13.13,12.94,13.02,1698800
2017-03-27,1490572800,12.91,13.05,12.9,12.95,1678000
2017-03-28,1490659200,12.87,13.14,12.86,13.08,2565200
2017-03-29,1490745600,12.8,12.97,12.77,12.87,1267800
2017-03-30,1490832000,12.92,13.09,12.91,13.0,1971200
2017-03-31,1490918400,12.92,13.04,12.89,12.91,2881700
2017-04-03,1491177600,12.95,13.07,12.9,12.97,2645900
2017-04-04,1491264000,12.98,13.11,12.87,13.1,3139100
2017-04-05,1491350400,13.11,13.33,13.02,13.03,13885800
2017-04-06,1491436800,12.75,12.8,12.52,12.65,12100000
2017-04-07,1491523200,12.7,12.78,12.52,12.72,6277400
2017-04-10,1491782400,12.77,12.91,12.71,12.81,3488300
2017-04-11,1491868800,12.79,12.91,12.73,12.84,3503300
2017-04-12,1491955200,12.85,12.97,12.77,12.77,2620700
2017-04-13,1492041600,12.77,12.92,12.75,12.88,2040200
2017-04-17,1492387200,12.95,13.13,12.9,13.08,3379900
2017-04-18,1492473600,13.05,13.15,13.03,13.13,1626200
2017-04-19,1492560000,13.1,13.28,13.01,13.06,4040600
2017-04-20,1492646400,13.04,13.2,13.01,13.14,2560200
2017-04-21,1492732800,13.1,13.15,13.04,13.05,1542300
2017-04-24,1492992000,13.16,13.16,13.02,13.07,3297600
2017-04-25,1493078400,13.08,13.17,13.07,13.08,2262900
2017-04-26,1493164800,13.07,13.11,13.0,13.02,2228700
2017-04-27,1493251200,13.01,13.17,13.0,13.14,2506500
2017-04-28,1493337600,13.13,13.16,13.01,13.07,2712300
2017-05-01,1493596800,13.09,13.24,13.07,13.21,2408100
2017-05-02,1493683200,13.14,13.22,12.97,13.1,2386900
2017-05-03,1493769600,13.13,13.13,12.89,12.92,1880400
2017-05-04,1493856000,12.98,12.98,12.58,12.87,3453000
2017-05-05,1493942400,12.83,13.16,12.82,13.15,2373800
2017-05-08,1494201600,13.12,13.14,12.88,13.07,5539500
2017-05-09,1494288000,13.04,13.2,13.04,13.14,3656600
2017-05-10,1494374400,12.82,13.28,12.59,12.9,4350200
2017-05-11,1494460800,12.85,13.16,12.85,13.08,3348600
2017-05-12,1494547200,13.1,13.21,13.03,13.14,2317900
2017-05-15,1494806400,13.19,13.46,13.19,13.34,5683500
2017-05-16,1494892800,13.31,13.45,13.31,13.44,2971400
2017-05-17,1494979200,13.41,13.5,13.2,13.48,5654500
2017-05-18,1495065600,13.47,13.61,13.39,13.45,4841900
2017-05-19,1495152000,13.48,13.56,13.4,13.46,2568600
2017-05-22,1495411200,13.49,13.75,13.47,13.72,2937800
2017-05-23,1495497600,13.75,13.86,13.7,13.86,2642700
2017-05-24,1495584000,13.88,14.09,13.82,14.07,3278000
2017-05-25,1495670400,14.11,14.23,14.01,14.13,3257600
2017-05-26,1495756800,14.13,14.16,14.02,14.08,1685900
