Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,56.29,58.69,56.21,57.51,1161000
2017-01-04,1483488000,57.65,59.16,57.65,58.12,915300
2017-01-05,1483574400,57.45,58.44,56.97,57.81,759000
2017-01-06,1483660800,57.88,58.03,56.91,57.33,547100
2017-01-09,1483920000,57.28,58.63,56.97,58.32,790700
2017-01-10,1484006400,58.9,59.98,58.81,59.7,1229500
2017-01-11,1484092800,59.6,59.73,58.42,58.65,651900
2017-01-12,1484179200,58.33,58.44,57.44,57.77,601000
2017-01-13,1484265600,58.32,59.49,58.19,58.43,705300
2017-01-17,1484611200,59.0,61.22,58.47,58.99,1027700
2017-01-18,1484697600,61.33,61.33,59.45,60.98,1628800
2017-01-19,1484784000,61.19,61.28,59.34,59.5,492800
2017-01-20,1484870400,59.61,60.3,59.34,59.68,533300
2017-01-23,1485129600,58.96,60.06,58.35,59.72,483500
2017-01-24,1485216000,59.93,60.96,59.61,60.62,750700
2017-01-25,1485302400,61.04,61.49,60.5,60.73,450700
2017-01-26,1485388800,60.8,61.29,60.23,60.59,771800
2017-01-27,1485475200,60.85,60.85,58.54,58.7,682600
2017-01-30,1485734400,58.0,58.0,56.49,57.34,1121400
2017-01-31,1485820800,55.79,57.92,55.4,57.6,950500
2017-02-01,1485907200,57.14,57.61,56.37,56.85,1106100
2017-02-02,1485993600,56.77,56.8,54.91,55.54,2115100
2017-02-03,1486080000,45.6,47.5,45.02,46.62,9309500
2017-02-06,1486339200,45.95,46.64,45.62,46.22,2448800
2017-02-07,1486425600,46.3,46.48,44.96,44.99,1706700
2017-02-08,1486512000,44.94,49.6,44.0,49.03,7198800
2017-02-09,1486598400,49.89,52.93,49.78,52.28,4335700
2017-02-10,1486684800,52.41,53.23,51.78,52.1,1871300
2017-02-13,1486944000,52.55,52.55,51.42,51.58,1351300
2017-02-14,1487030400,51.52,53.58,51.23,52.51,1702700
2017-02-15,1487116800,52.52,53.07,52.29,52.71,701900
2017-02-16,1487203200,52.8,53.06,52.37,52.73,932000
2017-02-17,1487289600,52.42,53.4,52.11,52.42,1062300
2017-02-21,1487635200,52.71,52.94,51.77,52.13,809300
2017-02-22,1487721600,52.24,52.6,51.94,52.51,815800
2017-02-23,1487808000,52.77,52.95,52.01,52.11,1243700
2017-02-24,1487894400,52.13,53.82,52.13,53.57,793600
2017-02-27,1488153600,53.35,54.21,53.21,53.84,534800
2017-02-28,1488240000,53.6,53.72,52.6,52.83,930700
2017-03-01,1488326400,53.49,54.18,52.92,53.7,704800
2017-03-02,1488412800,53.62,54.12,53.27,53.58,795700
2017-03-03,1488499200,54.02,54.83,53.8,54.77,930600
2017-03-06,1488758400,54.8,54.8,53.52,54.17,569900
2017-03-07,1488844800,53.84,54.51,53.2,54.01,606900
2017-03-08,1488931200,54.0,54.98,54.0,54.51,617300
2017-03-09,1489017600,54.27,54.58,53.69,53.77,497200
2017-03-10,1489104000,54.07,54.57,53.77,54.13,545800
2017-03-13,1489363200,54.13,54.37,53.74,54.28,371100
2017-03-14,1489449600,54.27,54.71,53.72,53.84,629900
2017-03-15,1489536000,54.2,54.55,53.73,54.33,514800
2017-03-16,1489622400,54.31,54.74,54.1,54.34,567600
2017-03-17,1489708800,54.68,54.83,54.14,54.61,718800
2017-03-20,1489968000,54.48,54.56,53.87,54.41,434300
2017-03-21,1490054400,54.73,54.79,52.83,53.47,622200
2017-03-22,1490140800,52.77,54.18,52.58,54.16,806400
2017-03-23,1490227200,54.28,55.94,54.02,55.5,1089700
2017-03-24,1490313600,55.61,56.5,55.33,56.28,921900
2017-03-27,1490572800,55.5,56.77,54.99,56.51,564100
2017-03-28,1490659200,57.11,59.02,56.98,58.63,1244500
2017-03-29,1490745600,58.31,59.8,58.25,59.52,796300
2017-03-30,1490832000,58.88,59.92,58.55,59.68,771600
2017-03-31,1490918400,59.93,60.24,59.53,59.73,748700
2017-04-03,1491177600,60.03,60.12,58.04,58.1,708400
2017-04-04,1491264000,57.63,57.71,56.35,56.76,498200
2017-04-05,1491350400,57.34,57.36,56.23,56.57,772100
2017-04-06,1491436800,56.86,57.67,55.9,55.95,916200
2017-04-07,1491523200,55.55,56.12,55.3,55.78,692900
2017-04-10,1491782400,55.88,56.48,55.46,55.95,655800
2017-04-11,1491868800,55.78,57.41,55.73,57.3,1298500
2017-04-12,1491955200,57.33,57.57,56.57,56.76,639400
2017-04-13,1492041600,56.84,58.21,55.8,56.04,381400
2017-04-17,1492387200,55.99,57.44,55.77,57.39,488400
2017-04-18,1492473600,56.9,57.59,56.65,57.3,482400
2017-04-19,1492560000,57.46,58.35,57.4,57.63,579100
2017-04-20,1492646400,58.05,58.56,57.8,58.32,293000
2017-04-21,1492732800,58.12,58.65,57.7,57.88,325900
2017-04-24,1492992000,58.82,58.99,57.95,58.34,316400
2017-04-25,1493078400,58.74,59.3,58.32,58.74,443900
2017-04-26,1493164800,60.43,62.14,59.97,60.55,1843000
2017-04-27,1493251200,60.6,60.95,60.28,60.45,586400
2017-04-28,1493337600,60.46,60.77,59.51,59.59,613000
2017-05-01,1493596800,59.85,59.85,59.11,59.22,444800
2017-05-02,1493683200,59.62,60.61,59.12,60.13,456500
2017-05-03,1493769600,60.18,60.27,59.33,59.98,333800
2017-05-04,1493856000,60.04,60.7,59.59,60.52,478300
2017-05-05,1493942400,60.84,61.22,60.27,60.74,400700
2017-05-08,1494201600,61.11,61.48,59.74,59.78,372100
2017-05-09,1494288000,60.18,61.19,59.99,60.83,582400
