Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,17.1,18.06,17.07,17.46,58300
2017-01-04,1483488000,17.55,18.15,17.49,17.97,51200
2017-01-05,1483574400,18.15,18.74,18.12,18.62,112600
2017-01-06,1483660800,18.68,19.49,18.56,19.31,85000
2017-01-09,1483920000,19.31,19.94,18.98,19.67,73600
2017-01-10,1484006400,19.85,20.51,19.67,20.27,97900
2017-01-11,1484092800,20.27,20.42,19.7,20.33,116300
2017-01-12,1484179200,20.24,20.39,20.0,20.3,80300
2017-01-13,1484265600,20.45,20.87,19.55,20.06,94700
2017-01-17,1484611200,20.18,20.36,19.76,19.76,50600
2017-01-18,1484697600,19.82,20.15,19.73,19.97,44800
2017-01-19,1484784000,20.03,20.06,19.52,19.7,31600
2017-01-20,1484870400,19.7,19.97,19.55,19.82,16700
2017-01-23,1485129600,19.82,20.42,19.73,20.09,24500
2017-01-24,1485216000,19.94,20.69,19.94,20.18,31500
2017-01-25,1485302400,20.39,20.63,20.0,20.21,53800
2017-01-26,1485388800,20.27,20.66,20.12,20.66,48800
2017-01-27,1485475200,20.72,20.93,20.36,20.57,38200
2017-01-30,1485734400,20.48,20.84,20.06,20.24,46900
2017-01-31,1485820800,20.63,20.96,20.18,20.63,19700
2017-02-01,1485907200,20.66,20.93,20.57,20.84,18300
2017-02-02,1485993600,20.96,21.59,20.96,21.56,48000
2017-02-03,1486080000,21.73,21.82,21.15,21.21,33000
2017-02-06,1486339200,21.33,21.33,20.62,21.03,35500
2017-02-07,1486425600,20.97,21.09,20.91,21.06,27800
2017-02-08,1486512000,21.03,21.03,20.17,20.87,31300
2017-02-09,1486598400,21.0,21.06,20.66,20.78,27700
2017-02-10,1486684800,21.06,21.06,20.11,20.3,25300
2017-02-13,1486944000,20.14,20.33,19.87,19.96,47400
2017-02-14,1487030400,19.93,20.4,19.87,20.14,19600
2017-02-15,1487116800,19.93,20.33,19.93,20.17,15500
2017-02-16,1487203200,20.33,20.51,19.9,19.99,18100
2017-02-17,1487289600,19.99,19.99,19.62,19.99,19300
2017-02-21,1487635200,20.11,20.33,19.87,20.11,25100
2017-02-22,1487721600,20.14,20.17,19.47,19.78,34600
2017-02-23,1487808000,19.93,19.93,18.37,18.98,105000
2017-02-24,1487894400,18.77,18.96,18.34,18.65,47500
2017-02-27,1488153600,18.8,19.04,18.62,19.04,40300
2017-02-28,1488240000,19.14,19.35,18.4,18.89,68300
2017-03-01,1488326400,18.92,19.01,18.19,18.71,95100
2017-03-02,1488412800,18.83,18.83,18.31,18.62,62500
2017-03-03,1488499200,18.77,19.32,18.77,19.04,46300
2017-03-06,1488758400,19.17,19.34,18.83,19.1,47900
2017-03-07,1488844800,19.14,19.47,18.83,19.2,31200
2017-03-08,1488931200,19.44,19.59,18.68,18.68,51600
2017-03-09,1489017600,18.8,19.07,18.49,19.01,50200
2017-03-10,1489104000,19.23,19.5,18.83,19.04,54300
2017-03-13,1489363200,18.8,19.01,17.85,18.43,225500
2017-03-14,1489449600,18.4,18.53,17.7,17.76,115400
2017-03-15,1489536000,17.95,19.14,17.85,18.13,135500
2017-03-16,1489622400,18.31,18.34,17.88,18.04,104900
2017-03-17,1489708800,18.07,18.49,17.43,18.13,606900
2017-03-20,1489968000,18.04,18.4,18.04,18.28,36100
2017-03-21,1490054400,18.31,18.56,18.07,18.22,62400
2017-03-22,1490140800,18.07,18.46,18.07,18.43,41500
2017-03-23,1490227200,18.43,19.01,18.3,18.89,49100
2017-03-24,1490313600,18.86,19.26,18.53,19.01,48800
2017-03-27,1490572800,18.74,19.47,18.49,19.38,40000
2017-03-28,1490659200,19.38,19.81,19.07,19.23,32400
2017-03-29,1490745600,19.23,19.59,19.18,19.53,12600
2017-03-30,1490832000,19.62,20.02,19.59,19.68,29900
2017-03-31,1490918400,19.78,20.51,19.44,20.33,77500
2017-04-03,1491177600,20.26,20.33,19.29,19.53,37200
2017-04-04,1491264000,19.72,19.81,19.17,19.32,18800
2017-04-05,1491350400,19.38,19.56,18.68,18.92,16300
2017-04-06,1491436800,19.04,19.29,18.98,19.14,11200
2017-04-07,1491523200,19.29,19.59,19.07,19.17,22900
2017-04-10,1491782400,19.44,19.5,19.04,19.2,14600
2017-04-11,1491868800,19.14,19.59,18.98,19.41,20800
2017-04-12,1491955200,19.35,19.53,19.23,19.5,18600
2017-04-13,1492041600,19.56,19.56,19.04,19.17,36200
2017-04-17,1492387200,19.32,19.32,19.17,19.17,22000
2017-04-18,1492473600,19.23,19.32,18.89,19.26,21100
2017-04-19,1492560000,19.26,19.26,18.89,18.92,16200
2017-04-20,1492646400,19.1,19.29,18.86,19.07,20600
2017-04-21,1492732800,18.8,19.29,18.8,19.23,18100
2017-04-24,1492992000,19.29,19.47,19.07,19.23,13800
2017-04-25,1493078400,19.32,19.62,19.26,19.59,27100
2017-04-26,1493164800,19.5,20.2,19.5,19.56,36900
2017-04-27,1493251200,19.53,20.17,18.95,19.93,52500
2017-04-28,1493337600,20.17,20.17,19.56,19.78,42500
2017-05-01,1493596800,19.78,20.54,19.78,20.54,40800
2017-05-02,1493683200,20.66,20.66,19.81,19.81,95400
2017-05-03,1493769600,19.8,19.99,19.05,19.21,43300
2017-05-04,1493856000,19.15,19.15,17.68,18.09,85600
2017-05-05,1493942400,18.09,19.21,18.09,19.11,47500
2017-05-08,1494201600,19.15,19.43,18.87,19.08,23400
2017-05-09,1494288000,18.93,19.83,18.93,19.68,29600
2017-05-10,1494374400,19.74,19.83,19.52,19.52,27900
2017-05-11,1494460800,19.61,20.05,19.43,19.83,16300
2017-05-12,1494547200,19.8,20.02,19.63,19.63,9300
2017-05-15,1494806400,19.89,20.05,19.4,19.4,27200
2017-05-16,1494892800,19.53,19.66,19.4,19.49,9300
2017-05-17,1494979200,19.4,19.77,18.9,19.08,20200
2017-05-18,1495065600,18.99,19.21,18.9,19.02,10600
2017-05-19,1495152000,19.16,19.49,19.02,19.18,38700
2017-05-22,1495411200,19.49,19.49,19.15,19.15,6400
2017-05-23,1495497600,19.24,19.36,18.99,19.24,44700
2017-05-24,1495584000,19.26,19.4,19.15,19.21,18200
2017-05-25,1495670400,19.27,19.33,19.11,19.24,14400
2017-05-26,1495756800,19.33,19.46,19.05,19.15,17800
2017-05-30,1496102400,19.11,19.46,19.11,19.24,31700
2017-05-31,1496188800,19.33,19.33,18.83,18.9,43000
