Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,45.2,46.13,44.99,45.65,2465800
2017-01-04,1483488000,46.02,47.55,46.02,46.65,2472800
2017-01-05,1483574400,44.87,46.08,44.43,46.02,2725500
2017-01-06,1483660800,46.1,47.37,45.69,46.78,2178900
2017-01-09,1483920000,46.61,46.76,45.24,45.5,2134200
2017-01-10,1484006400,45.6,46.35,45.58,46.18,1108700
2017-01-11,1484092800,46.19,46.3,45.26,45.74,1797300
2017-01-12,1484179200,45.66,45.87,44.99,45.36,1584300
2017-01-13,1484265600,45.44,45.67,44.45,44.49,1718200
2017-01-17,1484611200,45.02,46.28,44.49,44.72,2338400
2017-01-18,1484697600,44.5,44.64,43.36,43.94,1951500
2017-01-19,1484784000,43.9,44.15,42.65,43.01,2776000
2017-01-20,1484870400,43.07,44.61,43.04,44.31,3141700
2017-01-23,1485129600,44.0,44.1,43.12,43.66,1726300
2017-01-24,1485216000,43.83,44.11,43.46,43.78,1737200
2017-01-25,1485302400,44.32,45.37,44.26,45.3,2786700
2017-01-26,1485388800,45.2,45.68,44.26,44.27,2313500
2017-01-27,1485475200,44.49,44.66,43.21,43.38,2014800
2017-01-30,1485734400,44.27,44.58,43.08,44.11,2798700
2017-01-31,1485820800,42.19,43.78,41.7,43.62,4439400
2017-02-01,1485907200,43.69,44.14,42.51,43.29,1702300
2017-02-02,1485993600,43.12,43.46,42.79,42.87,1326500
2017-02-03,1486080000,43.22,44.2,43.18,43.72,2407800
2017-02-06,1486339200,43.41,44.48,43.4,44.08,2065300
2017-02-07,1486425600,44.19,44.28,43.1,43.26,1680300
2017-02-08,1486512000,43.24,44.19,42.76,44.09,1753200
2017-02-09,1486598400,44.11,45.37,44.0,44.95,2046100
2017-02-10,1486684800,45.09,45.44,44.07,44.55,1381400
2017-02-13,1486944000,44.72,44.95,44.12,44.32,1843400
2017-02-14,1487030400,42.96,44.31,42.72,43.75,2511700
2017-02-15,1487116800,43.56,43.96,41.86,42.16,4290600
