Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,11.3,11.69,11.1,11.11,41500
2017-01-04,1483488000,11.2,11.36,10.86,11.24,36500
2017-01-05,1483574400,11.24,11.54,11.16,11.24,21300
2017-01-06,1483660800,11.33,11.43,11.01,11.33,43800
2017-01-09,1483920000,11.39,11.41,11.11,11.24,44000
2017-01-10,1484006400,11.2,11.49,11.05,11.11,53800
2017-01-11,1484092800,11.05,11.43,11.01,11.2,19100
2017-01-12,1484179200,11.24,11.49,11.14,11.46,27900
2017-01-13,1484265600,11.49,11.62,11.39,11.62,33400
2017-01-17,1484611200,11.52,12.0,11.52,11.84,72200
2017-01-18,1484697600,11.87,11.87,11.57,11.62,17800
2017-01-19,1484784000,11.52,11.71,11.27,11.33,33000
2017-01-20,1484870400,11.36,11.74,11.36,11.68,23800
2017-01-23,1485129600,11.84,11.84,11.51,11.58,34300
2017-01-24,1485216000,11.62,11.9,11.62,11.68,27700
2017-01-25,1485302400,11.74,11.87,11.55,11.77,28400
2017-01-26,1485388800,11.74,11.96,11.32,11.54,58500
2017-01-27,1485475200,11.54,11.61,11.32,11.42,29800
2017-01-30,1485734400,11.32,11.54,10.84,11.06,68300
2017-01-31,1485820800,11.09,11.16,10.87,11.13,40600
2017-02-01,1485907200,11.06,11.22,10.74,11.09,115000
2017-02-02,1485993600,11.03,11.25,10.74,10.87,39400
2017-02-03,1486080000,10.87,10.9,10.42,10.81,68300
2017-02-06,1486339200,10.81,10.9,10.49,10.65,62100
2017-02-07,1486425600,10.68,10.77,10.33,10.45,56200
2017-02-08,1486512000,10.49,10.65,10.26,10.45,39200
2017-02-09,1486598400,10.42,10.73,10.36,10.65,28500
2017-02-10,1486684800,10.65,10.82,10.61,10.65,39300
2017-02-13,1486944000,10.65,10.9,10.39,10.39,63100
2017-02-14,1487030400,10.36,10.39,10.29,10.33,32400
2017-02-15,1487116800,10.33,10.36,9.97,10.23,61700
2017-02-16,1487203200,10.16,10.42,9.94,10.33,96200
2017-02-17,1487289600,10.74,11.38,10.58,10.81,177600
2017-02-21,1487635200,10.9,11.61,10.84,11.61,90500
2017-02-22,1487721600,11.61,11.64,10.9,11.06,53600
2017-02-23,1487808000,11.09,11.18,10.61,10.97,55200
2017-02-24,1487894400,11.0,11.0,10.58,10.77,40900
