Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.12,10.16,9.95,10.14,1708900
2017-01-04,1483488000,10.2,10.4,10.11,10.36,3770000
2017-01-05,1483574400,10.32,10.4,9.98,10.03,3970300
2017-01-06,1483660800,10.03,10.06,9.75,9.81,5064200
2017-01-09,1483920000,9.82,9.84,9.62,9.75,3167300
2017-01-10,1484006400,9.81,9.95,9.74,9.76,3363500
2017-01-11,1484092800,9.8,9.92,9.75,9.81,3423900
2017-01-12,1484179200,9.75,9.82,9.58,9.81,3014000
2017-01-13,1484265600,9.86,9.95,9.82,9.86,1965500
2017-01-17,1484611200,9.91,9.95,9.76,9.91,2661800
2017-01-18,1484697600,9.94,10.05,9.86,10.01,2278700
2017-01-19,1484784000,10.04,10.07,9.86,9.9,1446100
2017-01-20,1484870400,9.91,10.01,9.86,9.89,1227300
2017-01-23,1485129600,9.91,10.01,9.85,9.97,1546700
2017-01-24,1485216000,10.01,10.11,9.95,10.01,1654800
2017-01-25,1485302400,10.04,10.21,9.98,10.21,2456000
2017-01-26,1485388800,10.21,10.43,10.18,10.39,3459700
2017-01-27,1485475200,10.4,10.43,10.17,10.28,2249500
2017-01-30,1485734400,10.16,10.2,9.81,9.87,2588700
2017-01-31,1485820800,9.88,9.92,9.75,9.8,3534000
2017-02-01,1485907200,9.85,10.01,9.72,9.76,2233300
2017-02-02,1485993600,9.74,9.81,9.69,9.74,1899900
2017-02-03,1486080000,9.84,9.92,9.75,9.85,1978300
2017-02-06,1486339200,9.85,9.91,9.75,9.81,1532700
2017-02-07,1486425600,9.83,9.95,9.7,9.74,1706600
2017-02-08,1486512000,9.74,9.76,9.58,9.73,2439100
2017-02-09,1486598400,9.75,9.89,9.69,9.82,3234000
2017-02-10,1486684800,9.88,9.88,9.79,9.82,1885700
2017-02-13,1486944000,9.88,9.95,9.83,9.92,1574800
2017-02-14,1487030400,9.86,10.01,9.79,9.98,2518600
2017-02-15,1487116800,9.91,10.01,9.76,9.96,1780500
2017-02-16,1487203200,9.97,10.05,9.82,9.84,1899300
2017-02-17,1487289600,9.88,9.88,9.66,9.78,1694900
2017-02-21,1487635200,9.82,10.01,9.79,9.99,2694200
2017-02-22,1487721600,9.89,10.08,9.6,9.89,4533400
2017-02-23,1487808000,9.89,9.89,9.63,9.68,4269000
2017-02-24,1487894400,9.67,9.74,9.54,9.7,3103000
2017-02-27,1488153600,9.69,9.83,9.68,9.74,3073400
2017-02-28,1488240000,9.69,9.71,9.38,9.45,3259600
2017-03-01,1488326400,9.58,9.78,9.57,9.65,2601800
2017-03-02,1488412800,9.61,9.64,9.46,9.55,1634000
2017-03-03,1488499200,9.47,9.59,9.31,9.43,2385500
2017-03-06,1488758400,9.38,9.58,9.37,9.57,1460500
2017-03-07,1488844800,9.58,9.58,9.41,9.52,1676300
2017-03-08,1488931200,9.48,9.59,9.32,9.46,2706800
2017-03-09,1489017600,9.47,9.56,9.32,9.36,2068200
2017-03-10,1489104000,9.36,9.48,9.3,9.4,2377900
2017-03-13,1489363200,9.41,9.5,9.32,9.34,1726500
2017-03-14,1489449600,9.33,9.42,9.26,9.38,1019700
2017-03-15,1489536000,9.43,9.69,9.41,9.62,2183500
2017-03-16,1489622400,9.61,9.74,9.58,9.68,3421400
2017-03-17,1489708800,9.71,9.77,9.57,9.73,3913400
2017-03-20,1489968000,9.69,9.77,9.54,9.55,1416900
2017-03-21,1490054400,9.59,9.64,9.31,9.35,2600300
2017-03-22,1490140800,9.33,9.48,9.23,9.46,2330300
2017-03-23,1490227200,9.49,9.6,9.44,9.46,2023500
2017-03-24,1490313600,9.49,9.56,9.44,9.48,1605400
2017-03-27,1490572800,9.38,9.42,9.32,9.38,1892600
2017-03-28,1490659200,9.35,9.45,9.28,9.44,4998100
2017-03-29,1490745600,9.44,9.66,9.39,9.62,2209200
2017-03-30,1490832000,9.65,9.73,9.58,9.73,1465700
2017-03-31,1490918400,9.73,9.87,9.73,9.81,1948000
2017-04-03,1491177600,9.81,9.85,9.48,9.53,2268300
2017-04-04,1491264000,9.45,9.59,9.36,9.54,3720200
2017-04-05,1491350400,9.62,9.73,9.52,9.55,2501100
2017-04-06,1491436800,9.55,9.69,9.46,9.67,1605200
2017-04-07,1491523200,9.65,9.67,9.44,9.45,1415800
2017-04-10,1491782400,9.45,9.65,9.43,9.59,2100500
2017-04-11,1491868800,9.6,9.7,9.5,9.7,1361200
2017-04-12,1491955200,9.61,9.68,9.51,9.6,2702100
2017-04-13,1492041600,9.59,9.74,9.53,9.71,2290600
2017-04-17,1492387200,9.75,9.8,9.67,9.78,2296200
2017-04-18,1492473600,9.78,9.85,9.7,9.84,1508600
2017-04-19,1492560000,9.87,10.05,9.85,9.96,2940100
2017-04-20,1492646400,9.99,10.01,9.7,9.89,2347300
2017-04-21,1492732800,9.89,9.91,9.78,9.78,1499700
2017-04-24,1492992000,9.93,10.03,9.78,10.02,2845200
2017-04-25,1493078400,10.06,10.21,10.02,10.12,2378800
2017-04-26,1493164800,10.08,10.38,10.08,10.21,2874400
2017-04-27,1493251200,10.24,10.25,10.09,10.1,1825500
2017-04-28,1493337600,10.12,10.17,9.67,9.68,2824600
2017-05-01,1493596800,9.73,9.84,9.67,9.83,2085800
2017-05-02,1493683200,9.83,9.92,9.77,9.83,2277100
2017-05-03,1493769600,9.8,9.94,9.65,9.79,2546000
2017-05-04,1493856000,9.77,9.79,9.53,9.72,2690900
2017-05-05,1493942400,9.74,9.99,9.74,9.91,3820900
2017-05-08,1494201600,9.92,9.92,9.58,9.59,2981500
2017-05-09,1494288000,9.64,9.66,9.45,9.48,3507900
2017-05-10,1494374400,9.46,9.6,9.3,9.56,3679900
2017-05-11,1494460800,9.48,9.5,9.28,9.37,2105200
2017-05-12,1494547200,9.35,9.39,9.3,9.3,1886700
2017-05-15,1494806400,9.72,9.72,9.45,9.56,2463000
2017-05-16,1494892800,9.55,9.67,9.52,9.54,2656600
2017-05-17,1494979200,9.4,9.53,9.37,9.47,2203400
2017-05-18,1495065600,9.5,9.71,9.42,9.66,3126000
2017-05-19,1495152000,9.68,9.84,9.65,9.79,1632600
2017-05-22,1495411200,9.84,9.92,9.76,9.8,1750800
2017-05-23,1495497600,9.85,9.92,9.79,9.81,1528100
2017-05-24,1495584000,9.85,9.94,9.78,9.86,1629100
2017-05-25,1495670400,9.88,9.96,9.75,9.85,3110900
2017-05-26,1495756800,9.82,9.91,9.81,9.85,1203500
2017-05-30,1496102400,9.81,9.88,9.74,9.8,1936300
2017-05-31,1496188800,9.85,9.85,9.6,9.75,1847400
2017-06-01,1496275200,9.77,9.87,9.68,9.86,1737300
2017-06-02,1496361600,9.91,9.96,9.76,9.79,2322800
2017-06-05,1496620800,9.77,9.84,9.74,9.77,1864100
2017-06-06,1496707200,9.74,9.88,9.63,9.78,1641900
2017-06-07,1496793600,9.8,9.85,9.68,9.85,1352600
2017-06-08,1496880000,9.85,10.11,9.8,10.03,1807600
2017-06-09,1496966400,10.04,10.33,10.02,10.15,2649500
2017-06-12,1497225600,10.16,10.32,10.05,10.1,2295400
2017-06-13,1497312000,10.13,10.28,10.03,10.18,1690000
2017-06-14,1497398400,10.18,10.21,10.03,10.1,1308500
2017-06-15,1497484800,10.03,10.18,10.02,10.08,1602700
2017-06-16,1497571200,10.03,10.18,10.03,10.18,2236100
2017-06-19,1497830400,10.23,10.32,10.19,10.25,2762000
2017-06-20,1497916800,10.25,10.29,10.13,10.25,3287400
2017-06-21,1498003200,10.27,10.31,10.01,10.11,2617700
2017-06-22,1498089600,10.11,10.21,10.08,10.09,2420800
2017-06-23,1498176000,10.13,10.21,10.08,10.1,2379400
2017-06-26,1498435200,10.14,10.25,10.1,10.16,1802600
2017-06-27,1498521600,10.17,10.23,10.07,10.08,2361700
2017-06-28,1498608000,10.13,10.35,10.1,10.11,2111400
2017-06-29,1498694400,10.15,10.2,9.85,9.94,2459200
2017-06-30,1498780800,9.99,10.02,9.72,9.74,2168700
2017-07-03,1499040000,9.81,10.16,9.77,10.15,896000
2017-07-05,1499212800,10.14,10.33,10.05,10.24,5328200
2017-07-06,1499299200,10.19,10.3,10.12,10.14,2672700
2017-07-07,1499385600,10.16,10.26,10.12,10.17,1943500
2017-07-10,1499644800,10.15,10.19,9.91,9.91,1734800
2017-07-11,1499731200,9.95,10.08,9.92,10.07,1647700
2017-07-12,1499817600,10.16,10.3,10.13,10.18,1985700
2017-07-13,1499904000,10.18,10.3,10.13,10.28,2656500
2017-07-14,1499990400,10.41,10.46,10.31,10.45,2038100
2017-07-17,1500249600,10.46,10.74,10.36,10.52,6570300
2017-07-18,1500336000,10.55,10.55,10.42,10.5,3483600
2017-07-19,1500422400,10.5,10.61,10.45,10.6,2688600
2017-07-20,1500508800,10.6,10.6,10.29,10.31,3055000
2017-07-21,1500595200,10.4,10.44,10.21,10.28,2621100
2017-07-24,1500854400,10.28,10.35,10.15,10.24,1343100
2017-07-25,1500940800,10.3,10.4,10.26,10.4,981100
2017-07-26,1501027200,10.4,10.46,10.13,10.13,2024700
2017-07-27,1501113600,10.15,10.38,10.14,10.33,1733800
2017-07-28,1501200000,10.31,10.44,10.28,10.39,1295200
2017-07-31,1501459200,10.45,10.47,10.3,10.39,2125200
2017-08-01,1501545600,10.46,10.48,10.35,10.4,1593800
2017-08-02,1501632000,10.37,10.41,10.15,10.29,1728800
2017-08-03,1501718400,10.23,10.31,10.1,10.15,981200
2017-08-04,1501804800,10.16,10.34,10.12,10.33,1652400
2017-08-07,1502064000,10.34,10.39,10.27,10.33,2188200
2017-08-08,1502150400,10.28,10.48,9.95,10.0,5520400
2017-08-09,1502236800,9.91,9.97,9.64,9.72,3356200
2017-08-10,1502323200,9.67,9.82,9.61,9.72,1906600
2017-08-11,1502409600,9.66,9.79,9.65,9.78,2222900
2017-08-14,1502668800,9.85,9.97,9.82,9.97,1648400
2017-08-15,1502755200,9.98,9.98,9.79,9.85,1175000
2017-08-16,1502841600,9.9,10.02,9.9,9.96,1309600
2017-08-17,1502928000,9.95,10.07,9.76,9.76,1353900
2017-08-18,1503014400,9.68,9.75,9.55,9.55,3309200
2017-08-21,1503273600,9.56,9.61,9.51,9.56,1725600
2017-08-22,1503360000,9.58,9.69,9.58,9.62,1597000
2017-08-23,1503446400,9.6,9.64,9.47,9.48,1680700
2017-08-24,1503532800,9.53,9.64,9.48,9.51,3218700
2017-08-25,1503619200,9.53,9.59,9.46,9.53,1918900
2017-08-28,1503878400,9.58,9.62,9.44,9.46,1862700
2017-08-29,1503964800,9.38,9.55,9.36,9.54,1050700
2017-08-30,1504051200,9.55,9.72,9.5,9.67,2054100
2017-08-31,1504137600,9.7,9.81,9.66,9.77,1720700
2017-09-01,1504224000,9.77,9.86,9.74,9.81,982100
2017-09-05,1504569600,9.81,9.81,9.45,9.46,3171600
2017-09-06,1504656000,9.45,9.57,9.27,9.5,2836900
2017-09-07,1504742400,9.51,9.51,9.35,9.39,1979500
2017-09-08,1504828800,9.34,9.57,9.31,9.5,2511600
2017-09-11,1505088000,9.62,9.66,9.52,9.6,1753700
2017-09-12,1505174400,9.6,9.67,9.55,9.59,1259600
2017-09-13,1505260800,9.6,9.74,9.59,9.73,1500600
2017-09-14,1505347200,9.7,9.72,9.57,9.67,1319900
2017-09-15,1505433600,9.71,9.71,9.56,9.69,2060700
2017-09-18,1505692800,9.7,9.72,9.61,9.67,1761000
2017-09-19,1505779200,9.69,9.69,9.52,9.59,1287600
2017-09-20,1505865600,9.59,9.67,9.54,9.61,1217700
2017-09-21,1505952000,9.63,9.71,9.56,9.57,1250300
2017-09-22,1506038400,9.59,9.67,9.58,9.67,960800
2017-09-25,1506297600,9.71,9.87,9.67,9.76,1392300
2017-09-26,1506384000,9.77,9.81,9.67,9.68,2215700
2017-09-27,1506470400,9.75,9.77,9.59,9.68,3162000
2017-09-28,1506556800,9.71,9.87,9.67,9.87,1574300
2017-09-29,1506643200,9.87,9.91,9.77,9.85,1288500
2017-10-02,1506902400,9.85,9.89,9.78,9.8,2368700
2017-10-03,1506988800,9.83,9.83,9.65,9.69,2161100
2017-10-04,1507075200,9.71,9.8,9.62,9.73,1504600
2017-10-05,1507161600,9.77,9.89,9.72,9.82,1009700
2017-10-06,1507248000,9.8,9.9,9.74,9.86,1108600
2017-10-09,1507507200,9.86,9.92,9.8,9.82,1199900
2017-10-10,1507593600,9.87,9.94,9.86,9.91,1240100
2017-10-11,1507680000,9.95,9.98,9.82,9.87,2132500
2017-10-12,1507766400,9.86,9.98,9.8,9.96,4837400
2017-10-13,1507852800,9.99,10.05,9.85,9.91,2258300
2017-10-16,1508112000,9.96,10.03,9.84,9.89,2061800
2017-10-17,1508198400,9.89,9.98,9.84,9.94,1350700
2017-10-18,1508284800,9.93,10.02,9.9,9.98,2146600
2017-10-19,1508371200,9.95,10.1,9.87,10.08,4767500
2017-10-20,1508457600,9.98,10.0,9.53,9.65,2580600
2017-10-23,1508716800,9.65,9.7,9.49,9.5,1891700
2017-10-24,1508803200,9.53,9.64,9.53,9.53,4705500
2017-10-25,1508889600,9.46,9.84,9.46,9.78,3315300
2017-10-26,1508976000,9.71,9.81,9.66,9.79,1711000
2017-10-27,1509062400,9.74,9.85,9.71,9.8,1208300
2017-10-30,1509321600,9.8,9.8,9.61,9.65,1428600
2017-10-31,1509408000,9.7,9.8,9.58,9.77,1630300
2017-11-01,1509494400,9.88,9.9,9.75,9.79,1141300
2017-11-02,1509580800,9.81,9.93,9.68,9.89,1533000
2017-11-03,1509667200,9.85,9.97,9.81,9.85,1055500
2017-11-06,1509926400,9.8,10.0,9.8,9.93,1574500
2017-11-07,1510012800,10.33,10.53,10.03,10.13,3156500
2017-11-08,1510099200,10.07,10.32,10.06,10.25,1965700
2017-11-09,1510185600,10.17,10.29,10.11,10.16,1966500
2017-11-10,1510272000,10.12,10.22,10.1,10.21,2042000
2017-11-13,1510531200,10.18,10.25,9.98,10.02,1779800
2017-11-14,1510617600,10.0,10.04,9.9,10.0,1803300
2017-11-15,1510704000,9.97,10.08,9.92,10.05,1318200
2017-11-16,1510790400,10.02,10.07,9.98,10.06,1373000
2017-11-17,1510876800,10.0,10.12,9.98,10.07,1809600
2017-11-20,1511136000,10.09,10.09,9.98,10.07,1388700
2017-11-21,1511222400,10.1,10.17,10.07,10.12,1650200
2017-11-22,1511308800,10.14,10.21,10.05,10.06,1177300
2017-11-24,1511481600,10.07,10.1,10.01,10.09,1002000
2017-11-27,1511740800,10.11,10.11,9.98,10.0,1616700
2017-11-28,1511827200,10.0,10.05,9.81,9.84,5561900
2017-11-29,1511913600,9.85,9.99,9.83,9.93,2210900
2017-11-30,1512000000,9.98,10.07,9.87,10.07,2242900
2017-12-01,1512086400,10.07,10.12,9.9,10.04,2877600
2017-12-04,1512345600,10.46,10.51,10.13,10.13,3036100
2017-12-05,1512432000,10.15,10.19,10.08,10.11,2548300
2017-12-06,1512518400,10.14,10.21,10.03,10.12,2187700
2017-12-07,1512604800,10.12,10.21,10.09,10.12,2134400
2017-12-08,1512691200,10.23,10.23,10.01,10.13,1756800
2017-12-11,1512950400,10.15,10.21,10.1,10.1,1843000
2017-12-12,1513036800,10.12,10.19,10.01,10.04,2648000
2017-12-13,1513123200,10.05,10.23,10.04,10.23,2644100
2017-12-14,1513209600,10.2,10.25,10.15,10.19,3421200
2017-12-15,1513296000,10.21,10.39,10.21,10.32,5194000
2017-12-18,1513555200,10.36,10.54,10.36,10.52,2897600
2017-12-19,1513641600,10.52,10.52,10.26,10.33,1673300
2017-12-20,1513728000,10.36,10.42,10.27,10.31,1614800
2017-12-21,1513814400,10.33,10.33,10.19,10.27,1277900
2017-12-22,1513900800,10.26,10.31,10.19,10.23,1680500
2017-12-26,1514246400,10.25,10.3,10.2,10.22,1486900
2017-12-27,1514332800,10.23,10.32,10.2,10.28,1023400
2017-12-28,1514419200,10.27,10.42,10.23,10.4,1167400
2017-12-29,1514505600,10.4,10.41,10.27,10.27,1329900
2018-01-02,1514851200,10.28,10.38,10.2,10.34,2965100
2018-01-03,1514937600,10.34,10.41,10.22,10.25,1873900
2018-01-04,1515024000,10.26,10.26,10.14,10.17,785500
