Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,13.0,13.1,12.9,13.0,105600
2017-01-04,1483488000,13.05,13.15,12.85,12.9,103600
2017-01-05,1483574400,12.85,12.95,12.1,12.1,84400
2017-01-06,1483660800,12.05,12.75,12.05,12.75,65800
2017-01-09,1483920000,12.75,12.75,12.4,12.45,48000
2017-01-10,1484006400,12.5,12.5,12.3,12.35,61500
2017-01-11,1484092800,12.15,12.44,12.15,12.25,61300
2017-01-12,1484179200,12.2,12.2,11.86,11.95,41000
2017-01-13,1484265600,12.0,12.05,11.7,11.75,61900
2017-01-17,1484611200,11.7,11.7,11.25,11.25,68700
2017-01-18,1484697600,11.25,11.26,10.98,11.1,63100
2017-01-19,1484784000,11.1,11.28,10.95,11.0,100200
2017-01-20,1484870400,10.95,11.3,10.95,11.2,66200
2017-01-23,1485129600,11.1,11.1,10.55,10.75,84500
2017-01-24,1485216000,10.85,10.95,10.65,10.8,51400
2017-01-25,1485302400,10.9,10.9,10.68,10.8,30900
2017-01-26,1485388800,10.8,10.95,10.6,10.9,61400
2017-01-27,1485475200,10.75,11.1,10.75,11.0,52100
2017-01-30,1485734400,11.0,11.0,10.65,10.7,37300
2017-01-31,1485820800,10.65,10.9,10.6,10.85,93900
2017-02-01,1485907200,10.95,11.05,10.75,10.8,67400
2017-02-02,1485993600,10.05,10.4,9.8,10.0,250200
2017-02-03,1486080000,10.0,10.25,9.9,10.15,106400
2017-02-06,1486339200,10.1,10.4,10.0,10.1,209400
2017-02-07,1486425600,10.15,10.4,10.15,10.25,51600
2017-02-08,1486512000,10.2,10.5,10.0,10.25,158600
2017-02-09,1486598400,10.3,10.45,10.1,10.45,48700
2017-02-10,1486684800,10.45,10.55,10.35,10.35,20800
2017-02-13,1486944000,10.45,10.45,10.2,10.25,30000
2017-02-14,1487030400,10.2,10.35,10.07,10.2,183300
2017-02-15,1487116800,10.1,10.4,10.1,10.4,34300
2017-02-16,1487203200,10.4,10.5,10.2,10.45,45600
2017-02-17,1487289600,10.45,10.5,10.2,10.5,59200
2017-02-21,1487635200,10.55,10.8,10.5,10.8,56700
2017-02-22,1487721600,10.75,10.85,10.65,10.65,37100
2017-02-23,1487808000,10.65,10.8,10.48,10.7,42500
2017-02-24,1487894400,10.61,10.75,10.55,10.55,28800
2017-02-27,1488153600,10.55,10.85,10.55,10.7,71500
2017-02-28,1488240000,10.7,10.8,10.35,10.45,56700
2017-03-01,1488326400,10.6,10.75,10.43,10.65,39200
2017-03-02,1488412800,10.65,10.65,10.38,10.4,21800
2017-03-03,1488499200,10.44,10.45,10.1,10.2,35100
2017-03-06,1488758400,10.25,10.65,10.2,10.55,59200
2017-03-07,1488844800,10.55,10.6,10.45,10.5,29000
2017-03-08,1488931200,10.6,10.65,10.45,10.5,65100
2017-03-09,1489017600,10.4,10.75,10.3,10.3,86200
2017-03-10,1489104000,10.45,10.7,10.35,10.45,73400
2017-03-13,1489363200,10.4,10.85,10.4,10.45,80400
2017-03-14,1489449600,10.45,10.9,9.85,10.2,123600
2017-03-15,1489536000,10.4,11.15,10.0,11.0,164000
2017-03-16,1489622400,11.05,11.65,10.95,11.3,146900
2017-03-17,1489708800,11.1,11.8,10.9,11.8,222500
2017-03-20,1489968000,14.2,14.2,12.2,12.2,461000
2017-03-21,1490054400,12.4,12.45,11.75,11.8,162900
2017-03-22,1490140800,11.85,12.0,11.1,11.35,88300
2017-03-23,1490227200,11.4,12.0,11.4,11.65,57000
2017-03-24,1490313600,11.75,12.05,11.7,11.85,106600
2017-03-27,1490572800,11.85,11.95,11.75,11.9,68500
2017-03-28,1490659200,12.0,12.35,11.8,12.3,81200
2017-03-29,1490745600,12.3,12.4,12.0,12.2,49800
2017-03-30,1490832000,12.25,12.35,12.0,12.3,58200
2017-03-31,1490918400,12.35,12.35,12.0,12.0,90600
2017-04-03,1491177600,12.05,12.2,11.7,11.75,61800
2017-04-04,1491264000,11.75,11.95,11.5,11.65,60700
2017-04-05,1491350400,11.8,12.1,11.65,12.0,87900
2017-04-06,1491436800,12.0,12.05,11.85,11.95,68400
2017-04-07,1491523200,12.0,12.45,12.0,12.3,68700
2017-04-10,1491782400,12.45,12.45,12.05,12.2,72900
2017-04-11,1491868800,12.2,12.25,12.0,12.15,59100
2017-04-12,1491955200,12.2,12.35,12.05,12.1,80600
2017-04-13,1492041600,12.1,12.1,11.8,11.9,61500
2017-04-17,1492387200,12.1,12.35,12.0,12.25,78100
2017-04-18,1492473600,12.35,12.36,12.11,12.3,69200
2017-04-19,1492560000,12.4,12.4,12.3,12.35,119700
2017-04-20,1492646400,12.45,12.65,12.3,12.4,145400
2017-04-21,1492732800,12.35,12.4,12.2,12.25,77800
2017-04-24,1492992000,12.4,12.5,12.15,12.2,84500
2017-04-25,1493078400,11.9,12.15,11.85,12.05,110100
2017-04-26,1493164800,12.1,12.4,11.9,12.4,152200
2017-04-27,1493251200,12.6,13.0,12.45,12.45,137900
2017-04-28,1493337600,12.5,12.65,12.2,12.45,127800
2017-05-01,1493596800,12.5,12.5,12.25,12.35,107300
2017-05-02,1493683200,12.45,12.55,12.3,12.5,61700
2017-05-03,1493769600,12.45,12.5,12.3,12.45,35200
2017-05-04,1493856000,12.45,12.55,12.4,12.4,43800
2017-05-05,1493942400,12.45,12.5,12.3,12.4,47500
2017-05-08,1494201600,12.45,12.5,12.3,12.45,87900
2017-05-09,1494288000,12.45,12.5,12.3,12.4,80200
2017-05-10,1494374400,12.4,12.45,12.35,12.35,44100
2017-05-11,1494460800,12.3,12.45,12.0,12.25,80000
2017-05-12,1494547200,12.2,12.35,11.9,12.05,54900
2017-05-15,1494806400,12.05,12.35,12.0,12.3,54600
2017-05-16,1494892800,12.25,12.4,12.2,12.35,60100
