Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,59.5,59.65,57.76,58.25,1429300
2017-01-04,1483488000,58.3,61.15,57.68,60.72,1811600
2017-01-05,1483574400,60.89,64.55,60.53,62.66,1641400
2017-01-06,1483660800,63.17,63.91,62.49,63.23,889700
2017-01-09,1483920000,63.5,63.89,62.47,62.49,1026400
2017-01-10,1484006400,62.86,69.49,62.43,67.04,2132100
2017-01-11,1484092800,67.29,69.42,66.3,69.03,1961700
2017-01-12,1484179200,69.0,69.72,67.28,67.61,1325600
2017-01-13,1484265600,79.36,88.8,78.62,85.13,9321400
2017-01-17,1484611200,85.47,86.74,84.61,85.49,2917400
2017-01-18,1484697600,86.0,86.19,84.09,84.16,2360800
2017-01-19,1484784000,84.16,84.64,81.24,81.59,1787300
2017-01-20,1484870400,81.6,82.26,79.63,80.21,1225100
2017-01-23,1485129600,79.65,80.46,79.01,79.98,976900
2017-01-24,1485216000,78.3,80.05,76.3,79.75,2338300
2017-01-25,1485302400,80.13,82.29,79.86,80.9,1408600
2017-01-26,1485388800,80.77,81.53,79.15,79.52,701300
2017-01-27,1485475200,79.45,80.01,78.92,79.48,533600
2017-01-30,1485734400,79.16,79.63,77.63,78.55,527400
2017-01-31,1485820800,78.85,79.96,78.07,79.15,839700
2017-02-01,1485907200,79.81,80.19,78.67,79.44,940400
2017-02-02,1485993600,79.84,80.34,78.32,79.56,561300
2017-02-03,1486080000,79.53,81.51,79.18,81.38,780400
2017-02-06,1486339200,81.0,81.93,79.22,79.67,733300
2017-02-07,1486425600,79.51,80.76,79.5,79.8,1097600
2017-02-08,1486512000,79.35,80.08,78.89,79.24,505100
2017-02-09,1486598400,79.35,80.57,79.06,79.38,778100
2017-02-10,1486684800,79.3,80.3,78.82,80.0,642300
2017-02-13,1486944000,79.82,80.88,79.82,80.22,627800
2017-02-14,1487030400,80.5,81.36,79.55,81.06,1063500
2017-02-15,1487116800,81.0,84.0,80.97,83.26,1346100
2017-02-16,1487203200,84.61,84.83,80.12,81.39,904100
2017-02-17,1487289600,81.06,82.66,80.58,81.89,632600
2017-02-21,1487635200,81.07,82.23,79.68,79.9,881500
2017-02-22,1487721600,79.88,79.89,78.02,78.59,853600
2017-02-23,1487808000,78.49,79.18,77.1,77.96,882200
2017-02-24,1487894400,77.09,78.91,76.86,78.5,634000
2017-02-27,1488153600,78.21,79.34,75.53,79.21,923300
2017-02-28,1488240000,79.14,79.14,77.24,78.16,1479600
2017-03-01,1488326400,78.4,84.09,78.4,81.47,1525200
2017-03-02,1488412800,81.5,82.94,80.83,81.04,668700
2017-03-03,1488499200,79.98,81.69,79.5,80.44,1013400
2017-03-06,1488758400,79.77,80.24,77.62,78.36,932400
2017-03-07,1488844800,78.71,79.0,77.44,78.59,1456700
2017-03-08,1488931200,78.79,79.71,78.09,78.24,465000
2017-03-09,1489017600,78.05,79.0,77.01,77.55,885300
2017-03-10,1489104000,77.71,78.5,76.85,78.34,1528400
2017-03-13,1489363200,77.05,78.5,76.9,77.6,762300
2017-03-14,1489449600,77.16,78.47,76.9,77.47,614200
2017-03-15,1489536000,77.05,78.33,77.05,77.21,672800
2017-03-16,1489622400,77.68,78.18,76.75,77.38,702700
2017-03-17,1489708800,77.28,79.39,76.47,78.89,674400
2017-03-20,1489968000,78.89,80.06,78.33,79.62,613200
2017-03-21,1490054400,79.86,80.73,76.11,76.49,1067800
2017-03-22,1490140800,76.3,77.2,75.11,76.9,918600
2017-03-23,1490227200,76.15,77.56,75.79,76.08,786300
2017-03-24,1490313600,78.82,84.31,78.77,82.62,1487700
2017-03-27,1490572800,82.12,83.6,81.58,83.4,753600
2017-03-28,1490659200,83.15,84.3,82.93,84.01,636100
2017-03-29,1490745600,84.32,86.32,83.76,85.19,1211500
2017-03-30,1490832000,85.21,85.49,84.11,85.03,469700
2017-03-31,1490918400,84.69,85.67,84.48,84.73,518600
2017-04-03,1491177600,84.75,85.32,82.93,83.97,773600
2017-04-04,1491264000,83.75,84.78,81.51,81.9,631900
2017-04-05,1491350400,82.04,82.3,79.79,80.05,755800
2017-04-06,1491436800,80.3,80.45,78.6,80.25,665100
2017-04-07,1491523200,79.75,79.95,78.44,78.76,731600
2017-04-10,1491782400,78.19,79.03,78.04,78.1,505300
2017-04-11,1491868800,78.5,78.61,76.05,77.09,700000
2017-04-12,1491955200,76.95,77.47,76.53,76.77,321400
2017-04-13,1492041600,74.78,76.53,72.62,76.06,988500
2017-04-17,1492387200,76.23,76.61,75.17,75.24,664500
2017-04-18,1492473600,75.05,75.3,73.44,73.76,791900
2017-04-19,1492560000,73.8,74.51,72.74,74.1,833100
2017-04-20,1492646400,74.35,76.25,74.1,75.9,409800
2017-04-21,1492732800,75.73,76.12,75.19,75.23,416100
2017-04-24,1492992000,76.39,76.87,74.81,74.89,891600
2017-04-25,1493078400,75.0,75.93,74.67,74.94,662300
2017-04-26,1493164800,75.37,76.29,74.59,75.68,772700
2017-04-27,1493251200,76.81,79.42,76.69,77.93,870400
2017-04-28,1493337600,78.82,78.98,77.39,77.96,702000
2017-05-01,1493596800,77.9,79.92,77.8,79.6,876100
2017-05-02,1493683200,79.85,81.91,78.66,81.65,1695800
2017-05-03,1493769600,74.5,76.5,72.7,73.91,5379500
2017-05-04,1493856000,74.6,75.53,73.12,75.38,1526900
2017-05-05,1493942400,76.35,78.49,75.65,76.21,2159600
2017-05-08,1494201600,75.2,75.87,72.82,73.4,2173300
2017-05-09,1494288000,73.0,73.0,71.94,71.99,1703900
2017-05-10,1494374400,71.93,72.67,70.27,71.1,1119300
2017-05-11,1494460800,71.2,72.32,68.86,68.94,1051600
2017-05-12,1494547200,68.94,70.62,68.71,70.42,1297100
2017-05-15,1494806400,70.65,72.16,70.27,71.53,1249400
2017-05-16,1494892800,71.25,71.25,69.47,69.7,1247600
2017-05-17,1494979200,69.5,69.53,67.73,68.05,723100
2017-05-18,1495065600,67.9,68.94,67.11,68.66,848900
2017-05-19,1495152000,68.79,69.0,66.91,67.66,1632000
2017-05-22,1495411200,68.76,69.15,67.64,68.85,1091400
2017-05-23,1495497600,68.85,69.41,67.48,67.58,576200
2017-05-24,1495584000,67.78,68.35,67.11,68.26,855600
2017-05-25,1495670400,68.5,69.35,67.9,69.15,1040200
2017-05-26,1495756800,69.35,69.46,68.12,68.65,464600
2017-05-30,1496102400,68.68,68.69,67.87,68.38,646200
2017-05-31,1496188800,68.54,68.63,66.16,66.84,969800
2017-06-01,1496275200,66.38,67.49,66.31,66.85,999200
2017-06-02,1496361600,67.17,68.01,66.69,67.68,803000
2017-06-05,1496620800,67.32,72.36,66.82,71.19,3591600
2017-06-06,1496707200,70.13,70.61,68.49,69.74,1779400
2017-06-07,1496793600,70.38,70.99,68.39,69.27,843400
2017-06-08,1496880000,69.36,70.63,68.69,70.1,445200
2017-06-09,1496966400,70.33,71.53,67.68,68.99,857800
2017-06-12,1497225600,69.19,72.13,68.45,71.68,1029900
2017-06-13,1497312000,71.63,73.98,71.23,72.82,1029600
2017-06-14,1497398400,72.72,74.78,72.16,74.67,853800
2017-06-15,1497484800,74.0,75.69,73.96,75.61,1543000
2017-06-16,1497571200,76.13,76.69,75.24,76.26,1835000
2017-06-19,1497830400,76.56,78.73,76.38,77.96,1382000
2017-06-20,1497916800,77.95,78.48,77.37,77.84,1357500
2017-06-21,1498003200,77.77,79.05,77.77,78.33,991300
2017-06-22,1498089600,78.2,79.31,78.2,78.68,770700
2017-06-23,1498176000,78.47,79.05,77.27,77.33,903900
2017-06-26,1498435200,77.6,78.15,75.91,77.75,859600
2017-06-27,1498521600,77.81,78.0,74.1,74.94,1285000
2017-06-28,1498608000,75.09,75.68,74.0,75.28,728000
2017-06-29,1498694400,75.27,75.27,72.5,73.27,1750100
2017-06-30,1498780800,73.68,73.76,72.52,73.15,409900
2017-07-03,1499040000,73.16,74.18,71.81,72.52,326800
2017-07-05,1499212800,72.52,73.55,71.17,73.16,699800
2017-07-06,1499299200,72.95,73.19,71.09,71.17,847500
2017-07-07,1499385600,71.27,72.37,70.81,72.35,650400
2017-07-10,1499644800,72.16,72.3,70.5,70.96,700700
2017-07-11,1499731200,70.9,71.52,69.52,71.49,892800
2017-07-12,1499817600,71.94,72.82,71.28,71.79,620100
2017-07-13,1499904000,70.0,70.82,68.33,70.04,2679100
2017-07-14,1499990400,70.25,72.38,69.96,71.72,1066000
2017-07-17,1500249600,71.91,72.1,69.83,70.69,1992200
2017-07-18,1500336000,70.7,70.75,69.65,69.97,761200
2017-07-19,1500422400,69.94,70.37,69.4,70.0,1158300
2017-07-20,1500508800,70.38,70.72,69.84,70.01,642200
2017-07-21,1500595200,69.68,70.52,69.08,69.52,510900
2017-07-24,1500854400,69.31,70.47,69.19,69.71,1580500
2017-07-25,1500940800,69.78,70.99,68.87,70.0,1433800
2017-07-26,1501027200,69.85,70.4,68.74,68.75,851600
2017-07-27,1501113600,69.06,69.06,66.25,66.49,2107600
2017-07-28,1501200000,66.41,67.37,66.0,67.05,1960100
2017-07-31,1501459200,67.02,67.36,66.28,66.61,1107000
2017-08-01,1501545600,67.0,67.54,66.82,66.84,1655800
2017-08-02,1501632000,71.65,71.77,69.74,71.3,4151800
2017-08-03,1501718400,71.29,71.99,70.14,70.74,2140600
2017-08-04,1501804800,71.26,71.57,70.85,71.14,866800
2017-08-07,1502064000,70.98,71.61,70.87,71.31,645200
2017-08-08,1502150400,71.2,71.82,71.03,71.31,1057400
2017-08-09,1502236800,70.94,71.64,70.55,71.54,1044000
2017-08-10,1502323200,71.37,71.51,69.65,69.8,1653700
2017-08-11,1502409600,69.67,70.28,69.05,69.6,940700
2017-08-14,1502668800,70.32,72.25,69.9,71.62,864400
2017-08-15,1502755200,71.69,71.69,70.67,71.22,539300
2017-08-16,1502841600,71.78,73.47,71.18,73.06,752100
2017-08-17,1502928000,72.97,73.67,72.7,72.78,1351400
2017-08-18,1503014400,72.58,74.49,72.13,73.2,1234900
2017-08-21,1503273600,73.15,73.65,72.17,73.06,904800
2017-08-22,1503360000,73.57,78.92,73.06,75.91,1789400
2017-08-23,1503446400,75.31,75.98,74.79,75.19,739400
2017-08-24,1503532800,75.16,75.89,74.65,75.5,636800
2017-08-25,1503619200,75.67,76.11,75.24,75.52,954900
2017-08-28,1503878400,75.23,75.82,74.72,75.45,1127800
2017-08-29,1503964800,75.2,75.54,74.87,75.23,663900
2017-08-30,1504051200,75.05,75.05,73.97,74.14,1182900
2017-08-31,1504137600,73.91,75.64,73.91,74.61,1047800
2017-09-01,1504224000,74.74,75.18,73.79,74.96,872300
2017-09-05,1504569600,74.49,75.92,73.81,75.85,2001800
2017-09-06,1504656000,76.19,76.39,74.1,75.13,1554500
2017-09-07,1504742400,74.95,75.43,71.09,71.23,1385500
2017-09-08,1504828800,71.12,71.31,69.73,71.26,1231900
2017-09-11,1505088000,71.81,73.25,70.9,73.13,1970900
2017-09-12,1505174400,73.51,73.9,72.59,73.61,732100
2017-09-13,1505260800,73.34,75.44,73.34,74.96,855000
2017-09-14,1505347200,74.43,74.43,72.22,72.35,715500
2017-09-15,1505433600,71.94,72.49,70.1,70.29,824600
2017-09-18,1505692800,70.76,71.01,68.88,69.26,1169900
2017-09-19,1505779200,69.24,69.59,68.08,69.46,1017000
2017-09-20,1505865600,69.28,70.27,68.92,70.23,870100
2017-09-21,1505952000,70.32,70.44,69.24,69.5,495400
2017-09-22,1506038400,69.72,70.28,69.1,69.99,672700
2017-09-25,1506297600,70.0,70.17,68.6,69.15,751200
2017-09-26,1506384000,69.39,69.41,67.87,67.92,539200
2017-09-27,1506470400,68.42,68.85,67.36,67.47,875600
2017-09-28,1506556800,47.89,48.0,42.62,45.44,30792100
2017-09-29,1506643200,45.75,49.16,45.61,48.93,9358000
2017-10-02,1506902400,49.32,50.31,48.75,49.66,3585200
2017-10-03,1506988800,49.71,49.98,46.31,47.18,4588500
2017-10-04,1507075200,46.82,48.15,46.53,48.1,3834800
2017-10-05,1507161600,47.97,48.83,47.07,48.0,4856900
2017-10-06,1507248000,48.2,48.4,47.55,47.74,2292300
2017-10-09,1507507200,47.87,48.07,47.08,47.28,1704300
2017-10-10,1507593600,47.21,47.49,45.76,46.1,2403500
2017-10-11,1507680000,46.38,47.22,46.15,47.2,1295000
2017-10-12,1507766400,47.25,47.5,46.23,46.84,1077800
2017-10-13,1507852800,46.46,46.51,45.73,46.04,1441500
2017-10-16,1508112000,45.8,45.97,44.57,44.97,2195900
2017-10-17,1508198400,45.24,45.5,43.87,44.99,1527500
2017-10-18,1508284800,44.98,45.34,44.03,44.95,1322900
2017-10-19,1508371200,44.98,45.21,43.9,44.98,1326800
2017-10-20,1508457600,45.1,45.51,44.46,44.78,918100
2017-10-23,1508716800,44.51,45.88,44.51,44.77,1700300
2017-10-24,1508803200,44.49,44.97,44.01,44.55,1550000
2017-10-25,1508889600,44.41,45.0,44.0,44.69,1646400
2017-10-26,1508976000,44.57,44.96,43.76,44.46,1031300
2017-10-27,1509062400,44.51,44.78,44.12,44.56,1443500
2017-10-30,1509321600,44.13,45.29,43.74,45.24,1742500
2017-10-31,1509408000,45.29,45.92,44.85,44.97,1598800
2017-11-01,1509494400,45.12,45.63,44.5,44.86,2174000
2017-11-02,1509580800,47.2,50.3,46.41,47.72,3718900
2017-11-03,1509667200,47.71,49.38,46.98,49.12,1722700
2017-11-06,1509926400,49.2,50.09,48.95,49.94,1512000
2017-11-07,1510012800,50.0,50.69,49.46,50.11,1379300
2017-11-08,1510099200,50.1,50.4,48.9,48.99,2212900
2017-11-09,1510185600,49.61,50.64,49.17,50.38,1189400
2017-11-10,1510272000,50.91,51.45,49.8,50.74,1087000
2017-11-13,1510531200,50.33,51.91,50.09,51.55,1176800
2017-11-14,1510617600,51.56,52.44,50.55,51.55,1774100
2017-11-15,1510704000,51.37,52.59,51.14,52.0,1352700
2017-11-16,1510790400,52.25,53.16,51.47,53.02,967000
2017-11-17,1510876800,52.96,54.09,52.2,54.01,1538200
2017-11-20,1511136000,54.0,55.41,53.69,54.66,1227600
2017-11-21,1511222400,55.09,55.61,53.86,55.11,1771400
2017-11-22,1511308800,55.21,55.84,54.6,55.35,1225600
2017-11-24,1511481600,56.01,56.01,55.0,55.55,626500
2017-11-27,1511740800,55.5,56.1,54.8,55.55,1964500
2017-11-28,1511827200,55.55,58.25,55.21,57.81,1663700
2017-11-29,1511913600,58.0,60.9,57.81,59.38,2337400
2017-11-30,1512000000,59.02,59.58,56.94,58.43,6217700
2017-12-01,1512086400,58.19,58.84,56.72,58.02,1855500
2017-12-04,1512345600,58.66,59.74,57.71,57.88,1604900
2017-12-05,1512432000,57.75,58.83,57.41,58.0,1266600
2017-12-06,1512518400,58.19,59.28,57.68,58.83,1087700
2017-12-07,1512604800,58.94,60.31,58.62,59.97,970200
2017-12-08,1512691200,60.02,61.88,59.91,61.53,2123700
2017-12-11,1512950400,61.23,62.35,57.71,58.45,1778500
2017-12-12,1513036800,58.8,59.51,57.24,57.25,1214600
2017-12-13,1513123200,57.15,58.84,56.57,58.51,1206700
2017-12-14,1513209600,58.78,59.42,57.69,58.23,1435200
2017-12-15,1513296000,58.21,59.11,56.79,57.04,1506400
2017-12-18,1513555200,57.52,58.46,56.72,58.35,1581200
2017-12-19,1513641600,58.3,58.87,57.85,58.14,1055200
2017-12-20,1513728000,58.51,58.54,56.68,56.71,818200
2017-12-21,1513814400,56.92,57.18,55.08,55.73,1567900
2017-12-22,1513900800,55.8,56.39,55.37,56.12,760300
2017-12-26,1514246400,56.26,57.33,56.15,56.94,415800
2017-12-27,1514332800,56.75,57.28,56.48,56.88,626000
2017-12-28,1514419200,56.79,57.36,56.4,57.33,499600
2017-12-29,1514505600,57.33,57.97,57.12,57.39,588600
2018-01-02,1514851200,57.62,59.53,57.54,57.99,1210100
2018-01-03,1514937600,57.97,58.2,57.29,58.08,1409900
2018-01-04,1515024000,53.98,54.22,51.04,52.25,5952000
2018-01-05,1515110400,52.39,53.85,51.81,53.26,2968100
2018-01-08,1515369600,53.27,55.76,52.2,55.44,2230100
2018-01-09,1515456000,55.95,55.96,52.02,54.6,2797500
2018-01-10,1515542400,54.98,58.68,54.81,58.6,2088800
