Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.98,6.07,5.8,5.93,95700
2017-01-04,1483488000,5.98,6.07,5.98,5.98,60900
2017-01-05,1483574400,6.07,6.14,6.04,6.11,40800
2017-01-06,1483660800,6.04,6.08,5.87,5.94,54900
2017-01-09,1483920000,6.07,6.16,5.84,6.09,136700
2017-01-10,1484006400,6.02,6.03,5.74,5.92,85400
2017-01-11,1484092800,5.76,5.99,5.68,5.98,201700
2017-01-12,1484179200,6.14,6.38,6.02,6.25,572400
2017-01-13,1484265600,6.29,6.31,6.05,6.2,103000
2017-01-17,1484611200,6.19,6.22,6.11,6.16,71800
2017-01-18,1484697600,6.04,6.05,5.84,5.9,115300
2017-01-19,1484784000,5.68,5.87,5.64,5.78,234700
2017-01-20,1484870400,6.0,6.14,5.45,5.96,281600
2017-01-23,1485129600,6.24,6.3,6.13,6.22,222700
2017-01-24,1485216000,6.23,6.26,6.01,6.12,208400
2017-01-25,1485302400,6.1,6.3,6.05,6.16,58800
2017-01-26,1485388800,6.09,6.17,5.98,6.04,102400
2017-01-27,1485475200,5.97,5.99,5.91,5.93,82500
2017-01-30,1485734400,5.88,5.88,5.65,5.71,95700
2017-01-31,1485820800,5.84,5.94,5.7,5.71,125200
2017-02-01,1485907200,5.78,5.81,5.62,5.77,113900
2017-02-02,1485993600,5.97,5.98,5.84,5.89,76400
2017-02-03,1486080000,6.08,6.17,6.03,6.09,141100
2017-02-06,1486339200,5.96,6.04,5.91,5.95,97000
2017-02-07,1486425600,6.11,6.16,5.93,6.0,387600
2017-02-08,1486512000,6.15,6.27,6.1,6.13,636000
2017-02-09,1486598400,6.04,6.11,5.83,5.89,204200
2017-02-10,1486684800,6.11,6.31,6.1,6.18,329400
2017-02-13,1486944000,6.35,6.38,6.2,6.24,467100
2017-02-14,1487030400,6.18,6.3,6.04,6.26,177100
2017-02-15,1487116800,6.22,6.38,6.22,6.28,95500
2017-02-16,1487203200,6.2,6.24,6.14,6.21,96000
2017-02-17,1487289600,6.1,6.12,5.87,6.02,160100
2017-02-21,1487635200,5.98,6.03,5.86,5.88,479900
2017-02-22,1487721600,5.93,6.04,5.91,5.96,129500
2017-02-23,1487808000,6.15,6.26,6.0,6.01,223600
2017-02-24,1487894400,5.99,6.0,5.83,5.88,129400
2017-02-27,1488153600,5.95,5.95,5.65,5.77,71200
2017-02-28,1488240000,5.71,5.78,5.56,5.72,85900
2017-03-01,1488326400,5.65,6.01,5.58,5.99,171900
2017-03-02,1488412800,5.84,5.84,5.54,5.59,152600
2017-03-03,1488499200,5.75,5.84,5.71,5.81,126300
2017-03-06,1488758400,5.91,6.01,5.85,6.0,192700
2017-03-07,1488844800,6.02,6.02,5.79,5.82,108000
2017-03-08,1488931200,5.59,5.69,5.54,5.64,258700
2017-03-09,1489017600,5.61,5.68,5.55,5.58,148300
2017-03-10,1489104000,5.73,5.76,5.48,5.59,126900
2017-03-13,1489363200,5.65,5.69,5.51,5.55,58200
2017-03-14,1489449600,5.51,5.53,5.22,5.29,110800
2017-03-15,1489536000,5.28,5.54,5.16,5.5,168800
2017-03-16,1489622400,5.49,5.5,5.31,5.37,198600
2017-03-17,1489708800,5.44,5.5,5.18,5.2,345000
2017-03-20,1489968000,5.31,5.6,5.3,5.45,129300
2017-03-21,1490054400,5.48,5.5,5.2,5.22,66300
2017-03-22,1490140800,5.2,5.4,5.17,5.31,64000
2017-03-23,1490227200,5.23,5.26,5.14,5.14,118500
2017-03-24,1490313600,5.19,5.3,5.18,5.28,55100
2017-03-27,1490572800,5.18,5.18,4.85,4.96,280600
2017-03-28,1490659200,4.82,4.82,4.71,4.79,319200
2017-03-29,1490745600,4.79,4.84,4.71,4.77,211400
2017-03-30,1490832000,4.79,4.82,4.7,4.71,98100
2017-03-31,1490918400,4.72,4.83,4.66,4.72,143400
2017-04-03,1491177600,4.8,4.85,4.77,4.78,80700
2017-04-04,1491264000,4.73,4.86,4.73,4.83,363100
2017-04-05,1491350400,4.77,4.79,4.58,4.6,128000
2017-04-06,1491436800,4.58,4.59,4.36,4.42,124100
2017-04-07,1491523200,4.45,4.51,4.31,4.32,108000
2017-04-10,1491782400,4.31,4.31,4.2,4.25,83500
2017-04-11,1491868800,4.2,4.36,4.17,4.34,172000
2017-04-12,1491955200,4.35,4.37,4.28,4.35,97900
2017-04-13,1492041600,4.34,4.38,4.19,4.23,60100
2017-04-17,1492387200,4.29,4.38,4.25,4.31,225500
2017-04-18,1492473600,4.27,4.31,4.24,4.31,340600
2017-04-19,1492560000,4.37,4.37,4.15,4.18,76600
2017-04-20,1492646400,4.18,4.31,4.15,4.24,126700
2017-04-21,1492732800,4.22,4.31,4.18,4.21,39600
2017-04-24,1492992000,4.38,4.43,4.32,4.36,321300
2017-04-25,1493078400,4.26,4.66,4.26,4.65,162300
2017-04-26,1493164800,4.57,4.68,4.53,4.65,173800
2017-04-27,1493251200,4.6,4.65,4.54,4.63,176000
2017-04-28,1493337600,4.58,4.84,4.57,4.81,166400
2017-05-01,1493596800,4.93,4.93,4.64,4.83,80400
2017-05-02,1493683200,4.86,5.03,4.81,4.93,179300
2017-05-03,1493769600,4.9,4.93,4.81,4.81,92200
2017-05-04,1493856000,4.72,4.73,4.46,4.51,672700
2017-05-05,1493942400,4.55,4.61,4.4,4.46,99800
2017-05-08,1494201600,4.49,4.51,4.27,4.31,181300
2017-05-09,1494288000,4.27,4.47,4.25,4.44,149500
2017-05-10,1494374400,4.53,4.57,4.37,4.4,221800
2017-05-11,1494460800,4.73,4.77,4.55,4.72,234800
2017-05-12,1494547200,4.94,5.02,4.82,4.86,160000
2017-05-15,1494806400,4.99,5.01,4.78,4.82,114200
2017-05-16,1494892800,4.84,4.84,4.6,4.64,180000
2017-05-17,1494979200,4.53,4.53,4.37,4.38,184000
2017-05-18,1495065600,3.61,4.12,3.12,3.24,1613600
2017-05-19,1495152000,3.44,3.54,3.41,3.49,1872400
2017-05-22,1495411200,3.39,3.45,3.17,3.27,712800
2017-05-23,1495497600,3.37,3.54,3.37,3.46,550600
2017-05-24,1495584000,3.53,3.83,3.52,3.72,873300
2017-05-25,1495670400,3.81,3.87,3.56,3.6,672100
2017-05-26,1495756800,3.67,3.84,3.65,3.72,155100
2017-05-30,1496102400,3.72,3.73,3.65,3.7,251800
2017-05-31,1496188800,3.69,3.73,3.56,3.59,207800
2017-06-01,1496275200,3.64,3.7,3.46,3.5,176100
2017-06-02,1496361600,3.54,3.57,3.44,3.5,226700
2017-06-05,1496620800,3.42,3.49,3.39,3.44,204200
2017-06-06,1496707200,3.47,3.52,3.46,3.51,243100
2017-06-07,1496793600,3.53,3.57,3.47,3.53,639900
2017-06-08,1496880000,3.38,3.45,3.37,3.43,293200
2017-06-09,1496966400,3.41,3.53,3.38,3.41,927400
2017-06-12,1497225600,3.41,3.44,3.31,3.31,213600
2017-06-13,1497312000,3.32,3.32,3.23,3.3,242400
2017-06-14,1497398400,3.33,3.35,3.21,3.3,357000
2017-06-15,1497484800,3.28,3.33,3.23,3.3,94600
2017-06-16,1497571200,3.26,3.33,3.24,3.3,359100
2017-06-19,1497830400,3.27,3.36,3.25,3.3,291800
2017-06-20,1497916800,3.24,3.25,3.1,3.16,246700
2017-06-21,1498003200,3.08,3.16,3.04,3.08,125400
2017-06-22,1498089600,3.18,3.5,3.18,3.26,546300
2017-06-23,1498176000,3.23,3.23,3.1,3.1,528500
2017-06-26,1498435200,3.17,3.24,3.17,3.2,157500
2017-06-27,1498521600,3.25,3.25,3.14,3.17,308300
2017-06-28,1498608000,3.22,3.34,3.18,3.32,122300
2017-06-29,1498694400,3.29,3.33,3.16,3.21,184900
2017-06-30,1498780800,3.17,3.28,3.16,3.26,180000
2017-07-03,1499040000,3.3,3.34,3.21,3.22,61300
2017-07-05,1499212800,3.45,3.61,3.41,3.6,568000
2017-07-06,1499299200,4.09,4.17,3.91,4.12,1260700
2017-07-07,1499385600,4.21,4.26,4.14,4.16,607500
2017-07-10,1499644800,4.25,4.29,3.97,4.06,436100
2017-07-11,1499731200,3.96,3.99,3.89,3.93,429500
2017-07-12,1499817600,4.01,4.14,3.92,4.09,435600
2017-07-13,1499904000,4.15,4.15,4.06,4.11,176800
2017-07-14,1499990400,4.11,4.11,3.92,3.97,103100
2017-07-17,1500249600,3.93,3.94,3.84,3.84,279400
2017-07-18,1500336000,3.91,4.03,3.87,3.97,239200
2017-07-19,1500422400,3.98,4.02,3.9,3.92,260200
2017-07-20,1500508800,3.97,3.98,3.91,3.94,362500
2017-07-21,1500595200,3.91,3.95,3.84,3.88,482000
2017-07-24,1500854400,3.84,3.87,3.77,3.79,171700
2017-07-25,1500940800,3.85,3.9,3.83,3.84,251300
2017-07-26,1501027200,3.81,3.81,3.71,3.74,229700
2017-07-27,1501113600,3.78,3.79,3.65,3.71,169700
2017-07-28,1501200000,3.71,3.84,3.65,3.84,212200
2017-07-31,1501459200,3.84,3.85,3.72,3.75,314300
2017-08-01,1501545600,3.73,3.8,3.73,3.77,187500
2017-08-02,1501632000,3.71,3.75,3.71,3.74,285600
2017-08-03,1501718400,3.74,3.84,3.7,3.82,181900
2017-08-04,1501804800,3.86,3.98,3.85,3.97,514100
2017-08-07,1502064000,3.9,3.99,3.85,3.97,1208000
2017-08-08,1502150400,3.96,4.05,3.91,4.02,216000
2017-08-09,1502236800,3.9,3.94,3.84,3.87,188200
2017-08-10,1502323200,3.86,3.86,3.69,3.71,158500
2017-08-11,1502409600,3.72,3.77,3.69,3.77,105900
2017-08-14,1502668800,3.73,3.78,3.69,3.71,168600
2017-08-15,1502755200,3.74,3.79,3.71,3.77,176900
2017-08-16,1502841600,3.78,3.87,3.74,3.87,158400
2017-08-17,1502928000,3.71,3.78,3.67,3.74,405100
2017-08-18,1503014400,3.77,3.84,3.7,3.81,226700
2017-08-21,1503273600,3.8,3.92,3.8,3.87,673900
2017-08-22,1503360000,5.13,5.89,4.98,5.75,5584200
2017-08-23,1503446400,5.44,5.62,5.17,5.19,1909300
