Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,112.48,113.15,112.04,112.64,766800
2017-01-04,1483488000,112.56,113.25,112.04,113.19,894800
2017-01-05,1483574400,113.38,114.24,112.96,113.8,553000
2017-01-06,1483660800,113.8,114.79,113.25,114.76,576500
2017-01-09,1483920000,114.76,115.34,113.62,113.66,759500
2017-01-10,1484006400,113.56,114.21,112.87,113.85,592900
2017-01-11,1484092800,113.96,114.38,112.96,114.31,559800
2017-01-12,1484179200,114.06,114.73,113.03,114.63,508600
2017-01-13,1484265600,114.5,114.83,113.52,114.11,432900
2017-01-17,1484611200,113.82,115.45,113.42,114.44,544000
2017-01-18,1484697600,113.88,114.18,112.09,114.06,984800
2017-01-19,1484784000,113.94,114.64,113.62,113.99,810400
2017-01-20,1484870400,113.63,113.9,110.68,111.99,1508700
2017-01-23,1485129600,111.7,112.19,111.46,112.09,593500
2017-01-24,1485216000,112.13,112.74,111.41,112.74,676000
2017-01-25,1485302400,112.97,113.5,112.2,112.52,1260300
2017-01-26,1485388800,112.26,113.17,111.57,111.77,508900
2017-01-27,1485475200,112.17,112.28,110.99,112.0,822100
2017-01-30,1485734400,112.05,112.05,110.77,111.29,521800
2017-01-31,1485820800,111.48,111.89,110.51,111.24,664000
2017-02-01,1485907200,111.62,111.84,110.32,111.17,825400
2017-02-02,1485993600,110.63,112.0,110.38,111.97,679300
2017-02-03,1486080000,112.33,114.25,112.33,114.15,562600
2017-02-06,1486339200,113.99,114.52,113.19,114.32,1197800
2017-02-07,1486425600,114.34,115.07,113.59,114.9,700900
2017-02-08,1486512000,114.9,116.3,114.2,115.7,946000
2017-02-09,1486598400,115.7,121.75,115.7,121.53,1803100
2017-02-10,1486684800,121.4,125.85,121.17,123.83,2566900
2017-02-13,1486944000,124.11,124.54,123.28,123.41,896600
2017-02-14,1487030400,122.78,124.1,122.6,123.6,709600
2017-02-15,1487116800,122.6,123.85,121.71,123.36,612600
2017-02-16,1487203200,123.4,123.92,122.14,123.23,674900
2017-02-17,1487289600,122.95,123.47,122.53,123.43,581400
2017-02-21,1487635200,123.15,123.76,122.29,122.69,1113700
2017-02-22,1487721600,122.29,123.05,122.22,122.41,1124000
2017-02-23,1487808000,123.08,123.33,122.05,122.56,765600
2017-02-24,1487894400,122.56,122.71,121.35,122.71,819600
2017-02-27,1488153600,122.9,124.24,122.53,124.07,866800
2017-02-28,1488240000,124.28,124.86,123.64,124.35,1300300
2017-03-01,1488326400,125.81,126.88,125.09,126.69,892500
2017-03-02,1488412800,126.26,126.9,125.61,126.44,735400
2017-03-03,1488499200,126.61,126.71,125.39,126.33,550600
2017-03-06,1488758400,125.75,126.13,124.86,125.63,737400
2017-03-07,1488844800,125.36,125.59,124.71,124.97,560900
2017-03-08,1488931200,125.08,125.89,124.52,125.39,715100
2017-03-09,1489017600,125.44,126.1,125.04,126.09,386700
2017-03-10,1489104000,126.67,126.85,125.93,126.77,577600
2017-03-13,1489363200,126.88,127.09,126.18,126.88,542800
2017-03-14,1489449600,126.41,127.47,126.08,126.99,640000
2017-03-15,1489536000,127.11,128.91,126.81,128.61,612600
2017-03-16,1489622400,128.66,129.47,128.22,128.46,871600
2017-03-17,1489708800,128.36,129.54,128.22,129.49,855000
2017-03-20,1489968000,129.72,129.72,128.53,129.09,502500
2017-03-21,1490054400,129.18,129.3,127.42,128.52,1667400
2017-03-22,1490140800,128.95,131.05,128.48,130.31,1179700
2017-03-23,1490227200,130.31,130.73,128.71,129.03,600100
2017-03-24,1490313600,129.12,130.29,128.77,129.31,335000
2017-03-27,1490572800,128.39,129.57,127.51,128.95,355700
2017-03-28,1490659200,128.71,130.22,128.28,129.65,458300
2017-03-29,1490745600,129.15,129.51,128.11,129.07,685700
2017-03-30,1490832000,129.32,129.94,128.65,129.91,1054200
2017-03-31,1490918400,129.59,130.69,129.15,130.08,620700
2017-04-03,1491177600,129.99,130.31,128.47,129.47,725300
2017-04-04,1491264000,129.37,129.72,128.48,129.19,391400
2017-04-05,1491350400,129.38,131.22,129.2,129.76,868200
