Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,16.71,17.53,16.65,17.47,4711100
2017-01-04,1483488000,17.47,17.99,17.37,17.7,4773500
2017-01-05,1483574400,17.35,17.63,17.08,17.54,3576700
2017-01-06,1483660800,17.48,17.5,16.32,16.54,5647600
2017-01-09,1483920000,16.5,17.25,16.39,16.41,6614500
2017-01-10,1484006400,16.62,16.73,15.25,15.31,9358600
2017-01-11,1484092800,15.38,15.47,13.65,14.01,16213300
2017-01-12,1484179200,13.95,14.11,13.67,13.87,6928300
2017-01-13,1484265600,13.88,14.11,13.07,13.19,9887300
2017-01-17,1484611200,13.22,13.37,12.91,13.07,8286900
2017-01-18,1484697600,13.22,13.26,12.68,13.17,10807300
2017-01-19,1484784000,13.2,13.35,12.87,12.9,5365100
2017-01-20,1484870400,12.68,12.71,12.26,12.34,7978100
2017-01-23,1485129600,12.3,12.34,11.52,12.17,10506200
2017-01-24,1485216000,12.42,12.42,11.71,11.85,9416500
2017-01-25,1485302400,11.82,12.01,11.6,11.89,12499200
2017-01-26,1485388800,12.14,12.26,11.88,11.99,7965500
2017-01-27,1485475200,11.95,12.19,11.72,11.78,6536900
2017-01-30,1485734400,11.65,11.83,11.37,11.81,7149200
2017-01-31,1485820800,11.81,12.24,11.54,12.24,6910600
2017-02-01,1485907200,12.23,12.4,12.08,12.34,5350500
2017-02-02,1485993600,12.23,12.93,12.08,12.6,7616700
2017-02-03,1486080000,12.6,12.77,12.24,12.71,5694100
2017-02-06,1486339200,12.6,12.89,12.52,12.53,5844100
2017-02-07,1486425600,12.58,12.58,12.01,12.01,8409700
2017-02-08,1486512000,12.0,12.62,11.96,12.29,7368900
2017-02-09,1486598400,12.29,12.58,12.16,12.18,6336200
2017-02-10,1486684800,12.12,12.26,12.05,12.06,5196400
2017-02-13,1486944000,12.22,12.3,12.06,12.1,4156900
2017-02-14,1487030400,12.09,12.88,12.06,12.65,7277000
2017-02-15,1487116800,12.62,13.75,12.52,13.65,12302100
2017-02-16,1487203200,13.72,13.92,13.15,13.3,8678400
2017-02-17,1487289600,13.21,13.34,12.95,13.08,6412500
2017-02-21,1487635200,13.1,13.29,13.01,13.19,4902600
2017-02-22,1487721600,13.2,13.43,12.86,12.89,5933100
2017-02-23,1487808000,12.9,13.71,12.73,13.39,9419200
2017-02-24,1487894400,13.31,13.48,13.05,13.15,5926000
2017-02-27,1488153600,13.12,13.59,12.95,13.29,9113500
2017-02-28,1488240000,14.0,14.45,13.09,13.65,31602200
2017-03-01,1488326400,13.83,13.91,12.62,12.82,65308400
2017-03-02,1488412800,12.7,12.84,12.27,12.29,12468200
2017-03-03,1488499200,12.32,12.73,11.96,12.25,13450400
2017-03-06,1488758400,12.12,12.16,11.39,11.4,11063200
2017-03-07,1488844800,11.08,11.24,10.39,10.9,15037500
2017-03-08,1488931200,10.9,11.13,10.76,10.8,8871500
2017-03-09,1489017600,10.82,11.14,10.53,10.53,7001200
2017-03-10,1489104000,10.63,10.94,10.47,10.82,7495600
2017-03-13,1489363200,10.8,11.0,10.62,10.67,6019000
2017-03-14,1489449600,10.59,10.77,10.01,10.22,12255800
2017-03-15,1489536000,10.13,10.59,9.82,10.54,12375600
2017-03-16,1489622400,10.52,10.79,10.41,10.66,6103600
2017-03-17,1489708800,10.7,10.85,10.5,10.76,12595700
2017-03-20,1489968000,10.75,10.75,10.29,10.31,6083100
2017-03-21,1490054400,10.36,10.37,9.7,10.16,10496600
2017-03-22,1490140800,10.16,10.16,9.84,9.87,5306600
2017-03-23,1490227200,9.86,10.39,9.8,9.99,6711900
2017-03-24,1490313600,10.01,10.11,9.85,9.97,5900500
2017-03-27,1490572800,9.9,10.53,9.84,10.5,7960400
2017-03-28,1490659200,10.48,10.79,10.38,10.74,6629100
2017-03-29,1490745600,10.71,11.55,10.71,11.46,8958600
2017-03-30,1490832000,11.4,11.4,11.03,11.06,5825500
2017-03-31,1490918400,11.03,11.36,10.96,11.16,8007500
2017-04-03,1491177600,11.15,11.2,10.73,10.91,6960100
2017-04-04,1491264000,10.86,10.94,10.49,10.94,5787500
2017-04-05,1491350400,10.94,11.24,10.83,10.94,7596200
2017-04-06,1491436800,10.95,11.42,10.92,11.27,4943900
2017-04-07,1491523200,11.19,12.07,11.03,11.83,9170100
2017-04-10,1491782400,12.34,12.69,11.82,11.87,11702400
2017-04-11,1491868800,11.81,11.96,10.67,10.76,11824200
