Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,3.43,3.52,3.43,3.49,246600
2017-01-04,1483488000,3.5,3.53,3.4,3.41,106200
2017-01-05,1483574400,3.44,3.58,3.44,3.51,239300
2017-01-06,1483660800,3.52,3.56,3.46,3.46,122600
2017-01-09,1483920000,3.45,3.54,3.45,3.48,115700
2017-01-10,1484006400,3.45,3.52,3.4,3.43,183900
2017-01-11,1484092800,3.46,3.59,3.46,3.57,299900
2017-01-12,1484179200,3.55,3.66,3.55,3.61,283700
2017-01-13,1484265600,3.63,3.66,3.57,3.62,448100
2017-01-17,1484611200,3.64,3.66,3.55,3.58,148600
2017-01-18,1484697600,3.55,3.72,3.55,3.67,94700
2017-01-19,1484784000,3.66,3.91,3.66,3.89,1973800
2017-01-20,1484870400,3.88,3.92,3.8,3.9,138800
2017-01-23,1485129600,3.88,3.9,3.81,3.83,279100
2017-01-24,1485216000,3.84,3.86,3.8,3.83,294600
2017-01-25,1485302400,3.82,4.0,3.81,3.97,330800
2017-01-26,1485388800,4.03,4.05,3.88,3.92,606500
2017-01-27,1485475200,3.93,3.93,3.81,3.83,92000
2017-01-30,1485734400,3.84,3.84,3.64,3.71,336900
2017-01-31,1485820800,3.73,3.76,3.67,3.69,76700
2017-02-01,1485907200,3.69,3.69,3.56,3.57,172900
2017-02-02,1485993600,3.56,3.64,3.53,3.6,319800
2017-02-03,1486080000,3.63,3.78,3.61,3.73,283800
2017-02-06,1486339200,3.75,3.75,3.61,3.68,73900
2017-02-07,1486425600,3.7,3.7,3.61,3.68,184600
2017-02-08,1486512000,3.67,3.79,3.65,3.76,110500
2017-02-09,1486598400,3.77,3.8,3.72,3.73,88000
2017-02-10,1486684800,3.75,3.78,3.7,3.77,213900
2017-02-13,1486944000,3.75,3.87,3.75,3.85,326700
2017-02-14,1487030400,3.83,4.1,3.83,4.09,221700
2017-02-15,1487116800,3.95,4.02,3.93,3.93,392300
2017-02-16,1487203200,3.87,3.98,3.84,3.91,292100
2017-02-17,1487289600,3.9,3.92,3.81,3.88,151400
2017-02-21,1487635200,3.83,3.96,3.81,3.95,178500
2017-02-22,1487721600,3.93,3.93,3.77,3.83,290200
2017-02-23,1487808000,3.85,3.9,3.79,3.83,817200
2017-02-24,1487894400,3.82,3.84,3.73,3.84,203700
2017-02-27,1488153600,3.83,3.9,3.81,3.86,107600
2017-02-28,1488240000,3.86,3.92,3.81,3.86,143200
2017-03-01,1488326400,3.8,3.89,3.77,3.83,65400
2017-03-02,1488412800,3.8,3.84,3.74,3.75,194000
2017-03-03,1488499200,3.73,3.85,3.73,3.81,123800
2017-03-06,1488758400,3.78,3.86,3.77,3.84,200300
2017-03-07,1488844800,3.85,3.96,3.8,3.93,219700
2017-03-08,1488931200,3.93,3.96,3.83,3.84,292600
2017-03-09,1489017600,3.84,3.87,3.73,3.77,447700
2017-03-10,1489104000,3.83,3.88,3.8,3.81,196800
2017-03-13,1489363200,3.83,3.99,3.82,3.92,225500
2017-03-14,1489449600,3.9,3.91,3.77,3.86,476200
2017-03-15,1489536000,3.86,3.94,3.82,3.86,159200
2017-03-16,1489622400,3.9,4.03,3.9,4.01,241900
2017-03-17,1489708800,4.03,4.03,3.92,3.95,225000
2017-03-20,1489968000,3.94,4.03,3.9,3.97,270600
2017-03-21,1490054400,4.0,4.07,3.92,3.93,300400
2017-03-22,1490140800,3.92,3.98,3.87,3.9,967300
2017-03-23,1490227200,3.91,3.99,3.87,3.96,243800
2017-03-24,1490313600,3.97,4.04,3.91,3.99,349500
2017-03-27,1490572800,3.99,4.03,3.95,4.0,644300
2017-03-28,1490659200,4.0,4.16,3.99,4.14,365900
2017-03-29,1490745600,4.14,4.19,4.08,4.12,305200
2017-03-30,1490832000,4.13,4.22,4.13,4.21,108500
2017-03-31,1490918400,4.23,4.23,4.16,4.21,233800
2017-04-03,1491177600,4.21,4.3,4.16,4.29,204000
2017-04-04,1491264000,4.29,4.29,4.19,4.22,546500
2017-04-05,1491350400,4.23,4.33,4.19,4.26,946100
2017-04-06,1491436800,4.27,4.35,4.27,4.32,215400
2017-04-07,1491523200,4.32,4.32,4.27,4.29,113900
2017-04-10,1491782400,4.31,4.31,4.23,4.28,105400
2017-04-11,1491868800,4.27,4.31,4.22,4.29,475100
2017-04-12,1491955200,4.29,4.32,4.25,4.28,570000
2017-04-13,1492041600,4.29,4.34,4.22,4.23,62600
2017-04-17,1492387200,4.24,4.38,4.23,4.32,308700
2017-04-18,1492473600,4.32,4.32,4.19,4.21,92200
2017-04-19,1492560000,4.21,4.25,4.17,4.21,89600
2017-04-20,1492646400,4.22,4.22,4.09,4.13,321000
2017-04-21,1492732800,4.12,4.15,4.06,4.09,314100
2017-04-24,1492992000,4.12,4.19,4.06,4.17,318400
2017-04-25,1493078400,4.16,4.21,4.09,4.15,286900
2017-04-26,1493164800,4.16,4.32,4.16,4.29,240900
2017-04-27,1493251200,4.24,4.33,4.23,4.25,347500
2017-04-28,1493337600,4.26,4.3,4.16,4.18,263100
2017-05-01,1493596800,4.19,4.19,4.11,4.14,47900
2017-05-02,1493683200,4.16,4.28,4.15,4.23,259100
2017-05-03,1493769600,4.25,4.27,4.15,4.18,518100
2017-05-04,1493856000,4.18,4.19,4.03,4.12,394700
2017-05-05,1493942400,4.13,4.19,4.05,4.15,130600
2017-05-08,1494201600,4.15,4.15,4.05,4.08,179600
2017-05-09,1494288000,4.09,4.16,4.07,4.14,70800
2017-05-10,1494374400,4.13,4.19,4.06,4.16,277300
2017-05-11,1494460800,4.17,4.24,4.12,4.21,155300
2017-05-12,1494547200,4.22,4.29,4.21,4.25,114500
2017-05-15,1494806400,4.26,4.34,4.24,4.32,251500
2017-05-16,1494892800,4.32,4.35,4.26,4.31,198000
2017-05-17,1494979200,4.25,4.56,4.24,4.36,233400
2017-05-18,1495065600,4.31,4.32,4.22,4.3,128600
2017-05-19,1495152000,4.31,4.41,4.31,4.39,228200
2017-05-22,1495411200,4.37,4.42,4.34,4.36,181800
2017-05-23,1495497600,4.37,4.42,4.28,4.41,180500
2017-05-24,1495584000,4.43,4.52,4.37,4.47,193400
2017-05-25,1495670400,4.5,4.59,4.42,4.5,355800
2017-05-26,1495756800,4.51,4.54,4.39,4.44,226300
