Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,17.64,17.77,17.2,17.64,650600
2017-01-04,1483488000,17.64,18.08,17.64,17.98,778900
2017-01-05,1483574400,17.79,18.11,17.72,17.93,473200
2017-01-06,1483660800,17.88,17.88,17.64,17.79,340000
2017-01-09,1483920000,17.69,17.93,17.54,17.64,770800
2017-01-10,1484006400,17.69,17.79,17.56,17.79,569900
2017-01-11,1484092800,17.79,18.57,17.72,18.47,723800
2017-01-12,1484179200,18.37,18.37,17.79,17.98,541100
2017-01-13,1484265600,18.08,18.52,18.03,18.47,410000
2017-01-17,1484611200,18.37,18.37,17.69,17.74,388200
2017-01-18,1484697600,17.83,18.13,17.83,17.93,275800
2017-01-19,1484784000,17.93,18.05,17.64,17.74,223300
2017-01-20,1484870400,17.74,18.08,17.74,17.79,428200
2017-01-23,1485129600,17.74,18.22,17.59,18.08,715000
2017-01-24,1485216000,18.22,18.71,18.03,18.52,560600
2017-01-25,1485302400,18.66,18.91,18.29,18.71,503200
2017-01-26,1485388800,18.81,18.86,18.32,18.47,469300
2017-01-27,1485475200,18.52,18.86,18.52,18.57,409000
2017-01-30,1485734400,18.37,18.61,18.03,18.42,631900
2017-01-31,1485820800,18.27,18.37,17.88,18.27,451300
2017-02-01,1485907200,18.57,18.81,18.18,18.32,703300
2017-02-02,1485993600,19.49,19.88,18.61,18.96,1190000
2017-02-03,1486080000,19.25,19.86,18.98,19.1,847800
2017-02-06,1486339200,19.2,19.2,18.86,18.91,881000
2017-02-07,1486425600,18.96,19.35,18.91,19.15,562900
2017-02-08,1486512000,19.05,19.3,18.91,19.23,554100
2017-02-09,1486598400,19.1,19.74,19.1,19.69,752800
2017-02-10,1486684800,19.98,20.66,19.98,20.42,1240600
2017-02-13,1486944000,20.66,20.93,20.51,20.81,1011400
2017-02-14,1487030400,20.81,21.1,20.6,21.05,1094000
2017-02-15,1487116800,20.95,21.34,20.9,21.25,753000
2017-02-16,1487203200,21.29,21.39,20.9,21.2,651900
2017-02-17,1487289600,21.2,21.44,20.86,21.39,541000
2017-02-21,1487635200,21.49,21.88,21.29,21.59,940800
2017-02-22,1487721600,21.59,21.73,21.44,21.73,547100
2017-02-23,1487808000,21.64,21.83,20.95,21.2,732300
2017-02-24,1487894400,20.95,21.39,20.76,21.2,534400
2017-02-27,1488153600,21.1,21.25,20.9,21.2,580700
2017-02-28,1488240000,21.15,21.15,20.61,20.66,714000
2017-03-01,1488326400,21.0,21.28,20.81,21.25,725200
2017-03-02,1488412800,21.25,21.39,21.0,21.0,459700
2017-03-03,1488499200,21.0,21.34,20.61,20.66,557900
2017-03-06,1488758400,20.47,20.86,20.32,20.76,503800
2017-03-07,1488844800,20.76,21.2,20.66,20.81,597300
2017-03-08,1488931200,20.9,21.02,20.5,20.51,499400
2017-03-09,1489017600,20.51,20.9,20.51,20.71,837900
2017-03-10,1489104000,20.95,21.0,20.47,20.81,483300
2017-03-13,1489363200,20.76,21.59,20.76,21.49,1219900
2017-03-14,1489449600,21.44,21.54,21.0,21.25,617700
2017-03-15,1489536000,21.34,21.64,21.3,21.64,988200
2017-03-16,1489622400,21.68,21.98,21.64,21.86,773400
2017-03-17,1489708800,21.88,22.81,21.88,22.76,2106300
2017-03-20,1489968000,22.76,22.95,22.27,22.71,1069100
2017-03-21,1490054400,22.9,22.96,21.98,22.07,1361900
2017-03-22,1490140800,22.03,22.32,21.88,22.17,840100
2017-03-23,1490227200,22.12,22.46,22.03,22.22,467300
2017-03-24,1490313600,22.42,22.85,22.07,22.17,656900
2017-03-27,1490572800,21.73,22.51,21.64,22.37,749000
2017-03-28,1490659200,22.27,22.66,22.13,22.46,447600
2017-03-29,1490745600,22.37,22.56,22.22,22.22,464900
2017-03-30,1490832000,22.22,22.71,22.22,22.42,675600
2017-03-31,1490918400,22.42,23.24,22.37,22.81,1586700
2017-04-03,1491177600,22.85,23.1,22.42,22.76,993900
2017-04-04,1491264000,22.61,22.9,22.32,22.71,567500
2017-04-05,1491350400,22.81,23.05,22.32,22.42,765000
2017-04-06,1491436800,22.46,22.83,22.17,22.81,619700
2017-04-07,1491523200,22.76,23.0,22.32,22.9,610500
2017-04-10,1491782400,22.9,23.1,22.42,22.66,518200
2017-04-11,1491868800,22.51,22.85,22.22,22.71,1086900
2017-04-12,1491955200,22.56,22.82,22.17,22.32,971800
2017-04-13,1492041600,22.22,22.46,21.88,21.98,745800
2017-04-17,1492387200,21.98,22.35,21.93,22.27,1116400
2017-04-18,1492473600,22.12,22.51,22.03,22.46,639300
2017-04-19,1492560000,22.61,22.81,22.42,22.51,565600
2017-04-20,1492646400,22.71,23.34,22.61,23.29,867000
2017-04-21,1492732800,23.24,23.44,22.91,23.29,608400
2017-04-24,1492992000,23.68,23.78,23.34,23.44,997200
2017-04-25,1493078400,23.58,23.73,23.1,23.63,878200
2017-04-26,1493164800,23.58,23.93,23.29,23.88,1045600
2017-04-27,1493251200,24.36,24.95,23.88,24.75,1199600
2017-04-28,1493337600,24.46,24.67,23.78,24.17,1149300
2017-05-01,1493596800,24.27,24.85,24.02,24.66,1050700
2017-05-02,1493683200,24.71,24.8,24.25,24.46,776100
2017-05-03,1493769600,24.22,24.64,24.07,24.41,992800
2017-05-04,1493856000,24.51,24.56,24.12,24.27,565200
2017-05-05,1493942400,24.32,24.41,23.83,24.12,719500
2017-05-08,1494201600,24.02,24.32,23.58,23.73,917100
2017-05-09,1494288000,23.73,24.12,23.58,23.83,886600
2017-05-10,1494374400,23.93,24.3,23.68,23.78,795100
2017-05-11,1494460800,24.07,24.07,23.37,23.73,901700
2017-05-12,1494547200,23.68,23.68,23.15,23.34,785200
2017-05-15,1494806400,23.49,23.73,23.49,23.63,918400
2017-05-16,1494892800,23.83,24.32,23.73,24.12,952100
2017-05-17,1494979200,23.73,23.73,22.61,22.61,975700
2017-05-18,1495065600,22.61,23.22,22.27,23.1,1336800
2017-05-19,1495152000,23.24,23.44,22.69,22.76,1098000
2017-05-22,1495411200,23.29,23.71,22.85,23.68,1228000
2017-05-23,1495497600,23.68,23.88,23.24,23.63,655100
2017-05-24,1495584000,23.68,23.97,23.58,23.73,605700
2017-05-25,1495670400,23.83,23.93,23.44,23.54,758900
2017-05-26,1495756800,23.49,23.54,23.05,23.34,863000
2017-05-30,1496102400,23.34,23.73,23.24,23.58,681800
2017-05-31,1496188800,23.78,24.22,23.58,24.07,1141000
2017-06-01,1496275200,24.12,24.75,24.07,24.61,1650600
2017-06-02,1496361600,24.85,25.49,24.75,25.24,1231300
2017-06-05,1496620800,25.19,25.68,25.19,25.39,1438700
2017-06-06,1496707200,25.29,25.83,25.14,25.58,1001100
2017-06-07,1496793600,25.49,26.02,25.49,25.73,794600
2017-06-08,1496880000,25.83,26.17,25.62,25.97,960700
2017-06-09,1496966400,26.12,26.51,24.8,25.14,1395100
2017-06-12,1497225600,24.85,25.05,23.73,24.27,1490100
2017-06-13,1497312000,24.46,24.75,24.12,24.27,1176100
2017-06-14,1497398400,24.36,24.85,23.68,23.88,1397300
2017-06-15,1497484800,23.44,23.63,23.15,23.39,764500
2017-06-16,1497571200,23.05,23.63,23.0,23.44,1035300
2017-06-19,1497830400,23.58,23.83,23.2,23.54,1088000
2017-06-20,1497916800,23.49,23.63,22.85,23.15,1000800
2017-06-21,1498003200,23.29,23.49,22.9,23.0,787200
2017-06-22,1498089600,23.0,23.1,22.56,22.9,655000
2017-06-23,1498176000,22.9,23.1,22.76,22.81,2858000
