Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,25.26,25.82,25.07,25.5,204500
2017-01-04,1483488000,25.6,25.75,25.5,25.66,228700
2017-01-05,1483574400,25.7,25.92,25.46,25.75,129500
2017-01-06,1483660800,25.81,25.96,24.86,25.48,146100
2017-01-09,1483920000,25.46,25.46,25.15,25.19,99500
2017-01-10,1484006400,25.2,25.56,25.11,25.39,111900
2017-01-11,1484092800,25.39,25.52,25.3,25.51,117400
2017-01-12,1484179200,25.39,25.61,24.81,25.25,94700
2017-01-13,1484265600,25.38,25.46,25.21,25.33,112900
2017-01-17,1484611200,25.15,25.41,24.89,25.1,203200
2017-01-18,1484697600,25.23,25.48,24.99,25.47,210400
2017-01-19,1484784000,25.46,25.71,25.24,25.45,250200
2017-01-20,1484870400,25.45,25.6,25.27,25.38,190500
2017-01-23,1485129600,25.26,25.44,25.07,25.4,108000
2017-01-24,1485216000,25.43,25.78,25.28,25.68,239900
2017-01-25,1485302400,25.79,26.02,25.54,25.76,122600
2017-01-26,1485388800,25.75,25.79,25.5,25.74,129200
2017-01-27,1485475200,25.85,26.04,25.62,25.77,118700
2017-01-30,1485734400,25.55,25.76,25.25,25.64,224700
2017-01-31,1485820800,25.52,25.78,25.18,25.72,196200
2017-02-01,1485907200,25.8,26.02,24.92,25.52,417800
2017-02-02,1485993600,27.5,28.35,26.03,26.57,1051800
2017-02-03,1486080000,26.78,27.1,26.53,26.99,371000
2017-02-06,1486339200,26.76,27.23,26.21,26.5,391500
2017-02-07,1486425600,26.52,26.57,26.3,26.31,293600
2017-02-08,1486512000,26.28,26.28,25.92,25.95,233500
2017-02-09,1486598400,25.87,26.32,25.72,26.28,321700
2017-02-10,1486684800,26.47,26.47,26.13,26.32,116500
2017-02-13,1486944000,26.35,26.35,26.03,26.05,139600
2017-02-14,1487030400,25.89,26.11,25.79,26.08,207700
2017-02-15,1487116800,25.96,26.05,25.81,26.0,108200
2017-02-16,1487203200,26.0,26.1,25.65,25.72,226300
2017-02-17,1487289600,25.74,25.8,25.37,25.55,259200
2017-02-21,1487635200,25.6,26.02,25.56,25.77,206900
2017-02-22,1487721600,25.61,26.01,25.54,25.8,173600
2017-02-23,1487808000,25.88,25.91,25.53,25.57,161200
2017-02-24,1487894400,25.34,25.75,25.09,25.73,382700
2017-02-27,1488153600,25.64,25.94,25.57,25.86,452300
2017-02-28,1488240000,25.89,25.89,24.92,24.95,322100
2017-03-01,1488326400,25.13,25.27,24.89,24.96,210800
2017-03-02,1488412800,24.97,25.45,24.8,25.31,248600
2017-03-03,1488499200,25.31,25.39,24.87,24.89,174300
2017-03-06,1488758400,24.78,24.94,24.52,24.83,200100
2017-03-07,1488844800,24.8,25.05,24.48,24.5,191100
2017-03-08,1488931200,24.59,24.69,24.42,24.47,233800
2017-03-09,1489017600,24.52,24.66,24.34,24.42,348800
2017-03-10,1489104000,24.45,24.63,24.25,24.59,251400
2017-03-13,1489363200,24.54,24.84,24.53,24.71,187700
2017-03-14,1489449600,24.6,24.64,24.18,24.22,156800
2017-03-15,1489536000,24.26,24.63,24.21,24.57,162900
2017-03-16,1489622400,24.64,24.8,24.33,24.58,186800
2017-03-17,1489708800,24.43,24.72,24.36,24.65,627800
2017-03-20,1489968000,24.87,25.15,24.46,24.49,203200
2017-03-21,1490054400,24.6,24.6,23.62,23.64,387800
2017-03-22,1490140800,23.56,23.65,23.32,23.51,294600
2017-03-23,1490227200,23.51,24.17,23.45,23.97,358800
2017-03-24,1490313600,23.97,24.17,23.79,23.92,282000
2017-03-27,1490572800,23.55,23.96,23.42,23.71,211700
2017-03-28,1490659200,23.6,23.74,23.41,23.53,258700
2017-03-29,1490745600,23.42,23.7,23.35,23.61,231600
2017-03-30,1490832000,23.57,23.74,23.42,23.58,263200
2017-03-31,1490918400,23.5,23.74,23.42,23.65,287800
2017-04-03,1491177600,23.66,23.78,23.12,23.27,339300
2017-04-04,1491264000,23.24,23.57,22.83,22.86,357700
