Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.54,10.81,10.42,10.77,368300
2017-01-04,1483488000,10.83,11.41,10.67,11.38,436000
2017-01-05,1483574400,11.35,11.46,10.87,11.07,379900
2017-01-06,1483660800,11.09,11.12,10.52,10.55,272300
2017-01-09,1483920000,10.57,10.6,10.29,10.33,271200
2017-01-10,1484006400,10.39,10.77,10.39,10.73,193100
2017-01-11,1484092800,11.01,11.02,10.5,10.68,242900
2017-01-12,1484179200,10.66,10.68,10.24,10.48,221200
2017-01-13,1484265600,10.54,10.97,10.54,10.64,232100
2017-01-17,1484611200,10.56,10.56,10.23,10.42,309400
2017-01-18,1484697600,10.44,10.55,10.31,10.33,220900
2017-01-19,1484784000,10.39,10.42,10.21,10.37,255700
2017-01-20,1484870400,10.42,10.56,9.94,9.99,405200
2017-01-23,1485129600,9.9,10.14,9.31,9.36,493200
2017-01-24,1485216000,9.37,9.74,9.24,9.6,352700
2017-01-25,1485302400,9.74,10.33,9.65,10.27,379700
2017-01-26,1485388800,10.28,10.31,9.91,10.07,181500
2017-01-27,1485475200,10.09,10.23,10.0,10.21,127000
2017-01-30,1485734400,10.13,10.21,9.85,10.11,282700
2017-01-31,1485820800,10.06,10.25,9.91,10.24,262700
2017-02-01,1485907200,10.3,10.55,10.2,10.36,288600
2017-02-02,1485993600,10.32,10.43,10.17,10.19,254300
2017-02-03,1486080000,10.25,10.69,10.15,10.66,355600
2017-02-06,1486339200,10.65,10.65,10.26,10.43,209900
2017-02-07,1486425600,10.44,10.52,9.97,10.0,362600
2017-02-08,1486512000,9.95,10.04,9.55,9.65,453700
2017-02-09,1486598400,9.67,9.96,9.63,9.75,270200
2017-02-10,1486684800,9.89,9.95,9.77,9.9,274400
2017-02-13,1486944000,9.99,10.03,9.74,9.79,174700
2017-02-14,1487030400,9.68,9.72,9.55,9.61,212200
2017-02-15,1487116800,9.54,9.65,9.32,9.33,364700
2017-02-16,1487203200,9.33,9.38,9.01,9.29,412600
2017-02-17,1487289600,9.27,9.33,9.05,9.25,286300
2017-02-21,1487635200,9.28,9.37,9.01,9.05,300000
2017-02-22,1487721600,9.03,9.09,8.55,8.7,558300
2017-02-23,1487808000,8.78,8.78,8.35,8.4,483700
2017-02-24,1487894400,8.27,8.5,8.15,8.42,292900
2017-02-27,1488153600,8.39,8.71,8.3,8.66,303700
2017-02-28,1488240000,8.65,8.75,8.34,8.41,421000
2017-03-01,1488326400,8.66,9.4,8.63,9.32,725100
2017-03-02,1488412800,9.4,9.41,8.71,8.73,599400
2017-03-03,1488499200,8.72,8.87,8.52,8.74,359700
2017-03-06,1488758400,8.7,8.9,8.5,8.68,522600
2017-03-07,1488844800,8.63,8.86,8.56,8.74,459300
2017-03-08,1488931200,8.85,8.94,8.56,8.6,775100
2017-03-09,1489017600,9.0,9.07,7.86,8.1,1520800
2017-03-10,1489104000,8.22,8.55,7.76,8.11,833900
2017-03-13,1489363200,8.15,8.15,7.77,7.83,658200
2017-03-14,1489449600,7.72,7.75,7.22,7.63,641200
2017-03-15,1489536000,7.76,8.4,7.75,8.18,885200
2017-03-16,1489622400,8.25,8.61,8.03,8.44,831300
2017-03-17,1489708800,8.43,8.48,8.12,8.34,1507400
2017-03-20,1489968000,8.36,8.5,8.17,8.46,441300
2017-03-21,1490054400,8.48,8.61,7.9,7.9,661800
2017-03-22,1490140800,7.9,7.9,7.27,7.46,1048200
2017-03-23,1490227200,7.44,7.65,7.36,7.46,673100
2017-03-24,1490313600,7.48,7.7,7.47,7.6,277400
2017-03-27,1490572800,7.44,7.53,7.25,7.45,351600
2017-03-28,1490659200,7.42,7.45,7.11,7.43,669000
2017-03-29,1490745600,7.41,8.0,7.32,7.78,776600
2017-03-30,1490832000,8.15,8.54,8.15,8.32,793500
2017-03-31,1490918400,8.25,8.4,8.2,8.32,554100
2017-04-03,1491177600,8.34,8.35,8.05,8.25,490400
2017-04-04,1491264000,8.23,8.36,8.21,8.3,623500
2017-04-05,1491350400,8.43,8.71,8.05,8.06,581900
2017-04-06,1491436800,8.08,8.25,8.03,8.11,446300
2017-04-07,1491523200,8.07,8.37,8.07,8.13,547100
2017-04-10,1491782400,8.13,8.37,8.13,8.16,400000
2017-04-11,1491868800,8.13,8.32,8.07,8.31,729300
2017-04-12,1491955200,8.33,8.33,8.14,8.17,292800
2017-04-13,1492041600,8.17,8.28,8.0,8.05,569900
2017-04-17,1492387200,8.07,8.17,7.9,8.06,297600
2017-04-18,1492473600,7.98,8.23,7.94,8.22,274200
2017-04-19,1492560000,8.28,8.43,8.04,8.05,460800
2017-04-20,1492646400,8.13,8.35,8.06,8.15,291500
2017-04-21,1492732800,8.13,8.29,8.01,8.18,341800
2017-04-24,1492992000,8.3,8.42,8.21,8.32,311700
2017-04-25,1493078400,8.33,8.65,8.33,8.44,734400
2017-04-26,1493164800,8.43,8.77,8.41,8.65,441100
2017-04-27,1493251200,8.67,8.71,8.45,8.5,256800
2017-04-28,1493337600,8.51,8.63,8.37,8.44,294000
2017-05-01,1493596800,8.48,8.63,8.4,8.55,265700
2017-05-02,1493683200,8.56,8.75,8.55,8.62,493700
2017-05-03,1493769600,8.61,8.61,8.05,8.07,455900
2017-05-04,1493856000,8.0,8.22,7.11,7.74,1654000
2017-05-05,1493942400,7.82,7.95,7.47,7.8,485100
2017-05-08,1494201600,7.75,7.89,7.34,7.83,568500
2017-05-09,1494288000,7.8,7.9,7.38,7.65,522600
2017-05-10,1494374400,7.6,7.86,7.52,7.83,423300
2017-05-11,1494460800,7.78,7.85,7.66,7.69,288500
2017-05-12,1494547200,7.65,7.72,7.52,7.53,196300
2017-05-15,1494806400,7.58,8.12,7.55,8.06,421400
2017-05-16,1494892800,8.1,8.22,7.76,7.77,471900
2017-05-17,1494979200,7.61,7.68,7.5,7.61,329400
2017-05-18,1495065600,7.58,7.82,7.54,7.73,364300
2017-05-19,1495152000,7.79,7.94,7.74,7.9,268300
2017-05-22,1495411200,7.92,8.05,7.85,7.97,242000
2017-05-23,1495497600,8.0,8.12,7.86,8.08,221400
2017-05-24,1495584000,8.08,8.22,7.89,8.06,339600
2017-05-25,1495670400,8.09,8.16,7.9,7.97,283200
2017-05-26,1495756800,7.95,8.07,7.89,8.0,287300
2017-05-30,1496102400,7.95,7.95,7.67,7.69,218600
2017-05-31,1496188800,7.68,7.68,7.33,7.59,477000
2017-06-01,1496275200,7.59,7.8,7.47,7.78,278700
2017-06-02,1496361600,7.69,7.89,7.57,7.59,386200
2017-06-05,1496620800,7.55,7.72,7.5,7.54,311200
2017-06-06,1496707200,7.45,7.66,7.38,7.61,296700
2017-06-07,1496793600,7.62,7.72,7.35,7.63,339100
2017-06-08,1496880000,7.59,8.16,7.59,8.07,608100
2017-06-09,1496966400,8.1,8.27,8.04,8.13,333200
2017-06-12,1497225600,8.12,8.3,8.05,8.23,263300
2017-06-13,1497312000,8.26,8.44,8.11,8.21,296400
2017-06-14,1497398400,8.2,8.25,7.9,7.95,229100
2017-06-15,1497484800,7.84,8.03,7.81,7.9,283600
2017-06-16,1497571200,7.86,7.91,7.69,7.74,756300
2017-06-19,1497830400,7.77,7.89,7.56,7.82,302600
2017-06-20,1497916800,7.78,7.89,7.6,7.66,168400
2017-06-21,1498003200,7.72,7.72,7.41,7.45,265800
2017-06-22,1498089600,7.48,7.85,7.43,7.71,199600
2017-06-23,1498176000,7.71,7.78,7.54,7.76,402100
2017-06-26,1498435200,7.76,8.15,7.76,8.03,295200
2017-06-27,1498521600,8.06,8.37,8.01,8.25,298700
2017-06-28,1498608000,8.31,8.47,8.23,8.32,278900
2017-06-29,1498694400,8.34,8.61,8.19,8.37,333100
2017-06-30,1498780800,8.37,8.45,8.21,8.29,232600
2017-07-03,1499040000,8.33,8.43,8.21,8.37,134000
2017-07-05,1499212800,8.35,8.35,7.9,7.95,491000
2017-07-06,1499299200,7.93,8.12,7.83,7.88,313100
2017-07-07,1499385600,7.88,7.94,7.72,7.84,160200
2017-07-10,1499644800,7.82,7.94,7.7,7.86,333200
2017-07-11,1499731200,7.86,7.97,7.69,7.86,228000
2017-07-12,1499817600,7.92,8.15,7.92,7.99,234600
2017-07-13,1499904000,7.98,8.17,7.94,8.15,276500
2017-07-14,1499990400,8.14,8.36,8.04,8.25,482700
2017-07-17,1500249600,8.25,8.34,8.15,8.19,320300
2017-07-18,1500336000,8.16,8.18,7.74,7.77,332300
2017-07-19,1500422400,7.77,7.95,7.73,7.9,169200
2017-07-20,1500508800,7.9,7.91,7.67,7.76,217800
2017-07-21,1500595200,7.77,7.77,7.45,7.56,527200
2017-07-24,1500854400,7.54,7.63,7.38,7.49,279700
2017-07-25,1500940800,7.57,7.99,7.55,7.8,293600
2017-07-26,1501027200,7.81,7.85,7.58,7.66,193300
2017-07-27,1501113600,7.68,7.88,7.63,7.78,204100
2017-07-28,1501200000,7.76,7.97,7.68,7.73,152700
2017-07-31,1501459200,7.72,7.73,7.5,7.6,248200
2017-08-01,1501545600,7.76,7.8,7.53,7.62,259400
2017-08-02,1501632000,7.58,7.67,7.44,7.56,357800
2017-08-03,1501718400,7.34,7.48,6.75,6.81,1218500
2017-08-04,1501804800,6.77,7.0,6.71,6.77,846200
2017-08-07,1502064000,6.75,6.89,6.47,6.68,466700
2017-08-08,1502150400,6.66,6.73,6.53,6.57,328200
2017-08-09,1502236800,6.53,6.78,6.51,6.58,424600
2017-08-10,1502323200,6.55,6.55,6.28,6.29,623100
2017-08-11,1502409600,6.33,6.4,6.27,6.32,508000
2017-08-14,1502668800,6.36,6.37,6.21,6.37,378700
2017-08-15,1502755200,6.37,6.39,6.2,6.2,351200
2017-08-16,1502841600,6.19,6.52,6.17,6.31,396400
2017-08-17,1502928000,6.27,6.37,6.17,6.18,355800
2017-08-18,1503014400,6.19,6.36,6.13,6.27,285800
2017-08-21,1503273600,6.24,6.35,6.2,6.28,281600
2017-08-22,1503360000,6.31,6.49,6.23,6.44,430800
2017-08-23,1503446400,6.43,6.49,6.3,6.4,386700
2017-08-24,1503532800,6.4,6.45,6.31,6.39,277000
2017-08-25,1503619200,6.4,6.58,6.34,6.5,370000
2017-08-28,1503878400,6.54,6.54,6.36,6.45,290700
2017-08-29,1503964800,6.38,6.59,6.36,6.51,273200
2017-08-30,1504051200,6.51,6.54,6.36,6.47,190000
2017-08-31,1504137600,6.51,6.66,6.47,6.5,241500
2017-09-01,1504224000,6.52,6.63,6.47,6.55,292700
2017-09-05,1504569600,6.78,7.38,6.76,6.94,610400
2017-09-06,1504656000,6.96,7.22,6.96,7.12,368200
2017-09-07,1504742400,7.17,7.35,7.09,7.25,555500
2017-09-08,1504828800,7.24,7.25,6.82,6.94,603400
2017-09-11,1505088000,6.95,6.97,6.54,6.75,572900
2017-09-12,1505174400,6.75,7.1,6.72,6.98,501700
2017-09-13,1505260800,6.97,7.13,6.82,6.86,467600
2017-09-14,1505347200,6.83,7.0,6.74,6.88,388900
2017-09-15,1505433600,6.89,6.94,6.77,6.9,1078100
2017-09-18,1505692800,7.1,7.33,7.01,7.13,631600
2017-09-19,1505779200,7.16,7.28,6.93,6.98,279400
2017-09-20,1505865600,6.99,7.19,6.93,7.01,374500
2017-09-21,1505952000,7.01,7.05,6.88,6.9,239600
2017-09-22,1506038400,6.81,7.29,6.78,7.22,387000
2017-09-25,1506297600,7.25,7.43,7.16,7.24,648900
2017-09-26,1506384000,7.24,7.49,7.21,7.39,375300
2017-09-27,1506470400,7.44,7.59,7.34,7.53,431300
2017-09-28,1506556800,7.6,7.93,7.53,7.68,572400
2017-09-29,1506643200,7.68,7.92,7.6,7.9,378400
2017-10-02,1506902400,7.89,8.05,7.78,8.03,542600
2017-10-03,1506988800,8.01,8.03,7.81,7.91,294700
2017-10-04,1507075200,7.91,8.17,7.76,8.05,739800
2017-10-05,1507161600,8.05,8.61,8.05,8.29,914600
2017-10-06,1507248000,8.32,8.33,7.86,7.92,523000
2017-10-09,1507507200,7.96,8.01,7.6,7.61,361500
2017-10-10,1507593600,7.75,8.0,7.71,7.76,208600
2017-10-11,1507680000,7.95,8.14,7.79,8.03,315900
2017-10-12,1507766400,8.05,8.27,7.96,8.04,218800
2017-10-13,1507852800,8.09,8.39,8.07,8.19,299400
2017-10-16,1508112000,8.19,8.36,8.1,8.21,238500
2017-10-17,1508198400,8.42,8.82,8.2,8.3,668800
2017-10-18,1508284800,8.37,8.5,8.29,8.48,475600
2017-10-19,1508371200,8.43,8.48,8.17,8.32,406300
2017-10-20,1508457600,8.34,8.4,8.13,8.24,248000
2017-10-23,1508716800,8.25,8.25,8.05,8.09,333600
2017-10-24,1508803200,8.1,8.25,8.1,8.14,178700
2017-10-25,1508889600,8.15,8.32,7.99,8.17,350100
