Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,35.04,35.55,34.85,35.53,2231600
2017-01-04,1483488000,35.56,35.68,35.17,35.34,1635000
2017-01-05,1483574400,35.28,35.48,34.53,34.91,2393900
2017-01-06,1483660800,35.05,35.49,34.99,35.26,2590000
2017-01-09,1483920000,35.5,35.52,34.66,34.67,2704400
2017-01-10,1484006400,34.84,35.01,34.61,34.84,2214500
2017-01-11,1484092800,34.71,35.5,34.61,35.49,2126400
2017-01-12,1484179200,35.45,35.46,34.81,35.35,1357100
2017-01-13,1484265600,35.44,35.74,35.43,35.59,1264700
2017-01-17,1484611200,35.43,35.44,34.88,35.02,1697700
2017-01-18,1484697600,35.09,35.25,34.94,35.15,1651300
2017-01-19,1484784000,35.32,35.5,34.88,35.11,1431100
2017-01-20,1484870400,35.26,35.51,35.03,35.21,1559900
2017-01-23,1485129600,35.21,35.33,34.72,35.12,1195900
2017-01-24,1485216000,35.28,35.94,35.12,35.86,2044400
2017-01-25,1485302400,36.1,36.95,36.1,36.9,3278100
2017-01-26,1485388800,36.71,37.16,36.46,36.97,2249900
2017-01-27,1485475200,36.87,37.01,36.71,36.78,1899800
2017-01-30,1485734400,36.82,36.82,36.12,36.5,2034900
2017-01-31,1485820800,36.33,36.76,36.01,36.69,3016700
2017-02-01,1485907200,36.79,37.17,36.43,36.97,3919500
2017-02-02,1485993600,36.65,37.32,35.98,36.3,4690700
2017-02-03,1486080000,36.46,36.67,36.09,36.4,2946200
2017-02-06,1486339200,36.34,36.45,36.01,36.28,2548200
2017-02-07,1486425600,36.46,36.86,36.36,36.41,2221400
2017-02-08,1486512000,36.3,36.41,36.0,36.27,2304700
2017-02-09,1486598400,36.27,36.95,36.27,36.7,2204400
2017-02-10,1486684800,36.82,36.89,36.7,36.81,1946100
2017-02-13,1486944000,36.97,37.46,36.97,37.43,2537100
2017-02-14,1487030400,37.32,37.42,37.11,37.33,2083900
2017-02-15,1487116800,37.36,37.47,37.16,37.38,1971800
2017-02-16,1487203200,37.35,37.45,36.93,37.21,2081000
2017-02-17,1487289600,37.09,37.13,36.75,37.13,2356700
2017-02-21,1487635200,37.14,37.4,37.11,37.27,1903500
2017-02-22,1487721600,37.16,37.71,37.08,37.58,2315200
2017-02-23,1487808000,37.75,37.8,37.19,37.39,2237900
2017-02-24,1487894400,37.09,37.53,36.87,37.53,2528800
2017-02-27,1488153600,37.43,37.69,37.39,37.51,2287700
2017-02-28,1488240000,37.51,37.63,37.17,37.31,2504200
2017-03-01,1488326400,37.74,38.29,37.74,37.97,2653600
2017-03-02,1488412800,37.98,38.02,37.52,37.69,2236600
2017-03-03,1488499200,37.75,37.86,37.32,37.6,2024900
2017-03-06,1488758400,37.23,37.7,37.15,37.55,2711700
2017-03-07,1488844800,37.44,37.63,37.34,37.39,1391900
2017-03-08,1488931200,37.42,37.81,37.38,37.54,2008700
2017-03-09,1489017600,37.49,37.7,37.23,37.42,2473200
2017-03-10,1489104000,37.65,37.94,37.63,37.89,2131100
2017-03-13,1489363200,37.98,38.14,37.82,38.02,1832600
2017-03-14,1489449600,37.74,37.81,37.36,37.54,1394800
2017-03-15,1489536000,37.7,38.72,37.64,38.66,2435600
2017-03-16,1489622400,38.54,38.86,38.2,38.34,2412600
