Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,62.45,62.71,61.2,62.18,316700
2017-01-04,1483488000,62.45,63.79,62.13,63.56,292800
2017-01-05,1483574400,63.47,63.96,62.52,63.74,384300
2017-01-06,1483660800,64.01,64.86,63.47,64.28,303100
2017-01-09,1483920000,64.05,64.5,63.21,64.19,616600
2017-01-10,1484006400,63.87,65.04,63.79,64.72,343500
2017-01-11,1484092800,64.59,65.04,63.79,64.81,328300
2017-01-12,1484179200,64.54,64.86,63.7,64.68,400800
2017-01-13,1484265600,65.12,66.15,64.99,65.57,361200
2017-01-17,1484611200,65.21,65.67,64.19,64.68,342800
2017-01-18,1484697600,64.77,65.26,63.83,65.21,324100
2017-01-19,1484784000,65.17,65.48,64.32,64.5,452900
2017-01-20,1484870400,64.63,65.12,64.45,65.08,291500
2017-01-23,1485129600,64.68,66.11,64.68,66.11,344300
2017-01-24,1485216000,66.42,67.6,66.15,67.22,318900
2017-01-25,1485302400,67.85,68.56,67.36,68.34,376600
2017-01-26,1485388800,68.7,69.05,67.98,68.87,424800
2017-01-27,1485475200,68.74,69.28,68.23,69.19,287400
2017-01-30,1485734400,68.74,69.1,67.85,68.65,335600
2017-01-31,1485820800,68.2,69.23,68.03,69.14,651100
2017-02-01,1485907200,70.48,71.6,69.1,69.32,1035700
2017-02-02,1485993600,68.83,69.5,67.58,69.36,920600
2017-02-03,1486080000,69.59,71.42,69.5,71.42,620700
2017-02-06,1486339200,70.35,72.98,70.26,72.44,703600
2017-02-07,1486425600,70.97,71.42,69.9,70.44,903900
2017-02-08,1486512000,70.03,70.03,66.73,69.19,643700
2017-02-09,1486598400,69.14,70.53,69.1,70.53,423200
2017-02-10,1486684800,70.48,70.75,69.54,70.12,397500
2017-02-13,1486944000,70.17,70.44,69.32,69.72,294100
2017-02-14,1487030400,69.77,70.66,69.45,70.3,292200
2017-02-15,1487116800,70.44,71.11,70.14,70.57,268000
2017-02-16,1487203200,71.37,71.95,70.84,71.55,606500
2017-02-17,1487289600,70.88,71.95,70.53,71.82,461700
2017-02-21,1487635200,72.13,72.58,71.6,71.73,500400
2017-02-22,1487721600,71.54,72.62,71.41,72.21,428700
2017-02-23,1487808000,72.17,72.21,70.83,72.13,400900
2017-02-24,1487894400,71.0,71.63,70.56,71.41,356500
2017-02-27,1488153600,71.18,72.39,71.18,71.54,586900
2017-02-28,1488240000,71.18,71.41,70.38,71.32,299800
2017-03-01,1488326400,72.62,73.77,72.39,73.16,581100
2017-03-02,1488412800,73.38,73.38,71.5,71.72,455000
2017-03-03,1488499200,71.86,72.96,71.72,72.75,330300
2017-03-06,1488758400,72.39,73.25,71.81,72.93,325200
2017-03-07,1488844800,72.84,73.42,72.39,72.62,377900
2017-03-08,1488931200,73.16,73.92,72.3,72.35,192800
2017-03-09,1489017600,72.75,73.38,72.39,72.93,391800
2017-03-10,1489104000,73.78,73.78,72.93,73.34,425600
2017-03-13,1489363200,73.34,74.28,72.98,73.78,320000
2017-03-14,1489449600,73.51,73.51,72.35,72.84,379500
2017-03-15,1489536000,73.29,74.14,72.84,73.29,368500
2017-03-16,1489622400,73.78,74.68,73.29,74.14,338200
2017-03-17,1489708800,74.23,74.41,72.84,73.42,638900
2017-03-20,1489968000,73.65,73.65,72.08,72.26,457200
2017-03-21,1490054400,72.93,72.93,68.85,69.03,600500
2017-03-22,1490140800,68.72,69.42,67.73,69.39,439900
2017-03-23,1490227200,69.44,70.29,68.78,69.53,224900
2017-03-24,1490313600,69.66,70.47,69.03,69.3,208100
2017-03-27,1490572800,67.96,68.14,66.12,67.78,371800
2017-03-28,1490659200,67.64,69.57,67.45,69.17,311600
2017-03-29,1490745600,68.99,69.08,68.33,68.76,220200
2017-03-30,1490832000,68.85,70.02,68.76,69.66,287000
2017-03-31,1490918400,69.66,70.2,69.17,69.84,311100
2017-04-03,1491177600,69.84,70.15,67.51,68.05,238700
2017-04-04,1491264000,67.6,68.58,67.43,68.09,584200
2017-04-05,1491350400,68.9,69.17,66.75,66.84,412800
2017-04-06,1491436800,67.24,68.76,66.34,68.31,355400
2017-04-07,1491523200,67.6,68.81,67.46,67.6,576000
2017-04-10,1491782400,67.82,68.23,67.01,67.78,533200
2017-04-11,1491868800,67.37,68.14,66.66,68.0,507100
2017-04-12,1491955200,68.05,68.05,66.61,67.24,504700
2017-04-13,1492041600,67.15,68.05,66.09,66.16,535100
2017-04-17,1492387200,66.3,67.51,65.85,67.51,237400
2017-04-18,1492473600,66.57,67.91,66.39,67.69,411400
2017-04-19,1492560000,68.31,69.17,68.0,68.18,480600
2017-04-20,1492646400,68.54,69.61,68.0,69.39,355200
2017-04-21,1492732800,69.44,69.88,68.85,68.94,365600
2017-04-24,1492992000,70.56,70.87,70.06,70.24,311200
2017-04-25,1493078400,70.74,71.09,69.93,70.65,822200
2017-04-26,1493164800,70.65,70.83,67.24,67.78,1170500
2017-04-27,1493251200,68.05,68.49,65.8,65.94,780800
2017-04-28,1493337600,66.3,67.3,65.89,66.12,605900
2017-05-01,1493596800,66.43,67.37,65.8,66.66,592600
2017-05-02,1493683200,66.75,66.97,65.89,66.88,606100
2017-05-03,1493769600,66.48,67.58,66.34,67.46,461700
2017-05-04,1493856000,67.82,68.05,66.39,67.24,413700
2017-05-05,1493942400,67.33,67.33,66.43,66.97,404000
2017-05-08,1494201600,67.01,67.37,65.98,66.16,499400
2017-05-09,1494288000,66.21,67.01,66.12,66.3,429200
2017-05-10,1494374400,65.85,66.3,65.58,65.89,668000
2017-05-11,1494460800,65.4,65.76,63.9,64.37,562700
