Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,96.87,99.22,96.44,97.57,1287500
2017-01-04,1483488000,97.57,99.08,96.84,97.88,1250200
2017-01-05,1483574400,98.22,99.76,97.16,97.97,1053100
2017-01-06,1483660800,97.94,99.03,96.44,97.96,1012000
2017-01-09,1483920000,97.25,97.34,95.72,95.85,658600
2017-01-10,1484006400,96.34,97.45,96.01,97.06,984300
2017-01-11,1484092800,96.89,98.75,96.3,98.2,1204100
2017-01-12,1484179200,98.79,99.49,97.04,97.88,1218000
2017-01-13,1484265600,97.46,97.46,95.56,95.79,1844800
2017-01-17,1484611200,96.71,97.26,94.29,94.92,1382200
2017-01-18,1484697600,94.04,95.9,93.68,94.99,811400
2017-01-19,1484784000,95.45,97.84,95.45,96.64,1098100
2017-01-20,1484870400,97.71,99.43,96.96,97.44,901200
2017-01-23,1485129600,96.87,97.54,95.68,96.57,706400
2017-01-24,1485216000,97.07,98.51,96.66,98.04,813000
2017-01-25,1485302400,97.88,101.19,97.88,99.34,1290700
2017-01-26,1485388800,100.1,102.54,100.1,100.83,1475900
2017-01-27,1485475200,100.8,101.87,100.2,100.82,660500
2017-01-30,1485734400,100.5,100.75,96.11,96.87,1513200
2017-01-31,1485820800,97.25,99.7,96.94,99.39,2493100
2017-02-01,1485907200,100.24,101.01,97.57,99.95,1550700
2017-02-02,1485993600,99.76,100.07,97.03,98.88,1206800
2017-02-03,1486080000,98.9,99.79,98.22,98.68,1032700
2017-02-06,1486339200,98.94,99.81,96.98,99.64,1294800
2017-02-07,1486425600,98.64,99.9,94.57,94.62,2002700
2017-02-08,1486512000,93.72,95.23,90.77,95.03,2248600
2017-02-09,1486598400,95.45,98.35,95.38,98.22,1200800
2017-02-10,1486684800,99.54,100.9,98.43,99.03,1246200
2017-02-13,1486944000,98.99,99.17,96.87,98.57,1388500
2017-02-14,1487030400,98.67,102.05,97.15,101.76,1964800
2017-02-15,1487116800,105.69,107.73,104.59,105.69,3582900
2017-02-16,1487203200,105.61,106.56,102.73,103.02,1506900
2017-02-17,1487289600,102.23,102.67,100.49,101.71,1432200
2017-02-21,1487635200,103.55,104.51,100.63,100.97,1567100
2017-02-22,1487721600,100.21,100.78,96.06,96.42,2243200
2017-02-23,1487808000,98.37,98.51,93.7,95.41,2407700
2017-02-24,1487894400,94.16,96.33,93.37,94.89,1963100
2017-02-27,1488153600,95.04,96.47,94.56,96.06,1056000
2017-02-28,1488240000,94.99,96.01,94.38,95.32,913200
2017-03-01,1488326400,96.94,100.13,95.84,99.9,2284400
2017-03-02,1488412800,98.7,100.36,97.97,98.11,1113300
2017-03-03,1488499200,98.34,99.46,97.58,97.89,770200
2017-03-06,1488758400,97.64,99.03,97.36,98.24,1018800
2017-03-07,1488844800,98.97,101.04,98.57,98.83,1973800
2017-03-08,1488931200,98.38,99.09,94.07,94.28,1979400
2017-03-09,1489017600,93.55,96.16,92.69,95.9,1507800
2017-03-10,1489104000,96.71,97.27,95.29,95.88,1975300
2017-03-13,1489363200,95.53,96.74,95.16,95.69,1190300
2017-03-14,1489449600,94.31,95.23,91.65,92.94,2139000
2017-03-15,1489536000,94.02,97.54,93.6,97.26,2054800
2017-03-16,1489622400,98.15,98.35,96.67,97.75,1832100
2017-03-17,1489708800,98.39,99.51,98.0,98.93,2046700
2017-03-20,1489968000,97.72,98.26,96.14,98.01,1588200
2017-03-21,1490054400,97.73,98.61,95.83,96.51,1354600
2017-03-22,1490140800,96.42,97.0,94.62,95.61,1204500
2017-03-23,1490227200,95.54,95.87,93.68,94.12,1856400
2017-03-24,1490313600,94.4,95.39,93.82,94.25,1228700
2017-03-27,1490572800,92.54,94.18,92.08,93.5,1341100
2017-03-28,1490659200,93.71,95.92,93.36,95.66,2503800
2017-03-29,1490745600,95.43,97.93,94.69,97.49,1848300
2017-03-30,1490832000,98.14,98.79,96.87,97.03,1472900
2017-03-31,1490918400,96.41,98.41,95.92,98.02,1217400
2017-04-03,1491177600,97.81,98.76,96.56,98.36,956800
2017-04-04,1491264000,97.9,101.04,97.49,100.9,2099800
2017-04-05,1491350400,101.77,102.22,97.16,97.28,1833900
2017-04-06,1491436800,98.11,99.35,97.76,98.92,1138500
2017-04-07,1491523200,99.16,99.77,97.71,98.64,942900
2017-04-10,1491782400,98.73,99.91,97.61,98.87,805300
2017-04-11,1491868800,99.14,100.25,97.73,100.13,1522400
2017-04-12,1491955200,100.28,102.02,99.63,100.48,1905600
2017-04-13,1492041600,100.78,101.79,98.72,99.27,1502100
2017-04-17,1492387200,99.1,99.9,98.29,99.36,917300
