Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,57.51,58.18,57.38,57.97,155000
2017-01-04,1483488000,58.24,58.52,57.92,58.46,152700
2017-01-05,1483574400,58.7,58.92,58.36,58.6,98300
2017-01-06,1483660800,58.68,58.68,56.74,56.96,189800
2017-01-09,1483920000,56.96,57.35,56.49,57.2,177900
2017-01-10,1484006400,56.91,57.71,56.34,57.63,200900
2017-01-11,1484092800,57.75,58.13,57.53,57.98,123100
2017-01-12,1484179200,57.72,57.99,56.97,57.33,120500
2017-01-13,1484265600,57.39,58.96,57.39,58.92,187700
2017-01-17,1484611200,58.72,58.9,57.5,57.63,160700
2017-01-18,1484697600,57.64,57.76,56.82,57.11,169000
2017-01-19,1484784000,56.93,57.14,56.04,56.73,163100
2017-01-20,1484870400,56.56,57.56,56.56,57.24,208000
2017-01-23,1485129600,57.16,57.16,54.93,55.1,233500
2017-01-24,1485216000,55.0,55.73,54.98,55.18,160800
2017-01-25,1485302400,55.59,56.14,55.52,55.91,113100
2017-01-26,1485388800,55.68,55.89,54.53,54.57,165700
2017-01-27,1485475200,54.84,54.84,53.92,54.14,179400
2017-01-30,1485734400,53.73,53.93,53.09,53.41,203500
2017-01-31,1485820800,53.67,54.25,53.08,54.22,246800
2017-02-01,1485907200,54.22,54.67,53.77,54.2,218200
2017-02-02,1485993600,54.21,54.9,53.54,54.81,211100
2017-02-03,1486080000,55.21,55.89,54.74,55.66,129700
2017-02-06,1486339200,55.93,55.93,55.06,55.54,173800
2017-02-07,1486425600,55.46,56.34,55.36,56.19,159500
2017-02-08,1486512000,56.4,56.4,55.58,55.62,254300
2017-02-09,1486598400,55.41,56.47,55.41,55.73,221500
2017-02-10,1486684800,55.98,56.23,55.67,55.82,230700
2017-02-13,1486944000,56.02,56.09,55.08,55.1,183100
2017-02-14,1487030400,55.11,55.54,54.66,55.16,202300
2017-02-15,1487116800,55.19,56.35,55.06,56.26,130300
2017-02-16,1487203200,56.26,56.48,55.7,55.95,118100
2017-02-17,1487289600,55.67,56.07,55.25,55.33,238400
2017-02-21,1487635200,58.18,59.48,56.81,57.57,282400
2017-02-22,1487721600,57.26,57.7,52.28,53.53,556100
2017-02-23,1487808000,53.53,54.45,53.0,53.67,430000
2017-02-24,1487894400,53.71,54.98,53.41,54.66,303600
2017-02-27,1488153600,54.46,55.08,54.09,54.54,374500
2017-02-28,1488240000,54.72,55.22,54.28,54.81,743700
2017-03-01,1488326400,55.39,55.63,54.96,55.19,286200
2017-03-02,1488412800,55.1,55.13,54.46,54.65,222700
2017-03-03,1488499200,54.64,54.82,54.26,54.65,190100
2017-03-06,1488758400,54.3,54.89,53.82,54.5,271700
2017-03-07,1488844800,54.65,55.08,54.48,54.51,312700
2017-03-08,1488931200,54.63,54.65,54.26,54.56,243600
2017-03-09,1489017600,54.64,54.96,54.4,54.61,152800
2017-03-10,1489104000,54.87,55.07,54.25,54.83,202800
2017-03-13,1489363200,54.81,55.05,54.44,54.83,279500
2017-03-14,1489449600,54.83,54.94,54.41,54.7,202400
2017-03-15,1489536000,54.85,55.07,54.55,54.9,264800
2017-03-16,1489622400,54.94,55.73,54.65,55.61,194000
2017-03-17,1489708800,55.51,55.87,54.92,55.43,325200
2017-03-20,1489968000,55.4,55.85,55.16,55.82,199800
2017-03-21,1490054400,55.78,56.01,54.56,54.63,191800
2017-03-22,1490140800,54.53,54.88,54.05,54.59,176500
2017-03-23,1490227200,54.64,55.47,54.07,55.22,197500
2017-03-24,1490313600,55.23,55.56,54.54,55.37,184800
2017-03-27,1490572800,54.83,56.06,54.83,55.8,183500
2017-03-28,1490659200,55.53,56.46,55.19,55.84,271500
2017-03-29,1490745600,55.7,56.2,55.59,56.12,178000
2017-03-30,1490832000,55.93,56.36,55.77,55.94,105100
2017-03-31,1490918400,55.78,56.51,55.78,56.24,213700
2017-04-03,1491177600,56.21,56.92,56.16,56.48,122700
2017-04-04,1491264000,56.44,56.57,56.09,56.54,147500
2017-04-05,1491350400,56.72,57.41,56.42,56.67,138400
2017-04-06,1491436800,56.52,56.76,56.13,56.43,175900
2017-04-07,1491523200,56.53,56.69,56.12,56.27,156300
2017-04-10,1491782400,56.26,56.79,55.88,56.13,138300
2017-04-11,1491868800,56.13,56.61,55.89,56.56,148400
