Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.87,10.04,9.7,10.03,116800
2017-01-04,1483488000,10.01,10.37,9.99,10.32,200800
2017-01-05,1483574400,10.32,10.36,10.03,10.33,114200
2017-01-06,1483660800,10.27,10.36,10.23,10.33,65200
2017-01-09,1483920000,10.04,10.06,9.79,10.0,178100
2017-01-10,1484006400,10.11,10.12,9.87,9.91,95700
2017-01-11,1484092800,9.87,10.02,9.87,9.99,60200
2017-01-12,1484179200,10.0,10.1,9.94,10.09,67800
2017-01-13,1484265600,10.05,10.15,9.92,10.09,56700
2017-01-17,1484611200,10.07,10.18,10.01,10.1,66500
2017-01-18,1484697600,10.1,10.17,10.1,10.13,46100
2017-01-19,1484784000,10.15,10.15,9.98,10.09,38700
2017-01-20,1484870400,10.1,10.27,10.1,10.27,40000
2017-01-23,1485129600,10.25,10.27,10.05,10.09,60100
2017-01-24,1485216000,10.1,10.32,10.04,10.28,116600
2017-01-25,1485302400,10.3,10.32,10.17,10.28,87400
2017-01-26,1485388800,10.24,10.31,10.15,10.29,70800
2017-01-27,1485475200,10.22,10.26,10.07,10.13,60800
2017-01-30,1485734400,10.07,10.12,9.89,9.99,116700
2017-01-31,1485820800,10.04,10.04,9.84,9.86,134200
2017-02-01,1485907200,9.88,9.95,9.78,9.87,105900
2017-02-02,1485993600,9.87,9.95,9.82,9.86,85600
2017-02-03,1486080000,9.87,9.96,9.81,9.91,148900
2017-02-06,1486339200,9.87,10.08,9.87,10.07,60000
2017-02-07,1486425600,10.1,10.12,9.97,10.05,65700
2017-02-08,1486512000,10.06,10.19,9.94,10.19,49400
2017-02-09,1486598400,10.13,10.17,9.93,9.96,79600
2017-02-10,1486684800,9.92,10.03,9.9,9.97,77200
2017-02-13,1486944000,10.04,10.08,9.95,10.07,118200
2017-02-14,1487030400,10.09,10.22,10.04,10.16,95200
2017-02-15,1487116800,10.15,10.21,10.05,10.17,128000
2017-02-16,1487203200,10.2,10.33,10.09,10.33,102600
2017-02-17,1487289600,10.25,10.33,10.22,10.3,63100
2017-02-21,1487635200,10.32,10.37,10.27,10.35,104900
2017-02-22,1487721600,10.31,10.38,10.27,10.35,76800
2017-02-23,1487808000,10.37,10.38,10.22,10.34,107800
2017-02-24,1487894400,10.37,10.38,10.28,10.38,108800
2017-02-27,1488153600,10.38,10.38,10.3,10.33,85000
2017-02-28,1488240000,10.3,10.54,10.27,10.42,224200
2017-03-01,1488326400,10.46,10.53,10.37,10.41,95700
2017-03-02,1488412800,10.41,10.61,10.38,10.56,222000
2017-03-03,1488499200,10.58,10.83,10.58,10.7,204600
2017-03-06,1488758400,10.7,10.89,10.58,10.82,173400
2017-03-07,1488844800,10.84,10.89,10.71,10.76,199800
2017-03-08,1488931200,10.66,10.83,10.54,10.56,136300
2017-03-09,1489017600,10.53,10.65,10.5,10.5,73700
2017-03-10,1489104000,10.54,10.9,10.54,10.81,152700
2017-03-13,1489363200,10.81,10.83,10.68,10.71,125500
2017-03-14,1489449600,10.65,10.72,10.5,10.56,106700
2017-03-15,1489536000,10.83,10.9,10.6,10.86,157900
2017-03-16,1489622400,10.8,10.9,10.8,10.86,116400
2017-03-17,1489708800,10.83,11.05,10.79,10.96,343500
2017-03-20,1489968000,10.95,10.98,10.87,10.93,98000
2017-03-21,1490054400,10.94,10.94,10.72,10.73,77600
2017-03-22,1490140800,10.72,10.79,10.49,10.52,75900
2017-03-23,1490227200,10.51,10.92,10.51,10.9,101800
2017-03-24,1490313600,10.9,10.98,10.68,10.72,100800
2017-03-27,1490572800,10.64,10.79,10.58,10.73,49000
2017-03-28,1490659200,10.76,10.86,10.74,10.77,46600
2017-03-29,1490745600,10.76,10.92,10.73,10.91,49400
2017-03-30,1490832000,10.93,11.05,10.9,11.02,76200
2017-03-31,1490918400,11.04,11.17,10.94,11.16,123700
2017-04-03,1491177600,11.14,11.32,11.06,11.1,124400
2017-04-04,1491264000,11.09,11.17,10.99,11.04,59400
2017-04-05,1491350400,11.05,11.16,10.84,10.86,77600
2017-04-06,1491436800,10.95,11.18,10.83,11.12,53000
2017-04-07,1491523200,11.12,11.23,11.1,11.19,66100
2017-04-10,1491782400,11.14,11.26,11.11,11.13,74400
2017-04-11,1491868800,11.16,11.3,11.12,11.3,46800
2017-04-12,1491955200,11.3,11.35,11.26,11.31,115100
2017-04-13,1492041600,11.3,11.33,11.14,11.21,84000
2017-04-17,1492387200,11.24,11.42,11.21,11.3,93300
2017-04-18,1492473600,11.28,11.43,11.24,11.42,73400
2017-04-19,1492560000,11.45,11.54,11.37,11.47,84500
2017-04-20,1492646400,11.42,11.48,11.1,11.1,124200
2017-04-21,1492732800,11.18,11.41,11.18,11.33,87300
2017-04-24,1492992000,11.4,11.4,11.27,11.33,57600
2017-04-25,1493078400,11.33,11.56,11.3,11.39,115500
2017-04-26,1493164800,11.44,11.44,11.27,11.35,72100
2017-04-27,1493251200,11.35,11.53,11.35,11.41,91400
2017-04-28,1493337600,11.4,11.48,11.3,11.38,68500
2017-05-01,1493596800,11.42,11.5,11.34,11.36,56900
2017-05-02,1493683200,11.41,11.46,11.24,11.33,82600
2017-05-03,1493769600,11.25,11.35,11.25,11.34,64300
2017-05-04,1493856000,11.32,11.33,10.55,10.85,185900
2017-05-05,1493942400,10.52,10.79,10.1,10.65,247900
2017-05-08,1494201600,10.65,10.73,10.51,10.64,96100
2017-05-09,1494288000,10.62,10.7,10.32,10.39,106100
2017-05-10,1494374400,10.32,10.73,10.32,10.58,121700
2017-05-11,1494460800,10.62,10.85,10.56,10.81,98800
2017-05-12,1494547200,10.78,10.79,10.71,10.75,58500
2017-05-15,1494806400,10.76,11.03,10.72,10.86,66700
2017-05-16,1494892800,10.86,11.14,10.81,11.05,81200
2017-05-17,1494979200,10.9,11.06,10.85,10.87,88400
2017-05-18,1495065600,10.81,11.27,10.81,10.86,63900
2017-05-19,1495152000,11.03,11.03,10.67,10.67,118500
2017-05-22,1495411200,10.78,11.08,10.72,11.02,87800
2017-05-23,1495497600,11.12,11.12,10.81,11.02,46300
2017-05-24,1495584000,10.98,11.14,10.92,10.95,50500
2017-05-25,1495670400,11.07,11.14,10.81,10.86,72000
2017-05-26,1495756800,10.93,11.08,10.81,10.89,35300
2017-05-30,1496102400,10.95,10.95,10.74,10.78,38500
2017-05-31,1496188800,10.76,11.0,10.43,10.45,142400
2017-06-01,1496275200,10.53,10.76,10.51,10.69,45200
2017-06-02,1496361600,10.71,10.98,10.69,10.9,68700
2017-06-05,1496620800,10.89,11.09,10.86,11.06,73600
2017-06-06,1496707200,11.02,11.26,11.02,11.25,127700
2017-06-07,1496793600,11.04,11.22,10.88,10.97,196700
2017-06-08,1496880000,11.05,11.16,10.99,11.08,148500
2017-06-09,1496966400,11.08,11.17,11.0,11.0,101200
2017-06-12,1497225600,11.02,11.12,10.94,11.01,50500
2017-06-13,1497312000,10.99,11.13,10.88,11.1,63900
2017-06-14,1497398400,11.12,11.25,10.99,11.02,75000
2017-06-15,1497484800,10.99,11.13,10.89,11.07,32700
2017-06-16,1497571200,11.06,11.16,10.97,11.09,37500
2017-06-19,1497830400,11.07,11.36,11.07,11.2,82600
2017-06-20,1497916800,10.91,10.95,10.84,10.84,754700
2017-06-21,1498003200,10.85,10.93,10.79,10.8,219100
2017-06-22,1498089600,10.89,10.92,10.78,10.87,159800
2017-06-23,1498176000,10.93,10.95,10.83,10.91,117600
2017-06-26,1498435200,10.89,10.94,10.84,10.88,95800
2017-06-27,1498521600,10.89,10.94,10.84,10.85,98700
2017-06-28,1498608000,10.78,10.96,10.78,10.94,96700
2017-06-29,1498694400,10.96,11.07,10.85,10.97,109000
2017-06-30,1498780800,10.92,10.99,10.84,10.92,101300
2017-07-03,1499040000,10.91,11.04,10.9,10.97,24800
2017-07-05,1499212800,10.93,11.04,10.87,10.94,55800
2017-07-06,1499299200,10.91,11.0,10.81,10.89,92700
2017-07-07,1499385600,10.86,10.92,10.81,10.91,47500
2017-07-10,1499644800,10.86,10.97,10.86,10.93,58200
2017-07-11,1499731200,10.97,10.97,10.82,10.89,45500
2017-07-12,1499817600,10.97,10.97,10.85,10.91,47200
2017-07-13,1499904000,10.97,10.97,10.88,10.93,49200
2017-07-14,1499990400,10.91,10.97,10.91,10.97,60200
2017-07-17,1500249600,10.94,11.06,10.88,10.96,49000
2017-07-18,1500336000,10.95,11.03,10.88,10.91,47200
2017-07-19,1500422400,10.96,11.02,10.88,11.02,40800
2017-07-20,1500508800,11.04,11.04,10.91,10.95,44200
2017-07-21,1500595200,10.91,11.0,10.91,10.92,71700
2017-07-24,1500854400,10.89,11.02,10.89,10.95,55900
2017-07-25,1500940800,10.94,11.0,10.89,10.94,52400
2017-07-26,1501027200,10.94,11.02,10.91,11.0,62800
2017-07-27,1501113600,11.02,11.06,10.95,11.06,69700
2017-07-28,1501200000,11.02,11.03,10.91,10.92,48500
2017-07-31,1501459200,10.92,11.02,10.89,10.95,36600
2017-08-01,1501545600,10.89,11.02,10.51,10.63,192700
2017-08-02,1501632000,10.71,10.8,10.52,10.71,85500
2017-08-03,1501718400,10.71,10.8,10.67,10.72,53400
2017-08-04,1501804800,10.81,10.9,10.74,10.82,80200
2017-08-07,1502064000,10.84,10.91,10.8,10.8,61800
2017-08-08,1502150400,10.86,10.87,10.8,10.82,40900
2017-08-09,1502236800,10.81,10.91,10.72,10.88,82000
2017-08-10,1502323200,10.82,10.82,10.53,10.66,86300
2017-08-11,1502409600,10.6,10.65,10.49,10.55,100200
2017-08-14,1502668800,10.45,10.76,10.45,10.61,127400
2017-08-15,1502755200,10.69,10.89,10.62,10.82,58800
2017-08-16,1502841600,10.82,10.82,10.65,10.65,57600
2017-08-17,1502928000,10.63,10.68,10.56,10.62,53100
2017-08-18,1503014400,10.57,10.58,10.52,10.52,56500
2017-08-21,1503273600,10.52,10.61,10.52,10.58,66600
2017-08-22,1503360000,10.56,10.71,10.52,10.58,68600
2017-08-23,1503446400,10.54,10.76,10.54,10.65,87600
2017-08-24,1503532800,10.63,10.68,10.49,10.5,74100
2017-08-25,1503619200,10.48,10.69,10.48,10.58,66600
2017-08-28,1503878400,10.63,10.69,10.58,10.62,54800
2017-08-29,1503964800,10.57,10.62,10.52,10.56,60800
2017-08-30,1504051200,10.51,10.58,10.49,10.56,54200
2017-08-31,1504137600,10.58,10.68,10.45,10.46,141300
2017-09-01,1504224000,10.49,10.66,10.42,10.55,122200
2017-09-05,1504569600,10.58,10.62,10.46,10.55,60600
2017-09-06,1504656000,10.57,10.63,10.45,10.54,79400
2017-09-07,1504742400,10.64,10.68,10.4,10.54,102200
2017-09-08,1504828800,10.48,10.66,10.48,10.6,67000
2017-09-11,1505088000,10.58,10.72,10.56,10.62,55900
2017-09-12,1505174400,10.61,10.65,10.51,10.54,44700
2017-09-13,1505260800,10.54,10.62,10.49,10.51,57200
2017-09-14,1505347200,10.48,10.63,10.48,10.54,64000
2017-09-15,1505433600,10.48,10.64,10.48,10.64,58300
2017-09-18,1505692800,10.58,10.62,10.46,10.52,76500
2017-09-19,1505779200,10.56,10.7,10.48,10.56,73800
2017-09-20,1505865600,10.58,10.72,10.52,10.58,73200
2017-09-21,1505952000,10.5,10.62,10.4,10.58,101700
2017-09-22,1506038400,10.59,10.66,10.46,10.58,80700
2017-09-25,1506297600,10.54,10.73,10.48,10.62,124600
2017-09-26,1506384000,10.58,10.75,10.58,10.7,73100
2017-09-27,1506470400,10.75,10.81,10.66,10.74,58600
2017-09-28,1506556800,10.68,10.75,10.63,10.72,57200
2017-09-29,1506643200,10.65,10.76,10.64,10.7,61100
2017-10-02,1506902400,10.73,10.77,10.65,10.72,50100
2017-10-03,1506988800,10.7,10.8,10.66,10.78,45000
2017-10-04,1507075200,10.74,10.8,10.71,10.74,67100
2017-10-05,1507161600,10.74,10.74,10.67,10.68,34900
2017-10-06,1507248000,10.68,10.72,10.62,10.66,70600
2017-10-09,1507507200,10.68,10.74,10.66,10.74,53300
2017-10-10,1507593600,10.78,10.78,10.64,10.76,49000
2017-10-11,1507680000,10.69,10.76,10.62,10.72,60800
2017-10-12,1507766400,10.76,10.77,10.66,10.75,39000
2017-10-13,1507852800,10.78,10.78,10.66,10.76,98600
2017-10-16,1508112000,10.76,10.88,10.72,10.88,40900
2017-10-17,1508198400,10.86,10.93,10.61,10.63,87200
2017-10-18,1508284800,10.84,11.06,10.78,10.92,165200
2017-10-19,1508371200,10.82,10.9,10.8,10.9,66600
2017-10-20,1508457600,10.91,11.04,10.91,11.0,46200
2017-10-23,1508716800,10.99,11.04,10.94,10.99,55100
2017-10-24,1508803200,10.97,11.04,10.95,10.98,43800
2017-10-25,1508889600,11.02,11.04,10.84,10.98,83700
2017-10-26,1508976000,10.97,11.13,10.95,11.11,49200
2017-10-27,1509062400,11.11,11.24,10.94,11.2,61800
2017-10-30,1509321600,11.14,11.21,11.12,11.13,45800
2017-10-31,1509408000,11.14,11.24,11.11,11.11,83300
2017-11-01,1509494400,11.14,11.27,11.08,11.16,63200
2017-11-02,1509580800,11.11,11.24,10.71,10.9,154400
2017-11-03,1509667200,10.94,11.16,10.84,10.9,97700
2017-11-06,1509926400,10.94,11.04,10.85,11.04,90500
2017-11-07,1510012800,10.98,11.02,10.92,10.95,51700
2017-11-08,1510099200,10.89,10.99,10.89,10.96,37200
2017-11-09,1510185600,10.88,11.04,10.54,10.72,180400
2017-11-10,1510272000,10.72,10.83,10.6,10.68,108900
2017-11-13,1510531200,10.64,10.74,10.52,10.55,99100
2017-11-14,1510617600,10.52,10.78,10.51,10.62,71800
2017-11-15,1510704000,10.6,10.71,10.58,10.65,76900
2017-11-16,1510790400,10.64,10.7,10.6,10.62,64600
2017-11-17,1510876800,10.62,10.67,10.58,10.65,67000
2017-11-20,1511136000,10.67,10.86,10.62,10.76,79400
2017-11-21,1511222400,10.82,10.84,10.71,10.74,49300
2017-11-22,1511308800,10.73,10.78,10.71,10.77,35600
2017-11-24,1511481600,10.9,11.04,10.84,11.0,54000
2017-11-27,1511740800,11.0,11.0,10.74,10.74,79700
2017-11-28,1511827200,10.74,10.83,10.74,10.82,73400
2017-11-29,1511913600,10.84,10.88,10.6,10.62,90100
2017-11-30,1512000000,10.64,10.72,10.54,10.6,99500
2017-12-01,1512086400,10.6,10.72,10.54,10.66,80300
2017-12-04,1512345600,10.74,10.86,10.59,10.64,81800
2017-12-05,1512432000,10.64,10.68,10.53,10.62,102900
