Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,25.0,25.28,24.57,24.96,73900
2017-01-04,1483488000,24.95,26.8,24.69,25.1,58700
2017-01-05,1483574400,24.9,24.9,24.18,24.23,57200
2017-01-06,1483660800,24.43,24.51,24.12,24.38,31200
2017-01-09,1483920000,24.18,24.42,23.88,24.09,65000
2017-01-10,1484006400,24.06,24.68,24.05,24.48,58900
2017-01-11,1484092800,24.61,24.67,23.91,24.61,36200
2017-01-12,1484179200,24.23,24.43,23.76,23.96,37700
2017-01-13,1484265600,24.17,24.7,24.17,24.33,32700
2017-01-17,1484611200,24.03,24.04,23.48,23.54,221900
2017-01-18,1484697600,23.76,23.96,23.5,23.65,48700
2017-01-19,1484784000,23.65,23.65,23.39,23.5,36600
2017-01-20,1484870400,23.55,23.69,23.31,23.39,88700
2017-01-23,1485129600,23.33,23.65,23.33,23.52,42500
2017-01-24,1485216000,23.7,24.27,23.51,24.19,41600
2017-01-25,1485302400,24.5,24.53,24.1,24.4,31300
2017-01-26,1485388800,24.51,24.56,24.19,24.28,23200
2017-01-27,1485475200,24.31,24.4,24.07,24.09,27300
2017-01-30,1485734400,23.81,23.81,23.23,23.26,42800
2017-01-31,1485820800,23.03,23.16,21.99,22.81,80100
2017-02-01,1485907200,24.09,24.7,23.06,23.24,82600
2017-02-02,1485993600,23.18,23.42,22.82,22.89,39600
2017-02-03,1486080000,23.26,23.86,23.22,23.7,52300
2017-02-06,1486339200,23.45,23.87,23.11,23.22,46300
2017-02-07,1486425600,23.21,23.74,23.05,23.18,107200
2017-02-08,1486512000,22.93,22.98,22.53,22.81,89100
2017-02-09,1486598400,22.73,23.31,22.7,23.21,33200
2017-02-10,1486684800,23.35,23.58,22.98,23.54,58500
2017-02-13,1486944000,23.66,23.95,23.66,23.91,41300
2017-02-14,1487030400,23.96,23.96,23.28,23.92,50200
2017-02-15,1487116800,23.87,24.03,23.8,23.94,23800
2017-02-16,1487203200,23.93,24.07,23.73,24.04,40600
2017-02-17,1487289600,24.02,24.31,23.73,24.26,55000
2017-02-21,1487635200,24.12,24.23,23.9,24.08,33700
2017-02-22,1487721600,24.03,24.12,23.91,24.07,34700
2017-02-23,1487808000,24.02,24.21,23.66,24.02,40700
2017-02-24,1487894400,23.69,23.95,23.67,23.94,36600
2017-02-27,1488153600,24.06,24.18,23.67,23.84,38800
2017-02-28,1488240000,23.69,23.77,23.24,23.43,72200
2017-03-01,1488326400,24.1,24.64,23.35,24.61,88900
2017-03-02,1488412800,24.6,24.68,23.9,23.92,28700
2017-03-03,1488499200,24.07,24.7,23.63,23.78,56000
2017-03-06,1488758400,23.6,23.6,23.08,23.19,53800
2017-03-07,1488844800,23.12,23.6,23.12,23.3,53700
2017-03-08,1488931200,23.61,23.61,22.95,22.96,51800
2017-03-09,1489017600,23.03,23.26,22.75,22.8,21600
2017-03-10,1489104000,22.99,22.99,22.58,22.75,50000
2017-03-13,1489363200,22.65,23.04,22.65,22.84,39400
2017-03-14,1489449600,22.68,22.97,22.54,22.87,26600
2017-03-15,1489536000,23.04,23.12,22.86,22.96,56000
2017-03-16,1489622400,23.07,23.13,22.87,23.1,28500
2017-03-17,1489708800,22.87,23.24,22.61,23.18,95400
2017-03-20,1489968000,23.15,23.56,22.76,22.8,28700
2017-03-21,1490054400,22.96,22.96,21.4,21.44,48200
2017-03-22,1490140800,21.48,21.73,21.02,21.29,53100
2017-03-23,1490227200,21.33,22.12,21.33,21.99,60000
2017-03-24,1490313600,22.1,22.26,21.87,21.96,34800
2017-03-27,1490572800,21.4,22.14,21.32,22.0,42700
2017-03-28,1490659200,21.89,22.48,21.89,22.37,42700
2017-03-29,1490745600,22.26,22.34,22.14,22.25,33100
2017-03-30,1490832000,22.11,23.01,22.11,22.91,38900
2017-03-31,1490918400,22.93,23.04,22.53,22.68,78700
2017-04-03,1491177600,22.92,22.92,22.06,22.57,84900
2017-04-04,1491264000,22.39,22.71,22.38,22.62,40300
2017-04-05,1491350400,22.71,22.91,21.83,21.84,45600
2017-04-06,1491436800,21.83,22.2,21.74,22.05,46500
2017-04-07,1491523200,21.9,22.18,21.88,22.05,31800
2017-04-10,1491782400,22.26,22.46,21.67,21.83,46500
2017-04-11,1491868800,21.62,22.21,21.62,22.2,39400
2017-04-12,1491955200,22.07,22.1,21.51,21.69,97900
2017-04-13,1492041600,21.54,21.68,20.84,20.84,54700
2017-04-17,1492387200,20.93,21.38,20.48,21.36,61400
2017-04-18,1492473600,21.17,21.56,21.15,21.55,49600
2017-04-19,1492560000,21.66,21.94,21.65,21.83,39300
2017-04-20,1492646400,21.77,22.47,21.77,22.42,60700
2017-04-21,1492732800,22.22,22.61,22.19,22.45,53900
2017-04-24,1492992000,23.13,23.91,22.95,23.12,46100
2017-04-25,1493078400,23.18,23.59,23.13,23.16,52400
2017-04-26,1493164800,23.78,26.75,23.78,25.81,356800
2017-04-27,1493251200,25.89,26.05,25.57,25.63,137100
2017-04-28,1493337600,25.7,25.94,24.85,24.88,80900
2017-05-01,1493596800,25.17,26.01,25.02,25.24,57400
2017-05-02,1493683200,25.4,25.54,24.91,25.09,57000
2017-05-03,1493769600,25.02,25.53,24.95,25.19,65000
2017-05-04,1493856000,25.36,25.69,25.26,25.56,49300
2017-05-05,1493942400,25.72,26.02,25.13,25.53,46800
2017-05-08,1494201600,25.49,25.65,25.17,25.56,65300
2017-05-09,1494288000,25.49,25.49,25.15,25.4,85800
2017-05-10,1494374400,25.19,25.4,24.84,24.97,45200
2017-05-11,1494460800,24.66,24.9,24.32,24.7,50700
2017-05-12,1494547200,24.51,24.62,23.91,24.43,29300
2017-05-15,1494806400,24.33,25.17,24.33,24.68,36000
2017-05-16,1494892800,24.7,24.78,24.32,24.75,42900
2017-05-17,1494979200,24.15,24.39,23.56,23.6,66300
2017-05-18,1495065600,23.58,23.86,23.13,23.59,49500
2017-05-19,1495152000,23.57,23.88,23.19,23.21,86100
2017-05-22,1495411200,23.25,23.69,23.17,23.65,49600
2017-05-23,1495497600,23.71,23.8,23.35,23.72,50300
2017-05-24,1495584000,23.72,23.78,23.21,23.5,45500
2017-05-25,1495670400,23.56,23.68,23.13,23.47,53500
2017-05-26,1495756800,23.44,23.87,23.19,23.41,25400
2017-05-30,1496102400,23.21,23.34,22.88,23.22,49700
2017-05-31,1496188800,23.31,23.56,22.48,23.45,49300
2017-06-01,1496275200,23.56,23.89,23.14,23.85,76200
2017-06-02,1496361600,23.67,24.23,23.58,23.9,66500
2017-06-05,1496620800,23.89,24.57,23.37,23.37,33800
2017-06-06,1496707200,23.08,23.46,22.89,23.33,93700
2017-06-07,1496793600,23.45,23.74,23.36,23.5,52400
2017-06-08,1496880000,23.67,24.52,23.46,24.28,71200
2017-06-09,1496966400,24.48,25.17,24.28,25.17,108200
2017-06-12,1497225600,25.23,26.05,24.75,25.02,57900
2017-06-13,1497312000,25.02,25.19,24.67,24.86,43700
2017-06-14,1497398400,24.69,25.05,24.21,24.86,56800
2017-06-15,1497484800,24.49,25.03,24.49,24.81,35100
2017-06-16,1497571200,24.46,25.06,24.29,24.35,119400
2017-06-19,1497830400,24.58,24.8,24.31,24.41,47700
2017-06-20,1497916800,24.27,24.35,23.91,24.04,34600
2017-06-21,1498003200,24.07,24.11,23.46,23.5,39600
2017-06-22,1498089600,23.49,23.63,23.07,23.41,39900
2017-06-23,1498176000,23.4,23.86,23.17,23.51,140600
2017-06-26,1498435200,23.56,23.89,23.39,23.66,34600
2017-06-27,1498521600,23.65,24.33,23.51,23.78,76300
2017-06-28,1498608000,23.9,24.18,23.77,23.96,47000
2017-06-29,1498694400,24.19,24.48,23.53,24.03,75200
2017-06-30,1498780800,24.12,24.17,23.72,23.95,58000
2017-07-03,1499040000,24.03,24.89,23.92,24.66,24500
2017-07-05,1499212800,24.59,24.59,23.89,24.25,39900
2017-07-06,1499299200,24.11,24.35,23.81,23.98,36700
2017-07-07,1499385600,23.88,24.49,23.88,24.41,40100
2017-07-10,1499644800,24.29,24.61,24.01,24.22,38800
2017-07-11,1499731200,24.21,24.21,23.67,24.12,56400
2017-07-12,1499817600,24.08,24.4,23.96,24.16,31400
2017-07-13,1499904000,24.14,24.14,23.87,24.0,39400
2017-07-14,1499990400,23.74,24.0,23.39,23.77,72900
2017-07-17,1500249600,23.62,23.99,23.61,23.81,36100
2017-07-18,1500336000,23.59,24.16,23.59,23.98,77000
2017-07-19,1500422400,23.96,24.25,23.9,24.07,19800
2017-07-20,1500508800,24.06,24.1,23.79,23.98,21000
2017-07-21,1500595200,24.24,24.24,23.73,23.89,75200
2017-07-24,1500854400,23.87,24.07,23.58,23.92,22300
2017-07-25,1500940800,24.25,24.25,23.61,24.13,73800
2017-07-26,1501027200,24.07,24.14,23.39,23.79,52800
2017-07-27,1501113600,23.93,24.35,23.62,23.92,97600
2017-07-28,1501200000,23.91,24.59,23.86,24.11,98200
2017-07-31,1501459200,24.3,24.52,24.02,24.24,36100
2017-08-01,1501545600,24.44,24.58,24.17,24.55,57200
2017-08-02,1501632000,24.56,24.75,24.35,24.6,78100
2017-08-03,1501718400,24.63,24.69,24.37,24.46,64400
2017-08-04,1501804800,24.64,24.83,24.39,24.46,35500
2017-08-07,1502064000,24.45,24.48,24.3,24.4,46100
2017-08-08,1502150400,24.35,24.79,24.25,24.39,98700
2017-08-09,1502236800,24.35,24.52,23.88,23.96,115700
2017-08-10,1502323200,23.84,23.84,23.36,23.39,82600
2017-08-11,1502409600,23.51,23.59,22.66,22.94,58400
2017-08-14,1502668800,23.28,23.88,23.28,23.74,43100
2017-08-15,1502755200,23.88,23.9,23.21,23.21,33600
2017-08-16,1502841600,23.3,23.47,23.0,23.13,29700
2017-08-17,1502928000,22.96,23.17,22.59,22.62,84000
2017-08-18,1503014400,22.38,22.92,22.27,22.77,120500
2017-08-21,1503273600,22.68,22.94,22.5,22.83,39600
2017-08-22,1503360000,23.01,23.05,22.89,22.94,35600
2017-08-23,1503446400,22.7,23.15,22.7,22.94,41800
2017-08-24,1503532800,23.02,23.18,22.89,23.11,31400
2017-08-25,1503619200,23.18,23.43,22.92,23.29,25200
2017-08-28,1503878400,23.34,23.34,22.95,23.06,48300
2017-08-29,1503964800,23.01,23.36,22.94,23.12,39200
2017-08-30,1504051200,23.11,23.38,23.04,23.18,39300
2017-08-31,1504137600,23.24,23.51,23.11,23.22,46100
2017-09-01,1504224000,23.21,23.5,22.97,23.35,24700
2017-09-05,1504569600,23.34,23.34,22.74,22.75,42000
2017-09-06,1504656000,22.87,23.15,22.61,22.72,62900
2017-09-07,1504742400,22.67,22.67,22.24,22.56,67000
2017-09-08,1504828800,22.48,22.91,22.22,22.76,34300
2017-09-11,1505088000,22.9,23.19,22.62,23.0,27200
2017-09-12,1505174400,23.11,23.52,22.3,23.25,32700
2017-09-13,1505260800,23.3,23.61,23.26,23.43,30900
2017-09-14,1505347200,23.45,23.67,23.19,23.29,26400
2017-09-15,1505433600,23.32,23.46,22.89,23.38,118600
2017-09-18,1505692800,23.54,24.12,23.54,23.73,33900
2017-09-19,1505779200,23.73,23.9,23.63,23.7,23600
2017-09-20,1505865600,23.73,24.33,23.61,24.0,58500
2017-09-21,1505952000,24.02,24.49,23.78,24.19,60100
2017-09-22,1506038400,24.23,24.37,24.23,24.3,59000
2017-09-25,1506297600,24.45,24.61,24.3,24.45,35200
2017-09-26,1506384000,24.57,24.76,24.46,24.54,66700
2017-09-27,1506470400,24.9,25.93,24.9,25.5,114400
2017-09-28,1506556800,25.59,25.85,25.23,25.77,55100
2017-09-29,1506643200,25.87,25.95,25.2,25.42,135800
2017-10-02,1506902400,25.5,26.24,25.39,26.2,110000
2017-10-03,1506988800,26.29,26.4,25.91,26.36,61700
2017-10-04,1507075200,26.41,26.41,25.87,26.03,98200
2017-10-05,1507161600,26.14,26.4,26.07,26.3,55900
2017-10-06,1507248000,26.29,26.43,26.21,26.33,51500
2017-10-09,1507507200,26.46,26.47,26.16,26.26,48100
2017-10-10,1507593600,26.39,26.51,26.09,26.51,61000
2017-10-11,1507680000,26.5,26.76,26.32,26.56,71400
2017-10-12,1507766400,26.59,26.64,26.2,26.25,44200
2017-10-13,1507852800,26.17,26.21,25.93,26.03,40800
2017-10-16,1508112000,26.15,26.3,25.97,26.14,53400
2017-10-17,1508198400,26.13,26.26,25.9,25.95,34300
2017-10-18,1508284800,25.98,26.37,25.9,26.31,39600
2017-10-19,1508371200,26.11,26.36,25.69,26.3,51000
2017-10-20,1508457600,26.63,26.82,26.32,26.75,71800
2017-10-23,1508716800,26.9,26.9,26.39,26.52,59900
2017-10-24,1508803200,26.67,26.74,26.38,26.43,53400
2017-10-25,1508889600,26.47,26.67,26.02,26.34,61000
2017-10-26,1508976000,26.38,26.67,26.32,26.47,31600
2017-10-27,1509062400,26.49,26.9,26.37,26.73,43200
2017-10-30,1509321600,26.63,26.63,25.4,25.53,41800
2017-10-31,1509408000,25.72,25.85,25.53,25.64,67500
2017-11-01,1509494400,24.34,25.2,21.03,23.83,91200
2017-11-02,1509580800,24.25,24.87,23.89,24.72,81400
2017-11-03,1509667200,24.72,24.72,24.24,24.31,49500
2017-11-06,1509926400,24.14,24.37,23.86,23.87,55500
2017-11-07,1510012800,23.8,24.2,23.07,23.13,61500
2017-11-08,1510099200,23.01,23.03,22.63,22.88,44300
2017-11-09,1510185600,22.63,23.01,22.52,22.94,52200
2017-11-10,1510272000,23.03,23.29,22.87,23.02,41600
2017-11-13,1510531200,22.88,23.53,22.72,23.37,40100
2017-11-14,1510617600,23.25,23.72,23.13,23.63,73600
2017-11-15,1510704000,23.37,23.73,23.26,23.27,148200
2017-11-16,1510790400,23.44,23.85,23.32,23.43,104800
2017-11-17,1510876800,23.28,23.67,22.65,23.47,66300
2017-11-20,1511136000,23.54,24.52,23.34,23.73,72500
2017-11-21,1511222400,23.89,24.18,23.56,23.78,105100
2017-11-22,1511308800,23.81,24.59,23.25,24.25,229000
2017-11-24,1511481600,24.29,24.29,23.47,23.66,29200
2017-11-27,1511740800,23.58,23.84,23.5,23.62,34700
2017-11-28,1511827200,23.73,24.39,23.4,24.31,50200
2017-11-29,1511913600,24.48,25.49,24.06,25.43,69200
2017-11-30,1512000000,24.87,25.17,23.97,24.19,161800
2017-12-01,1512086400,24.12,24.12,23.12,23.99,86400
2017-12-04,1512345600,24.24,24.78,24.12,24.17,42500
2017-12-05,1512432000,24.23,24.23,23.72,23.72,48100
2017-12-06,1512518400,23.66,24.02,23.58,23.59,87900
2017-12-07,1512604800,23.58,23.91,23.24,23.73,75400
2017-12-08,1512691200,23.87,23.87,23.47,23.54,45500
2017-12-11,1512950400,23.55,23.71,23.29,23.34,55200
2017-12-12,1513036800,23.4,23.79,23.35,23.64,47600
2017-12-13,1513123200,23.78,24.09,23.63,23.9,120900
2017-12-14,1513209600,23.95,24.1,23.38,23.47,86700
2017-12-15,1513296000,23.46,24.41,23.4,24.12,199800
2017-12-18,1513555200,24.32,24.75,24.01,24.29,37400
2017-12-19,1513641600,24.36,24.36,24.06,24.11,38700
2017-12-20,1513728000,24.23,24.23,23.71,23.88,38500
2017-12-21,1513814400,23.99,24.36,23.82,24.22,55700
2017-12-22,1513900800,24.23,24.28,23.92,24.02,38900
2017-12-26,1514246400,23.93,24.49,21.62,23.72,35800
2017-12-27,1514332800,23.64,24.11,23.63,23.7,35100
2017-12-28,1514419200,23.76,23.9,23.68,23.84,53100
2017-12-29,1514505600,23.87,23.97,23.66,23.67,58900
2018-01-02,1514851200,23.79,24.29,23.67,24.03,83600
2018-01-03,1514937600,23.99,23.99,23.67,23.73,63600
2018-01-04,1515024000,23.85,24.02,23.67,23.73,33000
2018-01-05,1515110400,23.9,24.01,23.67,23.9,39500
2018-01-08,1515369600,23.91,24.03,23.67,23.82,26700
2018-01-09,1515456000,23.83,24.28,22.55,24.03,54400
2018-01-10,1515542400,24.02,24.53,23.92,24.32,39400
2018-01-11,1515628800,24.41,24.97,24.37,24.82,47000
2018-01-12,1515715200,24.9,25.07,24.53,24.83,30700
2018-01-16,1516060800,24.96,25.09,24.53,24.62,38500
2018-01-17,1516147200,24.7,24.91,24.41,24.9,45300
2018-01-18,1516233600,24.82,24.83,24.46,24.56,40700
2018-01-19,1516320000,24.48,25.03,24.48,24.99,31100
2018-01-22,1516579200,24.77,24.99,24.57,24.9,89300
2018-01-23,1516665600,25.06,25.32,24.79,25.31,72700
2018-01-24,1516752000,25.31,25.44,24.72,24.73,36500
2018-01-25,1516838400,24.83,24.83,24.08,24.24,74300
2018-01-26,1516924800,24.44,24.44,23.95,24.27,71700
2018-01-29,1517184000,24.16,24.47,24.09,24.1,48300
2018-01-30,1517270400,24.01,24.22,23.82,24.1,84900
2018-01-31,1517356800,24.1,24.73,24.1,24.24,128300
2018-02-01,1517443200,24.21,25.2,24.16,24.67,86100
2018-02-02,1517529600,24.55,24.87,24.11,24.28,81200
2018-02-05,1517788800,24.05,24.33,23.46,23.46,137400
2018-02-06,1517875200,23.17,23.61,22.68,23.09,177100
2018-02-07,1517961600,22.92,23.27,22.86,23.09,72800
2018-02-08,1518048000,23.08,23.17,22.76,22.79,76900
2018-02-09,1518134400,23.07,23.17,22.63,23.03,99100
2018-02-12,1518393600,23.06,23.3,22.7,23.14,64000
2018-02-13,1518480000,22.95,23.29,22.95,23.18,45500
2018-02-14,1518566400,22.97,23.42,22.97,23.15,208900
2018-02-15,1518652800,23.76,23.76,23.46,23.49,215600
2018-02-16,1518739200,23.45,23.89,23.45,23.73,257600
2018-02-20,1519084800,23.64,23.9,23.31,23.41,103500
2018-02-21,1519171200,23.51,23.85,23.51,23.57,106900
2018-02-22,1519257600,23.67,23.67,23.29,23.29,158700
2018-02-23,1519344000,23.46,23.55,23.29,23.54,80800
2018-02-26,1519603200,23.64,23.7,23.36,23.63,63900
2018-02-27,1519689600,23.63,23.95,23.2,23.24,61300
2018-02-28,1519776000,23.4,23.55,22.97,22.98,145000
2018-03-01,1519862400,22.93,23.39,22.77,23.18,157100
2018-03-02,1519948800,23.05,23.76,23.05,23.61,168300
2018-03-05,1520208000,23.52,24.02,23.46,23.9,90200
2018-03-06,1520294400,24.04,24.18,23.68,24.14,106500
2018-03-07,1520380800,23.87,24.47,23.87,24.35,114400
2018-03-08,1520467200,24.5,24.54,24.15,24.33,60200
2018-03-09,1520553600,24.48,24.63,24.24,24.61,91100
2018-03-12,1520812800,24.66,24.96,24.45,24.75,66500
2018-03-13,1520899200,24.87,24.9,24.42,24.55,70000
2018-03-14,1520985600,24.67,24.67,24.28,24.37,43000
