Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,21.5,22.1,20.95,21.3,410300
2017-01-04,1483488000,21.35,23.0,21.35,22.9,584100
2017-01-05,1483574400,22.95,23.0,22.05,22.75,416900
2017-01-06,1483660800,22.85,23.75,22.78,23.6,467900
2017-01-09,1483920000,23.95,23.95,23.25,23.8,441000
2017-01-10,1484006400,23.9,23.98,22.8,23.9,381200
2017-01-11,1484092800,23.9,24.25,22.75,23.95,1075200
2017-01-12,1484179200,23.7,25.25,23.45,24.7,718600
2017-01-13,1484265600,24.85,25.65,24.75,25.5,787800
2017-01-17,1484611200,25.1,25.4,23.6,23.65,909600
2017-01-18,1484697600,24.95,25.3,23.85,24.95,782600
2017-01-19,1484784000,24.9,25.05,24.25,24.6,459600
2017-01-20,1484870400,24.75,25.7,24.6,25.6,720600
2017-01-23,1485129600,25.5,25.65,23.88,24.1,757600
2017-01-24,1485216000,24.2,24.35,23.1,23.9,588800
2017-01-25,1485302400,24.15,24.27,23.55,23.85,487000
2017-01-26,1485388800,23.7,23.85,23.05,23.2,596900
2017-01-27,1485475200,23.25,23.6,22.9,23.3,405000
2017-01-30,1485734400,24.5,24.7,21.55,21.8,1421400
2017-01-31,1485820800,21.85,22.75,21.05,22.65,986000
2017-02-01,1485907200,22.7,22.85,22.3,22.65,393200
2017-02-02,1485993600,22.4,23.5,22.28,23.25,500200
2017-02-03,1486080000,23.55,24.6,23.0,24.48,546200
2017-02-06,1486339200,24.5,24.75,23.75,24.4,555500
2017-02-07,1486425600,24.45,24.48,23.7,23.9,324200
2017-02-08,1486512000,23.75,23.8,22.7,23.35,464700
2017-02-09,1486598400,23.35,24.15,23.3,24.0,417100
2017-02-10,1486684800,24.0,24.45,23.6,24.0,292900
2017-02-13,1486944000,24.15,24.35,23.7,24.1,336200
2017-02-14,1487030400,24.15,24.4,23.6,24.25,317100
2017-02-15,1487116800,24.15,24.4,23.85,24.4,283600
2017-02-16,1487203200,24.45,24.75,23.65,24.4,295600
2017-02-17,1487289600,24.25,24.8,23.88,24.6,354300
2017-02-21,1487635200,24.7,24.9,24.0,24.35,262100
2017-02-22,1487721600,24.35,24.7,23.75,23.8,327800
2017-02-23,1487808000,23.9,23.9,23.1,23.65,256400
2017-02-24,1487894400,23.25,23.85,23.15,23.6,264500
2017-02-27,1488153600,23.55,25.0,23.34,25.0,538800
2017-02-28,1488240000,24.9,25.55,24.4,25.0,578100
2017-03-01,1488326400,25.45,26.0,24.75,25.65,713500
2017-03-02,1488412800,25.55,27.3,24.3,25.2,1044200
2017-03-03,1488499200,25.25,26.5,25.2,26.45,467000
2017-03-06,1488758400,26.0,26.4,25.15,25.35,642500
2017-03-07,1488844800,25.05,25.25,23.98,24.25,482400
2017-03-08,1488931200,24.4,25.8,24.3,25.4,461700
2017-03-09,1489017600,25.4,26.1,25.0,25.4,275100
2017-03-10,1489104000,25.3,25.98,24.9,25.85,305500
