Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.34,23.56,23.09,23.3,810400
2017-01-04,1483488000,23.43,23.63,23.25,23.35,1023500
2017-01-05,1483574400,23.25,23.67,23.09,23.41,646200
2017-01-06,1483660800,23.41,23.49,22.81,22.96,686700
2017-01-09,1483920000,22.81,22.85,22.49,22.51,751500
2017-01-10,1484006400,22.54,22.88,22.38,22.66,600300
2017-01-11,1484092800,22.69,22.82,22.49,22.71,776700
2017-01-12,1484179200,22.6,22.67,22.03,22.42,1001100
2017-01-13,1484265600,22.61,23.02,22.41,22.47,729800
2017-01-17,1484611200,22.32,22.4,21.87,21.93,896200
2017-01-18,1484697600,22.02,22.1,21.76,22.08,936500
2017-01-19,1484784000,22.13,22.19,21.84,22.07,797800
2017-01-20,1484870400,22.11,22.27,21.97,22.13,658900
2017-01-23,1485129600,22.01,22.17,21.84,22.01,745900
2017-01-24,1485216000,22.14,22.44,22.06,22.27,445300
2017-01-25,1485302400,22.58,22.74,22.18,22.37,380000
2017-01-26,1485388800,22.25,22.26,21.84,22.05,910000
2017-01-27,1485475200,21.97,22.29,21.14,21.2,1599400
2017-01-30,1485734400,21.06,21.15,20.77,21.07,879700
2017-01-31,1485820800,21.0,21.27,20.87,21.11,912800
2017-02-01,1485907200,21.31,21.48,21.03,21.22,1308500
2017-02-02,1485993600,21.13,21.58,21.07,21.28,1143500
2017-02-03,1486080000,21.6,21.78,21.36,21.5,998500
2017-02-06,1486339200,21.38,21.49,21.22,21.33,559600
2017-02-07,1486425600,21.45,21.48,21.13,21.21,938700
2017-02-08,1486512000,21.11,21.13,20.91,21.09,575200
2017-02-09,1486598400,21.24,21.55,20.96,21.55,977200
2017-02-10,1486684800,21.61,21.81,21.51,21.64,497300
2017-02-13,1486944000,21.76,21.9,21.57,21.71,670400
2017-02-14,1487030400,21.67,21.77,21.56,21.72,611300
2017-02-15,1487116800,21.74,22.12,21.51,22.12,1230300
2017-02-16,1487203200,22.12,22.17,21.87,22.01,682900
2017-02-17,1487289600,21.85,22.05,21.75,22.03,438000
2017-02-21,1487635200,21.98,22.32,21.94,22.04,639500
2017-02-22,1487721600,21.91,22.23,21.86,22.15,576800
2017-02-23,1487808000,22.18,22.32,22.04,22.24,476600
2017-02-24,1487894400,22.02,22.24,22.01,22.24,367800
2017-02-27,1488153600,22.28,22.7,22.18,22.66,535300
2017-02-28,1488240000,22.5,22.56,22.25,22.26,1517600
2017-03-01,1488326400,22.77,22.81,22.05,22.07,1039500
2017-03-02,1488412800,22.08,22.11,21.81,21.81,1048700
2017-03-03,1488499200,21.89,21.94,21.73,21.82,504800
2017-03-06,1488758400,21.64,21.81,21.58,21.76,694600
2017-03-07,1488844800,21.75,21.86,21.62,21.77,617600
2017-03-08,1488931200,21.92,22.13,21.86,21.97,596400
2017-03-09,1489017600,22.04,22.09,21.66,21.66,815500
2017-03-10,1489104000,21.8,21.84,21.4,21.53,566100
2017-03-13,1489363200,21.61,21.81,21.47,21.79,605300
2017-03-14,1489449600,21.66,21.81,21.43,21.66,581300
2017-03-15,1489536000,21.76,22.23,21.7,22.02,865500
2017-03-16,1489622400,22.03,22.21,21.96,22.07,442100
2017-03-17,1489708800,22.08,22.1,21.24,21.27,1274600
2017-03-20,1489968000,21.33,21.35,21.09,21.27,757000
2017-03-21,1490054400,21.44,21.45,20.63,20.69,769000
2017-03-22,1490140800,20.56,21.13,20.42,21.12,1299900
