Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,16.94,17.16,16.84,16.89,2099300
2017-01-04,1483488000,16.9,17.12,16.87,16.99,2281100
2017-01-05,1483574400,16.91,17.03,16.8,16.88,3397500
2017-01-06,1483660800,16.88,16.9,16.65,16.67,1571800
2017-01-09,1483920000,16.61,16.66,16.41,16.47,1847700
2017-01-10,1484006400,16.49,16.6,16.43,16.57,2483300
2017-01-11,1484092800,16.53,16.88,16.53,16.76,1559200
2017-01-12,1484179200,16.67,16.79,16.55,16.76,1024300
2017-01-13,1484265600,16.96,17.08,16.9,16.98,1499500
2017-01-17,1484611200,16.97,16.99,16.51,16.66,1789800
2017-01-18,1484697600,16.67,16.79,16.5,16.79,1358400
2017-01-19,1484784000,16.8,16.85,16.53,16.64,1108600
2017-01-20,1484870400,16.72,16.95,16.66,16.78,1108500
2017-01-23,1485129600,16.7,16.88,16.68,16.81,1124300
2017-01-24,1485216000,16.79,17.06,16.73,16.86,1662500
2017-01-25,1485302400,16.89,16.98,16.8,16.91,904500
2017-01-26,1485388800,16.92,16.96,16.79,16.93,1210400
2017-01-27,1485475200,16.95,16.96,16.74,16.92,1333700
2017-01-30,1485734400,16.91,16.91,16.69,16.9,1159500
2017-01-31,1485820800,16.84,17.05,16.74,17.04,1732100
2017-02-01,1485907200,17.02,17.21,16.88,16.98,1396100
2017-02-02,1485993600,17.01,17.17,16.99,17.09,1406400
2017-02-03,1486080000,17.18,17.26,17.02,17.15,1425300
2017-02-06,1486339200,17.18,17.19,17.02,17.09,1027700
2017-02-07,1486425600,17.12,17.25,17.02,17.15,1401500
2017-02-08,1486512000,17.15,17.23,17.0,17.23,1151200
2017-02-09,1486598400,17.23,17.57,17.23,17.54,1270400
2017-02-10,1486684800,17.65,17.72,17.51,17.55,1728400
2017-02-13,1486944000,17.46,17.79,17.36,17.66,2722400
2017-02-14,1487030400,16.85,17.12,15.8,16.09,6310800
2017-02-15,1487116800,16.12,16.48,16.01,16.35,3895300
2017-02-16,1487203200,16.35,16.46,16.17,16.45,1756200
2017-02-17,1487289600,16.35,16.63,16.21,16.58,1931100
2017-02-21,1487635200,16.62,16.76,16.45,16.49,1259900
2017-02-22,1487721600,16.51,16.59,16.23,16.25,1922100
2017-02-23,1487808000,16.33,16.45,16.18,16.27,1931100
2017-02-24,1487894400,16.27,16.4,16.24,16.27,1673700
2017-02-27,1488153600,16.28,16.37,16.15,16.36,1356200
2017-02-28,1488240000,16.39,16.61,16.32,16.32,2466300
2017-03-01,1488326400,16.41,16.59,16.4,16.48,1305400
2017-03-02,1488412800,16.42,16.57,16.4,16.46,745700
2017-03-03,1488499200,16.43,16.46,16.29,16.41,691600
2017-03-06,1488758400,16.37,16.46,16.22,16.38,939900
2017-03-07,1488844800,16.31,16.43,16.25,16.29,567700
2017-03-08,1488931200,16.13,16.41,16.12,16.33,990300
2017-03-09,1489017600,16.35,16.37,16.23,16.3,741800
2017-03-10,1489104000,16.36,16.45,16.25,16.38,1363600
2017-03-13,1489363200,16.38,16.38,16.18,16.3,1244000
2017-03-14,1489449600,16.3,16.52,16.17,16.48,1364900
2017-03-15,1489536000,16.46,16.8,16.46,16.73,1241000
2017-03-16,1489622400,16.68,16.76,16.56,16.69,932000
2017-03-17,1489708800,16.66,16.87,16.65,16.79,3362600
2017-03-20,1489968000,16.78,16.92,16.7,16.78,1253700
2017-03-21,1490054400,16.77,16.83,16.58,16.64,1115200
2017-03-22,1490140800,16.63,16.7,16.48,16.52,1038000
2017-03-23,1490227200,16.52,16.7,16.52,16.53,1179200
2017-03-24,1490313600,16.56,16.73,16.5,16.58,1200400
2017-03-27,1490572800,16.52,16.64,16.41,16.61,1032000
2017-03-28,1490659200,16.58,16.62,16.39,16.58,998500
2017-03-29,1490745600,16.66,16.81,16.62,16.66,926200
2017-03-30,1490832000,16.66,16.71,16.54,16.64,932800
2017-03-31,1490918400,16.69,16.74,16.58,16.58,1510500
2017-04-03,1491177600,16.59,16.68,16.42,16.49,1797600
2017-04-04,1491264000,16.5,16.57,16.42,16.53,810600
2017-04-05,1491350400,16.55,16.64,16.41,16.42,1086300
2017-04-06,1491436800,16.43,16.72,16.41,16.69,1117200
2017-04-07,1491523200,16.63,16.71,16.57,16.59,598300
2017-04-10,1491782400,16.6,16.74,16.5,16.63,923100
2017-04-11,1491868800,16.62,16.65,16.52,16.65,986900
2017-04-12,1491955200,16.74,16.81,16.65,16.74,882400
2017-04-13,1492041600,16.74,16.78,16.46,16.46,1049600
2017-04-17,1492387200,16.48,16.72,16.37,16.7,1003800
2017-04-18,1492473600,16.83,16.96,16.72,16.77,1199000
2017-04-19,1492560000,16.79,16.95,16.75,16.85,1058100
2017-04-20,1492646400,16.87,17.03,16.79,16.94,971400
2017-04-21,1492732800,16.93,17.0,16.87,16.95,1065000
2017-04-24,1492992000,17.06,17.09,16.93,16.99,1237200
2017-04-25,1493078400,16.99,17.17,16.94,16.95,946200
2017-04-26,1493164800,16.98,17.04,16.88,16.93,1502400
2017-04-27,1493251200,16.93,17.07,16.9,16.96,1095600
2017-04-28,1493337600,16.96,16.98,16.7,16.76,1146400
2017-05-01,1493596800,16.78,16.85,16.5,16.54,1058900
2017-05-02,1493683200,16.56,16.6,15.88,15.94,2483200
2017-05-03,1493769600,16.11,16.17,15.8,16.05,2322000
2017-05-04,1493856000,16.11,16.25,15.96,16.2,1395900
2017-05-05,1493942400,16.24,16.31,16.04,16.06,1100500
2017-05-08,1494201600,16.06,16.18,15.99,16.16,1120400
2017-05-09,1494288000,16.17,16.34,16.1,16.23,1084800
2017-05-10,1494374400,16.26,16.49,16.17,16.46,874600
2017-05-11,1494460800,16.44,16.67,16.33,16.62,1069700
2017-05-12,1494547200,16.6,16.64,16.43,16.53,1096200
2017-05-15,1494806400,16.55,16.85,16.48,16.77,1220000
2017-05-16,1494892800,16.82,16.87,16.66,16.76,1756200
2017-05-17,1494979200,16.76,16.84,16.51,16.58,2158500
2017-05-18,1495065600,16.56,16.76,15.66,15.66,3717000
2017-05-19,1495152000,15.42,15.88,15.19,15.82,1912500
2017-05-22,1495411200,15.77,16.06,15.7,15.93,1254500
2017-05-23,1495497600,15.97,16.03,15.83,15.86,1090300
2017-05-24,1495584000,15.89,16.01,15.85,15.93,1505100
2017-05-25,1495670400,16.01,16.05,15.8,15.8,1098500
2017-05-26,1495756800,15.8,15.87,15.67,15.86,1626100
2017-05-30,1496102400,15.8,15.86,15.71,15.83,1080700
2017-05-31,1496188800,15.84,15.91,15.72,15.79,1469600
2017-06-01,1496275200,15.76,16.12,15.75,16.12,880800
2017-06-02,1496361600,16.14,16.23,15.97,15.98,1015200
2017-06-05,1496620800,15.83,16.03,15.82,15.96,864800
2017-06-06,1496707200,15.94,16.1,15.82,15.82,1040500
2017-06-07,1496793600,15.86,15.94,15.59,15.92,1518500
2017-06-08,1496880000,15.92,15.97,15.73,15.73,632500
2017-06-09,1496966400,15.74,15.9,15.6,15.76,914700
2017-06-12,1497225600,15.78,15.95,15.72,15.77,877300
2017-06-13,1497312000,15.8,15.95,15.72,15.88,791400
2017-06-14,1497398400,15.95,15.99,15.81,15.86,844100
2017-06-15,1497484800,15.82,15.86,15.67,15.8,1050800
2017-06-16,1497571200,15.7,15.7,14.94,15.24,3998400
2017-06-19,1497830400,15.34,15.38,15.15,15.38,1152300
2017-06-20,1497916800,15.42,15.52,14.94,14.94,1379000
2017-06-21,1498003200,14.96,15.21,14.88,14.98,2304500
2017-06-22,1498089600,14.99,15.06,14.76,14.96,1402300
2017-06-23,1498176000,14.96,15.14,14.9,15.13,4236700
2017-06-26,1498435200,15.16,15.36,15.1,15.27,972400
2017-06-27,1498521600,15.21,15.33,15.15,15.19,1107000
2017-06-28,1498608000,15.31,15.44,15.25,15.34,931500
2017-06-29,1498694400,15.34,15.34,14.89,14.99,754100
2017-06-30,1498780800,15.04,15.13,14.92,14.93,1119400
2017-07-03,1499040000,14.98,15.11,14.84,14.88,577100
2017-07-05,1499212800,14.85,14.98,14.63,14.66,1288300
2017-07-06,1499299200,14.6,14.9,14.56,14.71,2311500
2017-07-07,1499385600,14.77,14.93,14.7,14.93,1079500
2017-07-10,1499644800,14.93,14.94,14.69,14.75,1295800
2017-07-11,1499731200,14.74,14.83,14.57,14.69,1085400
2017-07-12,1499817600,14.88,14.91,14.75,14.81,1278300
2017-07-13,1499904000,14.82,14.98,14.76,14.94,1109000
2017-07-14,1499990400,14.98,15.16,14.94,15.13,1078300
2017-07-17,1500249600,15.14,15.25,15.1,15.19,886600
2017-07-18,1500336000,15.19,15.21,15.06,15.08,1017100
2017-07-19,1500422400,15.09,15.32,15.05,15.32,899800
2017-07-20,1500508800,15.38,15.48,15.36,15.44,892000
2017-07-21,1500595200,15.44,15.44,15.19,15.35,586200
2017-07-24,1500854400,15.35,15.42,15.23,15.28,803600
2017-07-25,1500940800,15.36,15.57,15.3,15.57,1397500
2017-07-26,1501027200,15.57,15.57,15.29,15.3,988200
2017-07-27,1501113600,15.37,15.49,15.33,15.49,1367100
2017-07-28,1501200000,15.29,15.32,14.92,15.0,1400600
2017-07-31,1501459200,14.96,15.24,14.96,15.17,1125900
2017-08-01,1501545600,15.19,15.25,14.95,15.07,1101200
2017-08-02,1501632000,15.07,15.22,14.97,15.2,878100
2017-08-03,1501718400,15.2,15.36,15.13,15.23,1175300
2017-08-04,1501804800,15.25,15.44,15.16,15.27,955100
2017-08-07,1502064000,15.25,15.46,15.23,15.34,1518200
2017-08-08,1502150400,15.29,15.29,14.97,15.0,1967500
2017-08-09,1502236800,14.97,15.34,14.92,15.12,2341800
2017-08-10,1502323200,14.66,15.47,14.49,15.0,3010800
2017-08-11,1502409600,14.63,15.6,14.62,15.25,1965700
2017-08-14,1502668800,15.28,15.59,15.22,15.53,1361100
2017-08-15,1502755200,15.55,15.55,15.35,15.35,1211500
2017-08-16,1502841600,15.44,15.87,15.39,15.39,1504500
2017-08-17,1502928000,15.3,15.51,15.25,15.27,1092100
2017-08-18,1503014400,15.31,15.46,15.09,15.41,1119500
2017-08-21,1503273600,15.41,15.51,15.39,15.45,790900
2017-08-22,1503360000,15.45,15.7,15.41,15.66,1110700
2017-08-23,1503446400,15.57,15.68,15.49,15.5,946700
2017-08-24,1503532800,15.45,15.5,14.96,15.0,1684000
2017-08-25,1503619200,15.07,15.35,14.96,15.28,1262600
2017-08-28,1503878400,15.32,15.33,14.96,15.04,1097400
2017-08-29,1503964800,15.01,15.17,14.97,15.11,1046200
2017-08-30,1504051200,15.14,15.24,14.99,15.2,1010700
2017-08-31,1504137600,15.2,15.24,15.02,15.13,1941800
2017-09-01,1504224000,15.2,15.24,15.07,15.21,1849700
2017-09-05,1504569600,15.19,15.4,15.1,15.13,1373200
2017-09-06,1504656000,15.15,15.29,15.1,15.2,1109500
2017-09-07,1504742400,15.26,15.5,15.16,15.26,2021600
2017-09-08,1504828800,15.24,15.55,15.16,15.45,1429300
2017-09-11,1505088000,15.53,15.85,15.53,15.78,1936900
2017-09-12,1505174400,15.77,15.87,15.65,15.72,1186700
2017-09-13,1505260800,15.73,15.87,15.71,15.74,1250600
2017-09-14,1505347200,15.78,15.88,15.67,15.87,1118800
2017-09-15,1505433600,15.92,16.0,15.81,15.94,1765600
2017-09-18,1505692800,15.96,16.07,15.91,16.01,887900
2017-09-19,1505779200,16.01,16.16,15.91,15.94,994100
2017-09-20,1505865600,15.9,15.98,15.57,15.94,1119900
2017-09-21,1505952000,15.99,16.0,15.77,15.81,702900
2017-09-22,1506038400,15.79,15.89,15.7,15.79,987600
2017-09-25,1506297600,15.84,16.0,15.75,15.99,986500
2017-09-26,1506384000,16.04,16.33,15.95,16.33,1724500
2017-09-27,1506470400,16.36,16.4,15.65,15.88,2914500
2017-09-28,1506556800,16.07,16.38,15.89,16.33,1847800
2017-09-29,1506643200,16.4,16.44,16.24,16.38,1466000
2017-10-02,1506902400,16.38,16.48,16.24,16.29,1696400
2017-10-03,1506988800,16.31,16.32,16.14,16.26,1198000
2017-10-04,1507075200,16.24,16.47,16.14,16.4,1061800
2017-10-05,1507161600,16.41,16.46,16.28,16.28,783000
2017-10-06,1507248000,16.29,16.34,16.22,16.33,755800
2017-10-09,1507507200,16.33,16.36,16.15,16.28,764200
2017-10-10,1507593600,16.33,16.4,16.18,16.37,921000
2017-10-11,1507680000,16.37,16.41,16.28,16.33,1133300
