Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,31.05,31.05,29.54,30.0,11300
2017-01-04,1483488000,30.08,30.66,29.77,30.42,9000
2017-01-05,1483574400,30.53,30.66,29.48,29.65,12000
2017-01-06,1483660800,29.76,29.98,29.33,29.76,12400
2017-01-09,1483920000,29.64,30.36,29.23,29.51,10600
2017-01-10,1484006400,29.69,29.74,28.87,29.49,16700
2017-01-11,1484092800,29.62,30.1,29.3,29.73,22100
2017-01-12,1484179200,29.32,29.77,28.51,29.18,4500
2017-01-13,1484265600,29.6,29.6,28.19,29.09,15400
2017-01-17,1484611200,28.98,28.98,28.03,28.25,10200
2017-01-18,1484697600,28.06,28.4,27.91,28.16,13400
2017-01-19,1484784000,28.24,28.36,27.48,27.71,11500
2017-01-20,1484870400,27.59,28.19,27.42,28.08,12100
2017-01-23,1485129600,28.08,28.17,27.61,27.98,9700
2017-01-24,1485216000,27.99,28.18,27.32,28.03,17700
2017-01-25,1485302400,28.02,28.37,25.59,28.36,9500
2017-01-26,1485388800,28.36,28.68,26.33,28.68,14300
2017-01-27,1485475200,28.45,29.41,28.26,28.36,8300
2017-01-30,1485734400,28.36,28.66,28.17,28.22,11400
2017-01-31,1485820800,28.23,28.74,28.23,28.43,17500
2017-02-01,1485907200,28.46,28.78,28.33,28.33,18200
2017-02-02,1485993600,28.5,28.5,28.08,28.15,11500
2017-02-03,1486080000,28.77,29.25,28.46,29.1,13300
2017-02-06,1486339200,28.91,29.64,28.91,29.33,8800
2017-02-07,1486425600,29.17,29.65,29.1,29.28,10900
2017-02-08,1486512000,29.32,29.76,28.64,28.85,17500
2017-02-09,1486598400,28.97,29.37,28.95,29.09,15000
2017-02-10,1486684800,28.74,29.64,28.7,29.21,7500
2017-02-13,1486944000,29.49,29.76,28.91,29.75,5300
2017-02-14,1487030400,29.76,29.77,28.71,29.7,10600
2017-02-15,1487116800,29.61,30.05,29.27,29.82,32900
2017-02-16,1487203200,29.35,29.99,29.35,29.56,11900
2017-02-17,1487289600,29.63,29.99,29.17,29.89,12200
2017-02-21,1487635200,29.83,30.12,29.74,29.95,3700
2017-02-22,1487721600,28.98,30.08,28.98,29.93,5100
2017-02-23,1487808000,29.54,30.66,29.54,29.96,11600
2017-02-24,1487894400,29.75,30.28,29.75,30.19,8500
2017-02-27,1488153600,30.19,30.21,29.77,29.92,8500
2017-02-28,1488240000,29.76,30.16,29.75,29.84,16900
2017-03-01,1488326400,30.23,30.55,29.67,29.76,17600
2017-03-02,1488412800,29.84,30.4,29.84,30.22,15300
2017-03-03,1488499200,30.4,30.64,30.03,30.48,24900
2017-03-06,1488758400,30.36,30.58,30.21,30.44,13900
2017-03-07,1488844800,30.57,30.58,30.33,30.5,8700
2017-03-08,1488931200,30.57,30.58,30.19,30.48,13900
2017-03-09,1489017600,30.58,30.58,30.4,30.55,10500
2017-03-10,1489104000,30.58,30.58,30.39,30.39,8600
2017-03-13,1489363200,30.41,30.55,30.39,30.42,4200
2017-03-14,1489449600,29.61,30.38,29.59,29.63,11200
2017-03-15,1489536000,29.9,29.98,29.56,29.63,9600
2017-03-16,1489622400,29.71,29.84,29.6,29.71,12600
2017-03-17,1489708800,29.63,29.93,29.56,29.64,35300
2017-03-20,1489968000,29.95,29.95,29.64,29.64,8900
2017-03-21,1490054400,29.86,29.86,28.89,28.91,13500
2017-03-22,1490140800,29.07,29.21,28.08,28.37,5900
2017-03-23,1490227200,28.41,28.65,28.17,28.47,16600
2017-03-24,1490313600,29.27,29.32,28.68,28.8,9600
2017-03-27,1490572800,28.57,29.0,28.08,28.87,11600
2017-03-28,1490659200,28.66,29.94,28.64,29.49,15500
2017-03-29,1490745600,29.54,30.22,29.54,30.15,43900
2017-03-30,1490832000,30.08,30.81,30.08,30.67,64800
2017-03-31,1490918400,30.67,30.76,30.25,30.53,64100
2017-04-03,1491177600,30.69,30.9,30.3,30.44,13700
2017-04-04,1491264000,29.37,30.46,29.37,30.39,8700
