Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,11.2,11.53,11.01,11.1,17000
2017-01-04,1483488000,11.24,11.29,11.1,11.1,64700
2017-01-05,1483574400,11.2,11.2,11.1,11.13,9000
2017-01-06,1483660800,11.15,11.29,11.15,11.21,78700
2017-01-09,1483920000,11.39,11.65,11.29,11.48,71000
2017-01-10,1484006400,11.29,12.0,11.29,11.62,35900
2017-01-11,1484092800,11.72,12.0,11.72,11.91,12000
2017-01-12,1484179200,11.86,11.86,11.62,11.81,11300
2017-01-13,1484265600,11.81,12.05,11.72,11.81,13700
2017-01-17,1484611200,11.81,11.94,11.77,11.81,19900
2017-01-18,1484697600,11.95,11.95,11.72,11.77,5600
2017-01-19,1484784000,11.86,12.0,11.77,11.91,19100
2017-01-20,1484870400,11.91,12.0,11.81,11.91,21300
2017-01-23,1485129600,11.95,12.0,11.89,11.91,21100
2017-01-24,1485216000,11.95,11.97,11.77,11.86,12300
2017-01-25,1485302400,11.86,11.91,11.72,11.77,27900
2017-01-26,1485388800,11.77,11.86,11.67,11.77,18000
2017-01-27,1485475200,11.86,11.86,11.62,11.72,17200
2017-01-30,1485734400,11.81,11.86,11.72,11.72,25400
2017-01-31,1485820800,11.86,11.91,11.62,11.86,33600
2017-02-01,1485907200,12.0,12.05,11.81,11.81,17800
2017-02-02,1485993600,11.81,12.0,11.81,11.86,14600
2017-02-03,1486080000,11.86,12.14,11.86,12.14,11700
2017-02-06,1486339200,12.05,12.14,12.0,12.1,17800
2017-02-07,1486425600,12.05,12.14,12.05,12.1,25700
2017-02-08,1486512000,12.02,12.21,11.97,12.16,31100
2017-02-09,1486598400,12.12,12.48,12.12,12.45,38700
2017-02-10,1486684800,12.59,12.78,12.54,12.78,42200
2017-02-13,1486944000,12.73,12.97,12.73,12.92,39400
2017-02-14,1487030400,12.69,13.11,12.64,12.83,29600
2017-02-15,1487116800,12.88,13.11,12.64,13.02,23400
2017-02-16,1487203200,12.97,13.3,12.97,13.11,20200
2017-02-17,1487289600,13.16,14.06,13.13,13.64,96300
2017-02-21,1487635200,13.64,13.68,13.45,13.54,69100
2017-02-22,1487721600,13.54,13.64,13.45,13.45,21100
2017-02-23,1487808000,13.3,13.68,13.3,13.35,20400
2017-02-24,1487894400,13.3,13.59,13.21,13.59,25500
2017-02-27,1488153600,13.54,13.59,13.11,13.45,85600
2017-02-28,1488240000,13.35,13.45,12.83,12.88,37000
2017-03-01,1488326400,12.83,13.07,11.69,12.54,107500
2017-03-02,1488412800,12.64,12.64,11.74,11.93,44000
2017-03-03,1488499200,12.02,12.26,11.78,11.97,15000
2017-03-06,1488758400,11.97,12.35,11.97,12.21,41000
2017-03-07,1488844800,12.26,12.64,12.21,12.45,49400
2017-03-08,1488931200,12.59,13.02,12.45,12.64,52900
2017-03-09,1489017600,12.69,12.69,12.12,12.38,24100
2017-03-10,1489104000,12.26,12.26,11.64,11.64,41000
2017-03-13,1489363200,11.55,11.82,11.55,11.74,25500
2017-03-14,1489449600,11.78,12.16,11.64,12.07,19100
2017-03-15,1489536000,12.16,12.31,11.69,11.78,10200
2017-03-16,1489622400,11.83,11.88,11.64,11.74,8000
2017-03-17,1489708800,11.83,12.21,11.4,12.21,56800
2017-03-20,1489968000,12.26,12.26,11.12,11.55,118200
2017-03-21,1490054400,11.74,11.74,10.83,11.02,71100
2017-03-22,1490140800,11.26,11.26,10.56,10.93,19900
2017-03-23,1490227200,10.83,11.11,10.07,10.64,49900
2017-03-24,1490313600,10.41,11.17,10.34,10.98,55000
2017-03-27,1490572800,10.98,10.98,10.74,10.93,29900
2017-03-28,1490659200,10.98,11.21,10.74,10.74,19100
2017-03-29,1490745600,10.79,11.12,10.74,10.93,168200
2017-03-30,1490832000,11.02,11.21,10.88,11.07,36600
2017-03-31,1490918400,11.21,11.36,11.07,11.36,30100
2017-04-03,1491177600,11.21,11.59,11.21,11.26,25800
2017-04-04,1491264000,11.18,11.59,11.18,11.31,28700
2017-04-05,1491350400,11.45,11.55,11.36,11.45,36400
2017-04-06,1491436800,11.55,11.74,11.46,11.64,16700
2017-04-07,1491523200,11.55,11.78,11.5,11.64,12500
2017-04-10,1491782400,11.64,12.35,11.59,12.12,69800
2017-04-11,1491868800,12.12,12.26,12.02,12.12,9500
2017-04-12,1491955200,12.16,12.78,12.12,12.54,56500
2017-04-13,1492041600,12.69,13.07,12.16,12.64,52200
2017-04-17,1492387200,12.78,13.3,11.97,12.4,45300
2017-04-18,1492473600,12.35,12.64,12.12,12.45,17900
2017-04-19,1492560000,12.59,12.9,12.4,12.5,36700
2017-04-20,1492646400,12.5,12.88,12.5,12.78,38800
2017-04-21,1492732800,12.83,12.88,12.73,12.83,48100
2017-04-24,1492992000,12.97,13.24,12.59,12.69,44000
2017-04-25,1493078400,12.69,12.97,12.62,12.83,42400
2017-04-26,1493164800,12.5,12.79,12.21,12.73,51100
2017-04-27,1493251200,12.73,12.92,12.4,12.78,18100
2017-04-28,1493337600,12.92,12.92,12.35,12.35,28300
2017-05-01,1493596800,12.31,12.31,11.93,12.21,75000
2017-05-02,1493683200,12.16,12.31,11.97,12.31,16100
2017-05-03,1493769600,11.88,12.26,11.88,12.26,20100
2017-05-04,1493856000,12.35,12.45,11.97,12.21,20700
2017-05-05,1493942400,12.21,12.21,11.4,11.64,37100
2017-05-08,1494201600,11.61,11.9,11.56,11.9,20500
2017-05-09,1494288000,11.95,13.04,11.66,12.71,174500
2017-05-10,1494374400,12.61,12.8,12.09,12.18,24300
2017-05-11,1494460800,12.28,12.28,12.14,12.18,19900
2017-05-12,1494547200,12.14,12.17,11.85,11.95,11600
2017-05-15,1494806400,11.85,11.95,11.71,11.8,17600
2017-05-16,1494892800,11.71,11.71,11.37,11.42,34400
2017-05-17,1494979200,11.42,11.5,11.37,11.37,16100
2017-05-18,1495065600,11.37,11.47,11.37,11.37,12800
2017-05-19,1495152000,11.37,11.5,11.37,11.42,17500
2017-05-22,1495411200,11.42,11.47,11.23,11.42,27800
2017-05-23,1495497600,11.23,11.23,10.66,10.85,70200
2017-05-24,1495584000,11.04,11.14,10.85,10.85,483400
2017-05-25,1495670400,10.85,10.95,10.85,10.9,127200
2017-05-26,1495756800,10.95,11.23,10.9,11.14,17200
