Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.72,10.0,9.48,9.56,959400
2017-01-04,1483488000,9.61,9.83,9.52,9.73,739100
2017-01-05,1483574400,9.78,9.96,9.57,9.73,533500
2017-01-06,1483660800,9.76,9.77,9.49,9.5,547800
2017-01-09,1483920000,9.34,9.61,9.3,9.5,731100
2017-01-10,1484006400,9.56,9.63,9.45,9.55,573100
2017-01-11,1484092800,9.61,9.93,9.5,9.72,789700
2017-01-12,1484179200,9.86,9.88,9.49,9.61,780800
2017-01-13,1484265600,9.57,10.33,9.55,10.31,1165200
2017-01-17,1484611200,10.5,10.53,10.16,10.25,872900
2017-01-18,1484697600,10.18,10.28,9.94,10.13,1126300
2017-01-19,1484784000,10.16,10.27,9.5,9.59,1040100
2017-01-20,1484870400,9.68,9.83,9.5,9.6,1254600
2017-01-23,1485129600,9.5,9.74,9.46,9.67,601000
2017-01-24,1485216000,9.71,10.08,9.6,10.04,756100
2017-01-25,1485302400,10.03,10.6,9.81,10.42,772900
2017-01-26,1485388800,10.5,10.8,10.22,10.34,677300
2017-01-27,1485475200,10.23,10.6,10.19,10.47,484400
2017-01-30,1485734400,10.32,10.37,9.93,10.23,797400
2017-01-31,1485820800,10.27,10.59,10.0,10.57,987000
2017-02-01,1485907200,10.62,10.75,10.53,10.73,831600
2017-02-02,1485993600,10.8,10.8,10.2,10.27,873800
2017-02-03,1486080000,10.25,10.71,10.25,10.61,613500
2017-02-06,1486339200,10.64,10.75,10.37,10.57,887900
2017-02-07,1486425600,10.37,10.63,10.3,10.5,650100
2017-02-08,1486512000,10.47,10.59,10.18,10.55,1059900
2017-02-09,1486598400,11.38,12.41,11.16,12.22,3681000
2017-02-10,1486684800,12.41,12.89,12.27,12.34,1610900
2017-02-13,1486944000,12.34,12.78,12.27,12.5,1183600
2017-02-14,1487030400,12.62,12.85,12.28,12.79,714900
2017-02-15,1487116800,12.66,12.7,12.29,12.5,911500
2017-02-16,1487203200,12.48,12.49,12.1,12.35,502500
2017-02-17,1487289600,12.28,12.73,11.95,12.46,966000
2017-02-21,1487635200,12.57,12.78,12.51,12.75,681300
2017-02-22,1487721600,12.8,13.2,12.66,13.03,1427100
2017-02-23,1487808000,13.22,13.39,12.89,13.0,1209100
2017-02-24,1487894400,12.8,13.02,12.62,12.98,642800
2017-02-27,1488153600,13.05,13.62,12.97,13.6,926000
2017-02-28,1488240000,13.38,13.75,13.35,13.52,1126000
2017-03-01,1488326400,13.73,14.16,13.51,14.12,1173800
2017-03-02,1488412800,14.05,14.51,13.75,13.77,1510000
2017-03-03,1488499200,13.79,13.92,13.51,13.62,624200
2017-03-06,1488758400,13.58,13.66,13.35,13.63,442800
2017-03-07,1488844800,13.68,13.72,13.14,13.24,757100
2017-03-08,1488931200,13.15,13.32,12.59,12.59,887500
2017-03-09,1489017600,12.49,12.61,11.74,11.97,1214600
2017-03-10,1489104000,12.14,12.21,11.76,11.99,758700
2017-03-13,1489363200,12.0,12.13,11.77,11.95,472500
2017-03-14,1489449600,11.81,11.82,11.22,11.49,825200
2017-03-15,1489536000,11.79,11.89,11.48,11.74,2266200
2017-03-16,1489622400,11.86,12.09,11.26,11.54,915100
2017-03-17,1489708800,11.64,11.73,11.39,11.63,1038200
2017-03-20,1489968000,11.54,11.64,11.38,11.53,332400
2017-03-21,1490054400,11.59,11.62,11.16,11.26,396900
2017-03-22,1490140800,11.16,11.34,11.0,11.16,709300
2017-03-23,1490227200,11.12,11.28,11.05,11.22,364300
2017-03-24,1490313600,11.28,11.7,11.26,11.5,837800
2017-03-27,1490572800,11.27,11.42,11.1,11.4,458700
2017-03-28,1490659200,11.47,11.75,11.28,11.64,530600
2017-03-29,1490745600,11.62,12.28,11.59,12.21,741400
2017-03-30,1490832000,12.25,12.48,12.2,12.43,576500
2017-03-31,1490918400,12.35,12.86,12.35,12.79,1085600
2017-04-03,1491177600,12.78,12.99,12.13,12.37,1114300
2017-04-04,1491264000,12.39,12.8,12.37,12.49,639000
2017-04-05,1491350400,12.63,12.91,12.15,12.24,994500
2017-04-06,1491436800,12.33,12.75,12.33,12.59,582700
2017-04-07,1491523200,12.59,12.6,12.28,12.45,538600
2017-04-10,1491782400,12.54,12.86,12.44,12.83,360300
2017-04-11,1491868800,12.77,13.06,12.69,12.85,417800
2017-04-12,1491955200,12.79,12.88,12.51,12.61,392200
2017-04-13,1492041600,12.6,12.77,12.04,12.09,805500
2017-04-17,1492387200,12.13,12.29,11.99,12.14,451000
2017-04-18,1492473600,12.05,12.17,11.91,11.96,553500
2017-04-19,1492560000,12.02,12.06,11.52,11.6,807700
2017-04-20,1492646400,11.65,11.76,11.53,11.65,499000
2017-04-21,1492732800,11.65,11.81,11.47,11.75,991300
2017-04-24,1492992000,11.85,12.09,11.65,11.79,722600
2017-04-25,1493078400,11.89,12.19,11.85,12.02,737000
2017-04-26,1493164800,11.94,12.4,11.86,12.28,813600
2017-04-27,1493251200,12.16,12.16,11.57,11.96,1054400
2017-04-28,1493337600,12.05,12.1,11.81,12.01,502300
2017-05-01,1493596800,12.05,12.24,11.62,12.17,1071800
2017-05-02,1493683200,12.17,12.31,12.07,12.25,891900
2017-05-03,1493769600,12.2,12.52,12.19,12.36,1150200
2017-05-04,1493856000,12.0,12.5,10.46,10.47,2545000
2017-05-05,1493942400,10.45,10.95,10.23,10.48,1597200
2017-05-08,1494201600,10.45,10.71,10.3,10.58,1392400
2017-05-09,1494288000,10.59,10.59,9.99,10.27,1143800
2017-05-10,1494374400,10.37,10.75,10.37,10.59,816900
2017-05-11,1494460800,10.64,10.64,10.16,10.18,617700
2017-05-12,1494547200,10.17,10.24,10.05,10.18,603000
2017-05-15,1494806400,10.41,10.47,10.17,10.19,793400
2017-05-16,1494892800,10.2,10.25,10.1,10.2,978500
2017-05-17,1494979200,10.2,10.2,9.78,9.85,782500
2017-05-18,1495065600,9.71,9.87,9.51,9.72,889000
2017-05-19,1495152000,9.8,10.45,9.75,10.36,726800
2017-05-22,1495411200,10.47,10.6,10.21,10.32,407200
2017-05-23,1495497600,10.36,10.52,10.29,10.5,463000
2017-05-24,1495584000,10.49,10.63,10.35,10.42,601300
2017-05-25,1495670400,10.43,10.7,10.15,10.24,848100
2017-05-26,1495756800,10.23,10.33,10.07,10.24,239700
2017-05-30,1496102400,10.24,10.24,9.91,10.09,305700
2017-05-31,1496188800,10.02,10.03,9.77,9.88,682200
2017-06-01,1496275200,9.79,10.0,9.71,9.95,682000
2017-06-02,1496361600,9.72,9.95,9.45,9.53,2138900
2017-06-05,1496620800,9.49,9.79,9.48,9.68,674700
2017-06-06,1496707200,9.66,10.14,9.49,10.07,510600
2017-06-07,1496793600,9.96,10.19,9.13,9.13,921900
2017-06-08,1496880000,9.0,9.2,8.54,8.67,1691700
2017-06-09,1496966400,8.7,9.55,8.7,9.46,863200
2017-06-12,1497225600,9.6,9.75,9.42,9.44,638600
2017-06-13,1497312000,9.51,9.98,9.46,9.83,502900
2017-06-14,1497398400,9.73,9.75,9.19,9.28,482100
2017-06-15,1497484800,9.25,9.33,8.74,8.82,716300
2017-06-16,1497571200,8.8,9.0,8.68,8.97,653100
