Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.72,5.82,5.71,5.8,142300
2017-01-04,1483488000,5.84,5.94,5.78,5.91,279700
2017-01-05,1483574400,5.88,5.97,5.87,5.92,148300
2017-01-06,1483660800,5.9,5.94,5.76,5.78,143600
2017-01-09,1483920000,5.79,5.82,5.74,5.76,87700
2017-01-10,1484006400,5.8,5.84,5.77,5.82,71600
2017-01-11,1484092800,5.83,5.84,5.78,5.8,75900
2017-01-12,1484179200,5.79,5.84,5.75,5.82,77500
2017-01-13,1484265600,5.84,5.9,5.84,5.86,95300
2017-01-17,1484611200,5.88,5.95,5.87,5.93,176600
2017-01-18,1484697600,5.96,5.96,5.86,5.89,106400
2017-01-19,1484784000,5.86,5.9,5.78,5.82,132000
2017-01-20,1484870400,5.86,5.99,5.82,5.96,154600
2017-01-23,1485129600,5.96,5.98,5.85,5.89,117400
2017-01-24,1485216000,5.93,5.98,5.88,5.95,99800
2017-01-25,1485302400,5.97,6.01,5.95,6.01,112300
2017-01-26,1485388800,6.01,6.01,5.94,5.99,120800
2017-01-27,1485475200,5.97,6.04,5.97,6.03,87500
2017-01-30,1485734400,6.03,6.03,5.95,5.98,97100
2017-01-31,1485820800,5.99,6.01,5.91,5.95,112100
2017-02-01,1485907200,5.95,6.15,5.93,6.07,356500
2017-02-02,1485993600,6.1,6.1,5.99,6.0,82300
2017-02-03,1486080000,5.99,6.03,5.99,6.02,104400
2017-02-06,1486339200,6.06,6.12,6.01,6.12,144200
2017-02-07,1486425600,6.12,6.22,6.06,6.19,294300
2017-02-08,1486512000,6.2,6.25,6.15,6.25,112000
2017-02-09,1486598400,6.25,6.32,6.22,6.27,209300
2017-02-10,1486684800,6.29,6.31,6.23,6.31,142200
2017-02-13,1486944000,6.32,6.36,6.23,6.25,231200
2017-02-14,1487030400,6.28,6.35,6.23,6.26,150900
2017-02-15,1487116800,6.27,6.31,6.23,6.3,100800
2017-02-16,1487203200,6.31,6.31,6.26,6.3,159100
2017-02-17,1487289600,6.27,6.3,6.21,6.23,177500
2017-02-21,1487635200,6.25,6.27,6.23,6.25,111100
2017-02-22,1487721600,6.24,6.29,6.21,6.25,115600
2017-02-23,1487808000,6.27,6.36,6.27,6.31,171800
2017-02-24,1487894400,6.3,6.3,6.23,6.28,128000
2017-02-27,1488153600,6.28,6.34,6.28,6.31,138400
2017-02-28,1488240000,6.3,6.3,6.23,6.28,179600
2017-03-01,1488326400,6.32,6.32,6.26,6.27,110900
2017-03-02,1488412800,6.26,6.3,6.24,6.25,133200
