Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.1,2.14,2.06,2.13,841500
2017-01-04,1483488000,2.14,2.24,2.11,2.24,1870200
2017-01-05,1483574400,2.23,2.26,2.18,2.2,1297100
2017-01-06,1483660800,2.21,2.42,2.2,2.31,2499300
2017-01-09,1483920000,2.32,2.32,2.19,2.21,1801100
2017-01-10,1484006400,2.2,2.22,2.1,2.2,1681000
2017-01-11,1484092800,2.2,2.22,2.07,2.1,1967800
2017-01-12,1484179200,2.1,2.13,2.05,2.09,1320000
2017-01-13,1484265600,2.09,2.14,2.06,2.11,1020000
2017-01-17,1484611200,2.1,2.11,2.03,2.04,1532500
2017-01-18,1484697600,2.06,2.06,2.0,2.06,1512100
2017-01-19,1484784000,2.03,2.05,1.96,2.0,1345000
2017-01-20,1484870400,2.02,2.02,1.96,1.99,1117700
2017-01-23,1485129600,1.98,2.0,1.9,1.92,1472700
2017-01-24,1485216000,1.93,1.97,1.87,1.96,1735400
2017-01-25,1485302400,1.96,2.02,1.91,1.94,1194700
2017-01-26,1485388800,1.94,1.95,1.88,1.91,1140300
2017-01-27,1485475200,1.89,1.99,1.89,1.98,915900
2017-01-30,1485734400,1.98,2.01,1.91,1.93,946600
2017-01-31,1485820800,1.91,2.08,1.88,2.08,2064200
2017-02-01,1485907200,2.1,2.1,2.0,2.03,1382700
2017-02-02,1485993600,2.04,2.07,2.01,2.03,939000
2017-02-03,1486080000,2.06,2.1,2.04,2.09,1361600
2017-02-06,1486339200,2.09,2.11,2.06,2.1,896600
2017-02-07,1486425600,2.11,2.12,2.04,2.09,1058400
2017-02-08,1486512000,2.08,2.1,2.05,2.08,1318600
2017-02-09,1486598400,2.09,2.15,2.08,2.15,1820000
2017-02-10,1486684800,2.16,2.19,2.13,2.18,1311900
2017-02-13,1486944000,2.2,2.38,2.17,2.36,2274300
2017-02-14,1487030400,2.35,2.45,2.2,2.42,4256600
2017-02-15,1487116800,2.43,2.44,2.32,2.4,1293400
2017-02-16,1487203200,2.4,2.41,2.26,2.28,1408200
2017-02-17,1487289600,2.29,2.29,2.16,2.28,1775600
2017-02-21,1487635200,2.29,2.29,2.18,2.2,950000
2017-02-22,1487721600,2.19,2.25,2.13,2.14,862300
2017-02-23,1487808000,2.16,2.17,2.1,2.13,854500
2017-02-24,1487894400,2.11,2.15,2.06,2.15,997100
2017-02-27,1488153600,2.16,2.21,2.12,2.2,1975100
2017-02-28,1488240000,2.2,2.2,2.12,2.15,1802700
2017-03-01,1488326400,2.19,2.22,2.11,2.13,2102500
2017-03-02,1488412800,2.13,2.23,2.06,2.2,2194700
2017-03-03,1488499200,2.2,2.32,2.14,2.19,2576900
2017-03-06,1488758400,2.2,2.21,2.11,2.13,1232500
2017-03-07,1488844800,2.13,2.16,2.1,2.11,1127300
2017-03-08,1488931200,2.11,2.17,2.1,2.12,1151900
2017-03-09,1489017600,2.13,2.14,2.07,2.11,1157500
2017-03-10,1489104000,2.12,2.13,2.07,2.11,1136600
2017-03-13,1489363200,2.13,2.17,2.1,2.13,930300
2017-03-14,1489449600,2.12,2.12,2.05,2.06,1364900
2017-03-15,1489536000,2.07,2.15,2.07,2.12,1355700
2017-03-16,1489622400,2.12,2.13,2.07,2.09,1053200
2017-03-17,1489708800,2.07,2.13,2.06,2.1,1719200
2017-03-20,1489968000,2.1,2.16,2.09,2.11,1053300
2017-03-21,1490054400,2.12,2.18,2.05,2.05,2015400
2017-03-22,1490140800,2.07,2.11,2.04,2.1,1500800
2017-03-23,1490227200,2.1,2.16,2.08,2.11,1146100
2017-03-24,1490313600,2.11,2.15,2.09,2.12,937600
2017-03-27,1490572800,2.1,2.27,2.09,2.27,1986700
2017-03-28,1490659200,2.27,2.31,2.19,2.22,1107300
2017-03-29,1490745600,2.22,2.38,2.2,2.24,2141000
2017-03-30,1490832000,2.23,2.27,2.15,2.21,1283200
2017-03-31,1490918400,2.21,2.28,2.19,2.27,1343800
2017-04-03,1491177600,2.29,2.4,2.21,2.21,2655700
2017-04-04,1491264000,2.2,2.27,2.13,2.15,1271400
2017-04-05,1491350400,2.16,2.19,2.07,2.09,1715500
2017-04-06,1491436800,2.1,2.14,2.07,2.12,1333200
2017-04-07,1491523200,2.12,2.15,2.05,2.15,1297600
2017-04-10,1491782400,2.48,2.73,2.45,2.57,15344600
2017-04-11,1491868800,2.57,2.58,2.31,2.33,4352900
2017-04-12,1491955200,2.34,2.4,2.3,2.35,1298600
2017-04-13,1492041600,2.35,2.39,2.3,2.34,1410000
2017-04-17,1492387200,2.34,2.42,2.33,2.39,1490400
2017-04-18,1492473600,2.39,2.44,2.37,2.42,1952600
2017-04-19,1492560000,2.45,2.49,2.38,2.41,1681300
2017-04-20,1492646400,2.43,2.48,2.39,2.42,2120800
2017-04-21,1492732800,2.43,2.45,2.38,2.38,1206300
2017-04-24,1492992000,2.42,2.44,2.38,2.4,1423900
2017-04-25,1493078400,2.42,2.55,2.4,2.55,2630800
2017-04-26,1493164800,2.57,2.62,2.51,2.57,2446600
2017-04-27,1493251200,2.57,2.72,2.55,2.63,2185700
2017-04-28,1493337600,2.63,2.64,2.53,2.56,1591300
2017-05-01,1493596800,2.58,2.59,2.52,2.58,1359000
