Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.18,23.26,22.9,23.2,827800
2017-01-04,1483488000,23.26,23.67,22.99,23.67,1204800
2017-01-05,1483574400,23.68,23.84,23.49,23.82,1063100
2017-01-06,1483660800,23.7,23.93,23.51,23.53,1249500
2017-01-09,1483920000,23.53,23.9,23.29,23.41,951800
2017-01-10,1484006400,23.47,23.54,23.23,23.35,799200
2017-01-11,1484092800,23.37,23.37,23.12,23.19,690100
2017-01-12,1484179200,23.17,23.29,23.03,23.29,492900
2017-01-13,1484265600,23.2,23.41,23.17,23.18,716700
2017-01-17,1484611200,23.21,23.37,23.2,23.32,791100
2017-01-18,1484697600,23.32,23.4,23.1,23.11,572000
2017-01-19,1484784000,23.05,23.13,22.81,22.9,452800
2017-01-20,1484870400,22.93,23.27,22.86,23.21,767600
2017-01-23,1485129600,23.2,23.53,23.17,23.5,452200
2017-01-24,1485216000,23.5,23.71,23.39,23.51,402100
2017-01-25,1485302400,23.49,23.61,23.44,23.54,296100
2017-01-26,1485388800,23.53,23.69,23.44,23.54,743200
2017-01-27,1485475200,23.62,23.62,23.39,23.56,1625000
2017-01-30,1485734400,23.49,23.52,23.32,23.43,598600
2017-01-31,1485820800,23.39,23.98,22.99,23.83,695100
2017-02-01,1485907200,23.82,23.98,23.46,23.59,1136100
2017-02-02,1485993600,23.59,24.0,23.59,23.8,1094200
2017-02-03,1486080000,23.78,24.01,23.72,23.97,731800
2017-02-06,1486339200,23.96,23.96,23.61,23.9,687000
2017-02-07,1486425600,23.87,24.05,23.76,23.9,1000400
2017-02-08,1486512000,23.93,23.96,23.78,23.84,358200
2017-02-09,1486598400,23.85,23.87,23.62,23.7,455200
2017-02-10,1486684800,23.68,23.84,23.62,23.8,287900
2017-02-13,1486944000,23.8,23.92,23.7,23.76,572000
2017-02-14,1487030400,23.75,23.76,23.45,23.74,399300
2017-02-15,1487116800,23.56,23.78,23.44,23.76,451900
2017-02-16,1487203200,23.78,24.0,23.78,23.93,426200
2017-02-17,1487289600,23.95,24.02,23.79,24.02,445500
2017-02-21,1487635200,23.99,24.26,23.85,24.24,547000
2017-02-22,1487721600,24.22,24.24,23.89,23.96,558700
2017-02-23,1487808000,24.1,24.2,23.83,24.16,577400
2017-02-24,1487894400,24.18,24.25,24.07,24.16,424700
2017-02-27,1488153600,24.16,24.39,24.13,24.31,520400
2017-02-28,1488240000,24.23,24.32,24.09,24.11,941100
2017-03-01,1488326400,24.03,24.31,23.99,24.03,677400
2017-03-02,1488412800,23.94,24.12,23.9,24.11,594500
2017-03-03,1488499200,24.13,24.38,24.02,24.37,854400
2017-03-06,1488758400,24.26,24.47,24.14,24.41,757700
