Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.57,5.79,5.51,5.51,2500
2017-01-04,1483488000,5.5,5.76,5.5,5.63,4500
2017-01-05,1483574400,5.55,5.66,5.41,5.63,6300
2017-01-06,1483660800,5.62,5.81,5.62,5.73,4200
2017-01-09,1483920000,5.8,5.8,4.8,5.12,40100
2017-01-10,1484006400,5.19,5.2,5.15,5.19,1400
2017-01-11,1484092800,5.06,5.18,4.86,4.91,12100
2017-01-12,1484179200,5.0,5.49,5.0,5.18,37400
2017-01-13,1484265600,5.2,5.2,4.9,4.95,20700
2017-01-17,1484611200,4.97,5.07,4.9,4.98,8700
2017-01-18,1484697600,5.0,5.1,4.9,5.0,12400
2017-01-19,1484784000,5.1,5.61,5.01,5.05,66400
2017-01-20,1484870400,5.01,5.23,5.01,5.11,4400
2017-01-23,1485129600,5.07,5.14,4.9,4.92,30200
2017-01-24,1485216000,4.96,4.96,4.76,4.76,6500
2017-01-25,1485302400,4.69,4.69,4.35,4.39,15100
2017-01-26,1485388800,4.45,4.45,3.85,3.85,27000
2017-01-27,1485475200,4.2,4.4,4.04,4.35,13500
2017-01-30,1485734400,4.53,4.93,4.53,4.9,18100
2017-01-31,1485820800,4.9,4.9,4.74,4.83,3000
2017-02-01,1485907200,4.88,6.06,4.88,4.96,97700
2017-02-02,1485993600,5.0,5.0,4.75,4.78,15600
2017-02-03,1486080000,4.9,4.9,4.75,4.8,10700
2017-02-06,1486339200,4.84,4.85,4.75,4.8,5200
2017-02-07,1486425600,4.75,4.77,4.62,4.75,22800
2017-02-08,1486512000,4.66,5.0,4.66,4.82,19500
2017-02-09,1486598400,4.81,5.49,4.81,5.1,89100
2017-02-10,1486684800,5.1,5.3,5.03,5.06,7200
2017-02-13,1486944000,5.21,5.3,4.7,4.7,64400
2017-02-14,1487030400,4.7,4.74,4.6,4.63,6400
2017-02-15,1487116800,4.63,4.65,4.5,4.56,23500
2017-02-16,1487203200,4.65,4.65,4.48,4.51,22300
2017-02-17,1487289600,4.5,4.74,4.5,4.6,3400
2017-02-21,1487635200,4.3,4.71,4.3,4.4,21200
2017-02-22,1487721600,4.3,4.5,4.17,4.3,21500
2017-02-23,1487808000,4.37,4.4,4.32,4.32,4400
2017-02-24,1487894400,4.52,4.52,4.3,4.34,7300
2017-02-27,1488153600,4.48,4.48,4.19,4.28,7500
2017-02-28,1488240000,4.4,4.4,4.25,4.26,4500
2017-03-01,1488326400,4.21,4.4,4.21,4.3,3800
2017-03-02,1488412800,4.37,4.38,3.91,3.91,20700
2017-03-03,1488499200,4.12,4.16,3.9,3.95,27200
2017-03-06,1488758400,4.02,4.05,3.95,4.04,3300
2017-03-07,1488844800,4.03,4.03,3.65,3.91,12300
2017-03-08,1488931200,3.65,4.0,3.65,3.77,5100
2017-03-09,1489017600,3.7,3.97,3.7,3.77,9700
2017-03-10,1489104000,3.75,3.77,3.65,3.67,19400
2017-03-13,1489363200,3.65,3.95,3.65,3.9,33100
2017-03-14,1489449600,3.88,3.97,3.78,3.89,12600
2017-03-15,1489536000,3.84,4.0,3.84,3.94,8800
2017-03-16,1489622400,3.78,4.14,3.78,4.05,6600
2017-03-17,1489708800,4.05,4.11,3.66,3.67,26700
2017-03-20,1489968000,3.66,4.0,3.66,3.78,4100
2017-03-21,1490054400,3.91,4.06,3.65,4.01,2000
2017-03-22,1490140800,3.96,3.96,3.96,3.96,2200
2017-03-23,1490227200,3.91,3.91,3.91,3.91,200
2017-03-24,1490313600,3.85,4.03,3.84,3.91,3300
2017-03-27,1490572800,3.76,3.99,3.64,3.72,26300
2017-03-28,1490659200,3.64,4.0,3.64,3.78,35900
2017-03-29,1490745600,3.63,3.96,3.63,3.88,21900
2017-03-30,1490832000,3.94,3.98,3.79,3.86,31700
2017-03-31,1490918400,3.97,4.0,3.67,3.74,8200
2017-04-03,1491177600,3.7,4.33,3.7,4.11,45300
2017-04-04,1491264000,4.2,4.24,4.02,4.2,18400
2017-04-05,1491350400,4.27,4.37,4.2,4.21,14200
2017-04-06,1491436800,4.28,4.5,4.25,4.25,4700
2017-04-07,1491523200,4.5,4.58,4.41,4.51,22500
2017-04-10,1491782400,4.62,4.77,4.52,4.77,27600
2017-04-11,1491868800,4.73,4.8,4.5,4.66,12700
2017-04-12,1491955200,4.73,4.73,4.54,4.61,4100
2017-04-13,1492041600,4.72,4.8,4.59,4.59,12900
2017-04-17,1492387200,4.56,4.58,4.55,4.55,3200
2017-04-18,1492473600,4.76,4.83,4.65,4.83,800
2017-04-19,1492560000,4.74,4.85,4.62,4.84,13600
2017-04-20,1492646400,4.78,4.78,4.75,4.75,300
2017-04-21,1492732800,4.7,4.83,4.57,4.83,14700
2017-04-24,1492992000,4.74,4.84,4.63,4.65,14800
2017-04-25,1493078400,4.79,5.01,4.79,4.97,50300
2017-04-26,1493164800,5.0,5.0,4.62,4.89,41200
2017-04-27,1493251200,4.88,4.99,4.73,4.99,66300
2017-04-28,1493337600,4.83,4.98,4.83,4.98,7400
2017-05-01,1493596800,4.97,4.97,4.75,4.8,32500
2017-05-02,1493683200,4.87,4.98,4.63,4.65,44200
2017-05-03,1493769600,4.66,4.85,4.62,4.65,47000
2017-05-04,1493856000,4.98,4.98,4.62,4.67,53100
2017-05-05,1493942400,4.8,4.92,4.65,4.65,34600
2017-05-08,1494201600,4.6,4.8,4.3,4.35,42200
2017-05-09,1494288000,4.25,4.5,4.03,4.14,22700
2017-05-10,1494374400,4.04,4.04,3.55,3.86,77800
2017-05-11,1494460800,3.85,4.06,3.8,3.8,5900
2017-05-12,1494547200,3.85,3.95,3.83,3.83,19700
2017-05-15,1494806400,3.9,3.9,3.77,3.79,14200
2017-05-16,1494892800,3.8,3.94,3.77,3.85,29100
2017-05-17,1494979200,3.9,3.9,3.77,3.83,4700
2017-05-18,1495065600,3.74,3.78,3.6,3.68,20400
2017-05-19,1495152000,3.6,3.84,3.6,3.6,10800
2017-05-22,1495411200,3.74,3.74,3.4,3.4,26900
2017-05-23,1495497600,3.38,3.5,3.25,3.49,19000
2017-05-24,1495584000,3.47,3.48,3.4,3.4,4500
2017-05-25,1495670400,3.39,3.83,3.38,3.69,20900
2017-05-26,1495756800,3.86,3.86,3.53,3.84,2600
2017-05-30,1496102400,3.8,3.96,3.67,3.92,13300
2017-05-31,1496188800,3.88,4.14,3.81,4.14,25400
2017-06-01,1496275200,4.24,4.24,3.85,3.98,21200
2017-06-02,1496361600,3.99,4.17,3.7,4.12,29800
2017-06-05,1496620800,4.15,4.15,4.01,4.08,15500
2017-06-06,1496707200,4.1,4.12,4.02,4.07,10500
2017-06-07,1496793600,4.08,4.08,4.08,4.08,20000
2017-06-08,1496880000,4.08,4.08,4.08,4.08,0
2017-06-09,1496966400,4.06,4.2,4.05,4.06,6900
