Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.24,5.5,5.24,5.32,21200
2017-01-04,1483488000,5.32,5.5,5.32,5.47,16800
2017-01-05,1483574400,5.5,5.5,5.3,5.36,53200
2017-01-06,1483660800,5.36,5.36,5.32,5.32,9400
2017-01-09,1483920000,5.36,5.36,5.32,5.32,14200
2017-01-10,1484006400,5.36,5.41,5.34,5.4,23600
2017-01-11,1484092800,5.41,5.41,5.39,5.41,16200
2017-01-12,1484179200,5.37,5.46,5.34,5.45,20400
2017-01-13,1484265600,5.46,5.8,5.46,5.68,90800
2017-01-17,1484611200,6.0,6.81,5.95,6.8,142000
2017-01-18,1484697600,6.85,9.76,6.85,8.51,386600
2017-01-19,1484784000,8.75,11.35,8.32,10.48,223600
2017-01-20,1484870400,10.5,11.0,9.52,10.31,289400
2017-01-23,1485129600,10.26,10.44,8.9,9.22,91600
2017-01-24,1485216000,9.21,10.3,9.21,10.06,60800
2017-01-25,1485302400,10.87,11.0,10.3,10.3,150800
2017-01-26,1485388800,10.3,10.45,9.61,10.17,45600
2017-01-27,1485475200,9.91,10.35,9.81,10.07,10000
2017-01-30,1485734400,10.01,10.01,9.27,9.37,35000
2017-01-31,1485820800,9.44,9.75,9.02,9.35,24800
2017-02-01,1485907200,9.5,10.1,9.5,9.94,32400
2017-02-02,1485993600,10.25,10.7,10.01,10.36,71800
2017-02-03,1486080000,10.79,10.8,10.6,10.65,11000
2017-02-06,1486339200,10.9,10.9,10.66,10.77,17400
2017-02-07,1486425600,10.9,10.9,10.38,10.48,14000
2017-02-08,1486512000,10.64,10.64,10.26,10.5,4400
2017-02-09,1486598400,10.56,10.9,10.56,10.6,28600
2017-02-10,1486684800,10.75,11.25,9.85,10.53,83400
2017-02-13,1486944000,10.45,10.5,9.9,10.2,44800
2017-02-14,1487030400,10.38,10.75,10.22,10.42,15600
2017-02-15,1487116800,10.63,11.11,10.63,10.91,14800
2017-02-16,1487203200,11.16,12.5,11.16,12.26,118400
2017-02-17,1487289600,12.5,13.25,12.35,13.01,129800
2017-02-21,1487635200,13.27,14.71,13.27,14.71,132200
2017-02-22,1487721600,15.0,18.33,15.0,17.79,191200
2017-02-23,1487808000,17.79,17.79,15.03,15.25,112400
2017-02-24,1487894400,16.5,16.94,15.56,16.91,90600
2017-02-27,1488153600,17.0,19.5,17.0,18.01,209200
2017-02-28,1488240000,18.01,18.15,17.0,17.91,74400
2017-03-01,1488326400,17.91,18.25,14.5,14.66,227000
2017-03-02,1488412800,14.5,16.22,13.86,14.2,152800
2017-03-03,1488499200,14.51,14.89,13.0,13.59,200400
2017-03-06,1488758400,13.69,13.69,10.16,10.73,295200
2017-03-07,1488844800,10.51,11.15,9.84,10.89,76200
2017-03-08,1488931200,10.89,11.79,10.89,11.1,49800
2017-03-09,1489017600,10.88,11.1,8.85,10.58,232400
2017-03-10,1489104000,10.6,11.39,10.6,10.82,47600
2017-03-13,1489363200,10.7,11.44,10.7,10.85,80600
2017-03-14,1489449600,10.84,10.96,10.02,10.73,50600
2017-03-15,1489536000,10.52,10.85,10.52,10.7,30600
2017-03-16,1489622400,11.02,11.6,10.7,10.78,123000
2017-03-17,1489708800,10.69,10.81,9.78,10.31,56400
2017-03-20,1489968000,10.43,10.55,10.01,10.32,24200
2017-03-21,1490054400,10.26,10.4,9.38,9.39,72400
2017-03-22,1490140800,9.75,9.81,9.3,9.47,62000
2017-03-23,1490227200,9.47,9.5,9.35,9.5,40800
2017-03-24,1490313600,9.43,9.55,9.4,9.5,31600
2017-03-27,1490572800,9.5,9.61,9.26,9.61,48200
2017-03-28,1490659200,9.65,12.6,9.65,11.32,199600
2017-03-29,1490745600,11.0,11.0,10.13,10.41,62800
2017-03-30,1490832000,10.06,10.74,9.89,10.5,83000
2017-03-31,1490918400,10.5,10.52,10.2,10.42,94000
2017-04-03,1491177600,10.4,10.96,10.36,10.7,155800
2017-04-04,1491264000,10.57,10.94,10.57,10.75,201800
2017-04-05,1491350400,10.85,10.9,10.06,10.48,100400
2017-04-06,1491436800,10.35,10.55,10.0,10.07,108200
2017-04-07,1491523200,10.11,10.2,9.77,9.9,128000
2017-04-10,1491782400,9.62,9.99,9.62,9.93,106000
2017-04-11,1491868800,9.8,9.99,9.76,9.93,91800
2017-04-12,1491955200,9.65,9.96,9.03,9.51,62400
2017-04-13,1492041600,9.69,10.01,9.27,9.36,43000
2017-04-17,1492387200,9.52,9.9,9.43,9.52,30600
2017-04-18,1492473600,9.2,9.69,9.2,9.45,38800
2017-04-19,1492560000,9.48,9.57,9.34,9.55,150600
2017-04-20,1492646400,9.57,9.57,9.34,9.48,68600
2017-04-21,1492732800,9.57,9.57,9.31,9.36,55200
2017-04-24,1492992000,9.41,10.96,9.41,9.81,253800
2017-04-25,1493078400,10.06,10.39,9.73,9.8,204600
2017-04-26,1493164800,9.93,10.23,9.88,10.23,53200
2017-04-27,1493251200,10.07,11.4,10.05,10.89,137800
2017-04-28,1493337600,10.75,10.75,8.77,9.08,375800
2017-05-01,1493596800,9.9,10.48,7.95,8.69,358000
2017-05-02,1493683200,8.56,8.88,8.29,8.4,75400
2017-05-03,1493769600,8.38,8.74,7.95,8.12,76000
2017-05-04,1493856000,8.12,8.38,7.66,7.77,54400
2017-05-05,1493942400,7.8,7.8,7.28,7.45,29400
2017-05-08,1494201600,7.64,8.23,7.55,8.23,32800
2017-05-09,1494288000,7.97,8.26,7.78,7.89,26000
2017-05-10,1494374400,7.82,8.3,7.68,8.3,25000
2017-05-11,1494460800,8.23,8.81,8.18,8.59,66600
2017-05-12,1494547200,8.6,8.64,7.64,8.54,32600
2017-05-15,1494806400,8.44,8.57,8.4,8.5,20800
2017-05-16,1494892800,8.52,8.52,8.03,8.38,22400
2017-05-17,1494979200,8.19,9.82,8.19,9.82,75800
2017-05-18,1495065600,9.7,10.24,9.02,9.42,50600
