Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.15,2.22,2.1,2.19,224200
2017-01-04,1483488000,2.22,2.25,2.2,2.22,211000
2017-01-05,1483574400,2.25,2.34,2.24,2.32,369300
2017-01-06,1483660800,2.32,2.32,2.22,2.25,297400
2017-01-09,1483920000,2.29,2.29,2.19,2.25,318000
2017-01-10,1484006400,2.25,2.29,2.2,2.23,213400
2017-01-11,1484092800,2.21,2.3,2.18,2.27,192700
2017-01-12,1484179200,2.3,2.33,2.22,2.25,249700
2017-01-13,1484265600,2.23,2.27,2.2,2.23,254200
2017-01-17,1484611200,2.26,2.28,2.16,2.22,307900
2017-01-18,1484697600,2.25,2.25,2.14,2.16,300300
2017-01-19,1484784000,2.18,2.18,2.12,2.14,327800
2017-01-20,1484870400,2.15,2.25,2.12,2.24,429200
2017-01-23,1485129600,2.29,2.56,2.26,2.52,981300
2017-01-24,1485216000,2.55,2.58,2.46,2.56,827700
2017-01-25,1485302400,2.53,2.53,2.41,2.49,647500
2017-01-26,1485388800,2.49,2.65,2.41,2.6,1056400
2017-01-27,1485475200,2.54,2.86,2.51,2.78,1762800
2017-01-30,1485734400,2.79,2.79,2.7,2.71,633600
2017-01-31,1485820800,2.77,2.8,2.72,2.78,457700
2017-02-01,1485907200,2.72,2.75,2.67,2.73,501100
2017-02-02,1485993600,2.8,2.82,2.76,2.8,389300
2017-02-03,1486080000,2.81,2.88,2.75,2.84,768200
2017-02-06,1486339200,2.87,2.92,2.8,2.92,476200
2017-02-07,1486425600,2.9,2.93,2.84,2.89,666300
2017-02-08,1486512000,2.93,2.94,2.84,2.88,917300
2017-02-09,1486598400,2.95,2.95,2.71,2.88,930500
2017-02-10,1486684800,2.78,2.9,2.75,2.84,1018100
2017-02-13,1486944000,2.76,2.84,2.76,2.79,705200
2017-02-14,1487030400,2.81,2.83,2.67,2.76,1116300
2017-02-15,1487116800,2.71,2.8,2.69,2.74,1149300
2017-02-16,1487203200,2.74,2.78,2.7,2.75,1178400
2017-02-17,1487289600,2.73,2.78,2.72,2.77,914700
2017-02-21,1487635200,2.75,2.78,2.7,2.77,1050800
2017-02-22,1487721600,2.76,2.78,2.7,2.75,810300
2017-02-23,1487808000,2.77,2.78,2.71,2.76,880700
2017-02-24,1487894400,2.77,2.77,2.61,2.71,1704600
2017-02-27,1488153600,2.68,2.76,2.64,2.68,1976800
2017-02-28,1488240000,2.69,2.72,2.55,2.61,1584700
2017-03-01,1488326400,2.53,2.85,2.53,2.57,1451900
2017-03-02,1488412800,2.54,2.61,2.41,2.42,1058000
2017-03-03,1488499200,2.4,2.48,2.32,2.41,1241000
2017-03-06,1488758400,2.4,2.42,2.29,2.34,942700
2017-03-07,1488844800,2.33,2.42,2.29,2.41,741500
2017-03-08,1488931200,2.37,2.43,2.33,2.34,626600
2017-03-09,1489017600,2.32,2.4,2.31,2.4,630500
2017-03-10,1489104000,2.4,2.46,2.35,2.46,1282000
2017-03-13,1489363200,2.49,2.59,2.49,2.59,4113000
2017-03-14,1489449600,2.6,2.68,2.52,2.58,4756100
2017-03-15,1489536000,2.59,2.67,2.47,2.61,4973600
2017-03-16,1489622400,2.67,2.67,2.52,2.54,2041400
2017-03-17,1489708800,2.53,2.65,2.31,2.63,31099700
2017-03-20,1489968000,2.51,2.59,2.44,2.56,1809400
2017-03-21,1490054400,2.53,2.64,2.53,2.6,1064600
2017-03-22,1490140800,2.62,2.73,2.56,2.71,2424500
2017-03-23,1490227200,2.7,2.76,2.6,2.73,1384500
2017-03-24,1490313600,2.71,2.74,2.55,2.59,1056500
2017-03-27,1490572800,2.68,2.68,2.46,2.53,1217800
2017-03-28,1490659200,2.52,2.53,2.22,2.31,2191000
2017-03-29,1490745600,2.34,2.34,2.25,2.31,374100
2017-03-30,1490832000,2.28,2.29,2.2,2.2,675800
2017-03-31,1490918400,2.25,2.26,2.15,2.16,1065900
