Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,3.2,3.2,3.05,3.2,25100
2017-01-04,1483488000,3.2,3.25,3.19,3.25,65400
2017-01-05,1483574400,3.21,3.55,3.2,3.55,66300
2017-01-06,1483660800,3.5,3.6,3.15,3.25,77200
2017-01-09,1483920000,3.25,3.4,3.1,3.15,30500
2017-01-10,1484006400,3.1,3.3,3.1,3.25,26200
2017-01-11,1484092800,3.3,3.4,3.2,3.35,26800
2017-01-12,1484179200,3.3,3.35,3.25,3.28,6700
2017-01-13,1484265600,3.39,3.4,3.31,3.35,8300
2017-01-17,1484611200,3.4,3.4,3.25,3.3,11100
2017-01-18,1484697600,3.35,3.4,3.15,3.15,15600
2017-01-19,1484784000,3.17,3.25,3.06,3.15,50600
2017-01-20,1484870400,3.15,3.3,3.05,3.15,31800
2017-01-23,1485129600,3.15,3.2,3.05,3.1,12800
2017-01-24,1485216000,3.1,3.25,3.1,3.25,48200
2017-01-25,1485302400,3.3,3.3,3.2,3.3,42000
2017-01-26,1485388800,3.25,3.3,3.15,3.15,31700
2017-01-27,1485475200,3.15,3.25,3.1,3.25,5400
2017-01-30,1485734400,3.15,3.25,3.15,3.2,8500
2017-01-31,1485820800,3.25,3.3,3.15,3.2,12700
2017-02-01,1485907200,3.15,3.3,3.05,3.2,45000
2017-02-02,1485993600,3.15,3.25,3.15,3.25,12100
2017-02-03,1486080000,3.25,3.3,3.1,3.2,8600
2017-02-06,1486339200,3.2,3.25,3.05,3.15,30400
2017-02-07,1486425600,3.2,3.25,3.1,3.25,14900
2017-02-08,1486512000,3.2,3.25,3.1,3.2,36200
2017-02-09,1486598400,3.2,3.25,3.05,3.1,34800
2017-02-10,1486684800,3.05,3.25,3.05,3.25,22300
2017-02-13,1486944000,3.25,3.25,3.15,3.2,53300
2017-02-14,1487030400,3.15,3.15,3.1,3.15,13400
2017-02-15,1487116800,3.2,3.3,3.15,3.18,71800
2017-02-16,1487203200,3.2,3.3,3.2,3.2,53900
2017-02-17,1487289600,3.25,3.25,3.15,3.2,16600
2017-02-21,1487635200,3.2,3.25,3.15,3.15,13100
2017-02-22,1487721600,3.15,3.15,3.05,3.05,30300
2017-02-23,1487808000,3.1,3.15,3.05,3.15,12600
2017-02-24,1487894400,3.05,3.1,3.05,3.1,15100
2017-02-27,1488153600,3.05,3.1,3.05,3.1,15700
2017-02-28,1488240000,3.05,3.15,3.0,3.0,45400
2017-03-01,1488326400,3.05,3.1,3.05,3.05,14200
2017-03-02,1488412800,3.1,3.1,3.05,3.05,12400
2017-03-03,1488499200,3.05,3.1,2.95,3.0,29400
2017-03-06,1488758400,2.95,3.0,2.95,3.0,25800
2017-03-07,1488844800,2.95,3.0,2.85,2.9,75100
2017-03-08,1488931200,2.9,3.0,2.9,3.0,21400
2017-03-09,1489017600,2.95,3.0,2.8,2.85,70000
2017-03-10,1489104000,2.85,3.0,2.8,2.95,66300
2017-03-13,1489363200,2.95,2.95,2.9,2.9,17800
2017-03-14,1489449600,2.95,2.95,2.85,2.9,16500
2017-03-15,1489536000,2.9,2.9,2.85,2.85,20200
2017-03-16,1489622400,2.9,2.9,2.85,2.9,25100
2017-03-17,1489708800,2.9,2.95,2.85,2.95,25900
2017-03-20,1489968000,2.9,3.15,2.9,3.15,36000
2017-03-21,1490054400,3.1,3.25,3.1,3.25,75900
2017-03-22,1490140800,3.2,3.3,3.1,3.1,40400
2017-03-23,1490227200,3.2,3.2,3.08,3.1,6000
2017-03-24,1490313600,3.15,3.15,3.0,3.1,7400
