Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,39.39,39.89,39.22,39.46,1065600
2017-01-04,1483488000,39.55,40.31,39.47,39.8,1286300
2017-01-05,1483574400,39.91,41.08,39.72,40.42,2069800
2017-01-06,1483660800,40.5,40.67,39.65,40.02,1591600
2017-01-09,1483920000,39.86,39.97,39.28,39.86,857000
2017-01-10,1484006400,39.96,40.15,39.42,39.88,840100
2017-01-11,1484092800,39.86,40.28,39.86,40.17,642400
2017-01-12,1484179200,40.15,40.2,39.79,39.83,994400
2017-01-13,1484265600,39.89,40.25,39.72,39.9,1456100
2017-01-17,1484611200,39.73,40.05,39.6,39.94,853500
2017-01-18,1484697600,39.95,40.31,39.73,40.29,804700
2017-01-19,1484784000,40.37,40.4,39.87,40.1,674100
2017-01-20,1484870400,40.21,40.8,39.97,40.61,1789700
2017-01-23,1485129600,40.61,40.72,40.1,40.45,867000
2017-01-24,1485216000,40.47,41.1,40.36,40.99,876900
2017-01-25,1485302400,40.94,41.35,40.59,40.73,724000
2017-01-26,1485388800,40.96,40.96,39.94,39.98,922600
2017-01-27,1485475200,40.06,40.06,38.75,39.29,1346700
2017-01-30,1485734400,38.93,39.18,38.45,39.1,1168000
2017-01-31,1485820800,39.13,39.72,38.83,39.56,1026200
2017-02-01,1485907200,39.74,39.94,38.93,39.07,760700
2017-02-02,1485993600,39.2,39.62,38.92,39.35,1085800
2017-02-03,1486080000,39.67,39.76,39.23,39.41,791600
2017-02-06,1486339200,39.13,39.31,38.28,38.6,1962200
2017-02-07,1486425600,38.7,38.92,38.4,38.79,860000
2017-02-08,1486512000,38.8,38.95,38.23,38.51,680600
2017-02-09,1486598400,38.56,39.18,38.56,38.64,1162100
2017-02-10,1486684800,38.87,39.04,38.47,38.53,1079800
2017-02-13,1486944000,33.82,35.1,32.87,35.1,11523400
2017-02-14,1487030400,34.44,35.75,34.0,35.16,3123500
2017-02-15,1487116800,35.15,35.49,34.94,34.96,1437600
2017-02-16,1487203200,35.0,35.1,34.33,34.46,1921100
2017-02-17,1487289600,34.15,35.05,33.63,34.95,2307800
