Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.09,10.23,9.68,9.99,1082500
2017-01-04,1483488000,10.02,10.79,9.98,10.69,1664500
2017-01-05,1483574400,11.79,12.79,11.39,12.61,17061900
2017-01-06,1483660800,12.35,13.77,12.3,13.38,9170400
2017-01-09,1483920000,13.38,14.36,13.24,14.24,4172100
2017-01-10,1484006400,13.93,14.03,12.66,12.89,4811400
2017-01-11,1484092800,12.83,13.16,11.9,11.91,2929400
2017-01-12,1484179200,11.71,12.25,11.34,11.86,1947100
2017-01-13,1484265600,11.81,12.11,11.28,11.39,2193100
2017-01-17,1484611200,11.22,11.3,10.78,10.89,1842600
2017-01-18,1484697600,10.93,11.29,10.74,11.27,1538500
2017-01-19,1484784000,11.26,11.3,10.81,11.08,1065300
2017-01-20,1484870400,11.1,11.54,10.97,11.5,2028700
2017-01-23,1485129600,11.5,12.05,11.38,11.59,2243800
2017-01-24,1485216000,11.64,11.82,11.14,11.68,1868300
2017-01-25,1485302400,11.82,11.89,11.48,11.78,1154700
2017-01-26,1485388800,11.81,11.95,11.5,11.62,1167800
2017-01-27,1485475200,11.58,11.72,11.42,11.51,726700
2017-01-30,1485734400,11.45,11.45,10.79,11.23,2002200
2017-01-31,1485820800,11.13,11.58,10.89,11.55,1800300
2017-02-01,1485907200,11.64,12.01,11.45,11.99,2133600
2017-02-02,1485993600,12.0,12.16,11.81,11.98,1774900
2017-02-03,1486080000,12.15,12.27,11.93,12.26,1153400
2017-02-06,1486339200,12.21,12.48,12.02,12.29,1014800
2017-02-07,1486425600,12.31,12.5,12.1,12.23,985200
2017-02-08,1486512000,12.15,12.39,12.01,12.1,1201100
2017-02-09,1486598400,12.08,12.83,12.08,12.77,1759100
2017-02-10,1486684800,12.82,12.85,12.45,12.47,712800
2017-02-13,1486944000,12.59,12.67,12.19,12.31,754000
2017-02-14,1487030400,12.27,12.61,12.05,12.6,1017100
2017-02-15,1487116800,12.6,12.69,12.44,12.66,897000
2017-02-16,1487203200,12.69,12.75,12.03,12.56,1205100
2017-02-17,1487289600,12.49,12.78,12.18,12.61,1008600
2017-02-21,1487635200,12.71,12.79,12.45,12.51,841700
2017-02-22,1487721600,12.46,12.46,12.07,12.07,993200
2017-02-23,1487808000,12.12,12.3,11.71,12.04,1106700
2017-02-24,1487894400,11.84,12.27,11.82,12.27,1253600
2017-02-27,1488153600,12.27,12.91,12.02,12.87,1538700
2017-02-28,1488240000,12.78,13.66,12.51,12.82,2950500
2017-03-01,1488326400,13.28,13.28,12.09,12.9,2247600
2017-03-02,1488412800,12.88,13.96,12.61,13.36,2394500
2017-03-03,1488499200,13.37,13.9,13.3,13.59,1377600
2017-03-06,1488758400,13.52,13.59,13.1,13.46,1088200
2017-03-07,1488844800,13.18,13.43,12.79,12.84,2228500
2017-03-08,1488931200,12.92,13.4,12.84,13.21,1006200
2017-03-09,1489017600,13.25,13.67,13.19,13.65,1265300
2017-03-10,1489104000,13.72,13.81,13.39,13.77,846800
2017-03-13,1489363200,13.79,13.85,13.41,13.51,1078600
2017-03-14,1489449600,13.42,13.48,13.09,13.31,1121200
2017-03-15,1489536000,13.36,13.98,13.3,13.86,1134000
2017-03-16,1489622400,13.84,14.75,13.68,14.68,3042800
2017-03-17,1489708800,14.42,15.2,14.4,14.54,2919700
2017-03-20,1489968000,14.52,14.58,14.25,14.41,822800
2017-03-21,1490054400,14.47,14.48,13.26,13.29,1613400
2017-03-22,1490140800,13.6,13.62,13.1,13.49,1047400
2017-03-23,1490227200,13.23,13.78,13.23,13.46,766200
2017-03-24,1490313600,13.52,13.66,13.3,13.53,662000
2017-03-27,1490572800,13.29,14.37,13.06,14.27,1239300
2017-03-28,1490659200,14.25,14.46,13.96,14.21,717500
2017-03-29,1490745600,14.25,14.72,14.05,14.29,798400
2017-03-30,1490832000,12.9,13.29,12.44,13.03,5938900
2017-03-31,1490918400,12.9,13.08,12.77,12.96,1230800
2017-04-03,1491177600,12.96,13.14,12.91,12.99,1492300
2017-04-04,1491264000,12.96,13.11,12.8,13.08,831800
2017-04-05,1491350400,13.11,13.21,12.8,12.9,1630300
2017-04-06,1491436800,13.0,13.09,12.35,12.53,1394300
2017-04-07,1491523200,12.49,12.66,12.37,12.64,758000
2017-04-10,1491782400,12.67,13.05,12.63,12.67,536200
2017-04-11,1491868800,12.64,12.72,12.32,12.6,711000
2017-04-12,1491955200,12.66,12.66,12.41,12.49,469000
2017-04-13,1492041600,12.45,12.91,12.41,12.81,643400
2017-04-17,1492387200,12.75,13.16,12.71,12.9,619500
2017-04-18,1492473600,12.89,12.95,12.56,12.73,809100
2017-04-19,1492560000,12.83,13.17,12.7,12.82,642500
2017-04-20,1492646400,12.89,13.29,12.89,13.24,810800
2017-04-21,1492732800,13.26,13.42,13.13,13.29,776700
2017-04-24,1492992000,13.44,13.53,13.3,13.39,690700
2017-04-25,1493078400,13.55,14.09,13.51,13.96,791800
2017-04-26,1493164800,13.99,14.09,13.86,13.88,973600
2017-04-27,1493251200,13.9,14.01,13.73,13.99,592700
2017-04-28,1493337600,14.03,14.04,13.69,13.94,624900
2017-05-01,1493596800,13.97,14.14,13.86,14.14,532300
2017-05-02,1493683200,14.17,14.31,13.86,14.22,680800
2017-05-03,1493769600,14.13,14.29,14.04,14.22,431000
2017-05-04,1493856000,14.28,14.36,14.04,14.15,546400
2017-05-05,1493942400,14.18,14.21,13.91,13.99,522600
2017-05-08,1494201600,13.99,14.05,13.59,13.85,729400
2017-05-09,1494288000,13.89,14.22,13.76,13.84,1210400
2017-05-10,1494374400,13.34,13.77,12.64,13.63,1568900
2017-05-11,1494460800,13.59,14.09,13.47,13.9,801000
2017-05-12,1494547200,13.88,14.47,13.76,14.28,1213800
2017-05-15,1494806400,14.31,14.7,14.21,14.29,1045100
2017-05-16,1494892800,14.3,14.6,14.14,14.58,816000
2017-05-17,1494979200,14.34,14.34,13.66,13.76,1041500
2017-05-18,1495065600,13.88,14.28,13.76,14.16,915600
2017-05-19,1495152000,13.07,13.45,12.8,12.91,7665100
2017-05-22,1495411200,12.91,13.0,12.51,12.79,1900500
2017-05-23,1495497600,12.82,13.01,12.59,12.75,1384000
2017-05-24,1495584000,12.78,12.89,12.47,12.84,773100
2017-05-25,1495670400,12.9,12.9,12.52,12.6,874300
2017-05-26,1495756800,12.52,12.64,12.36,12.41,671000
2017-05-30,1496102400,12.35,12.46,12.08,12.16,1021800
2017-05-31,1496188800,12.22,12.27,11.51,11.8,1724300
2017-06-01,1496275200,11.87,12.36,11.84,12.24,1182300
2017-06-02,1496361600,12.28,12.71,12.05,12.68,1982400
2017-06-05,1496620800,12.84,12.84,12.3,12.67,1474800
2017-06-06,1496707200,12.61,12.93,12.6,12.78,745300
2017-06-07,1496793600,12.85,12.9,12.58,12.71,618900
2017-06-08,1496880000,12.73,12.94,12.53,12.84,715500
2017-06-09,1496966400,12.84,13.23,12.78,12.9,715600
2017-06-12,1497225600,12.87,13.12,12.49,12.85,1026000
2017-06-13,1497312000,12.91,13.24,12.87,13.2,765500
2017-06-14,1497398400,13.22,13.4,13.1,13.21,710400
2017-06-15,1497484800,13.06,13.07,12.68,13.05,1042200
2017-06-16,1497571200,12.94,13.5,12.87,13.44,2706400
2017-06-19,1497830400,13.4,14.2,13.35,14.17,1596900
2017-06-20,1497916800,14.25,14.92,14.15,14.32,2022800
2017-06-21,1498003200,14.49,14.86,14.34,14.59,2274300
2017-06-22,1498089600,14.66,15.0,14.42,14.83,3166800
2017-06-23,1498176000,14.87,14.96,14.38,14.89,1680600
2017-06-26,1498435200,15.0,15.05,14.5,14.59,1193700
2017-06-27,1498521600,14.56,14.65,13.98,13.99,945200
2017-06-28,1498608000,14.12,14.29,13.53,13.55,2611400
2017-06-29,1498694400,13.58,13.64,12.81,12.98,2876200
2017-06-30,1498780800,13.0,13.23,12.81,12.82,1002200
2017-07-03,1499040000,12.86,13.11,12.8,12.94,496400
2017-07-05,1499212800,12.89,13.29,12.88,13.17,651200
2017-07-06,1499299200,13.07,13.11,12.65,12.86,913800
2017-07-07,1499385600,12.94,13.12,12.89,13.03,493700
2017-07-10,1499644800,13.03,13.12,12.72,12.92,621700
2017-07-11,1499731200,12.94,13.09,12.86,13.0,565700
2017-07-12,1499817600,13.11,13.13,12.66,13.02,514200
2017-07-13,1499904000,13.05,13.31,12.8,13.21,1162700
2017-07-14,1499990400,13.24,13.47,13.18,13.21,553300
2017-07-17,1500249600,13.22,13.57,13.21,13.26,517600
2017-07-18,1500336000,13.18,13.23,12.92,12.97,592600
2017-07-19,1500422400,13.08,13.2,12.95,13.1,678000
2017-07-20,1500508800,13.13,13.51,13.03,13.26,763200
2017-07-21,1500595200,13.36,13.62,13.26,13.53,701000
