Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,85.35,86.0,84.38,85.75,205400
2017-01-04,1483488000,85.95,88.05,85.95,87.65,299200
2017-01-05,1483574400,87.35,89.6,87.05,89.25,382900
2017-01-06,1483660800,90.85,96.45,89.15,96.1,813300
2017-01-09,1483920000,95.65,95.75,92.0,92.1,631300
2017-01-10,1484006400,92.0,94.1,91.8,93.4,311000
2017-01-11,1484092800,93.4,93.4,91.7,92.0,224500
2017-01-12,1484179200,92.15,92.6,90.3,92.35,203400
2017-01-13,1484265600,92.85,93.1,91.8,92.15,186300
2017-01-17,1484611200,91.85,93.45,91.4,92.8,283000
2017-01-18,1484697600,93.2,93.45,91.74,92.8,158300
2017-01-19,1484784000,92.9,93.1,90.58,90.65,151600
2017-01-20,1484870400,90.65,92.15,90.55,90.9,119000
2017-01-23,1485129600,90.7,91.35,90.2,90.95,219200
2017-01-24,1485216000,91.1,92.35,90.9,92.0,200100
2017-01-25,1485302400,92.3,93.5,92.3,92.95,238000
2017-01-26,1485388800,92.55,93.25,92.25,92.95,226200
2017-01-27,1485475200,92.95,93.7,92.4,92.95,253200
2017-01-30,1485734400,92.55,92.85,91.6,92.35,158300
2017-01-31,1485820800,92.25,93.6,91.9,93.3,130400
2017-02-01,1485907200,93.25,93.25,92.5,92.9,134000
2017-02-02,1485993600,93.05,93.55,90.0,93.0,240200
2017-02-03,1486080000,93.35,93.6,91.83,93.05,128700
2017-02-06,1486339200,92.85,95.0,90.4,93.55,192700
2017-02-07,1486425600,93.8,94.85,93.5,93.6,148200
2017-02-08,1486512000,93.45,94.65,93.2,94.3,112600
2017-02-09,1486598400,94.5,95.5,94.15,95.3,94800
2017-02-10,1486684800,95.55,96.1,95.0,95.7,79500
2017-02-13,1486944000,95.85,96.15,94.95,95.1,73200
2017-02-14,1487030400,94.75,96.6,94.5,96.35,155800
2017-02-15,1487116800,95.8,98.25,95.8,98.15,192600
2017-02-16,1487203200,98.45,98.45,96.75,97.55,87000
2017-02-17,1487289600,97.6,98.25,97.3,97.95,111400
2017-02-21,1487635200,98.6,99.3,98.25,99.0,97200
2017-02-22,1487721600,99.0,99.55,98.1,98.5,117600
2017-02-23,1487808000,98.5,98.85,97.8,98.4,145600
2017-02-24,1487894400,98.25,99.2,97.45,98.95,152800
2017-02-27,1488153600,98.7,99.2,98.25,99.0,118300
2017-02-28,1488240000,98.65,98.8,97.35,97.7,187200
2017-03-01,1488326400,98.6,99.25,98.15,98.45,141400
2017-03-02,1488412800,98.35,98.45,97.45,97.55,70000
2017-03-03,1488499200,97.45,98.25,96.35,96.35,95400
2017-03-06,1488758400,95.75,96.0,92.1,95.25,114000
2017-03-07,1488844800,95.0,95.2,94.15,94.2,77000
2017-03-08,1488931200,94.25,95.15,93.85,94.8,160500
2017-03-09,1489017600,94.7,95.75,94.3,95.15,128900
2017-03-10,1489104000,95.85,96.4,95.2,96.3,148600
2017-03-13,1489363200,96.15,96.5,94.9,95.6,87300
2017-03-14,1489449600,95.3,95.98,95.05,95.25,84600
2017-03-15,1489536000,95.55,96.85,94.12,96.3,127400
2017-03-16,1489622400,96.35,96.4,95.0,95.3,82400
2017-03-17,1489708800,94.9,97.1,94.8,96.7,388600
2017-03-20,1489968000,96.55,96.55,94.53,95.0,82400
2017-03-21,1490054400,95.5,95.6,93.45,93.6,101100
2017-03-22,1490140800,93.4,93.65,92.4,92.85,119800
2017-03-23,1490227200,92.75,94.25,91.55,93.55,96800
2017-03-24,1490313600,93.7,94.42,93.55,93.95,118700
2017-03-27,1490572800,92.65,93.8,92.65,93.7,118300
2017-03-28,1490659200,93.25,94.5,92.3,94.05,98200
2017-03-29,1490745600,93.7,94.3,93.5,93.7,68600
2017-03-30,1490832000,93.8,94.65,93.55,94.2,127700
2017-03-31,1490918400,94.25,94.6,93.85,94.2,129600
2017-04-03,1491177600,94.2,94.25,93.35,93.45,118800
2017-04-04,1491264000,93.35,93.43,91.6,91.95,122000
2017-04-05,1491350400,92.3,92.4,90.35,90.65,157800
2017-04-06,1491436800,90.65,91.2,90.1,90.5,155200
2017-04-07,1491523200,90.45,91.0,89.4,89.8,174800
2017-04-10,1491782400,89.9,91.65,89.69,91.65,173700
2017-04-11,1491868800,91.45,91.78,90.6,91.25,209200
2017-04-12,1491955200,91.0,91.75,90.3,90.9,92900
2017-04-13,1492041600,90.75,91.45,90.5,90.55,81800
2017-04-17,1492387200,90.75,91.15,90.55,91.1,95700
2017-04-18,1492473600,90.85,91.35,90.3,91.2,89900
2017-04-19,1492560000,91.35,93.45,90.65,93.05,175900
2017-04-20,1492646400,93.4,94.35,91.73,94.2,136500
2017-04-21,1492732800,93.85,94.9,91.85,94.65,160200
2017-04-24,1492992000,95.85,96.25,95.3,95.75,159500
2017-04-25,1493078400,96.2,97.55,95.95,96.75,144900
2017-04-26,1493164800,96.75,97.95,96.75,96.95,163000
2017-04-27,1493251200,97.0,97.45,96.35,96.5,174300
