Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,34.48,34.57,33.89,34.21,387300
2017-01-04,1483488000,34.43,34.66,34.21,34.61,275500
2017-01-05,1483574400,34.57,34.92,34.39,34.52,351800
2017-01-06,1483660800,34.7,34.7,34.21,34.43,319900
2017-01-09,1483920000,34.34,34.52,33.89,34.03,491500
2017-01-10,1484006400,34.16,34.39,33.92,34.21,245800
2017-01-11,1484092800,34.3,34.37,33.94,34.34,250600
2017-01-12,1484179200,34.34,34.34,33.67,34.07,202300
2017-01-13,1484265600,34.25,34.43,34.03,34.25,193300
2017-01-17,1484611200,33.98,34.03,33.63,33.76,179800
2017-01-18,1484697600,33.89,34.07,33.8,34.03,122600
2017-01-19,1484784000,33.98,34.16,33.36,33.49,265500
2017-01-20,1484870400,33.49,33.7,33.27,33.4,213400
2017-01-23,1485129600,33.45,33.49,32.86,33.09,223300
2017-01-24,1485216000,33.27,33.71,33.04,33.58,211000
2017-01-25,1485302400,33.89,34.39,33.76,34.07,322100
2017-01-26,1485388800,33.98,34.14,33.22,33.45,185200
2017-01-27,1485475200,33.54,33.58,33.27,33.45,145300
2017-01-30,1485734400,33.27,33.27,32.64,32.69,216000
2017-01-31,1485820800,32.64,32.86,32.42,32.73,273500
2017-02-01,1485907200,32.95,33.22,32.73,33.18,265900
2017-02-02,1485993600,32.95,32.95,31.52,31.7,554600
2017-02-03,1486080000,31.88,32.42,31.88,32.37,252400
2017-02-06,1486339200,32.15,32.28,31.57,31.74,407000
2017-02-07,1486425600,31.83,32.37,31.83,32.24,434100
2017-02-08,1486512000,32.15,32.19,31.66,32.06,384800
2017-02-09,1486598400,32.06,32.6,32.06,32.42,214700
2017-02-10,1486684800,32.64,33.0,32.42,33.0,242400
2017-02-13,1486944000,33.13,33.45,33.13,33.22,251500
2017-02-14,1487030400,33.0,33.22,32.77,33.13,314500
2017-02-15,1487116800,33.04,33.45,32.91,33.31,155900
2017-02-16,1487203200,33.27,33.4,32.91,33.4,201900
2017-02-17,1487289600,33.36,33.4,32.55,32.64,315600
2017-02-21,1487635200,32.77,33.16,32.64,33.13,170500
2017-02-22,1487721600,33.0,33.22,32.82,33.13,104800
2017-02-23,1487808000,33.09,33.31,32.46,32.77,176500
2017-02-24,1487894400,33.09,33.58,32.55,33.18,226400
2017-02-27,1488153600,33.0,33.49,32.95,33.45,204000
2017-02-28,1488240000,33.4,33.4,32.51,32.55,261200
2017-03-01,1488326400,33.13,33.58,32.86,33.49,202200
2017-03-02,1488412800,33.49,33.54,32.82,32.95,122300
2017-03-03,1488499200,33.0,33.22,32.73,33.13,151600
2017-03-06,1488758400,32.91,33.11,32.73,32.91,99800
2017-03-07,1488844800,32.82,33.04,32.69,32.95,133900
2017-03-08,1488931200,32.95,33.18,32.42,32.42,224000
2017-03-09,1489017600,32.51,32.6,32.19,32.33,185100
2017-03-10,1489104000,32.77,32.82,32.01,32.6,274000
2017-03-13,1489363200,32.6,33.09,32.6,32.91,156200
2017-03-14,1489449600,32.64,32.86,32.64,32.77,186900
2017-03-15,1489536000,32.91,33.41,32.87,33.23,567300
2017-03-16,1489622400,33.32,33.45,33.14,33.23,200000
2017-03-17,1489708800,33.27,33.3,32.78,33.23,728000
2017-03-20,1489968000,33.23,33.41,32.87,33.18,135100
2017-03-21,1490054400,33.27,33.35,32.12,32.24,251600
2017-03-22,1490140800,32.24,32.28,31.61,31.83,245200
2017-03-23,1490227200,31.88,32.33,31.74,32.24,192700
2017-03-24,1490313600,32.28,32.55,32.06,32.15,214000
2017-03-27,1490572800,31.83,31.97,31.48,31.83,176700
2017-03-28,1490659200,31.74,32.28,31.65,32.28,174300
2017-03-29,1490745600,32.15,32.28,32.06,32.24,92800
2017-03-30,1490832000,32.28,32.45,32.06,32.37,391900
2017-03-31,1490918400,32.28,32.42,32.1,32.28,388400
2017-04-03,1491177600,32.24,32.42,31.38,31.65,501300
2017-04-04,1491264000,31.65,32.46,31.65,32.01,300300
2017-04-05,1491350400,32.15,32.42,31.65,31.74,295700
2017-04-06,1491436800,31.7,32.12,31.29,32.06,235900
2017-04-07,1491523200,31.88,32.19,31.79,32.1,318700
2017-04-10,1491782400,32.01,32.42,31.79,32.06,243000
2017-04-11,1491868800,31.97,32.69,31.88,32.69,274600
2017-04-12,1491955200,32.69,32.73,31.7,31.83,309500
2017-04-13,1492041600,31.74,31.88,31.29,31.43,286200
2017-04-17,1492387200,31.56,31.79,31.34,31.74,156000
2017-04-18,1492473600,31.52,31.79,31.25,31.65,296100
2017-04-19,1492560000,31.79,32.1,31.65,32.01,262800
2017-04-20,1492646400,32.15,32.8,32.15,32.64,190400
2017-04-21,1492732800,32.64,32.73,32.24,32.55,178100
2017-04-24,1492992000,33.18,33.41,33.0,33.18,213200
2017-04-25,1493078400,33.63,33.84,33.36,33.72,224600
2017-04-26,1493164800,33.77,33.95,33.57,33.59,290000
2017-04-27,1493251200,33.59,33.86,33.5,33.63,241000
2017-04-28,1493337600,33.81,33.9,33.14,33.23,178500
2017-05-01,1493596800,33.27,33.27,32.9,33.0,267900
2017-05-02,1493683200,33.14,33.23,32.82,33.0,178900
2017-05-03,1493769600,32.82,32.96,32.49,32.78,217300
2017-05-04,1493856000,33.95,34.07,32.82,34.04,326800
2017-05-05,1493942400,34.13,34.58,33.95,34.54,466000
2017-05-08,1494201600,34.49,34.9,34.18,34.58,288900
2017-05-09,1494288000,34.63,34.76,34.13,34.4,264500
2017-05-10,1494374400,34.4,34.49,34.08,34.31,183300
2017-05-11,1494460800,34.22,34.27,33.68,34.17,127800
2017-05-12,1494547200,34.04,34.04,33.54,33.86,182400
2017-05-15,1494806400,33.95,34.31,33.78,33.9,325900
2017-05-16,1494892800,33.9,33.9,33.18,33.68,258300
2017-05-17,1494979200,33.68,33.68,32.64,32.73,251700
2017-05-18,1495065600,32.73,32.73,32.33,32.51,260800
2017-05-19,1495152000,32.73,33.0,32.69,32.78,499700
2017-05-22,1495411200,33.0,33.0,32.64,32.78,150200
2017-05-23,1495497600,32.91,32.91,32.64,32.82,178000
2017-05-24,1495584000,32.78,32.96,32.64,32.73,147700
2017-05-25,1495670400,32.87,32.87,32.24,32.42,224300
2017-05-26,1495756800,32.33,32.37,32.15,32.24,183800
2017-05-30,1496102400,32.15,32.37,31.97,32.19,163900
2017-05-31,1496188800,32.33,32.33,31.74,32.15,302700
2017-06-01,1496275200,32.15,32.73,31.83,32.64,297000
2017-06-02,1496361600,32.55,33.72,32.55,33.18,397700
2017-06-05,1496620800,33.14,33.18,32.69,32.69,189500
2017-06-06,1496707200,32.37,32.51,32.02,32.42,303700
2017-06-07,1496793600,32.51,32.6,32.27,32.42,192500
2017-06-08,1496880000,32.42,33.05,32.28,32.91,241800
2017-06-09,1496966400,32.91,33.27,32.87,33.05,359100
2017-06-12,1497225600,32.96,33.32,32.82,32.87,337900
2017-06-13,1497312000,33.0,33.09,32.82,32.91,296500
2017-06-14,1497398400,32.96,33.19,32.69,33.15,405300
2017-06-15,1497484800,32.78,33.6,32.78,33.51,285600
2017-06-16,1497571200,33.24,33.46,33.01,33.28,576200
2017-06-19,1497830400,33.42,33.73,33.28,33.6,218700
2017-06-20,1497916800,33.6,33.6,33.19,33.24,117200
2017-06-21,1498003200,33.19,33.19,32.51,32.65,315500
2017-06-22,1498089600,32.69,32.96,32.42,32.56,262600
2017-06-23,1498176000,32.56,32.67,32.33,32.47,688100
2017-06-26,1498435200,32.51,32.87,32.33,32.65,185000
2017-06-27,1498521600,32.65,32.78,32.42,32.51,168900
2017-06-28,1498608000,32.69,33.1,32.56,33.01,168100
2017-06-29,1498694400,33.1,33.1,32.33,32.74,157300
2017-06-30,1498780800,32.78,32.92,32.6,32.69,142700
2017-07-03,1499040000,32.83,33.05,32.69,32.96,111900
2017-07-05,1499212800,32.83,32.95,32.38,32.74,148300
2017-07-06,1499299200,32.51,32.72,32.1,32.33,334500
2017-07-07,1499385600,32.38,32.45,32.06,32.24,385800
2017-07-10,1499644800,32.1,32.28,32.01,32.1,350100
2017-07-11,1499731200,32.1,32.42,32.01,32.42,390200
2017-07-12,1499817600,32.51,32.87,32.51,32.69,248800
2017-07-13,1499904000,32.74,32.74,32.19,32.51,206200
2017-07-14,1499990400,32.42,32.6,32.42,32.56,224900
2017-07-17,1500249600,32.47,32.83,32.42,32.83,207600
2017-07-18,1500336000,32.6,32.78,32.51,32.6,132600
2017-07-19,1500422400,32.6,33.05,32.47,33.01,291100
2017-07-20,1500508800,33.05,33.05,32.78,33.01,183900
2017-07-21,1500595200,32.74,32.87,32.6,32.65,227000
2017-07-24,1500854400,32.69,32.69,32.33,32.6,213300
2017-07-25,1500940800,32.83,33.46,32.76,33.33,351900
2017-07-26,1501027200,33.37,33.37,32.78,32.83,175500
2017-07-27,1501113600,32.87,33.01,32.6,32.65,284700
2017-07-28,1501200000,32.51,32.63,32.28,32.56,167400
2017-07-31,1501459200,32.6,32.78,32.42,32.6,188800
2017-08-01,1501545600,32.65,33.0,32.38,32.56,238400
2017-08-02,1501632000,32.65,32.78,32.1,32.42,149200
2017-08-03,1501718400,32.33,33.37,32.33,32.69,236700
2017-08-04,1501804800,32.69,33.33,32.69,33.33,310800
2017-08-07,1502064000,33.33,33.46,33.01,33.1,254000
2017-08-08,1502150400,33.15,33.6,33.05,33.51,362700
2017-08-09,1502236800,33.37,33.51,33.1,33.24,280300
2017-08-10,1502323200,33.05,33.19,32.74,32.92,193000
2017-08-11,1502409600,31.61,32.92,31.61,32.83,396800
2017-08-14,1502668800,33.01,33.55,33.01,33.46,444500
2017-08-15,1502755200,33.51,33.6,33.05,33.15,173200
2017-08-16,1502841600,33.15,33.46,33.1,33.19,190300
2017-08-17,1502928000,33.05,33.19,32.24,32.24,259900
2017-08-18,1503014400,32.01,32.28,31.74,31.97,276800
2017-08-21,1503273600,31.97,32.06,31.79,31.88,138200
2017-08-22,1503360000,32.01,32.38,31.95,32.24,156100
2017-08-23,1503446400,32.06,32.28,32.01,32.06,174800
2017-08-24,1503532800,32.15,32.24,31.92,32.06,114900
2017-08-25,1503619200,32.19,32.45,32.13,32.33,130000
