Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,37.85,38.59,36.85,36.95,411000
2017-01-04,1483488000,37.1,37.89,36.6,37.7,952800
2017-01-05,1483574400,37.35,37.99,35.25,35.95,589100
2017-01-06,1483660800,35.8,36.4,34.16,34.3,782600
2017-01-09,1483920000,34.3,34.65,33.71,34.16,369200
2017-01-10,1484006400,34.26,35.05,34.21,34.5,489500
2017-01-11,1484092800,34.45,34.45,33.01,34.01,372000
2017-01-12,1484179200,33.66,33.86,32.91,33.66,369900
2017-01-13,1484265600,33.66,34.21,33.66,33.91,196100
2017-01-17,1484611200,33.91,35.2,33.91,34.01,428900
2017-01-18,1484697600,33.91,34.26,33.31,34.06,365100
2017-01-19,1484784000,34.16,34.16,32.91,33.11,196600
2017-01-20,1484870400,33.16,33.91,33.16,33.51,266100
2017-01-23,1485129600,33.71,33.76,33.06,33.41,290300
2017-01-24,1485216000,33.51,33.99,33.31,33.61,273400
2017-01-25,1485302400,33.71,34.4,33.71,33.91,160100
2017-01-26,1485388800,33.91,34.11,33.21,33.21,262300
2017-01-27,1485475200,33.31,34.65,32.51,32.61,335900
2017-01-30,1485734400,33.26,33.86,32.86,33.61,569400
2017-01-31,1485820800,33.16,33.51,32.06,32.91,612100
2017-02-01,1485907200,33.11,33.29,32.41,32.46,374300
2017-02-02,1485993600,32.36,32.71,31.96,32.16,713600
2017-02-03,1486080000,32.21,32.66,32.01,32.16,699900
2017-02-06,1486339200,31.91,32.76,31.71,32.06,396700
2017-02-07,1486425600,32.11,32.46,31.71,31.91,327100
2017-02-08,1486512000,31.91,32.91,31.61,32.86,319100
2017-02-09,1486598400,32.76,33.41,32.76,32.86,417600
2017-02-10,1486684800,32.86,33.46,32.61,33.36,464000
2017-02-13,1486944000,33.46,33.76,32.86,33.16,246500
2017-02-14,1487030400,28.52,29.82,28.47,29.27,3807500
2017-02-15,1487116800,29.02,29.82,28.97,29.82,770400
2017-02-16,1487203200,29.82,29.92,28.87,29.17,507200
2017-02-17,1487289600,29.12,29.72,29.07,29.62,337000
2017-02-21,1487635200,29.72,30.27,29.67,30.07,294500
2017-02-22,1487721600,30.52,30.52,29.77,29.82,318000
2017-02-23,1487808000,29.87,30.12,28.95,29.07,351000
2017-02-24,1487894400,29.07,30.47,28.9,29.82,329500
2017-02-27,1488153600,29.82,30.32,29.72,30.27,333600
2017-02-28,1488240000,30.07,30.17,29.17,29.42,275200
2017-03-01,1488326400,29.87,30.32,29.52,30.07,316400
2017-03-02,1488412800,30.07,30.47,29.53,30.27,178000
2017-03-03,1488499200,30.27,30.66,29.82,30.07,207600
2017-03-06,1488758400,29.92,30.02,28.72,29.22,482000
2017-03-07,1488844800,29.07,29.47,27.27,27.42,769400
2017-03-08,1488931200,27.32,28.52,27.32,28.12,425900
2017-03-09,1489017600,27.92,28.12,27.17,27.35,485800
2017-03-10,1489104000,28.67,30.47,27.77,29.67,1283300
2017-03-13,1489363200,29.62,29.62,28.22,28.92,777200
2017-03-14,1489449600,28.82,30.02,28.62,29.67,380100
2017-03-15,1489536000,29.72,30.07,29.37,29.77,364300
2017-03-16,1489622400,29.92,30.05,29.1,29.22,532600
2017-03-17,1489708800,29.22,29.67,29.07,29.57,572600
2017-03-20,1489968000,29.57,30.07,29.07,29.32,234800
2017-03-21,1490054400,29.47,29.52,28.07,28.62,327200
2017-03-22,1490140800,28.52,28.72,28.07,28.67,311600
2017-03-23,1490227200,28.67,29.17,28.37,28.62,275400
2017-03-24,1490313600,28.57,28.67,27.87,27.97,490100
2017-03-27,1490572800,27.67,28.32,27.52,27.77,976200
2017-03-28,1490659200,27.77,28.47,27.37,28.32,616700
2017-03-29,1490745600,28.32,29.95,28.17,29.67,675400
2017-03-30,1490832000,29.62,29.92,29.17,29.72,355400
2017-03-31,1490918400,29.72,29.72,29.17,29.42,621600
2017-04-03,1491177600,29.37,29.42,28.87,29.12,326300
2017-04-04,1491264000,29.02,29.47,28.22,28.37,337000
2017-04-05,1491350400,28.47,28.57,27.72,27.82,452700
2017-04-06,1491436800,27.92,28.8,27.92,28.62,537100
2017-04-07,1491523200,28.37,28.72,28.32,28.57,466500
2017-04-10,1491782400,28.42,29.07,28.42,28.67,303700
2017-04-11,1491868800,28.57,29.12,28.42,28.97,394800
2017-04-12,1491955200,28.82,29.02,28.5,28.57,281600
2017-04-13,1492041600,28.47,28.82,28.02,28.12,345000
2017-04-17,1492387200,28.22,28.42,27.72,28.22,417400
2017-04-18,1492473600,28.07,28.07,26.73,27.27,491500
2017-04-19,1492560000,27.42,28.02,27.37,27.67,536100
2017-04-20,1492646400,27.87,28.62,27.72,28.37,585600
2017-04-21,1492732800,28.37,28.62,27.67,28.42,347700
2017-04-24,1492992000,28.92,29.1,28.12,28.22,559300
2017-04-25,1493078400,28.42,28.82,27.77,27.77,446400
2017-04-26,1493164800,27.03,27.52,26.28,26.28,1590700
2017-04-27,1493251200,26.28,26.28,25.68,25.83,575200
2017-04-28,1493337600,25.83,25.98,25.38,25.93,516100
2017-05-01,1493596800,26.03,26.26,25.18,25.58,471600
2017-05-02,1493683200,25.58,26.08,25.48,25.63,641400
2017-05-03,1493769600,25.58,25.73,25.23,25.43,607600
2017-05-04,1493856000,25.53,25.53,24.98,25.28,471400
2017-05-05,1493942400,25.43,25.48,25.13,25.28,337700
2017-05-08,1494201600,25.33,25.33,24.98,25.08,399200
2017-05-09,1494288000,25.23,25.58,24.98,25.43,530900
2017-05-10,1494374400,25.33,25.81,25.18,25.38,314800
2017-05-11,1494460800,25.13,25.13,24.23,24.78,493300
2017-05-12,1494547200,24.68,24.88,23.88,24.38,600300
2017-05-15,1494806400,24.33,24.78,24.08,24.13,579200
2017-05-16,1494892800,23.98,24.38,23.04,23.14,868400
2017-05-17,1494979200,22.94,23.48,22.84,22.99,612500
2017-05-18,1495065600,22.89,24.68,22.79,22.84,1246000
2017-05-19,1495152000,22.84,24.18,22.74,23.78,1360900
2017-05-22,1495411200,23.78,24.58,23.53,24.18,897700
2017-05-23,1495497600,24.28,24.28,23.73,23.73,509500
2017-05-24,1495584000,23.73,24.03,23.44,23.73,386800
2017-05-25,1495670400,23.93,24.28,23.53,23.58,357300
2017-05-26,1495756800,23.58,23.78,23.21,23.73,249400
2017-05-30,1496102400,23.78,23.98,23.19,23.39,361600
2017-05-31,1496188800,23.44,23.44,22.89,23.14,412900
2017-06-01,1496275200,23.14,23.78,22.94,23.39,425400
2017-06-02,1496361600,23.48,23.58,22.44,22.54,611400
2017-06-05,1496620800,22.59,22.94,22.39,22.74,585900
2017-06-06,1496707200,22.54,22.74,22.09,22.54,401300
2017-06-07,1496793600,22.64,23.09,22.24,22.69,384700
2017-06-08,1496880000,22.74,23.09,22.34,22.39,417500
2017-06-09,1496966400,22.39,23.68,22.34,23.34,499200
2017-06-12,1497225600,23.39,24.18,22.74,22.99,576100
2017-06-13,1497312000,23.04,23.09,22.39,22.49,367000
2017-06-14,1497398400,22.44,22.97,22.13,22.84,341000
2017-06-15,1497484800,22.74,23.04,22.19,22.49,352600
2017-06-16,1497571200,22.29,22.39,21.79,22.24,740300
2017-06-19,1497830400,22.29,22.39,21.84,22.29,530800
2017-06-20,1497916800,22.34,22.34,21.79,21.99,283900
2017-06-21,1498003200,21.09,21.49,20.49,20.89,530000
2017-06-22,1498089600,20.79,21.14,20.24,20.29,777400
2017-06-23,1498176000,20.19,20.29,19.99,20.24,1189200
2017-06-26,1498435200,20.24,20.59,20.04,20.19,471600
2017-06-27,1498521600,20.14,20.39,20.04,20.34,659400
2017-06-28,1498608000,20.39,20.74,20.32,20.54,409600
2017-06-29,1498694400,20.59,20.89,20.29,20.49,491400
2017-06-30,1498780800,20.59,20.74,20.24,20.69,255200
2017-07-03,1499040000,20.79,21.54,20.79,21.24,275800
2017-07-05,1499212800,21.09,21.29,20.57,20.89,316200
2017-07-06,1499299200,20.84,20.99,20.14,20.14,424100
2017-07-07,1499385600,20.14,20.44,20.09,20.29,291300
2017-07-10,1499644800,20.04,20.74,19.15,19.45,615500
2017-07-11,1499731200,19.5,19.6,19.2,19.45,220300
2017-07-12,1499817600,19.6,19.84,18.97,19.25,410300
2017-07-13,1499904000,19.3,20.24,19.3,19.94,399500
2017-07-14,1499990400,20.74,21.19,19.8,20.04,501200
2017-07-17,1500249600,20.09,20.59,19.89,20.29,806800
2017-07-18,1500336000,20.19,20.54,19.8,19.89,454500
2017-07-19,1500422400,19.94,20.29,19.84,20.29,286600
2017-07-20,1500508800,20.24,20.34,19.99,20.24,305800
2017-07-21,1500595200,20.29,20.29,19.58,19.65,402200
2017-07-24,1500854400,14.96,15.31,13.01,13.06,7666400
2017-07-25,1500940800,13.06,14.61,12.86,14.11,3059000
2017-07-26,1501027200,14.01,15.04,13.76,14.61,1237800
2017-07-27,1501113600,14.61,15.74,14.51,15.71,881800
2017-07-28,1501200000,15.56,15.56,14.99,15.21,654300
2017-07-31,1501459200,15.21,15.66,15.01,15.56,507600
2017-08-01,1501545600,15.61,15.71,15.09,15.41,558200
2017-08-02,1501632000,15.36,15.46,14.86,14.91,463600
2017-08-03,1501718400,14.86,15.61,14.86,15.11,416700
2017-08-04,1501804800,15.21,15.39,14.96,14.96,308700
2017-08-07,1502064000,15.01,15.46,14.16,14.66,604500
2017-08-08,1502150400,14.71,15.46,14.66,14.81,560000
2017-08-09,1502236800,14.61,14.61,14.01,14.16,634200
2017-08-10,1502323200,14.11,14.21,13.51,13.51,802400
2017-08-11,1502409600,13.61,14.21,13.56,13.66,669900
2017-08-14,1502668800,13.71,14.41,13.71,13.91,560200
2017-08-15,1502755200,13.51,13.81,11.52,11.62,2242800
2017-08-16,1502841600,11.72,12.12,11.52,11.77,2260400
2017-08-17,1502928000,11.62,11.82,11.32,11.47,1555100
2017-08-18,1503014400,9.97,10.92,9.37,10.87,4344800
2017-08-21,1503273600,10.82,11.47,10.35,10.82,1749400
2017-08-22,1503360000,10.92,11.32,10.67,11.12,1122900
2017-08-23,1503446400,11.07,11.47,10.97,11.07,954800
2017-08-24,1503532800,11.37,12.32,11.32,11.72,1540300
2017-08-25,1503619200,11.77,12.22,11.62,11.97,676900
2017-08-28,1503878400,11.97,12.47,11.47,11.82,1046900
2017-08-29,1503964800,11.52,12.07,11.02,11.92,885000
2017-08-30,1504051200,11.92,12.22,11.67,11.87,1015700
2017-08-31,1504137600,11.92,12.37,11.87,12.27,800600
