Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.05,5.3,5.05,5.25,468900
2017-01-04,1483488000,5.25,5.25,5.0,5.15,794300
2017-01-05,1483574400,5.1,5.2,5.0,5.05,674900
2017-01-06,1483660800,5.1,5.15,4.85,4.95,733600
2017-01-09,1483920000,4.95,5.0,4.8,4.9,339600
2017-01-10,1484006400,4.9,5.1,4.8,5.05,266100
2017-01-11,1484092800,5.05,5.1,4.97,5.1,1390000
2017-01-12,1484179200,5.05,5.25,5.05,5.1,319300
2017-01-13,1484265600,5.15,5.35,5.15,5.3,1533100
2017-01-17,1484611200,5.25,5.3,5.03,5.1,406000
2017-01-18,1484697600,5.1,5.2,5.0,5.1,499900
2017-01-19,1484784000,5.05,5.4,5.0,5.1,509300
2017-01-20,1484870400,5.1,5.25,5.05,5.15,336100
2017-01-23,1485129600,5.2,5.25,5.0,5.15,382700
2017-01-24,1485216000,5.15,5.4,5.1,5.4,544100
2017-01-25,1485302400,5.4,5.6,5.25,5.3,652700
2017-01-26,1485388800,5.3,5.4,5.2,5.25,378200
2017-01-27,1485475200,5.2,5.25,5.05,5.15,219200
2017-01-30,1485734400,5.15,5.2,4.95,5.05,432900
2017-01-31,1485820800,5.05,5.3,4.95,5.3,491000
2017-02-01,1485907200,5.2,5.35,5.0,5.05,702800
2017-02-02,1485993600,5.1,5.2,4.88,4.9,765700
2017-02-03,1486080000,5.0,5.3,4.9,5.2,587000
2017-02-06,1486339200,5.15,5.2,5.05,5.15,347900
2017-02-07,1486425600,5.15,5.25,5.0,5.1,376600
2017-02-08,1486512000,5.05,5.1,5.03,5.1,316600
2017-02-09,1486598400,5.1,5.25,5.05,5.25,375000
2017-02-10,1486684800,5.2,5.4,5.15,5.4,663800
2017-02-13,1486944000,5.45,5.55,5.4,5.5,1574600
2017-02-14,1487030400,5.55,5.75,5.33,5.75,607200
2017-02-15,1487116800,5.7,5.88,5.5,5.7,540000
2017-02-16,1487203200,5.65,5.75,5.5,5.75,290300
2017-02-17,1487289600,5.75,5.75,5.55,5.7,638800
2017-02-21,1487635200,5.65,5.75,5.5,5.6,253400
2017-02-22,1487721600,5.55,5.65,5.4,5.65,309200
2017-02-23,1487808000,5.65,5.65,5.4,5.45,330100
2017-02-24,1487894400,5.4,5.6,5.3,5.45,215100
2017-02-27,1488153600,5.4,5.55,5.4,5.5,634200
2017-02-28,1488240000,5.5,5.53,5.1,5.4,1021400
2017-03-01,1488326400,5.55,6.1,5.45,5.9,1583300
2017-03-02,1488412800,5.8,5.98,5.45,5.9,1341900
2017-03-03,1488499200,5.8,5.9,5.6,5.85,725400
2017-03-06,1488758400,5.7,6.1,5.7,6.1,859900
2017-03-07,1488844800,6.05,6.09,5.88,6.0,1421700
2017-03-08,1488931200,6.05,6.18,5.85,5.95,964300
2017-03-09,1489017600,6.0,6.0,5.8,5.9,604100
2017-03-10,1489104000,5.9,5.95,5.8,5.85,372600
2017-03-13,1489363200,5.8,5.9,5.75,5.85,384400
2017-03-14,1489449600,5.65,5.7,5.35,5.65,1151400
2017-03-15,1489536000,5.6,5.75,5.5,5.65,929600
2017-03-16,1489622400,5.7,5.9,5.65,5.8,548300
2017-03-17,1489708800,5.75,5.85,5.6,5.85,993800
2017-03-20,1489968000,5.85,5.9,5.75,5.8,355800
2017-03-21,1490054400,5.9,5.9,5.63,5.7,572600
2017-03-22,1490140800,5.65,5.75,5.55,5.7,493200
2017-03-23,1490227200,5.65,5.9,5.65,5.8,438900
2017-03-24,1490313600,5.8,6.03,5.8,5.9,1008900
2017-03-27,1490572800,5.8,5.9,5.7,5.8,751500
2017-03-28,1490659200,5.75,5.8,5.65,5.75,688600
2017-03-29,1490745600,5.7,5.95,5.65,5.85,476700
2017-03-30,1490832000,5.85,6.0,5.8,5.9,534100
2017-03-31,1490918400,5.9,6.05,5.8,5.95,593900
2017-04-03,1491177600,5.95,6.0,5.7,5.75,1160700
2017-04-04,1491264000,5.7,5.9,5.65,5.85,785300
2017-04-05,1491350400,5.85,5.95,5.35,5.4,819800
2017-04-06,1491436800,5.45,5.65,5.35,5.55,453300
2017-04-07,1491523200,5.5,5.7,5.4,5.5,703400
2017-04-10,1491782400,5.5,5.6,5.4,5.5,667600
2017-04-11,1491868800,5.55,5.8,5.5,5.55,543200
2017-04-12,1491955200,5.6,5.7,5.45,5.6,555700
2017-04-13,1492041600,5.55,5.6,5.35,5.5,980800
2017-04-17,1492387200,5.55,5.7,5.45,5.65,740400
