Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,30.97,31.46,30.34,30.63,289800
2017-01-04,1483488000,30.88,31.17,30.78,31.12,320600
2017-01-05,1483574400,31.02,31.21,29.91,29.91,270100
2017-01-06,1483660800,29.91,30.1,29.76,29.91,173300
2017-01-09,1483920000,29.86,30.15,29.43,29.62,116700
2017-01-10,1484006400,29.76,30.49,29.57,30.44,200100
2017-01-11,1484092800,30.49,30.59,30.05,30.49,230100
2017-01-12,1484179200,30.44,30.54,29.55,29.96,162500
2017-01-13,1484265600,28.75,29.04,27.78,28.17,751100
2017-01-17,1484611200,27.88,28.17,26.84,27.83,625000
2017-01-18,1484697600,27.97,28.65,27.88,28.31,425500
2017-01-19,1484784000,28.36,28.36,27.97,28.26,254300
2017-01-20,1484870400,28.31,28.49,27.91,28.17,272800
2017-01-23,1485129600,28.02,28.02,27.0,27.2,258100
2017-01-24,1485216000,26.47,27.88,25.75,27.54,790500
2017-01-25,1485302400,27.58,27.97,25.94,26.04,638400
2017-01-26,1485388800,25.89,26.28,25.84,26.08,393800
2017-01-27,1485475200,25.94,26.04,25.34,25.36,255900
2017-01-30,1485734400,25.26,25.55,24.54,24.83,512300
2017-01-31,1485820800,24.83,25.48,24.21,25.36,338900
2017-02-01,1485907200,25.46,25.79,25.21,25.46,268500
2017-02-02,1485993600,25.31,25.5,25.15,25.26,252400
2017-02-03,1486080000,25.41,25.65,25.17,25.21,473600
2017-02-06,1486339200,25.07,25.36,24.57,25.21,515500
2017-02-07,1486425600,25.31,25.41,24.66,24.92,274300
2017-02-08,1486512000,24.78,25.02,24.39,24.78,296900
2017-02-09,1486598400,24.78,25.46,24.78,25.17,289100
2017-02-10,1486684800,25.36,25.41,24.86,25.17,284600
2017-02-13,1486944000,25.26,25.7,25.21,25.46,425900
2017-02-14,1487030400,25.36,25.94,25.29,25.5,343100
2017-02-15,1487116800,25.55,25.63,25.26,25.46,132400
2017-02-16,1487203200,25.41,25.84,24.97,25.84,514000
2017-02-17,1487289600,25.79,25.99,25.6,25.89,322300
2017-02-21,1487635200,26.04,26.96,26.04,26.67,430400
2017-02-22,1487721600,26.76,26.96,26.38,26.47,309200
2017-02-23,1487808000,26.62,26.74,26.02,26.57,184100
2017-02-24,1487894400,26.47,26.47,26.16,26.42,150900
2017-02-27,1488153600,26.33,26.76,26.26,26.76,188900
2017-02-28,1488240000,26.57,26.67,26.23,26.42,457100
2017-03-01,1488326400,26.76,27.29,26.62,27.25,241200
2017-03-02,1488412800,27.15,27.2,26.18,26.33,230800
2017-03-03,1488499200,26.42,26.47,26.13,26.28,194600
2017-03-06,1488758400,26.13,26.18,25.46,25.84,179100
2017-03-07,1488844800,25.89,25.94,25.55,25.65,176600
2017-03-08,1488931200,25.75,26.13,25.55,25.75,263800
2017-03-09,1489017600,25.75,25.84,25.36,25.79,187400
2017-03-10,1489104000,25.99,25.99,25.36,25.75,189900
2017-03-13,1489363200,25.7,26.08,25.34,25.5,183300
2017-03-14,1489449600,25.31,25.5,25.07,25.46,162000
2017-03-15,1489536000,25.5,25.94,25.48,25.84,227800
2017-03-16,1489622400,26.04,26.13,25.89,25.94,108200
2017-03-17,1489708800,25.94,26.23,25.53,26.04,429400
2017-03-20,1489968000,25.99,26.18,25.79,25.89,147100
2017-03-21,1490054400,25.99,26.04,24.83,25.21,296800
2017-03-22,1490140800,25.02,25.36,24.49,25.17,429400
2017-03-23,1490227200,25.26,25.41,24.92,24.97,221300
2017-03-24,1490313600,25.07,25.46,24.97,25.17,283200
2017-03-27,1490572800,24.78,25.7,24.63,25.65,218400
2017-03-28,1490659200,25.6,26.18,25.41,25.84,241100
2017-03-29,1490745600,25.65,26.57,24.83,26.33,334800
2017-03-30,1490832000,26.42,27.29,26.33,27.29,390900
2017-03-31,1490918400,27.25,27.34,26.81,27.05,348900
2017-04-03,1491177600,27.05,27.15,25.94,25.99,215500
2017-04-04,1491264000,25.94,26.52,25.89,26.38,217800
2017-04-05,1491350400,26.52,26.74,25.7,25.94,286800
2017-04-06,1491436800,25.94,26.13,25.65,26.04,199100
2017-04-07,1491523200,25.94,26.33,25.75,26.33,180600
2017-04-10,1491782400,26.38,26.62,25.84,25.99,202900
2017-04-11,1491868800,25.89,26.38,25.75,26.33,143900
2017-04-12,1491955200,26.33,26.33,25.82,25.94,74800
2017-04-13,1492041600,25.89,25.99,25.55,25.75,114300
2017-04-17,1492387200,25.79,25.84,25.55,25.79,148400
2017-04-18,1492473600,25.7,25.89,25.46,25.79,415900
2017-04-19,1492560000,26.18,26.25,25.7,25.89,257600
2017-04-20,1492646400,25.99,26.38,25.99,26.38,129500
2017-04-21,1492732800,26.23,27.0,26.13,26.96,235400
