Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,53.2,54.5,51.8,53.9,144040
2017-01-04,1483488000,53.0,53.9,49.3,52.5,192580
2017-01-05,1483574400,52.7,53.0,50.2,51.1,89880
2017-01-06,1483660800,51.3,51.3,48.4,48.6,124040
2017-01-09,1483920000,49.1,55.5,48.0,51.1,192440
2017-01-10,1484006400,50.2,53.3,50.1,51.1,110110
2017-01-11,1484092800,51.3,51.5,48.3,49.9,82170
2017-01-12,1484179200,50.2,51.4,48.7,51.0,61590
2017-01-13,1484265600,50.6,53.3,50.0,50.9,75080
2017-01-17,1484611200,50.1,51.0,49.0,49.3,32180
2017-01-18,1484697600,49.0,49.6,48.0,48.3,46120
2017-01-19,1484784000,48.0,48.3,44.2,45.4,85590
2017-01-20,1484870400,45.5,46.6,44.0,46.1,32840
2017-01-23,1485129600,46.1,46.8,44.3,45.7,30780
2017-01-24,1485216000,46.0,46.2,43.7,45.5,24990
2017-01-25,1485302400,45.5,46.1,44.1,44.4,33790
2017-01-26,1485388800,44.7,45.0,42.0,42.1,39240
2017-01-27,1485475200,42.3,43.5,40.8,42.4,36250
2017-01-30,1485734400,42.4,42.5,40.6,42.2,19290
2017-01-31,1485820800,41.8,43.6,41.0,43.2,27460
2017-02-01,1485907200,43.2,44.8,41.5,42.3,31290
2017-02-02,1485993600,42.0,43.3,41.6,41.9,13410
2017-02-03,1486080000,42.4,44.0,42.0,43.5,17940
2017-02-06,1486339200,43.6,51.0,43.5,50.9,148920
2017-02-07,1486425600,51.4,53.3,47.0,50.0,151750
2017-02-08,1486512000,49.8,50.8,48.2,50.6,34470
2017-02-09,1486598400,50.6,52.0,49.3,51.1,30690
2017-02-10,1486684800,52.0,52.8,50.1,50.9,24010
2017-02-13,1486944000,51.0,51.9,50.1,51.9,34790
2017-02-14,1487030400,52.4,52.4,49.8,51.4,32370
2017-02-15,1487116800,51.0,52.4,50.3,52.3,37260
2017-02-16,1487203200,52.5,52.5,50.8,52.2,22350
2017-02-17,1487289600,51.8,52.5,51.0,52.5,24890
2017-02-21,1487635200,51.1,51.9,50.2,50.7,31720
2017-02-22,1487721600,50.7,51.1,47.1,48.2,38530
2017-02-23,1487808000,49.5,49.5,47.1,48.2,17400
2017-02-24,1487894400,48.0,49.6,47.5,49.5,13410
2017-02-27,1488153600,49.2,51.3,49.2,50.5,25640
2017-02-28,1488240000,50.1,50.3,48.0,48.7,21100
2017-03-01,1488326400,49.4,49.5,47.5,48.5,20260
2017-03-02,1488412800,48.0,48.6,47.0,47.5,21460
2017-03-03,1488499200,47.5,48.3,45.5,45.9,30170
2017-03-06,1488758400,46.0,47.4,44.8,45.2,18750
2017-03-07,1488844800,44.9,44.9,43.0,43.4,33740
2017-03-08,1488931200,43.1,46.0,42.7,44.3,27810
2017-03-09,1489017600,44.0,47.9,44.0,46.9,32090
2017-03-10,1489104000,47.3,47.8,46.4,47.1,16860
2017-03-13,1489363200,47.3,48.0,46.6,46.8,13970
2017-03-14,1489449600,46.0,47.3,45.1,46.3,20500
2017-03-15,1489536000,46.5,50.1,45.0,49.1,47220
2017-03-16,1489622400,48.0,48.0,44.2,45.9,61240
2017-03-17,1489708800,46.0,48.0,45.2,46.9,25320
2017-03-20,1489968000,46.8,47.4,46.0,47.3,17130
2017-03-21,1490054400,47.1,47.8,43.8,44.2,41950
2017-03-22,1490140800,44.6,45.3,43.2,44.0,19860
2017-03-23,1490227200,43.9,46.4,43.8,45.9,15900
2017-03-24,1490313600,45.9,50.9,45.8,48.2,55650
2017-03-27,1490572800,47.9,50.9,47.6,50.3,49390
2017-03-28,1490659200,50.2,52.0,48.8,49.9,33120
2017-03-29,1490745600,50.0,51.8,49.9,50.2,28350
2017-03-30,1490832000,50.3,59.9,50.1,59.2,236060
2017-03-31,1490918400,59.5,64.3,56.1,57.7,421080
2017-04-03,1491177600,57.1,59.6,55.1,58.3,80540
2017-04-04,1491264000,58.2,58.7,56.3,56.8,32270
2017-04-05,1491350400,57.0,57.9,52.9,53.5,42090
2017-04-06,1491436800,53.6,57.4,53.3,56.0,37460
2017-04-07,1491523200,56.2,63.9,54.8,63.0,182670
2017-04-10,1491782400,63.8,69.0,59.7,61.0,288230
2017-04-11,1491868800,60.7,71.0,60.3,69.8,223110
2017-04-12,1491955200,70.2,71.0,65.3,68.1,71900
2017-04-13,1492041600,67.2,73.4,66.9,72.4,134970
2017-04-17,1492387200,72.4,78.0,70.3,71.7,138750
2017-04-18,1492473600,71.5,73.7,69.2,71.0,55800
2017-04-19,1492560000,71.5,74.8,70.9,71.6,46880
2017-04-20,1492646400,71.7,77.4,71.1,75.8,76240
2017-04-21,1492732800,78.3,80.5,74.6,75.4,124670
