Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,44.88,45.62,44.41,44.55,109700
2017-01-04,1483488000,44.74,45.39,43.1,45.3,121500
2017-01-05,1483574400,45.02,45.3,43.8,44.08,62400
2017-01-06,1483660800,44.17,44.36,43.6,44.08,78600
2017-01-09,1483920000,43.99,44.13,42.77,43.05,161500
2017-01-10,1484006400,42.96,43.85,42.59,43.66,240200
2017-01-11,1484092800,43.66,44.83,42.63,44.64,115800
2017-01-12,1484179200,44.41,44.74,43.01,43.61,81300
2017-01-13,1484265600,43.71,44.83,43.71,44.03,44700
2017-01-17,1484611200,43.75,43.75,42.63,42.73,88700
2017-01-18,1484697600,43.01,43.38,42.63,43.33,81500
2017-01-19,1484784000,43.71,43.71,42.96,43.19,80300
2017-01-20,1484870400,43.43,44.17,42.26,43.75,96200
2017-01-23,1485129600,43.71,43.85,42.96,43.33,43300
2017-01-24,1485216000,43.52,44.41,42.77,44.27,71500
2017-01-25,1485302400,44.59,44.88,43.89,44.59,95700
2017-01-26,1485388800,44.59,44.92,44.11,44.41,61000
2017-01-27,1485475200,44.59,44.59,43.99,44.31,79100
2017-01-30,1485734400,43.75,44.13,42.85,44.08,99800
2017-01-31,1485820800,44.08,44.08,42.24,43.71,146500
2017-02-01,1485907200,43.89,44.59,43.01,43.1,112800
2017-02-02,1485993600,42.96,43.1,42.12,42.68,105100
2017-02-03,1486080000,43.05,43.85,42.96,43.8,68600
2017-02-06,1486339200,43.61,43.8,43.33,43.66,64000
2017-02-07,1486425600,43.57,43.82,42.68,42.77,46700
2017-02-08,1486512000,42.73,42.73,41.75,41.98,71700
2017-02-09,1486598400,41.98,42.54,41.61,42.31,95100
2017-02-10,1486684800,42.21,42.83,42.03,42.73,104700
2017-02-13,1486944000,42.77,43.57,42.77,43.1,36700
2017-02-14,1487030400,43.52,44.36,43.15,44.27,85800
2017-02-15,1487116800,44.61,45.21,44.23,45.21,118900
2017-02-16,1487203200,45.03,45.82,44.75,45.73,121600
2017-02-17,1487289600,45.73,45.96,45.0,45.96,119400
2017-02-21,1487635200,46.15,46.52,45.87,46.24,129700
2017-02-22,1487721600,46.06,46.95,45.54,46.85,97600
2017-02-23,1487808000,46.99,47.98,46.43,47.98,192500
2017-02-24,1487894400,47.41,47.41,46.62,46.95,88300
2017-02-27,1488153600,46.9,47.51,46.71,47.09,100500
2017-02-28,1488240000,47.04,47.27,46.1,46.38,126900
2017-03-01,1488326400,47.27,48.4,47.27,47.69,130600
