Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.5,18.73,18.23,18.42,56800
2017-01-04,1483488000,18.42,18.66,18.35,18.62,84300
2017-01-05,1483574400,18.46,18.46,17.88,18.12,87800
2017-01-06,1483660800,18.12,18.27,17.92,18.15,94800
2017-01-09,1483920000,18.08,18.35,17.85,17.88,81300
2017-01-10,1484006400,17.85,18.25,17.85,18.04,38100
2017-01-11,1484092800,17.96,18.1,17.81,18.08,110700
2017-01-12,1484179200,17.96,18.15,17.61,17.96,98700
2017-01-13,1484265600,17.88,18.15,17.69,17.69,35800
2017-01-17,1484611200,17.5,17.88,17.46,17.46,44500
2017-01-18,1484697600,17.54,17.57,17.23,17.54,44700
2017-01-19,1484784000,17.42,17.54,17.03,17.27,69200
2017-01-20,1484870400,17.19,17.73,17.19,17.73,48000
2017-01-23,1485129600,17.77,17.77,17.38,17.54,54600
2017-01-24,1485216000,17.54,17.73,17.34,17.54,62100
2017-01-25,1485302400,17.54,17.81,17.42,17.61,40100
2017-01-26,1485388800,17.57,17.65,17.27,17.27,36600
2017-01-27,1485475200,17.34,17.34,16.88,17.0,36300
2017-01-30,1485734400,16.88,17.0,16.61,16.84,56800
2017-01-31,1485820800,16.76,16.92,16.53,16.84,114300
2017-02-01,1485907200,16.8,17.07,16.69,16.73,60800
2017-02-02,1485993600,16.73,16.8,16.26,16.69,45900
2017-02-03,1486080000,16.76,16.92,16.57,16.8,58300
2017-02-06,1486339200,16.8,16.94,16.73,16.92,49300
2017-02-07,1486425600,17.0,17.19,16.63,16.76,59300
2017-02-08,1486512000,16.76,17.11,16.65,17.03,43800
2017-02-09,1486598400,17.03,17.65,17.02,17.54,61000
2017-02-10,1486684800,17.54,17.61,17.07,17.57,45900
2017-02-13,1486944000,17.69,17.69,17.38,17.5,48500
2017-02-14,1487030400,17.5,17.69,17.3,17.54,46600
2017-02-15,1487116800,17.46,17.73,17.46,17.61,33700
2017-02-16,1487203200,17.65,17.65,17.38,17.57,35000
2017-02-17,1487289600,17.73,17.73,16.96,17.42,79700
2017-02-21,1487635200,17.42,17.85,17.42,17.73,62100
2017-02-22,1487721600,18.08,19.7,18.08,18.93,204000
2017-02-23,1487808000,18.97,19.04,17.92,18.0,100400
2017-02-24,1487894400,18.0,18.39,17.81,17.92,72200
2017-02-27,1488153600,17.88,18.19,17.85,17.92,82600
2017-02-28,1488240000,17.88,18.12,17.65,17.92,75700
2017-03-01,1488326400,18.12,18.35,18.04,18.23,70000
2017-03-02,1488412800,18.12,18.35,18.12,18.19,24500
2017-03-03,1488499200,18.19,18.19,17.73,17.85,64000
2017-03-06,1488758400,17.81,17.88,17.5,17.65,46300
2017-03-07,1488844800,17.73,17.92,17.57,17.69,39900
2017-03-08,1488931200,17.78,17.9,17.67,17.75,55200
2017-03-09,1489017600,17.75,17.86,17.47,17.63,56400
2017-03-10,1489104000,17.71,17.86,17.3,17.4,128600
2017-03-13,1489363200,17.4,17.59,17.28,17.55,60300
2017-03-14,1489449600,17.51,17.86,17.47,17.75,45800
2017-03-15,1489536000,17.67,17.98,17.59,17.82,53200
2017-03-16,1489622400,17.82,18.37,17.82,18.37,33900
2017-03-17,1489708800,18.33,18.33,17.98,18.25,152200
2017-03-20,1489968000,18.25,18.41,17.98,18.21,41600
2017-03-21,1490054400,18.29,18.29,17.59,17.78,60100
2017-03-22,1490140800,17.75,18.02,17.59,17.82,81300
2017-03-23,1490227200,17.82,18.25,17.78,18.21,41900
2017-03-24,1490313600,18.21,18.33,17.86,18.02,73700
2017-03-27,1490572800,17.82,18.21,17.82,18.13,46100
2017-03-28,1490659200,18.06,18.31,17.98,18.09,54500
2017-03-29,1490745600,18.06,18.37,18.06,18.25,33500
2017-03-30,1490832000,18.21,18.37,18.02,18.25,54300
2017-03-31,1490918400,18.25,19.03,18.06,18.91,188800
2017-04-03,1491177600,18.95,18.95,18.33,18.37,53800
2017-04-04,1491264000,18.41,18.56,18.21,18.37,44300
2017-04-05,1491350400,18.41,18.6,18.06,18.37,62500
2017-04-06,1491436800,18.33,18.72,18.33,18.68,36100
2017-04-07,1491523200,18.68,18.99,18.25,18.6,76400
2017-04-10,1491782400,18.52,18.79,18.17,18.48,81600
2017-04-11,1491868800,18.37,18.64,18.37,18.56,55400
2017-04-12,1491955200,18.56,18.56,18.09,18.44,40800
2017-04-13,1492041600,18.41,18.44,18.06,18.13,31600
2017-04-17,1492387200,18.17,18.48,18.17,18.44,36800
2017-04-18,1492473600,18.33,18.52,18.33,18.48,22500
2017-04-19,1492560000,18.48,18.68,18.41,18.6,44200
2017-04-20,1492646400,18.64,18.99,18.6,18.83,83100
2017-04-21,1492732800,18.79,18.87,18.56,18.79,82700
2017-04-24,1492992000,19.07,19.07,18.83,18.91,83200
2017-04-25,1493078400,18.99,19.18,18.79,18.83,70600
2017-04-26,1493164800,18.83,19.49,18.83,19.22,117800
2017-04-27,1493251200,19.3,19.34,19.1,19.3,36300
2017-04-28,1493337600,19.3,19.3,18.89,19.14,49200
2017-05-01,1493596800,19.18,19.18,18.02,18.06,152500
2017-05-02,1493683200,18.25,20.07,18.02,19.88,155200
2017-05-03,1493769600,19.76,20.19,19.53,19.61,86600
2017-05-04,1493856000,19.61,19.8,19.45,19.61,74800
2017-05-05,1493942400,19.73,19.76,19.53,19.73,63200
2017-05-08,1494201600,19.76,19.96,19.65,19.88,81100
2017-05-09,1494288000,19.84,20.42,19.84,20.19,91300
2017-05-10,1494374400,20.19,20.41,19.88,20.35,64300
2017-05-11,1494460800,20.35,20.35,19.65,19.69,55500
2017-05-12,1494547200,19.57,19.57,18.99,19.1,62600
2017-05-15,1494806400,19.07,19.49,18.79,18.95,64700
2017-05-16,1494892800,18.99,18.99,18.6,18.72,61500
2017-05-17,1494979200,18.72,18.72,18.21,18.21,61600
2017-05-18,1495065600,17.98,18.33,17.98,18.02,75400
2017-05-19,1495152000,18.06,18.29,17.9,17.98,64800
2017-05-22,1495411200,18.07,18.27,17.99,18.19,52300
2017-05-23,1495497600,18.19,18.27,17.88,18.07,42600
2017-05-24,1495584000,18.15,18.74,18.03,18.7,127600
2017-05-25,1495670400,18.77,19.24,18.66,19.09,143700
2017-05-26,1495756800,19.09,19.16,18.81,19.05,91800
2017-05-30,1496102400,18.85,19.13,18.54,18.58,122500
