Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,3.86,4.14,3.86,4.14,14940400
2017-01-04,1483488000,4.18,4.22,4.07,4.21,8947300
2017-01-05,1483574400,4.31,4.72,4.31,4.68,16712500
2017-01-06,1483660800,4.56,4.74,4.27,4.44,14783300
2017-01-09,1483920000,4.57,4.74,4.48,4.53,14054900
2017-01-10,1484006400,4.5,4.72,4.48,4.58,9579800
2017-01-11,1484092800,4.52,4.61,4.33,4.5,16626600
2017-01-12,1484179200,4.68,4.7,4.43,4.46,8520900
2017-01-13,1484265600,4.34,4.49,4.31,4.44,7905600
2017-01-17,1484611200,4.66,4.66,4.54,4.59,9492800
2017-01-18,1484697600,4.6,4.64,4.38,4.43,6464000
2017-01-19,1484784000,4.36,4.51,4.32,4.42,6383500
2017-01-20,1484870400,4.42,4.59,4.39,4.45,5346700
2017-01-23,1485129600,4.51,4.69,4.49,4.62,6126500
2017-01-24,1485216000,4.64,4.79,4.54,4.61,7676000
2017-01-25,1485302400,4.49,4.61,4.47,4.54,6795600
2017-01-26,1485388800,4.4,4.47,4.36,4.39,7123200
2017-01-27,1485475200,4.39,4.54,4.37,4.47,4736300
2017-01-30,1485734400,4.51,4.65,4.48,4.51,8754200
2017-01-31,1485820800,4.67,4.69,4.55,4.62,6598900
2017-02-01,1485907200,4.55,4.64,4.5,4.6,5572700
2017-02-02,1485993600,4.72,4.78,4.62,4.68,5149100
2017-02-03,1486080000,4.67,4.75,4.65,4.73,4385400
2017-02-06,1486339200,4.77,4.99,4.68,4.97,8253400
2017-02-07,1486425600,4.88,5.01,4.8,4.94,10527000
2017-02-08,1486512000,4.99,5.23,4.99,5.12,16615900
2017-02-09,1486598400,5.12,5.17,4.88,4.88,9467900
2017-02-10,1486684800,4.83,4.96,4.78,4.83,12454900
2017-02-13,1486944000,4.78,4.83,4.7,4.74,7594900
2017-02-14,1487030400,4.84,4.85,4.65,4.74,8070300
2017-02-15,1487116800,4.7,4.76,4.66,4.67,8921600
2017-02-16,1487203200,4.74,4.81,4.68,4.69,11144200
2017-02-17,1487289600,4.71,4.75,4.53,4.54,9307200
2017-02-21,1487635200,4.52,4.58,4.38,4.46,6612500
2017-02-22,1487721600,4.43,4.5,4.26,4.41,8713700
2017-02-23,1487808000,4.53,4.55,4.3,4.32,11501400
2017-02-24,1487894400,4.43,4.5,4.31,4.33,6525200
2017-02-27,1488153600,4.37,4.49,3.91,3.93,16427200
2017-02-28,1488240000,4.0,4.08,3.87,3.94,11858300
2017-03-01,1488326400,3.86,3.96,3.78,3.89,11233600
2017-03-02,1488412800,3.78,3.88,3.58,3.63,9063700
2017-03-03,1488499200,3.6,3.87,3.56,3.81,13597800
2017-03-06,1488758400,3.8,3.81,3.49,3.59,11950000
2017-03-07,1488844800,3.55,3.7,3.47,3.58,8418200
2017-03-08,1488931200,3.48,3.56,3.43,3.48,5977700
2017-03-09,1489017600,3.48,3.55,3.44,3.44,4835900
2017-03-10,1489104000,3.51,3.69,3.47,3.66,9582400
2017-03-13,1489363200,3.67,3.67,3.5,3.6,15391700
2017-03-14,1489449600,3.59,3.65,3.37,3.39,14250800
2017-03-15,1489536000,3.43,3.92,3.36,3.88,20572000
2017-03-16,1489622400,4.0,4.02,3.77,3.88,11941500
2017-03-17,1489708800,3.92,3.99,3.76,3.88,36291400
2017-03-20,1489968000,3.86,3.95,3.8,3.91,8128900
2017-03-21,1490054400,3.94,4.05,3.89,3.97,8564200
2017-03-22,1490140800,4.0,4.02,3.86,3.91,6734500
2017-03-23,1490227200,3.92,3.98,3.78,3.86,7531000
2017-03-24,1490313600,3.83,3.93,3.82,3.89,4983600
2017-03-27,1490572800,3.99,4.05,3.92,3.96,6583400
2017-03-28,1490659200,3.95,4.01,3.78,3.84,6994700
2017-03-29,1490745600,3.84,4.04,3.83,3.98,6158700
2017-03-30,1490832000,3.94,3.98,3.89,3.93,4723500
2017-03-31,1490918400,3.95,4.07,3.92,4.0,4599600
2017-04-03,1491177600,3.98,4.16,3.98,4.16,4623100
2017-04-04,1491264000,4.18,4.21,4.11,4.21,5443300
2017-04-05,1491350400,4.08,4.31,4.07,4.28,9766100
2017-04-06,1491436800,4.26,4.29,4.16,4.21,3871000
2017-04-07,1491523200,4.33,4.42,4.15,4.2,10542100
2017-04-10,1491782400,4.19,4.22,4.11,4.2,8829000
2017-04-11,1491868800,4.26,4.4,4.25,4.39,7896200
2017-04-12,1491955200,4.39,4.55,4.34,4.55,10047900
2017-04-13,1492041600,4.53,4.57,4.41,4.44,8900800
2017-04-17,1492387200,4.47,4.5,4.36,4.42,6447700
2017-04-18,1492473600,4.4,4.49,4.33,4.48,6626900
2017-04-19,1492560000,4.41,4.42,4.13,4.26,10226500
2017-04-20,1492646400,4.25,4.36,4.21,4.35,6247200
2017-04-21,1492732800,4.32,4.35,4.27,4.34,6050000
2017-04-24,1492992000,4.19,4.31,4.17,4.27,7181000
2017-04-25,1493078400,4.14,4.18,3.92,4.0,11966400
2017-04-26,1493164800,3.95,4.07,3.83,4.04,12684200
2017-04-27,1493251200,4.03,4.04,3.9,4.01,6815300
2017-04-28,1493337600,4.0,4.18,3.98,4.14,7692900
2017-05-01,1493596800,4.07,4.1,3.88,3.94,7861900
2017-05-02,1493683200,3.91,3.98,3.85,3.86,9065800
2017-05-03,1493769600,3.87,3.91,3.76,3.78,9129800
2017-05-04,1493856000,3.68,3.72,3.55,3.61,7144300
2017-05-05,1493942400,3.63,3.78,3.63,3.76,4955200
2017-05-08,1494201600,3.81,3.81,3.68,3.76,4285100
2017-05-09,1494288000,3.71,3.74,3.64,3.72,5979600
2017-05-10,1494374400,3.98,4.15,3.94,4.08,9432000
2017-05-11,1494460800,4.16,4.26,4.12,4.21,7551800
2017-05-12,1494547200,4.29,4.35,4.16,4.2,6830800
2017-05-15,1494806400,4.34,4.36,4.19,4.28,4990600
2017-05-16,1494892800,4.3,4.41,4.29,4.4,5470300
2017-05-17,1494979200,4.46,4.55,4.45,4.54,11930000
2017-05-18,1495065600,4.45,4.51,4.34,4.4,8780500
2017-05-19,1495152000,4.46,4.49,4.39,4.46,9311300
2017-05-22,1495411200,4.52,4.56,4.41,4.48,6787300
2017-05-23,1495497600,4.53,4.55,4.22,4.29,9399300
2017-05-24,1495584000,4.28,4.39,4.19,4.37,9172700
2017-05-25,1495670400,4.31,4.4,4.26,4.36,6219300
2017-05-26,1495756800,4.45,4.46,4.33,4.34,4503800
2017-05-30,1496102400,4.36,4.36,4.26,4.28,3315500
2017-05-31,1496188800,4.29,4.51,4.28,4.47,7448200
2017-06-01,1496275200,4.37,4.44,4.34,4.37,4477800
2017-06-02,1496361600,4.46,4.5,4.38,4.5,5337700
2017-06-05,1496620800,4.51,4.53,4.44,4.51,5886200
2017-06-06,1496707200,4.77,5.06,4.75,5.06,15542700
2017-06-07,1496793600,4.96,5.08,4.89,4.98,8013500
2017-06-08,1496880000,4.94,5.06,4.76,5.06,9287900
2017-06-09,1496966400,4.91,5.18,4.89,5.07,12045800
2017-06-12,1497225600,5.03,5.25,5.01,5.2,10784700
2017-06-13,1497312000,5.17,5.49,5.03,5.43,13070700
2017-06-14,1497398400,5.52,5.71,4.92,5.0,19192400
2017-06-15,1497484800,4.89,5.14,4.87,5.08,8289400
2017-06-16,1497571200,5.09,5.16,4.99,5.05,22670500
2017-06-19,1497830400,5.02,5.12,4.94,4.97,8420800
2017-06-20,1497916800,4.97,5.05,4.9,5.04,3955700
2017-06-21,1498003200,5.01,5.14,5.0,5.08,4021600
2017-06-22,1498089600,5.18,5.25,5.1,5.23,4392200
2017-06-23,1498176000,5.29,5.38,5.24,5.33,6265100
2017-06-26,1498435200,5.23,5.28,5.16,5.23,3963100
2017-06-27,1498521600,5.26,5.3,5.12,5.14,4085700
2017-06-28,1498608000,5.22,5.24,5.1,5.22,4358700
2017-06-29,1498694400,5.11,5.23,5.06,5.12,4006100
2017-06-30,1498780800,5.12,5.24,5.09,5.16,4506200
2017-07-03,1499040000,5.03,5.06,4.97,4.99,2430700
2017-07-05,1499212800,5.03,5.17,5.0,5.15,4056400
2017-07-06,1499299200,5.11,5.16,5.07,5.08,4050800
2017-07-07,1499385600,5.04,5.07,4.86,4.92,4399900
2017-07-10,1499644800,4.89,5.07,4.83,5.05,4673800
2017-07-11,1499731200,5.03,5.08,4.92,5.04,3847800
2017-07-12,1499817600,5.11,5.15,5.01,5.11,4256500
2017-07-13,1499904000,5.09,5.14,4.97,5.01,3877100
2017-07-14,1499990400,5.14,5.18,5.08,5.09,4957600
2017-07-17,1500249600,5.14,5.22,5.13,5.18,4796300
2017-07-18,1500336000,5.24,5.26,5.18,5.19,4376100
2017-07-19,1500422400,5.19,5.22,5.1,5.16,3054000
2017-07-20,1500508800,5.16,5.21,5.09,5.17,3159100
2017-07-21,1500595200,5.21,5.23,5.13,5.18,3312700
2017-07-24,1500854400,5.18,5.19,4.98,5.0,2658400
