Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,134.55,135.25,133.75,134.7,2934300
2017-01-04,1483488000,135.17,136.86,134.84,136.37,3381400
2017-01-05,1483574400,136.36,136.47,134.76,135.92,2682300
2017-01-06,1483660800,135.91,136.9,134.96,136.58,2945500
2017-01-09,1483920000,136.54,136.8,135.05,135.07,3189900
2017-01-10,1484006400,135.34,135.42,133.21,133.35,4118700
2017-01-11,1484092800,133.78,135.16,133.42,135.15,3599500
2017-01-12,1484179200,135.17,135.36,133.39,135.31,2927500
2017-01-13,1484265600,135.33,135.74,134.45,134.82,2875400
2017-01-17,1484611200,134.3,135.5,133.84,135.26,3315700
2017-01-18,1484697600,134.91,135.83,134.3,134.38,4007800
2017-01-19,1484784000,134.51,134.91,133.58,134.39,6963400
2017-01-20,1484870400,135.2,137.48,133.74,137.41,12690000
2017-01-23,1485129600,137.03,137.97,136.97,137.79,5478200
2017-01-24,1485216000,138.06,141.8,137.9,141.72,6952400
2017-01-25,1485302400,142.01,144.42,141.9,143.64,5922500
2017-01-26,1485388800,143.46,144.12,143.01,143.94,3063900
2017-01-27,1485475200,143.79,144.38,142.84,142.84,3482300
2017-01-30,1485734400,142.59,142.66,140.65,141.64,4094800
2017-01-31,1485820800,141.03,141.46,139.87,140.6,4139000
2017-02-01,1485907200,140.99,141.56,139.29,140.42,2795700
2017-02-02,1485993600,140.37,140.97,139.82,140.65,2620500
2017-02-03,1486080000,140.99,142.07,140.9,141.65,3309300
2017-02-06,1486339200,141.24,141.78,140.49,141.68,2650800
2017-02-07,1486425600,141.8,143.91,141.72,143.78,3873500
2017-02-08,1486512000,144.14,144.14,142.82,143.06,2913100
2017-02-09,1486598400,143.06,144.38,142.85,143.9,3090700
2017-02-10,1486684800,144.03,145.25,143.54,145.09,2930700
2017-02-13,1486944000,145.55,146.09,145.22,145.65,3093400
2017-02-14,1487030400,145.01,146.27,144.83,146.27,2776500
2017-02-15,1487116800,146.33,147.73,146.01,147.53,2914300
2017-02-16,1487203200,147.34,148.43,146.87,147.33,3251500
2017-02-17,1487289600,147.18,147.44,146.17,146.71,3552500
2017-02-21,1487635200,146.65,146.81,145.45,146.38,4480300
2017-02-22,1487721600,146.24,147.25,146.24,147.1,3020500
2017-02-23,1487808000,147.79,148.2,146.91,147.51,2282500
2017-02-24,1487894400,146.34,147.38,146.08,147.26,3300100
2017-02-27,1488153600,147.13,147.18,145.58,145.68,3691300
2017-02-28,1488240000,145.66,146.68,145.64,146.02,3273400
2017-03-01,1488326400,146.56,148.24,146.19,147.75,3005600
2017-03-02,1488412800,147.69,147.69,146.52,146.6,2918200
2017-03-03,1488499200,146.6,147.24,145.97,146.21,1822000
2017-03-06,1488758400,145.94,146.97,145.82,146.55,3204400
2017-03-07,1488844800,146.74,147.21,146.33,146.47,2980500
2017-03-08,1488931200,146.78,146.94,145.6,145.72,3557400
2017-03-09,1489017600,145.48,145.56,142.82,143.88,5444100
2017-03-10,1489104000,144.71,145.75,144.07,144.4,3100300
2017-03-13,1489363200,144.42,144.59,143.26,143.29,3482200
2017-03-14,1489449600,143.06,143.58,142.28,142.69,3147500
2017-03-15,1489536000,142.68,143.15,141.9,142.76,3815500
2017-03-16,1489622400,144.92,145.35,143.58,143.93,4311800
2017-03-17,1489708800,143.15,143.56,142.63,142.63,5921000
2017-03-20,1489968000,142.63,143.06,142.22,142.67,2476100
2017-03-21,1490054400,142.93,143.1,141.16,141.2,3927700
2017-03-22,1490140800,141.33,142.15,140.32,141.93,3450500
2017-03-23,1490227200,141.64,142.65,140.94,141.96,3740000
2017-03-24,1490313600,142.2,142.51,140.8,141.16,3221700
2017-03-27,1490572800,140.23,141.42,139.74,141.11,3259000
2017-03-28,1490659200,141.25,142.11,140.48,141.71,3523900
2017-03-29,1490745600,141.54,141.69,140.86,141.25,3085600
2017-03-30,1490832000,141.18,141.77,141.04,141.18,3168300
2017-03-31,1490918400,141.28,142.07,141.04,141.41,2913700
2017-04-03,1491177600,141.15,142.0,140.79,141.7,4286500
2017-04-04,1491264000,140.9,142.07,140.69,141.72,3108900
2017-04-05,1491350400,141.86,143.19,140.33,140.38,6238900
2017-04-06,1491436800,140.86,140.86,139.87,140.04,3435400
