Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,36.91,37.2,35.8,36.29,226700
2017-01-04,1483488000,36.46,37.0,36.46,36.82,264900
2017-01-05,1483574400,36.69,36.69,35.47,35.71,232600
2017-01-06,1483660800,36.02,36.02,35.53,35.71,216100
2017-01-09,1483920000,35.44,35.8,34.55,34.55,216800
2017-01-10,1484006400,34.73,35.57,34.55,35.22,212700
2017-01-11,1484092800,35.13,35.49,34.73,35.35,160200
2017-01-12,1484179200,35.04,35.04,33.75,34.28,160800
2017-01-13,1484265600,34.46,35.22,34.15,34.42,316900
2017-01-17,1484611200,34.11,34.11,33.04,33.13,178900
2017-01-18,1484697600,33.53,33.71,32.95,33.66,157500
2017-01-19,1484784000,33.75,33.75,32.91,33.0,135600
2017-01-20,1484870400,33.13,33.75,33.13,33.53,169600
2017-01-23,1485129600,33.35,33.66,32.91,33.4,125700
2017-01-24,1485216000,33.66,34.28,33.22,34.06,197100
2017-01-25,1485302400,34.42,34.64,34.13,34.2,165700
2017-01-26,1485388800,34.28,34.42,33.88,34.2,128900
2017-01-27,1485475200,34.11,34.11,33.57,33.71,83900
2017-01-30,1485734400,33.44,33.44,32.51,32.95,187500
2017-01-31,1485820800,32.68,33.26,32.46,33.0,211600
2017-02-01,1485907200,33.44,33.66,32.77,33.0,149300
2017-02-02,1485993600,32.73,33.04,32.33,32.59,227500
2017-02-03,1486080000,33.13,33.75,32.86,33.71,261200
2017-02-06,1486339200,33.53,33.8,33.13,33.26,199400
2017-02-07,1486425600,33.35,33.48,32.68,33.0,124900
2017-02-08,1486512000,32.68,32.82,32.11,32.37,181700
2017-02-09,1486598400,32.42,33.04,32.37,32.82,135700
2017-02-10,1486684800,33.08,33.35,32.73,33.13,136500
2017-02-13,1486944000,33.35,33.8,33.26,33.62,166600
2017-02-14,1487030400,33.44,34.2,33.4,34.06,161900
2017-02-15,1487116800,34.06,34.33,33.84,34.06,113900
2017-02-16,1487203200,34.06,34.46,33.8,34.42,153400
2017-02-17,1487289600,34.2,34.24,33.71,34.11,164000
2017-02-21,1487635200,34.33,34.6,34.09,34.37,109600
2017-02-22,1487721600,34.2,34.51,34.02,34.42,113700
2017-02-23,1487808000,34.6,34.6,33.71,34.46,117900
2017-02-24,1487894400,33.88,34.33,33.88,34.2,125500
2017-02-27,1488153600,34.28,34.58,33.97,34.51,158200
2017-02-28,1488240000,34.6,34.64,33.75,33.84,245600
2017-03-01,1488326400,34.68,35.4,34.64,35.31,230200
2017-03-02,1488412800,35.31,35.31,33.93,33.93,134900
2017-03-03,1488499200,33.88,34.24,33.57,33.84,161000
2017-03-06,1488758400,33.62,34.02,33.26,33.71,84700
2017-03-07,1488844800,33.8,33.88,33.35,33.4,117600
2017-03-08,1488931200,33.71,33.8,32.86,32.86,138200
2017-03-09,1489017600,33.0,33.2,32.61,32.73,107400
2017-03-10,1489104000,33.13,33.22,32.73,33.13,209300
2017-03-13,1489363200,33.13,33.75,33.0,33.4,121400
2017-03-14,1489449600,33.08,33.31,32.59,33.13,110300
2017-03-15,1489536000,33.4,33.71,33.04,33.17,240700
2017-03-16,1489622400,33.35,33.75,33.17,33.53,132400
2017-03-17,1489708800,33.31,33.8,32.64,33.75,904800
2017-03-20,1489968000,33.62,33.97,33.08,33.22,151800
2017-03-21,1490054400,33.57,33.57,31.08,31.13,298800
2017-03-22,1490140800,30.73,31.08,30.37,30.73,207300
2017-03-23,1490227200,30.73,31.62,30.73,31.22,226700
2017-03-24,1490313600,31.39,31.48,30.61,30.77,269200
2017-03-27,1490572800,30.02,30.82,29.7,30.73,152500
2017-03-28,1490659200,30.46,31.31,30.46,31.13,163800
2017-03-29,1490745600,30.91,31.17,30.73,30.95,145400
2017-03-30,1490832000,31.07,32.28,31.07,32.1,185000
2017-03-31,1490918400,32.05,32.23,31.65,31.78,238200
2017-04-03,1491177600,31.78,31.96,31.02,31.56,252800
2017-04-04,1491264000,31.29,31.74,31.29,31.61,160100
2017-04-05,1491350400,31.92,32.46,30.75,30.84,190400
2017-04-06,1491436800,30.89,31.54,30.53,31.34,182000
2017-04-07,1491523200,31.07,31.38,30.82,31.2,326100
2017-04-10,1491782400,31.34,31.78,30.75,31.07,174600
2017-04-11,1491868800,30.89,31.47,30.66,31.47,299700
2017-04-12,1491955200,31.29,31.47,30.62,30.75,153200
2017-04-13,1492041600,30.57,30.71,29.94,29.94,173900
2017-04-17,1492387200,30.21,30.64,29.75,30.62,242200
2017-04-18,1492473600,30.39,30.89,29.97,30.66,179600
2017-04-19,1492560000,30.84,31.5,30.84,31.11,192200
2017-04-20,1492646400,31.34,31.96,31.2,31.87,148100
2017-04-21,1492732800,31.87,32.19,31.43,31.96,217500
2017-04-24,1492992000,32.95,33.58,32.86,33.22,262000
2017-04-25,1493078400,33.63,34.12,33.63,33.67,231000
2017-04-26,1493164800,33.67,34.79,33.67,34.48,200700
2017-04-27,1493251200,34.66,34.66,33.98,34.12,202400
2017-04-28,1493337600,34.21,34.27,33.4,33.58,238000
2017-05-01,1493596800,33.89,34.07,33.45,33.85,211900
2017-05-02,1493683200,33.85,34.12,32.92,33.09,170300
2017-05-03,1493769600,32.86,33.13,32.64,33.09,203700
2017-05-04,1493856000,33.4,33.76,32.91,33.27,129000
2017-05-05,1493942400,33.4,33.45,32.73,33.13,101100
2017-05-08,1494201600,33.0,33.18,32.68,33.04,93900
2017-05-09,1494288000,33.09,33.36,31.86,32.1,190100
2017-05-10,1494374400,31.92,32.22,31.92,32.1,234200
2017-05-11,1494460800,31.83,32.23,31.38,31.92,225600
2017-05-12,1494547200,31.65,31.83,31.07,31.61,138100
2017-05-15,1494806400,31.83,32.14,31.69,31.92,159000
2017-05-16,1494892800,31.92,32.05,31.52,32.05,103400
2017-05-17,1494979200,31.2,31.38,29.94,30.17,289200
2017-05-18,1495065600,30.08,30.66,30.08,30.48,216500
2017-05-19,1495152000,30.44,30.84,30.35,30.35,174100
2017-05-22,1495411200,30.48,30.57,30.08,30.44,102200
2017-05-23,1495497600,30.48,30.98,30.08,30.8,115400
2017-05-24,1495584000,30.84,30.89,30.35,30.53,114600
2017-05-25,1495670400,30.71,30.98,30.26,30.66,135800
2017-05-26,1495756800,30.44,30.73,30.26,30.53,135300
2017-05-30,1496102400,30.35,30.35,29.76,30.03,129200
2017-05-31,1496188800,30.17,30.17,29.18,29.76,156900
2017-06-01,1496275200,29.99,30.53,29.54,30.48,199500
2017-06-02,1496361600,30.26,31.34,30.21,30.71,287100
2017-06-05,1496620800,30.8,31.07,30.39,30.39,154100
2017-06-06,1496707200,29.94,30.21,29.63,29.94,140500
2017-06-07,1496793600,30.08,30.75,29.99,30.71,184000
2017-06-08,1496880000,30.62,32.5,30.48,31.92,223900
2017-06-09,1496966400,32.19,33.76,32.19,33.49,239100
2017-06-12,1497225600,33.54,34.21,32.77,32.91,245200
2017-06-13,1497312000,33.18,33.36,32.55,32.77,193600
2017-06-14,1497398400,32.5,32.64,31.83,32.55,148100
2017-06-15,1497484800,32.14,32.95,32.14,32.5,139300
2017-06-16,1497571200,31.92,32.37,31.83,32.1,625200
2017-06-19,1497830400,32.37,32.59,31.92,32.23,140600
2017-06-20,1497916800,32.01,32.01,31.47,31.56,111100
2017-06-21,1498003200,31.65,31.65,30.89,30.93,107400
2017-06-22,1498089600,30.89,30.93,30.44,30.75,75100
2017-06-23,1498176000,30.84,30.89,30.3,30.53,298300
2017-06-26,1498435200,30.57,30.93,30.3,30.62,131900
2017-06-27,1498521600,30.75,31.2,30.44,30.66,182800
2017-06-28,1498608000,30.93,31.65,30.93,31.38,105400
2017-06-29,1498694400,31.96,32.37,31.34,31.87,183800
2017-06-30,1498780800,32.01,32.01,31.38,31.47,143800
2017-07-03,1499040000,31.61,32.68,31.52,32.37,78300
2017-07-05,1499212800,32.28,32.32,31.52,31.87,120900
2017-07-06,1499299200,31.78,32.13,31.52,31.65,185700
2017-07-07,1499385600,31.87,32.19,31.47,32.05,105700
2017-07-10,1499644800,31.87,32.1,31.52,31.65,131900
2017-07-11,1499731200,31.69,31.69,31.02,31.56,223000
2017-07-12,1499817600,31.52,32.1,31.34,31.74,103300
2017-07-13,1499904000,31.74,31.83,31.34,31.65,78500
2017-07-14,1499990400,31.25,31.61,30.93,31.34,134100
2017-07-17,1500249600,31.29,31.63,30.98,31.38,100400
2017-07-18,1500336000,31.11,31.52,30.89,31.34,112700
2017-07-19,1500422400,31.38,31.77,31.25,31.61,92500
2017-07-20,1500508800,31.61,32.14,31.43,31.65,66500
2017-07-21,1500595200,32.41,32.41,31.47,31.65,136300
2017-07-24,1500854400,31.65,32.05,31.65,31.96,93400
2017-07-25,1500940800,32.41,33.04,32.32,32.86,297700
2017-07-26,1501027200,32.86,32.86,31.83,31.96,101300
2017-07-27,1501113600,32.05,32.25,31.52,31.69,124400
2017-07-28,1501200000,31.65,32.23,31.2,31.56,74300
2017-07-31,1501459200,31.74,32.14,31.61,31.78,112500
2017-08-01,1501545600,31.92,31.92,31.61,31.87,75600
2017-08-02,1501632000,31.92,31.96,31.56,31.92,120600
2017-08-03,1501718400,31.87,31.96,31.47,31.83,160600
2017-08-04,1501804800,32.14,32.37,31.96,32.28,110300
2017-08-07,1502064000,32.32,32.37,31.83,32.01,162200
2017-08-08,1502150400,31.96,33.31,31.83,32.68,116900
2017-08-09,1502236800,32.32,32.59,32.05,32.41,163500
2017-08-10,1502323200,32.1,32.41,31.96,32.01,189000
2017-08-11,1502409600,32.19,32.28,31.25,31.52,213600
2017-08-14,1502668800,31.87,33.0,31.87,33.0,246200
2017-08-15,1502755200,33.18,33.22,32.32,32.41,136000
2017-08-16,1502841600,32.59,32.64,32.05,32.32,129700
2017-08-17,1502928000,32.14,32.37,31.2,31.29,204700
2017-08-18,1503014400,30.98,31.52,30.89,31.25,134900
2017-08-21,1503273600,31.2,31.43,30.98,31.38,90500
2017-08-22,1503360000,31.52,32.01,31.16,32.01,127700
2017-08-23,1503446400,31.69,32.32,31.69,32.19,120700
2017-08-24,1503532800,32.32,32.37,31.87,32.32,105500
2017-08-25,1503619200,32.5,32.75,32.32,32.59,75200
2017-08-28,1503878400,32.68,32.77,31.96,32.19,90600
2017-08-29,1503964800,31.69,32.23,31.61,32.01,72400
2017-08-30,1504051200,32.01,32.41,31.92,32.19,78700
2017-08-31,1504137600,32.28,32.59,32.19,32.28,111100
2017-09-01,1504224000,32.41,32.91,32.23,32.82,135700
2017-09-05,1504569600,32.68,32.68,31.47,31.52,328200
2017-09-06,1504656000,31.74,32.05,31.43,31.52,188600
2017-09-07,1504742400,31.56,31.56,30.39,30.57,191800
2017-09-08,1504828800,30.53,31.38,30.53,31.07,200600
2017-09-11,1505088000,31.34,32.01,31.34,31.78,166400
2017-09-12,1505174400,31.96,32.86,31.96,32.82,142200
2017-09-13,1505260800,32.77,33.09,32.5,32.95,188900
2017-09-14,1505347200,33.09,33.31,33.0,33.22,272900
2017-09-15,1505433600,33.18,33.18,32.37,33.04,1084900
2017-09-18,1505692800,33.18,34.07,33.0,34.03,210000
2017-09-19,1505779200,34.03,34.33,33.8,34.07,183000
2017-09-20,1505865600,34.12,34.75,33.8,34.39,212800
2017-09-21,1505952000,34.34,34.75,34.3,34.48,172900
2017-09-22,1506038400,34.48,34.88,34.34,34.7,165700
2017-09-25,1506297600,34.7,35.06,34.59,34.88,140200
2017-09-26,1506384000,34.88,35.38,34.79,35.24,268000
2017-09-27,1506470400,35.78,36.81,35.51,36.54,415200
2017-09-28,1506556800,36.62,36.89,36.03,36.66,184800
2017-09-29,1506643200,36.57,37.16,36.25,36.3,330300
2017-10-02,1506902400,36.3,37.25,36.16,37.25,325700
2017-10-03,1506988800,37.29,37.29,36.62,37.16,164400
2017-10-04,1507075200,37.11,37.25,36.66,36.75,186800
2017-10-05,1507161600,36.89,37.7,36.89,37.52,158600
2017-10-06,1507248000,37.61,37.86,37.1,37.39,205900
2017-10-09,1507507200,37.43,37.75,37.23,37.61,112400
2017-10-10,1507593600,37.84,38.15,37.57,38.06,159900
2017-10-11,1507680000,37.88,38.34,37.84,38.02,136400
2017-10-12,1507766400,38.15,38.25,37.79,37.88,157200
2017-10-13,1507852800,37.7,37.93,37.2,37.48,264100
2017-10-16,1508112000,37.57,37.93,37.07,37.57,311400
2017-10-17,1508198400,37.7,37.7,37.16,37.25,216700
2017-10-18,1508284800,37.48,37.66,37.34,37.39,366700
2017-10-19,1508371200,37.16,37.7,37.16,37.39,432200
2017-10-20,1508457600,37.34,37.75,37.25,37.61,423300
2017-10-23,1508716800,37.66,37.75,37.25,37.34,237100
2017-10-24,1508803200,37.57,37.84,37.11,37.39,233400
2017-10-25,1508889600,37.48,37.48,36.8,36.89,268000
2017-10-26,1508976000,36.89,37.66,36.76,37.52,270200
2017-10-27,1509062400,37.39,37.84,37.2,37.7,186200
2017-10-30,1509321600,37.48,37.52,36.48,36.75,343200
2017-10-31,1509408000,36.71,37.16,36.57,36.75,191200
2017-11-01,1509494400,37.2,37.25,36.42,36.84,214000
2017-11-02,1509580800,36.75,37.66,36.3,37.52,210300
2017-11-03,1509667200,37.48,37.48,36.71,37.07,141900
2017-11-06,1509926400,37.07,37.07,36.62,36.8,111800
2017-11-07,1510012800,36.84,37.02,35.48,35.71,175000
2017-11-08,1510099200,35.53,35.53,34.81,35.21,229900
2017-11-09,1510185600,34.85,35.48,33.99,34.53,242700
2017-11-10,1510272000,34.67,34.9,34.4,34.76,158500
2017-11-13,1510531200,34.35,35.26,34.35,35.26,161100
2017-11-14,1510617600,35.03,35.39,34.9,35.39,154700
2017-11-15,1510704000,35.08,35.71,34.52,35.39,252000
2017-11-16,1510790400,35.62,35.94,35.44,35.62,144500
2017-11-17,1510876800,35.35,35.35,34.97,35.17,524900
2017-11-20,1511136000,35.17,35.26,35.03,35.17,363500
2017-11-21,1511222400,35.17,35.76,35.12,35.71,233300
2017-11-22,1511308800,35.67,36.03,35.57,35.57,128300
2017-11-24,1511481600,35.76,35.76,34.14,35.26,58800
2017-11-27,1511740800,35.3,35.76,35.08,35.39,109100
2017-11-28,1511827200,35.44,36.84,35.3,36.75,236900
2017-11-29,1511913600,36.98,38.38,36.66,38.2,267000
2017-11-30,1512000000,38.25,38.38,37.25,37.34,306500
2017-12-01,1512086400,37.34,37.7,35.85,37.66,277400
2017-12-04,1512345600,38.38,38.83,37.52,37.57,190200
2017-12-05,1512432000,37.93,37.93,36.66,36.71,166500
2017-12-06,1512518400,36.75,36.98,36.43,36.43,146600
2017-12-07,1512604800,36.43,36.8,36.43,36.57,298900
2017-12-08,1512691200,36.89,36.89,36.12,36.21,86700
2017-12-11,1512950400,36.25,36.34,35.89,35.98,114700
2017-12-12,1513036800,36.07,36.34,35.8,36.07,297800
2017-12-13,1513123200,36.07,36.39,35.44,35.53,248000
2017-12-14,1513209600,35.76,35.8,34.71,34.85,275100
2017-12-15,1513296000,35.08,35.94,34.94,35.53,1503800
2017-12-18,1513555200,35.85,36.25,35.44,35.85,230700
2017-12-19,1513641600,35.89,35.98,35.48,35.67,282500
2017-12-20,1513728000,35.94,36.12,35.3,35.89,388800
2017-12-21,1513814400,35.98,36.57,35.85,36.43,138000
2017-12-22,1513900800,36.43,36.57,35.76,36.03,158900
2017-12-26,1514246400,35.98,36.21,35.67,35.94,135500
2017-12-27,1514332800,35.85,36.34,35.76,35.98,199900
2017-12-28,1514419200,35.94,36.25,35.85,36.21,119800
2017-12-29,1514505600,36.21,36.25,35.71,35.94,304200
2018-01-02,1514851200,36.12,36.34,35.46,35.62,245800
2018-01-03,1514937600,35.62,35.71,35.17,35.44,130200
2018-01-04,1515024000,35.76,36.12,35.57,35.62,137300
2018-01-05,1515110400,35.89,35.89,35.48,35.89,116000
2018-01-08,1515369600,35.76,36.07,35.48,35.94,160000
2018-01-09,1515456000,35.98,36.89,35.87,36.53,285600
2018-01-10,1515542400,36.43,37.52,36.25,36.93,135600
2018-01-11,1515628800,36.98,37.75,36.98,37.66,117800
2018-01-12,1515715200,37.75,38.29,37.7,38.06,113400
2018-01-16,1516060800,38.2,38.43,37.34,37.39,123200
2018-01-17,1516147200,37.75,37.97,37.43,37.88,92400
2018-01-18,1516233600,37.84,37.93,37.34,37.39,142800
2018-01-19,1516320000,37.29,38.2,37.29,38.2,162300
2018-01-22,1516579200,38.06,38.2,37.61,38.15,113200
2018-01-23,1516665600,37.88,38.43,37.88,38.15,100300
2018-01-24,1516752000,38.38,38.43,38.02,38.11,122900
2018-01-25,1516838400,38.34,38.34,37.79,38.11,130700
2018-01-26,1516924800,38.15,38.34,37.66,38.34,110300
2018-01-29,1517184000,38.15,38.38,37.66,37.88,189600
2018-01-30,1517270400,37.66,38.15,37.61,37.88,117100
2018-01-31,1517356800,38.06,38.11,37.57,37.57,197200
2018-02-01,1517443200,37.48,38.34,37.16,38.29,131500
2018-02-02,1517529600,37.97,38.34,37.48,37.52,165500
2018-02-05,1517788800,37.11,37.73,35.35,35.44,219900
2018-02-06,1517875200,34.85,36.21,34.53,35.71,338700
2018-02-07,1517961600,35.53,36.16,35.35,35.94,138200
2018-02-08,1518048000,36.12,36.12,34.67,34.71,288200
2018-02-09,1518134400,35.26,35.48,34.22,35.21,261000
2018-02-12,1518393600,35.3,35.57,34.71,35.26,153500
2018-02-13,1518480000,35.03,35.35,34.81,35.26,122800
2018-02-14,1518566400,34.94,36.12,34.94,35.98,246600
